game,2012,11,20121118,201211180dal,cle,"Cleveland Browns",20,dal,"Dallas Cowboys",23
team,201211180dal,cle,First Downs,19,,,,,,
team,201211180dal,dal,First Downs,30,,,,,,
team,201211180dal,cle,Rush-Yds-TDs,33-119-0,,,,,,
team,201211180dal,dal,Rush-Yds-TDs,21-63-1,,,,,,
team,201211180dal,cle,Cmp-Att-Yd-TD-INT,20-35-210-2-0,,,,,,
team,201211180dal,dal,Cmp-Att-Yd-TD-INT,35-50-313-1-0,,,,,,
team,201211180dal,cle,Sacked-Yards,2-18,,,,,,
team,201211180dal,dal,Sacked-Yards,7-56,,,,,,
team,201211180dal,cle,Net Pass Yards,192,,,,,,
team,201211180dal,dal,Net Pass Yards,257,,,,,,
team,201211180dal,cle,Total Yards,311,,,,,,
team,201211180dal,dal,Total Yards,320,,,,,,
team,201211180dal,cle,Fumbles-Lost,2-1,,,,,,
team,201211180dal,dal,Fumbles-Lost,1-1,,,,,,
team,201211180dal,cle,Turnovers,1,,,,,,
team,201211180dal,dal,Turnovers,1,,,,,,
team,201211180dal,cle,Penalties-Yards,12-129,,,,,,
team,201211180dal,dal,Penalties-Yards,9-92,,,,,,
team,201211180dal,cle,Third Down Conv.,6-15,,,,,,
team,201211180dal,dal,Third Down Conv.,4-14,,,,,,
team,201211180dal,cle,Fourth Down Conv.,0-1,,,,,,
team,201211180dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201211180dal,cle,Time of Possession,30:43,,,,,,
team,201211180dal,dal,Time of Possession,38:10,,,,,,
player,201211180dal,cle,WeedBr00,pass_cmp,20,,,,,
player,201211180dal,cle,WeedBr00,pass_att,35,,,,,
player,201211180dal,cle,WeedBr00,pass_yds,210,,,,,
player,201211180dal,cle,WeedBr00,pass_td,2,,,,,
player,201211180dal,cle,WeedBr00,pass_int,0,,,,,
player,201211180dal,cle,WeedBr00,pass_sacked,2,,,,,
player,201211180dal,cle,WeedBr00,pass_sacked_yds,18,,,,,
player,201211180dal,cle,WeedBr00,pass_long,27,,,,,
player,201211180dal,cle,WeedBr00,pass_rating,93.7,,,,,
player,201211180dal,cle,WeedBr00,rush_att,0,,,,,
player,201211180dal,cle,WeedBr00,rush_yds,0,,,,,
player,201211180dal,cle,WeedBr00,rush_td,0,,,,,
player,201211180dal,cle,WeedBr00,rush_long,0,,,,,
player,201211180dal,cle,WeedBr00,targets,0,,,,,
player,201211180dal,cle,WeedBr00,rec,0,,,,,
player,201211180dal,cle,WeedBr00,rec_yds,0,,,,,
player,201211180dal,cle,WeedBr00,rec_td,0,,,,,
player,201211180dal,cle,WeedBr00,rec_long,0,,,,,
player,201211180dal,cle,WeedBr00,fumbles,1,,,,,
player,201211180dal,cle,WeedBr00,fumbles_lost,1,,,,,
player,201211180dal,cle,RichTr00,pass_cmp,0,,,,,
player,201211180dal,cle,RichTr00,pass_att,0,,,,,
player,201211180dal,cle,RichTr00,pass_yds,0,,,,,
player,201211180dal,cle,RichTr00,pass_td,0,,,,,
player,201211180dal,cle,RichTr00,pass_int,0,,,,,
player,201211180dal,cle,RichTr00,pass_sacked,0,,,,,
player,201211180dal,cle,RichTr00,pass_sacked_yds,0,,,,,
player,201211180dal,cle,RichTr00,pass_long,0,,,,,
player,201211180dal,cle,RichTr00,pass_rating,,,,,,
player,201211180dal,cle,RichTr00,rush_att,28,,,,,
player,201211180dal,cle,RichTr00,rush_yds,95,,,,,
player,201211180dal,cle,RichTr00,rush_td,0,,,,,
player,201211180dal,cle,RichTr00,rush_long,9,,,,,
player,201211180dal,cle,RichTr00,targets,8,,,,,
player,201211180dal,cle,RichTr00,rec,6,,,,,
player,201211180dal,cle,RichTr00,rec_yds,49,,,,,
player,201211180dal,cle,RichTr00,rec_td,0,,,,,
player,201211180dal,cle,RichTr00,rec_long,27,,,,,
player,201211180dal,cle,RichTr00,fumbles,1,,,,,
player,201211180dal,cle,RichTr00,fumbles_lost,0,,,,,
player,201211180dal,cle,HardMo00,pass_cmp,0,,,,,
player,201211180dal,cle,HardMo00,pass_att,0,,,,,
player,201211180dal,cle,HardMo00,pass_yds,0,,,,,
player,201211180dal,cle,HardMo00,pass_td,0,,,,,
player,201211180dal,cle,HardMo00,pass_int,0,,,,,
player,201211180dal,cle,HardMo00,pass_sacked,0,,,,,
player,201211180dal,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201211180dal,cle,HardMo00,pass_long,0,,,,,
player,201211180dal,cle,HardMo00,pass_rating,,,,,,
player,201211180dal,cle,HardMo00,rush_att,4,,,,,
player,201211180dal,cle,HardMo00,rush_yds,23,,,,,
player,201211180dal,cle,HardMo00,rush_td,0,,,,,
player,201211180dal,cle,HardMo00,rush_long,12,,,,,
player,201211180dal,cle,HardMo00,targets,0,,,,,
player,201211180dal,cle,HardMo00,rec,0,,,,,
player,201211180dal,cle,HardMo00,rec_yds,0,,,,,
player,201211180dal,cle,HardMo00,rec_td,0,,,,,
player,201211180dal,cle,HardMo00,rec_long,0,,,,,
player,201211180dal,cle,HardMo00,fumbles,0,,,,,
player,201211180dal,cle,HardMo00,fumbles_lost,0,,,,,
player,201211180dal,cle,OgboCh00,pass_cmp,0,,,,,
player,201211180dal,cle,OgboCh00,pass_att,0,,,,,
player,201211180dal,cle,OgboCh00,pass_yds,0,,,,,
player,201211180dal,cle,OgboCh00,pass_td,0,,,,,
player,201211180dal,cle,OgboCh00,pass_int,0,,,,,
player,201211180dal,cle,OgboCh00,pass_sacked,0,,,,,
player,201211180dal,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201211180dal,cle,OgboCh00,pass_long,0,,,,,
player,201211180dal,cle,OgboCh00,pass_rating,,,,,,
player,201211180dal,cle,OgboCh00,rush_att,1,,,,,
player,201211180dal,cle,OgboCh00,rush_yds,1,,,,,
player,201211180dal,cle,OgboCh00,rush_td,0,,,,,
player,201211180dal,cle,OgboCh00,rush_long,1,,,,,
player,201211180dal,cle,OgboCh00,targets,0,,,,,
player,201211180dal,cle,OgboCh00,rec,0,,,,,
player,201211180dal,cle,OgboCh00,rec_yds,0,,,,,
player,201211180dal,cle,OgboCh00,rec_td,0,,,,,
player,201211180dal,cle,OgboCh00,rec_long,0,,,,,
player,201211180dal,cle,OgboCh00,fumbles,0,,,,,
player,201211180dal,cle,OgboCh00,fumbles_lost,0,,,,,
player,201211180dal,cle,LittGr00,pass_cmp,0,,,,,
player,201211180dal,cle,LittGr00,pass_att,0,,,,,
player,201211180dal,cle,LittGr00,pass_yds,0,,,,,
player,201211180dal,cle,LittGr00,pass_td,0,,,,,
player,201211180dal,cle,LittGr00,pass_int,0,,,,,
player,201211180dal,cle,LittGr00,pass_sacked,0,,,,,
player,201211180dal,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201211180dal,cle,LittGr00,pass_long,0,,,,,
player,201211180dal,cle,LittGr00,pass_rating,,,,,,
player,201211180dal,cle,LittGr00,rush_att,0,,,,,
player,201211180dal,cle,LittGr00,rush_yds,0,,,,,
player,201211180dal,cle,LittGr00,rush_td,0,,,,,
player,201211180dal,cle,LittGr00,rush_long,0,,,,,
player,201211180dal,cle,LittGr00,targets,4,,,,,
player,201211180dal,cle,LittGr00,rec,3,,,,,
player,201211180dal,cle,LittGr00,rec_yds,53,,,,,
player,201211180dal,cle,LittGr00,rec_td,0,,,,,
player,201211180dal,cle,LittGr00,rec_long,22,,,,,
player,201211180dal,cle,LittGr00,fumbles,0,,,,,
player,201211180dal,cle,LittGr00,fumbles_lost,0,,,,,
player,201211180dal,cle,GordJo02,pass_cmp,0,,,,,
player,201211180dal,cle,GordJo02,pass_att,0,,,,,
player,201211180dal,cle,GordJo02,pass_yds,0,,,,,
player,201211180dal,cle,GordJo02,pass_td,0,,,,,
player,201211180dal,cle,GordJo02,pass_int,0,,,,,
player,201211180dal,cle,GordJo02,pass_sacked,0,,,,,
player,201211180dal,cle,GordJo02,pass_sacked_yds,0,,,,,
