game,2012,11,20121118,201211180det,gnb,"Green Bay Packers",24,det,"Detroit Lions",20
team,201211180det,gnb,First Downs,16,,,,,,
team,201211180det,det,First Downs,19,,,,,,
team,201211180det,gnb,Rush-Yds-TDs,29-95-0,,,,,,
team,201211180det,det,Rush-Yds-TDs,24-110-1,,,,,,
team,201211180det,gnb,Cmp-Att-Yd-TD-INT,19-27-236-2-1,,,,,,
team,201211180det,det,Cmp-Att-Yd-TD-INT,17-39-266-1-2,,,,,,
team,201211180det,gnb,Sacked-Yards,3-17,,,,,,
team,201211180det,det,Sacked-Yards,5-14,,,,,,
team,201211180det,gnb,Net Pass Yards,219,,,,,,
team,201211180det,det,Net Pass Yards,252,,,,,,
team,201211180det,gnb,Total Yards,314,,,,,,
team,201211180det,det,Total Yards,362,,,,,,
team,201211180det,gnb,Fumbles-Lost,2-0,,,,,,
team,201211180det,det,Fumbles-Lost,3-2,,,,,,
team,201211180det,gnb,Turnovers,1,,,,,,
team,201211180det,det,Turnovers,4,,,,,,
team,201211180det,gnb,Penalties-Yards,9-80,,,,,,
team,201211180det,det,Penalties-Yards,7-50,,,,,,
team,201211180det,gnb,Third Down Conv.,6-13,,,,,,
team,201211180det,det,Third Down Conv.,6-15,,,,,,
team,201211180det,gnb,Fourth Down Conv.,0-1,,,,,,
team,201211180det,det,Fourth Down Conv.,0-1,,,,,,
team,201211180det,gnb,Time of Possession,30:18,,,,,,
team,201211180det,det,Time of Possession,29:42,,,,,,
player,201211180det,gnb,RodgAa00,pass_cmp,19,,,,,
player,201211180det,gnb,RodgAa00,pass_att,27,,,,,
player,201211180det,gnb,RodgAa00,pass_yds,236,,,,,
player,201211180det,gnb,RodgAa00,pass_td,2,,,,,
player,201211180det,gnb,RodgAa00,pass_int,1,,,,,
player,201211180det,gnb,RodgAa00,pass_sacked,3,,,,,
player,201211180det,gnb,RodgAa00,pass_sacked_yds,17,,,,,
player,201211180det,gnb,RodgAa00,pass_long,40,,,,,
player,201211180det,gnb,RodgAa00,pass_rating,106.4,,,,,
player,201211180det,gnb,RodgAa00,rush_att,1,,,,,
player,201211180det,gnb,RodgAa00,rush_yds,3,,,,,
player,201211180det,gnb,RodgAa00,rush_td,0,,,,,
player,201211180det,gnb,RodgAa00,rush_long,3,,,,,
player,201211180det,gnb,RodgAa00,targets,0,,,,,
player,201211180det,gnb,RodgAa00,rec,0,,,,,
player,201211180det,gnb,RodgAa00,rec_yds,0,,,,,
player,201211180det,gnb,RodgAa00,rec_td,0,,,,,
player,201211180det,gnb,RodgAa00,rec_long,0,,,,,
player,201211180det,gnb,RodgAa00,fumbles,1,,,,,
player,201211180det,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201211180det,gnb,StarJa00,pass_cmp,0,,,,,
player,201211180det,gnb,StarJa00,pass_att,0,,,,,
player,201211180det,gnb,StarJa00,pass_yds,0,,,,,
