game,2012,11,20121119,201211190sfo,chi,"Chicago Bears",7,sfo,"San Francisco 49ers",32
team,201211190sfo,chi,First Downs,12,,,,,,
team,201211190sfo,sfo,First Downs,18,,,,,,
team,201211190sfo,chi,Rush-Yds-TDs,28-85-0,,,,,,
team,201211190sfo,sfo,Rush-Yds-TDs,29-121-1,,,,,,
team,201211190sfo,chi,Cmp-Att-Yd-TD-INT,14-22-107-1-2,,,,,,
team,201211190sfo,sfo,Cmp-Att-Yd-TD-INT,16-23-243-2-0,,,,,,
team,201211190sfo,chi,Sacked-Yards,6-49,,,,,,
team,201211190sfo,sfo,Sacked-Yards,2-11,,,,,,
team,201211190sfo,chi,Net Pass Yards,58,,,,,,
team,201211190sfo,sfo,Net Pass Yards,232,,,,,,
team,201211190sfo,chi,Total Yards,143,,,,,,
team,201211190sfo,sfo,Total Yards,353,,,,,,
team,201211190sfo,chi,Fumbles-Lost,3-0,,,,,,
team,201211190sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201211190sfo,chi,Turnovers,2,,,,,,
team,201211190sfo,sfo,Turnovers,0,,,,,,
team,201211190sfo,chi,Penalties-Yards,6-55,,,,,,
team,201211190sfo,sfo,Penalties-Yards,5-50,,,,,,
team,201211190sfo,chi,Third Down Conv.,3-12,,,,,,
team,201211190sfo,sfo,Third Down Conv.,4-12,,,,,,
team,201211190sfo,chi,Fourth Down Conv.,0-1,,,,,,
team,201211190sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201211190sfo,chi,Time of Possession,29:55,,,,,,
team,201211190sfo,sfo,Time of Possession,30:05,,,,,,
player,201211190sfo,chi,CampJa00,pass_cmp,14,,,,,
player,201211190sfo,chi,CampJa00,pass_att,22,,,,,
player,201211190sfo,chi,CampJa00,pass_yds,107,,,,,
player,201211190sfo,chi,CampJa00,pass_td,1,,,,,
player,201211190sfo,chi,CampJa00,pass_int,2,,,,,
player,201211190sfo,chi,CampJa00,pass_sacked,6,,,,,
player,201211190sfo,chi,CampJa00,pass_sacked_yds,49,,,,,
player,201211190sfo,chi,CampJa00,pass_long,18,,,,,
player,201211190sfo,chi,CampJa00,pass_rating,52.7,,,,,
player,201211190sfo,chi,CampJa00,rush_att,1,,,,,
player,201211190sfo,chi,CampJa00,rush_yds,13,,,,,
player,201211190sfo,chi,CampJa00,rush_td,0,,,,,
player,201211190sfo,chi,CampJa00,rush_long,13,,,,,
player,201211190sfo,chi,CampJa00,targets,0,,,,,
player,201211190sfo,chi,CampJa00,rec,0,,,,,
player,201211190sfo,chi,CampJa00,rec_yds,0,,,,,
player,201211190sfo,chi,CampJa00,rec_td,0,,,,,
player,201211190sfo,chi,CampJa00,rec_long,0,,,,,
player,201211190sfo,chi,CampJa00,fumbles,2,,,,,
player,201211190sfo,chi,CampJa00,fumbles_lost,0,,,,,
player,201211190sfo,chi,FortMa00,pass_cmp,0,,,,,
player,201211190sfo,chi,FortMa00,pass_att,0,,,,,
player,201211190sfo,chi,FortMa00,pass_yds,0,,,,,
player,201211190sfo,chi,FortMa00,pass_td,0,,,,,
player,201211190sfo,chi,FortMa00,pass_int,0,,,,,
player,201211190sfo,chi,FortMa00,pass_sacked,0,,,,,
player,201211190sfo,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201211190sfo,chi,FortMa00,pass_long,0,,,,,
player,201211190sfo,chi,FortMa00,pass_rating,,,,,,
player,201211190sfo,chi,FortMa00,rush_att,21,,,,,
player,201211190sfo,chi,FortMa00,rush_yds,63,,,,,
player,201211190sfo,chi,FortMa00,rush_td,0,,,,,
player,201211190sfo,chi,FortMa00,rush_long,8,,,,,
player,201211190sfo,chi,FortMa00,targets,4,,,,,
player,201211190sfo,chi,FortMa00,rec,3,,,,,
player,201211190sfo,chi,FortMa00,rec_yds,4,,,,,
player,201211190sfo,chi,FortMa00,rec_td,0,,,,,
player,201211190sfo,chi,FortMa00,rec_long,4,,,,,
player,201211190sfo,chi,FortMa00,fumbles,0,,,,,
player,201211190sfo,chi,FortMa00,fumbles_lost,0,,,,,
player,201211190sfo,chi,BushMi00,pass_cmp,0,,,,,
player,201211190sfo,chi,BushMi00,pass_att,0,,,,,
player,201211190sfo,chi,BushMi00,pass_yds,0,,,,,
player,201211190sfo,chi,BushMi00,pass_td,0,,,,,
player,201211190sfo,chi,BushMi00,pass_int,0,,,,,
player,201211190sfo,chi,BushMi00,pass_sacked,0,,,,,
