game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
team,201211250tam,atl,First Downs,20,,,,,,
team,201211250tam,tam,First Downs,16,,,,,,
team,201211250tam,atl,Rush-Yds-TDs,24-79-2,,,,,,
team,201211250tam,tam,Rush-Yds-TDs,21-50-2,,,,,,
team,201211250tam,atl,Cmp-Att-Yd-TD-INT,26-32-353-1-1,,,,,,
team,201211250tam,tam,Cmp-Att-Yd-TD-INT,20-31-284-0-0,,,,,,
team,201211250tam,atl,Sacked-Yards,1-8,,,,,,
team,201211250tam,tam,Sacked-Yards,2-8,,,,,,
team,201211250tam,atl,Net Pass Yards,345,,,,,,
team,201211250tam,tam,Net Pass Yards,276,,,,,,
team,201211250tam,atl,Total Yards,424,,,,,,
team,201211250tam,tam,Total Yards,326,,,,,,
team,201211250tam,atl,Fumbles-Lost,1-1,,,,,,
team,201211250tam,tam,Fumbles-Lost,0-0,,,,,,
team,201211250tam,atl,Turnovers,2,,,,,,
team,201211250tam,tam,Turnovers,0,,,,,,
team,201211250tam,atl,Penalties-Yards,2-15,,,,,,
team,201211250tam,tam,Penalties-Yards,5-24,,,,,,
team,201211250tam,atl,Third Down Conv.,8-13,,,,,,
team,201211250tam,tam,Third Down Conv.,4-10,,,,,,
team,201211250tam,atl,Fourth Down Conv.,0-0,,,,,,
team,201211250tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201211250tam,atl,Time of Possession,29:22,,,,,,
team,201211250tam,tam,Time of Possession,30:38,,,,,,
player,201211250tam,atl,RyanMa00,pass_cmp,26,,,,,
player,201211250tam,atl,RyanMa00,pass_att,32,,,,,
player,201211250tam,atl,RyanMa00,pass_yds,353,,,,,
player,201211250tam,atl,RyanMa00,pass_td,1,,,,,
player,201211250tam,atl,RyanMa00,pass_int,1,,,,,
player,201211250tam,atl,RyanMa00,pass_sacked,1,,,,,
player,201211250tam,atl,RyanMa00,pass_sacked_yds,8,,,,,
player,201211250tam,atl,RyanMa00,pass_long,80,,,,,
player,201211250tam,atl,RyanMa00,pass_rating,110.0,,,,,
player,201211250tam,atl,RyanMa00,rush_att,1,,,,,
player,201211250tam,atl,RyanMa00,rush_yds,13,,,,,
player,201211250tam,atl,RyanMa00,rush_td,0,,,,,
player,201211250tam,atl,RyanMa00,rush_long,13,,,,,
player,201211250tam,atl,RyanMa00,targets,0,,,,,
player,201211250tam,atl,RyanMa00,rec,0,,,,,
player,201211250tam,atl,RyanMa00,rec_yds,0,,,,,
player,201211250tam,atl,RyanMa00,rec_td,0,,,,,
player,201211250tam,atl,RyanMa00,rec_long,0,,,,,
player,201211250tam,atl,RyanMa00,fumbles,1,,,,,
player,201211250tam,atl,RyanMa00,fumbles_lost,1,,,,,
player,201211250tam,atl,RodgJa00,pass_cmp,0,,,,,
player,201211250tam,atl,RodgJa00,pass_att,0,,,,,
player,201211250tam,atl,RodgJa00,pass_yds,0,,,,,
player,201211250tam,atl,RodgJa00,pass_td,0,,,,,
player,201211250tam,atl,RodgJa00,pass_int,0,,,,,
player,201211250tam,atl,RodgJa00,pass_sacked,0,,,,,
player,201211250tam,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201211250tam,atl,RodgJa00,pass_long,0,,,,,
player,201211250tam,atl,RodgJa00,pass_rating,,,,,,
player,201211250tam,atl,RodgJa00,rush_att,10,,,,,
player,201211250tam,atl,RodgJa00,rush_yds,49,,,,,
player,201211250tam,atl,RodgJa00,rush_td,1,,,,,
player,201211250tam,atl,RodgJa00,rush_long,20,,,,,
player,201211250tam,atl,RodgJa00,targets,2,,,,,
player,201211250tam,atl,RodgJa00,rec,2,,,,,
player,201211250tam,atl,RodgJa00,rec_yds,30,,,,,
player,201211250tam,atl,RodgJa00,rec_td,0,,,,,
player,201211250tam,atl,RodgJa00,rec_long,32,,,,,
player,201211250tam,atl,RodgJa00,fumbles,0,,,,,
player,201211250tam,atl,RodgJa00,fumbles_lost,0,,,,,
player,201211250tam,atl,TurnMi00,pass_cmp,0,,,,,
player,201211250tam,atl,TurnMi00,pass_att,0,,,,,
player,201211250tam,atl,TurnMi00,pass_yds,0,,,,,
player,201211250tam,atl,TurnMi00,pass_td,0,,,,,
player,201211250tam,atl,TurnMi00,pass_int,0,,,,,
