game,2012,13,20121202,201212020det,clt,"Indianapolis Colts",35,det,"Detroit Lions",33
team,201212020det,clt,First Downs,23,,,,,,
team,201212020det,det,First Downs,21,,,,,,
team,201212020det,clt,Rush-Yds-TDs,18-87-1,,,,,,
team,201212020det,det,Rush-Yds-TDs,29-138-1,,,,,,
team,201212020det,clt,Cmp-Att-Yd-TD-INT,24-54-391-4-3,,,,,,
team,201212020det,det,Cmp-Att-Yd-TD-INT,27-46-313-2-1,,,,,,
team,201212020det,clt,Sacked-Yards,2-19,,,,,,
team,201212020det,det,Sacked-Yards,0-0,,,,,,
team,201212020det,clt,Net Pass Yards,372,,,,,,
team,201212020det,det,Net Pass Yards,313,,,,,,
team,201212020det,clt,Total Yards,459,,,,,,
team,201212020det,det,Total Yards,451,,,,,,
team,201212020det,clt,Fumbles-Lost,1-0,,,,,,
team,201212020det,det,Fumbles-Lost,1-0,,,,,,
team,201212020det,clt,Turnovers,3,,,,,,
team,201212020det,det,Turnovers,1,,,,,,
team,201212020det,clt,Penalties-Yards,4-36,,,,,,
team,201212020det,det,Penalties-Yards,8-61,,,,,,
team,201212020det,clt,Third Down Conv.,4-15,,,,,,
team,201212020det,det,Third Down Conv.,6-17,,,,,,
team,201212020det,clt,Fourth Down Conv.,2-2,,,,,,
team,201212020det,det,Fourth Down Conv.,0-0,,,,,,
team,201212020det,clt,Time of Possession,22:22,,,,,,
team,201212020det,det,Time of Possession,37:38,,,,,,
player,201212020det,clt,LuckAn00,pass_cmp,24,,,,,
player,201212020det,clt,LuckAn00,pass_att,54,,,,,
player,201212020det,clt,LuckAn00,pass_yds,391,,,,,
player,201212020det,clt,LuckAn00,pass_td,4,,,,,
player,201212020det,clt,LuckAn00,pass_int,3,,,,,
player,201212020det,clt,LuckAn00,pass_sacked,2,,,,,
player,201212020det,clt,LuckAn00,pass_sacked_yds,19,,,,,
player,201212020det,clt,LuckAn00,pass_long,60,,,,,
player,201212020det,clt,LuckAn00,pass_rating,70.8,,,,,
player,201212020det,clt,LuckAn00,rush_att,3,,,,,
player,201212020det,clt,LuckAn00,rush_yds,33,,,,,
player,201212020det,clt,LuckAn00,rush_td,0,,,,,
