game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
team,201212020ram,sfo,First Downs,18,,,,,,
team,201212020ram,ram,First Downs,16,,,,,,
team,201212020ram,sfo,Rush-Yds-TDs,36-148-1,,,,,,
team,201212020ram,ram,Rush-Yds-TDs,27-85-0,,,,,,
team,201212020ram,sfo,Cmp-Att-Yd-TD-INT,21-32-208-0-0,,,,,,
team,201212020ram,ram,Cmp-Att-Yd-TD-INT,26-39-221-0-0,,,,,,
team,201212020ram,sfo,Sacked-Yards,3-17,,,,,,
team,201212020ram,ram,Sacked-Yards,2-13,,,,,,
team,201212020ram,sfo,Net Pass Yards,191,,,,,,
team,201212020ram,ram,Net Pass Yards,208,,,,,,
team,201212020ram,sfo,Total Yards,339,,,,,,
team,201212020ram,ram,Total Yards,293,,,,,,
team,201212020ram,sfo,Fumbles-Lost,1-1,,,,,,
team,201212020ram,ram,Fumbles-Lost,0-0,,,,,,
team,201212020ram,sfo,Turnovers,1,,,,,,
team,201212020ram,ram,Turnovers,0,,,,,,
team,201212020ram,sfo,Penalties-Yards,11-97,,,,,,
team,201212020ram,ram,Penalties-Yards,8-65,,,,,,
team,201212020ram,sfo,Third Down Conv.,8-19,,,,,,
team,201212020ram,ram,Third Down Conv.,3-16,,,,,,
team,201212020ram,sfo,Fourth Down Conv.,0-1,,,,,,
team,201212020ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201212020ram,sfo,Time of Possession,38:54,,,,,,
team,201212020ram,ram,Time of Possession,35:40,,,,,,
player,201212020ram,sfo,KaepCo00,pass_cmp,21,,,,,
player,201212020ram,sfo,KaepCo00,pass_att,32,,,,,
player,201212020ram,sfo,KaepCo00,pass_yds,208,,,,,
player,201212020ram,sfo,KaepCo00,pass_td,0,,,,,
player,201212020ram,sfo,KaepCo00,pass_int,0,,,,,
player,201212020ram,sfo,KaepCo00,pass_sacked,3,,,,,
player,201212020ram,sfo,KaepCo00,pass_sacked_yds,17,,,,,
player,201212020ram,sfo,KaepCo00,pass_long,30,,,,,
player,201212020ram,sfo,KaepCo00,pass_rating,83.9,,,,,
player,201212020ram,sfo,KaepCo00,rush_att,9,,,,,
player,201212020ram,sfo,KaepCo00,rush_yds,84,,,,,
player,201212020ram,sfo,KaepCo00,rush_td,0,,,,,
player,201212020ram,sfo,KaepCo00,rush_long,50,,,,,
player,201212020ram,sfo,KaepCo00,targets,0,,,,,
player,201212020ram,sfo,KaepCo00,rec,0,,,,,
player,201212020ram,sfo,KaepCo00,rec_yds,0,,,,,
player,201212020ram,sfo,KaepCo00,rec_td,0,,,,,
player,201212020ram,sfo,KaepCo00,rec_long,0,,,,,
player,201212020ram,sfo,KaepCo00,fumbles,1,,,,,
player,201212020ram,sfo,KaepCo00,fumbles_lost,1,,,,,
player,201212020ram,sfo,GoreFr00,pass_cmp,0,,,,,
player,201212020ram,sfo,GoreFr00,pass_att,0,,,,,
player,201212020ram,sfo,GoreFr00,pass_yds,0,,,,,
player,201212020ram,sfo,GoreFr00,pass_td,0,,,,,
player,201212020ram,sfo,GoreFr00,pass_int,0,,,,,
