game,2012,14,20121209,201212090car,atl,"Atlanta Falcons",20,car,"Carolina Panthers",30
team,201212090car,atl,First Downs,26,,,,,,
team,201212090car,car,First Downs,23,,,,,,
team,201212090car,atl,Rush-Yds-TDs,11-35-1,,,,,,
team,201212090car,car,Rush-Yds-TDs,32-195-1,,,,,,
team,201212090car,atl,Cmp-Att-Yd-TD-INT,34-49-342-2-1,,,,,,
team,201212090car,car,Cmp-Att-Yd-TD-INT,23-35-287-2-0,,,,,,
team,201212090car,atl,Sacked-Yards,2-15,,,,,,
team,201212090car,car,Sacked-Yards,1-7,,,,,,
team,201212090car,atl,Net Pass Yards,327,,,,,,
team,201212090car,car,Net Pass Yards,280,,,,,,
team,201212090car,atl,Total Yards,362,,,,,,
team,201212090car,car,Total Yards,475,,,,,,
team,201212090car,atl,Fumbles-Lost,0-0,,,,,,
team,201212090car,car,Fumbles-Lost,1-0,,,,,,
team,201212090car,atl,Turnovers,1,,,,,,
team,201212090car,car,Turnovers,0,,,,,,
team,201212090car,atl,Penalties-Yards,3-15,,,,,,
team,201212090car,car,Penalties-Yards,3-10,,,,,,
team,201212090car,atl,Third Down Conv.,2-8,,,,,,
team,201212090car,car,Third Down Conv.,9-15,,,,,,
team,201212090car,atl,Fourth Down Conv.,1-2,,,,,,
team,201212090car,car,Fourth Down Conv.,1-1,,,,,,
team,201212090car,atl,Time of Possession,24:13,,,,,,
team,201212090car,car,Time of Possession,35:47,,,,,,
player,201212090car,atl,RyanMa00,pass_cmp,34,,,,,
player,201212090car,atl,RyanMa00,pass_att,49,,,,,
player,201212090car,atl,RyanMa00,pass_yds,342,,,,,
player,201212090car,atl,RyanMa00,pass_td,2,,,,,
player,201212090car,atl,RyanMa00,pass_int,1,,,,,
player,201212090car,atl,RyanMa00,pass_sacked,2,,,,,
player,201212090car,atl,RyanMa00,pass_sacked_yds,15,,,,,
player,201212090car,atl,RyanMa00,pass_long,21,,,,,
player,201212090car,atl,RyanMa00,pass_rating,94.1,,,,,
player,201212090car,atl,RyanMa00,rush_att,0,,,,,
player,201212090car,atl,RyanMa00,rush_yds,0,,,,,
player,201212090car,atl,RyanMa00,rush_td,0,,,,,
player,201212090car,atl,RyanMa00,rush_long,0,,,,,
player,201212090car,atl,RyanMa00,targets,0,,,,,
player,201212090car,atl,RyanMa00,rec,0,,,,,
player,201212090car,atl,RyanMa00,rec_yds,0,,,,,
player,201212090car,atl,RyanMa00,rec_td,0,,,,,
player,201212090car,atl,RyanMa00,rec_long,0,,,,,
player,201212090car,atl,RyanMa00,fumbles,0,,,,,
player,201212090car,atl,RyanMa00,fumbles_lost,0,,,,,
player,201212090car,atl,RodgJa00,pass_cmp,0,,,,,
player,201212090car,atl,RodgJa00,pass_att,0,,,,,
player,201212090car,atl,RodgJa00,pass_yds,0,,,,,
