game,2012,14,20121209,201212090gnb,det,"Detroit Lions",20,gnb,"Green Bay Packers",27
team,201212090gnb,det,First Downs,27,,,,,,
team,201212090gnb,gnb,First Downs,15,,,,,,
team,201212090gnb,det,Rush-Yds-TDs,32-135-1,,,,,,
team,201212090gnb,gnb,Rush-Yds-TDs,25-140-2,,,,,,
team,201212090gnb,det,Cmp-Att-Yd-TD-INT,27-45-264-1-1,,,,,,
team,201212090gnb,gnb,Cmp-Att-Yd-TD-INT,14-24-173-0-0,,,,,,
team,201212090gnb,det,Sacked-Yards,1-13,,,,,,
team,201212090gnb,gnb,Sacked-Yards,3-25,,,,,,
team,201212090gnb,det,Net Pass Yards,251,,,,,,
team,201212090gnb,gnb,Net Pass Yards,148,,,,,,
team,201212090gnb,det,Total Yards,386,,,,,,
team,201212090gnb,gnb,Total Yards,288,,,,,,
team,201212090gnb,det,Fumbles-Lost,1-1,,,,,,
team,201212090gnb,gnb,Fumbles-Lost,2-1,,,,,,
team,201212090gnb,det,Turnovers,2,,,,,,
team,201212090gnb,gnb,Turnovers,1,,,,,,
team,201212090gnb,det,Penalties-Yards,5-55,,,,,,
team,201212090gnb,gnb,Penalties-Yards,7-50,,,,,,
team,201212090gnb,det,Third Down Conv.,11-17,,,,,,
team,201212090gnb,gnb,Third Down Conv.,5-11,,,,,,
team,201212090gnb,det,Fourth Down Conv.,1-2,,,,,,
team,201212090gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201212090gnb,det,Time of Possession,37:14,,,,,,
team,201212090gnb,gnb,Time of Possession,22:46,,,,,,
player,201212090gnb,det,StafMa00,pass_cmp,27,,,,,
player,201212090gnb,det,StafMa00,pass_att,45,,,,,
player,201212090gnb,det,StafMa00,pass_yds,264,,,,,
player,201212090gnb,det,StafMa00,pass_td,1,,,,,
player,201212090gnb,det,StafMa00,pass_int,1,,,,,
player,201212090gnb,det,StafMa00,pass_sacked,1,,,,,
player,201212090gnb,det,StafMa00,pass_sacked_yds,13,,,,,
player,201212090gnb,det,StafMa00,pass_long,27,,,,,
player,201212090gnb,det,StafMa00,pass_rating,74.7,,,,,
player,201212090gnb,det,StafMa00,rush_att,3,,,,,
player,201212090gnb,det,StafMa00,rush_yds,9,,,,,
player,201212090gnb,det,StafMa00,rush_td,1,,,,,
player,201212090gnb,det,StafMa00,rush_long,6,,,,,
player,201212090gnb,det,StafMa00,targets,0,,,,,
player,201212090gnb,det,StafMa00,rec,0,,,,,
player,201212090gnb,det,StafMa00,rec_yds,0,,,,,
player,201212090gnb,det,StafMa00,rec_td,0,,,,,
player,201212090gnb,det,StafMa00,rec_long,0,,,,,
player,201212090gnb,det,StafMa00,fumbles,1,,,,,
player,201212090gnb,det,StafMa00,fumbles_lost,1,,,,,
player,201212090gnb,det,BellJo01,pass_cmp,0,,,,,
player,201212090gnb,det,BellJo01,pass_att,0,,,,,
player,201212090gnb,det,BellJo01,pass_yds,0,,,,,
player,201212090gnb,det,BellJo01,pass_td,0,,,,,
player,201212090gnb,det,BellJo01,pass_int,0,,,,,
