game,2012,14,20121209,201212090was,rav,"Baltimore Ravens",28,was,"Washington Redskins",31
team,201212090was,rav,First Downs,18,,,,,,
team,201212090was,was,First Downs,22,,,,,,
team,201212090was,rav,Rush-Yds-TDs,35-186-1,,,,,,
team,201212090was,was,Rush-Yds-TDs,35-179-1,,,,,,
team,201212090was,rav,Cmp-Att-Yd-TD-INT,16-21-182-3-1,,,,,,
team,201212090was,was,Cmp-Att-Yd-TD-INT,17-28-268-2-0,,,,,,
team,201212090was,rav,Sacked-Yards,2-9,,,,,,
team,201212090was,was,Sacked-Yards,3-24,,,,,,
team,201212090was,rav,Net Pass Yards,173,,,,,,
team,201212090was,was,Net Pass Yards,244,,,,,,
team,201212090was,rav,Total Yards,359,,,,,,
team,201212090was,was,Total Yards,423,,,,,,
team,201212090was,rav,Fumbles-Lost,2-1,,,,,,
team,201212090was,was,Fumbles-Lost,3-1,,,,,,
team,201212090was,rav,Turnovers,2,,,,,,
team,201212090was,was,Turnovers,1,,,,,,
team,201212090was,rav,Penalties-Yards,8-56,,,,,,
team,201212090was,was,Penalties-Yards,8-70,,,,,,
team,201212090was,rav,Third Down Conv.,6-12,,,,,,
team,201212090was,was,Third Down Conv.,4-11,,,,,,
team,201212090was,rav,Fourth Down Conv.,0-0,,,,,,
team,201212090was,was,Fourth Down Conv.,0-0,,,,,,
team,201212090was,rav,Time of Possession,29:22,,,,,,
team,201212090was,was,Time of Possession,34:01,,,,,,
player,201212090was,rav,FlacJo00,pass_cmp,16,,,,,
player,201212090was,rav,FlacJo00,pass_att,21,,,,,
player,201212090was,rav,FlacJo00,pass_yds,182,,,,,
player,201212090was,rav,FlacJo00,pass_td,3,,,,,
player,201212090was,rav,FlacJo00,pass_int,1,,,,,
player,201212090was,rav,FlacJo00,pass_sacked,2,,,,,
player,201212090was,rav,FlacJo00,pass_sacked_yds,9,,,,,
player,201212090was,rav,FlacJo00,pass_long,31,,,,,
player,201212090was,rav,FlacJo00,pass_rating,121.4,,,,,
player,201212090was,rav,FlacJo00,rush_att,5,,,,,
player,201212090was,rav,FlacJo00,rush_yds,9,,,,,
player,201212090was,rav,FlacJo00,rush_td,0,,,,,
player,201212090was,rav,FlacJo00,rush_long,5,,,,,
player,201212090was,rav,FlacJo00,targets,0,,,,,
player,201212090was,rav,FlacJo00,rec,0,,,,,
player,201212090was,rav,FlacJo00,rec_yds,0,,,,,
player,201212090was,rav,FlacJo00,rec_td,0,,,,,
player,201212090was,rav,FlacJo00,rec_long,0,,,,,
player,201212090was,rav,FlacJo00,fumbles,2,,,,,
player,201212090was,rav,FlacJo00,fumbles_lost,1,,,,,
player,201212090was,rav,RiceRa00,pass_cmp,0,,,,,
player,201212090was,rav,RiceRa00,pass_att,0,,,,,
player,201212090was,rav,RiceRa00,pass_yds,0,,,,,
player,201212090was,rav,RiceRa00,pass_td,0,,,,,
player,201212090was,rav,RiceRa00,pass_int,0,,,,,
player,201212090was,rav,RiceRa00,pass_sacked,0,,,,,
player,201212090was,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201212090was,rav,RiceRa00,pass_long,0,,,,,
player,201212090was,rav,RiceRa00,pass_rating,,,,,,
player,201212090was,rav,RiceRa00,rush_att,20,,,,,
player,201212090was,rav,RiceRa00,rush_yds,121,,,,,
player,201212090was,rav,RiceRa00,rush_td,1,,,,,
player,201212090was,rav,RiceRa00,rush_long,46,,,,,
player,201212090was,rav,RiceRa00,targets,4,,,,,
player,201212090was,rav,RiceRa00,rec,3,,,,,
player,201212090was,rav,RiceRa00,rec_yds,15,,,,,
player,201212090was,rav,RiceRa00,rec_td,0,,,,,
player,201212090was,rav,RiceRa00,rec_long,9,,,,,
player,201212090was,rav,RiceRa00,fumbles,0,,,,,
player,201212090was,rav,RiceRa00,fumbles_lost,0,,,,,
player,201212090was,rav,PierBe00,pass_cmp,0,,,,,
player,201212090was,rav,PierBe00,pass_att,0,,,,,
player,201212090was,rav,PierBe00,pass_yds,0,,,,,
player,201212090was,rav,PierBe00,pass_td,0,,,,,
player,201212090was,rav,PierBe00,pass_int,0,,,,,
player,201212090was,rav,PierBe00,pass_sacked,0,,,,,
player,201212090was,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201212090was,rav,PierBe00,pass_long,0,,,,,
player,201212090was,rav,PierBe00,pass_rating,,,,,,
player,201212090was,rav,PierBe00,rush_att,8,,,,,
player,201212090was,rav,PierBe00,rush_yds,53,,,,,
player,201212090was,rav,PierBe00,rush_td,0,,,,,
player,201212090was,rav,PierBe00,rush_long,21,,,,,
player,201212090was,rav,PierBe00,targets,2,,,,,
player,201212090was,rav,PierBe00,rec,2,,,,,
player,201212090was,rav,PierBe00,rec_yds,11,,,,,
player,201212090was,rav,PierBe00,rec_td,0,,,,,
player,201212090was,rav,PierBe00,rec_long,11,,,,,
player,201212090was,rav,PierBe00,fumbles,0,,,,,
player,201212090was,rav,PierBe00,fumbles_lost,0,,,,,
player,201212090was,rav,LeacVo00,pass_cmp,0,,,,,
player,201212090was,rav,LeacVo00,pass_att,0,,,,,
player,201212090was,rav,LeacVo00,pass_yds,0,,,,,
player,201212090was,rav,LeacVo00,pass_td,0,,,,,
player,201212090was,rav,LeacVo00,pass_int,0,,,,,
player,201212090was,rav,LeacVo00,pass_sacked,0,,,,,
player,201212090was,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201212090was,rav,LeacVo00,pass_long,0,,,,,
player,201212090was,rav,LeacVo00,pass_rating,,,,,,
player,201212090was,rav,LeacVo00,rush_att,2,,,,,
player,201212090was,rav,LeacVo00,rush_yds,3,,,,,
player,201212090was,rav,LeacVo00,rush_td,0,,,,,
player,201212090was,rav,LeacVo00,rush_long,2,,,,,
player,201212090was,rav,LeacVo00,targets,2,,,,,
player,201212090was,rav,LeacVo00,rec,2,,,,,
player,201212090was,rav,LeacVo00,rec_yds,11,,,,,
player,201212090was,rav,LeacVo00,rec_td,0,,,,,
player,201212090was,rav,LeacVo00,rec_long,8,,,,,
