game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
team,201212160ram,min,First Downs,18,,,,,,
team,201212160ram,ram,First Downs,29,,,,,,
team,201212160ram,min,Rush-Yds-TDs,33-213-2,,,,,,
team,201212160ram,ram,Rush-Yds-TDs,18-87-0,,,,,,
team,201212160ram,min,Cmp-Att-Yd-TD-INT,17-24-131-0-0,,,,,,
team,201212160ram,ram,Cmp-Att-Yd-TD-INT,35-55-377-3-1,,,,,,
team,201212160ram,min,Sacked-Yards,2-22,,,,,,
team,201212160ram,ram,Sacked-Yards,4-32,,,,,,
team,201212160ram,min,Net Pass Yards,109,,,,,,
team,201212160ram,ram,Net Pass Yards,345,,,,,,
team,201212160ram,min,Total Yards,322,,,,,,
team,201212160ram,ram,Total Yards,432,,,,,,
team,201212160ram,min,Fumbles-Lost,2-0,,,,,,
team,201212160ram,ram,Fumbles-Lost,2-1,,,,,,
team,201212160ram,min,Turnovers,0,,,,,,
team,201212160ram,ram,Turnovers,2,,,,,,
team,201212160ram,min,Penalties-Yards,3-49,,,,,,
team,201212160ram,ram,Penalties-Yards,8-47,,,,,,
team,201212160ram,min,Third Down Conv.,2-11,,,,,,
team,201212160ram,ram,Third Down Conv.,3-13,,,,,,
team,201212160ram,min,Fourth Down Conv.,1-1,,,,,,
team,201212160ram,ram,Fourth Down Conv.,1-3,,,,,,
team,201212160ram,min,Time of Possession,30:27,,,,,,
team,201212160ram,ram,Time of Possession,29:33,,,,,,
player,201212160ram,min,PondCh00,pass_cmp,17,,,,,
player,201212160ram,min,PondCh00,pass_att,24,,,,,
player,201212160ram,min,PondCh00,pass_yds,131,,,,,
player,201212160ram,min,PondCh00,pass_td,0,,,,,
player,201212160ram,min,PondCh00,pass_int,0,,,,,
player,201212160ram,min,PondCh00,pass_sacked,2,,,,,
player,201212160ram,min,PondCh00,pass_sacked_yds,22,,,,,
player,201212160ram,min,PondCh00,pass_long,14,,,,,
player,201212160ram,min,PondCh00,pass_rating,83.9,,,,,
player,201212160ram,min,PondCh00,rush_att,4,,,,,
player,201212160ram,min,PondCh00,rush_yds,6,,,,,
player,201212160ram,min,PondCh00,rush_td,1,,,,,
player,201212160ram,min,PondCh00,rush_long,5,,,,,
player,201212160ram,min,PondCh00,targets,0,,,,,
player,201212160ram,min,PondCh00,rec,0,,,,,
player,201212160ram,min,PondCh00,rec_yds,0,,,,,
player,201212160ram,min,PondCh00,rec_td,0,,,,,
player,201212160ram,min,PondCh00,rec_long,0,,,,,
player,201212160ram,min,PondCh00,fumbles,1,,,,,
player,201212160ram,min,PondCh00,fumbles_lost,0,,,,,
player,201212160ram,min,PeteAd01,pass_cmp,0,,,,,
player,201212160ram,min,PeteAd01,pass_att,0,,,,,
player,201212160ram,min,PeteAd01,pass_yds,0,,,,,
player,201212160ram,min,PeteAd01,pass_td,0,,,,,
player,201212160ram,min,PeteAd01,pass_int,0,,,,,
player,201212160ram,min,PeteAd01,pass_sacked,0,,,,,
player,201212160ram,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201212160ram,min,PeteAd01,pass_long,0,,,,,
player,201212160ram,min,PeteAd01,pass_rating,,,,,,
player,201212160ram,min,PeteAd01,rush_att,24,,,,,
player,201212160ram,min,PeteAd01,rush_yds,212,,,,,
player,201212160ram,min,PeteAd01,rush_td,1,,,,,
player,201212160ram,min,PeteAd01,rush_long,82,,,,,
player,201212160ram,min,PeteAd01,targets,0,,,,,
player,201212160ram,min,PeteAd01,rec,0,,,,,
player,201212160ram,min,PeteAd01,rec_yds,0,,,,,
player,201212160ram,min,PeteAd01,rec_td,0,,,,,
player,201212160ram,min,PeteAd01,rec_long,0,,,,,
player,201212160ram,min,PeteAd01,fumbles,0,,,,,
player,201212160ram,min,PeteAd01,fumbles_lost,0,,,,,
player,201212160ram,min,SimpJe00,pass_cmp,0,,,,,
player,201212160ram,min,SimpJe00,pass_att,0,,,,,
player,201212160ram,min,SimpJe00,pass_yds,0,,,,,
player,201212160ram,min,SimpJe00,pass_td,0,,,,,
player,201212160ram,min,SimpJe00,pass_int,0,,,,,
player,201212160ram,min,SimpJe00,pass_sacked,0,,,,,
player,201212160ram,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201212160ram,min,SimpJe00,pass_long,0,,,,,
player,201212160ram,min,SimpJe00,pass_rating,,,,,,
player,201212160ram,min,SimpJe00,rush_att,0,,,,,
player,201212160ram,min,SimpJe00,rush_yds,0,,,,,
player,201212160ram,min,SimpJe00,rush_td,0,,,,,
player,201212160ram,min,SimpJe00,rush_long,0,,,,,
player,201212160ram,min,SimpJe00,targets,6,,,,,
player,201212160ram,min,SimpJe00,rec,4,,,,,
player,201212160ram,min,SimpJe00,rec_yds,27,,,,,
player,201212160ram,min,SimpJe00,rec_td,0,,,,,
player,201212160ram,min,SimpJe00,rec_long,13,,,,,
player,201212160ram,min,SimpJe00,fumbles,1,,,,,
player,201212160ram,min,SimpJe00,fumbles_lost,0,,,,,
player,201212160ram,min,BurtSt00,pass_cmp,0,,,,,
player,201212160ram,min,BurtSt00,pass_att,0,,,,,
player,201212160ram,min,BurtSt00,pass_yds,0,,,,,
player,201212160ram,min,BurtSt00,pass_td,0,,,,,
player,201212160ram,min,BurtSt00,pass_int,0,,,,,
player,201212160ram,min,BurtSt00,pass_sacked,0,,,,,
player,201212160ram,min,BurtSt00,pass_sacked_yds,0,,,,,
player,201212160ram,min,BurtSt00,pass_long,0,,,,,
player,201212160ram,min,BurtSt00,pass_rating,,,,,,
player,201212160ram,min,BurtSt00,rush_att,0,,,,,
player,201212160ram,min,BurtSt00,rush_yds,0,,,,,
player,201212160ram,min,BurtSt00,rush_td,0,,,,,
player,201212160ram,min,BurtSt00,rush_long,0,,,,,
player,201212160ram,min,BurtSt00,targets,4,,,,,
player,201212160ram,min,BurtSt00,rec,3,,,,,
player,201212160ram,min,BurtSt00,rec_yds,22,,,,,
player,201212160ram,min,BurtSt00,rec_td,0,,,,,
player,201212160ram,min,BurtSt00,rec_long,13,,,,,
player,201212160ram,min,BurtSt00,fumbles,0,,,,,
player,201212160ram,min,BurtSt00,fumbles_lost,0,,,,,
player,201212160ram,min,RudoKy00,pass_cmp,0,,,,,
player,201212160ram,min,RudoKy00,pass_att,0,,,,,
player,201212160ram,min,RudoKy00,pass_yds,0,,,,,
player,201212160ram,min,RudoKy00,pass_td,0,,,,,
player,201212160ram,min,RudoKy00,pass_int,0,,,,,
player,201212160ram,min,RudoKy00,pass_sacked,0,,,,,
player,201212160ram,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201212160ram,min,RudoKy00,pass_long,0,,,,,
player,201212160ram,min,RudoKy00,pass_rating,,,,,,
player,201212160ram,min,RudoKy00,rush_att,0,,,,,
player,201212160ram,min,RudoKy00,rush_yds,0,,,,,
player,201212160ram,min,RudoKy00,rush_td,0,,,,,
player,201212160ram,min,RudoKy00,rush_long,0,,,,,
player,201212160ram,min,RudoKy00,targets,4,,,,,
player,201212160ram,min,RudoKy00,rec,3,,,,,
player,201212160ram,min,RudoKy00,rec_yds,22,,,,,
player,201212160ram,min,RudoKy00,rec_td,0,,,,,
player,201212160ram,min,RudoKy00,rec_long,14,,,,,
player,201212160ram,min,RudoKy00,fumbles,0,,,,,
