game,2012,17,20121230,201212300nor,car,"Carolina Panthers",44,nor,"New Orleans Saints",38
team,201212300nor,car,First Downs,28,,,,,,
team,201212300nor,nor,First Downs,22,,,,,,
team,201212300nor,car,Rush-Yds-TDs,39-273-5,,,,,,
team,201212300nor,nor,Rush-Yds-TDs,18-63-0,,,,,,
team,201212300nor,car,Cmp-Att-Yd-TD-INT,17-34-260-0-1,,,,,,
team,201212300nor,nor,Cmp-Att-Yd-TD-INT,29-43-396-4-1,,,,,,
team,201212300nor,car,Sacked-Yards,1-3,,,,,,
team,201212300nor,nor,Sacked-Yards,2-18,,,,,,
team,201212300nor,car,Net Pass Yards,257,,,,,,
team,201212300nor,nor,Net Pass Yards,378,,,,,,
team,201212300nor,car,Total Yards,530,,,,,,
team,201212300nor,nor,Total Yards,441,,,,,,
team,201212300nor,car,Fumbles-Lost,0-0,,,,,,
team,201212300nor,nor,Fumbles-Lost,0-0,,,,,,
team,201212300nor,car,Turnovers,1,,,,,,
team,201212300nor,nor,Turnovers,1,,,,,,
team,201212300nor,car,Penalties-Yards,4-36,,,,,,
team,201212300nor,nor,Penalties-Yards,5-55,,,,,,
team,201212300nor,car,Third Down Conv.,10-16,,,,,,
team,201212300nor,nor,Third Down Conv.,4-12,,,,,,
team,201212300nor,car,Fourth Down Conv.,0-0,,,,,,
team,201212300nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201212300nor,car,Time of Possession,33:55,,,,,,
team,201212300nor,nor,Time of Possession,26:05,,,,,,
player,201212300nor,car,NewtCa00,pass_cmp,16,,,,,
player,201212300nor,car,NewtCa00,pass_att,33,,,,,
player,201212300nor,car,NewtCa00,pass_yds,248,,,,,
player,201212300nor,car,NewtCa00,pass_td,0,,,,,
player,201212300nor,car,NewtCa00,pass_int,1,,,,,
player,201212300nor,car,NewtCa00,pass_sacked,1,,,,,
player,201212300nor,car,NewtCa00,pass_sacked_yds,3,,,,,
player,201212300nor,car,NewtCa00,pass_long,34,,,,,
player,201212300nor,car,NewtCa00,pass_rating,61.2,,,,,
player,201212300nor,car,NewtCa00,rush_att,7,,,,,
player,201212300nor,car,NewtCa00,rush_yds,34,,,,,
player,201212300nor,car,NewtCa00,rush_td,0,,,,,
player,201212300nor,car,NewtCa00,rush_long,16,,,,,
player,201212300nor,car,NewtCa00,targets,0,,,,,
player,201212300nor,car,NewtCa00,rec,0,,,,,
player,201212300nor,car,NewtCa00,rec_yds,0,,,,,
player,201212300nor,car,NewtCa00,rec_td,0,,,,,
player,201212300nor,car,NewtCa00,rec_long,0,,,,,
player,201212300nor,car,NewtCa00,fumbles,0,,,,,
player,201212300nor,car,NewtCa00,fumbles_lost,0,,,,,
player,201212300nor,car,AndeDe00,pass_cmp,1,,,,,
player,201212300nor,car,AndeDe00,pass_att,1,,,,,
player,201212300nor,car,AndeDe00,pass_yds,12,,,,,
player,201212300nor,car,AndeDe00,pass_td,0,,,,,
player,201212300nor,car,AndeDe00,pass_int,0,,,,,
player,201212300nor,car,AndeDe00,pass_sacked,0,,,,,
player,201212300nor,car,AndeDe00,pass_sacked_yds,0,,,,,
player,201212300nor,car,AndeDe00,pass_long,12,,,,,
player,201212300nor,car,AndeDe00,pass_rating,116.7,,,,,
player,201212300nor,car,AndeDe00,rush_att,0,,,,,
player,201212300nor,car,AndeDe00,rush_yds,0,,,,,
player,201212300nor,car,AndeDe00,rush_td,0,,,,,
player,201212300nor,car,AndeDe00,rush_long,0,,,,,
player,201212300nor,car,AndeDe00,targets,0,,,,,
player,201212300nor,car,AndeDe00,rec,0,,,,,
player,201212300nor,car,AndeDe00,rec_yds,0,,,,,
player,201212300nor,car,AndeDe00,rec_td,0,,,,,
player,201212300nor,car,AndeDe00,rec_long,0,,,,,
player,201212300nor,car,AndeDe00,fumbles,0,,,,,
player,201212300nor,car,AndeDe00,fumbles_lost,0,,,,,
player,201212300nor,car,WillDe02,pass_cmp,0,,,,,
player,201212300nor,car,WillDe02,pass_att,0,,,,,
player,201212300nor,car,WillDe02,pass_yds,0,,,,,
player,201212300nor,car,WillDe02,pass_td,0,,,,,
player,201212300nor,car,WillDe02,pass_int,0,,,,,
player,201212300nor,car,WillDe02,pass_sacked,0,,,,,
player,201212300nor,car,WillDe02,pass_sacked_yds,0,,,,,
player,201212300nor,car,WillDe02,pass_long,0,,,,,
player,201212300nor,car,WillDe02,pass_rating,,,,,,
player,201212300nor,car,WillDe02,rush_att,21,,,,,
player,201212300nor,car,WillDe02,rush_yds,210,,,,,
player,201212300nor,car,WillDe02,rush_td,2,,,,,
player,201212300nor,car,WillDe02,rush_long,65,,,,,
player,201212300nor,car,WillDe02,targets,2,,,,,
player,201212300nor,car,WillDe02,rec,1,,,,,
player,201212300nor,car,WillDe02,rec_yds,3,,,,,
player,201212300nor,car,WillDe02,rec_td,0,,,,,
player,201212300nor,car,WillDe02,rec_long,3,,,,,
player,201212300nor,car,WillDe02,fumbles,0,,,,,
player,201212300nor,car,WillDe02,fumbles_lost,0,,,,,
player,201212300nor,car,TolbMi00,pass_cmp,0,,,,,
player,201212300nor,car,TolbMi00,pass_att,0,,,,,
player,201212300nor,car,TolbMi00,pass_yds,0,,,,,
player,201212300nor,car,TolbMi00,pass_td,0,,,,,
player,201212300nor,car,TolbMi00,pass_int,0,,,,,
player,201212300nor,car,TolbMi00,pass_sacked,0,,,,,
player,201212300nor,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201212300nor,car,TolbMi00,pass_long,0,,,,,
player,201212300nor,car,TolbMi00,pass_rating,,,,,,
player,201212300nor,car,TolbMi00,rush_att,10,,,,,
player,201212300nor,car,TolbMi00,rush_yds,25,,,,,
player,201212300nor,car,TolbMi00,rush_td,3,,,,,
player,201212300nor,car,TolbMi00,rush_long,5,,,,,
player,201212300nor,car,TolbMi00,targets,3,,,,,
player,201212300nor,car,TolbMi00,rec,1,,,,,
player,201212300nor,car,TolbMi00,rec_yds,22,,,,,
player,201212300nor,car,TolbMi00,rec_td,0,,,,,
player,201212300nor,car,TolbMi00,rec_long,22,,,,,
player,201212300nor,car,TolbMi00,fumbles,0,,,,,
player,201212300nor,car,TolbMi00,fumbles_lost,0,,,,,
player,201212300nor,car,LaFeBr00,pass_cmp,0,,,,,
player,201212300nor,car,LaFeBr00,pass_att,0,,,,,
player,201212300nor,car,LaFeBr00,pass_yds,0,,,,,
player,201212300nor,car,LaFeBr00,pass_td,0,,,,,
player,201212300nor,car,LaFeBr00,pass_int,0,,,,,
player,201212300nor,car,LaFeBr00,pass_sacked,0,,,,,
player,201212300nor,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201212300nor,car,LaFeBr00,pass_long,0,,,,,
player,201212300nor,car,LaFeBr00,pass_rating,,,,,,
player,201212300nor,car,LaFeBr00,rush_att,1,,,,,
player,201212300nor,car,LaFeBr00,rush_yds,4,,,,,
player,201212300nor,car,LaFeBr00,rush_td,0,,,,,
player,201212300nor,car,LaFeBr00,rush_long,4,,,,,
player,201212300nor,car,LaFeBr00,targets,7,,,,,
player,201212300nor,car,LaFeBr00,rec,5,,,,,
player,201212300nor,car,LaFeBr00,rec_yds,62,,,,,
player,201212300nor,car,LaFeBr00,rec_td,0,,,,,
