game,2012,17,20121230,201212300was,dal,"Dallas Cowboys",18,was,"Washington Redskins",28
team,201212300was,dal,First Downs,20,,,,,,
team,201212300was,was,First Downs,24,,,,,,
team,201212300was,dal,Rush-Yds-TDs,22-100-0,,,,,,
team,201212300was,was,Rush-Yds-TDs,42-274-4,,,,,,
team,201212300was,dal,Cmp-Att-Yd-TD-INT,20-37-218-2-3,,,,,,
team,201212300was,was,Cmp-Att-Yd-TD-INT,9-18-100-0-0,,,,,,
team,201212300was,dal,Sacked-Yards,2-22,,,,,,
team,201212300was,was,Sacked-Yards,1-13,,,,,,
team,201212300was,dal,Net Pass Yards,196,,,,,,
team,201212300was,was,Net Pass Yards,87,,,,,,
team,201212300was,dal,Total Yards,296,,,,,,
team,201212300was,was,Total Yards,361,,,,,,
team,201212300was,dal,Fumbles-Lost,0-0,,,,,,
team,201212300was,was,Fumbles-Lost,1-0,,,,,,
team,201212300was,dal,Turnovers,3,,,,,,
team,201212300was,was,Turnovers,0,,,,,,
team,201212300was,dal,Penalties-Yards,1-6,,,,,,
team,201212300was,was,Penalties-Yards,2-20,,,,,,
team,201212300was,dal,Third Down Conv.,7-13,,,,,,
team,201212300was,was,Third Down Conv.,5-11,,,,,,
team,201212300was,dal,Fourth Down Conv.,0-0,,,,,,
team,201212300was,was,Fourth Down Conv.,0-0,,,,,,
team,201212300was,dal,Time of Possession,26:34,,,,,,
team,201212300was,was,Time of Possession,33:26,,,,,,
player,201212300was,dal,RomoTo00,pass_cmp,20,,,,,
player,201212300was,dal,RomoTo00,pass_att,37,,,,,
player,201212300was,dal,RomoTo00,pass_yds,218,,,,,
player,201212300was,dal,RomoTo00,pass_td,2,,,,,
player,201212300was,dal,RomoTo00,pass_int,3,,,,,
player,201212300was,dal,RomoTo00,pass_sacked,2,,,,,
player,201212300was,dal,RomoTo00,pass_sacked_yds,22,,,,,
player,201212300was,dal,RomoTo00,pass_long,25,,,,,
player,201212300was,dal,RomoTo00,pass_rating,55.9,,,,,
player,201212300was,dal,RomoTo00,rush_att,0,,,,,
player,201212300was,dal,RomoTo00,rush_yds,0,,,,,
player,201212300was,dal,RomoTo00,rush_td,0,,,,,
player,201212300was,dal,RomoTo00,rush_long,0,,,,,
player,201212300was,dal,RomoTo00,targets,0,,,,,
player,201212300was,dal,RomoTo00,rec,0,,,,,
player,201212300was,dal,RomoTo00,rec_yds,0,,,,,
player,201212300was,dal,RomoTo00,rec_td,0,,,,,
player,201212300was,dal,RomoTo00,rec_long,0,,,,,
player,201212300was,dal,RomoTo00,fumbles,0,,,,,
player,201212300was,dal,RomoTo00,fumbles_lost,0,,,,,
player,201212300was,dal,MurrDe00,pass_cmp,0,,,,,
player,201212300was,dal,MurrDe00,pass_att,0,,,,,
player,201212300was,dal,MurrDe00,pass_yds,0,,,,,
player,201212300was,dal,MurrDe00,pass_td,0,,,,,
player,201212300was,dal,MurrDe00,pass_int,0,,,,,
player,201212300was,dal,MurrDe00,pass_sacked,0,,,,,
player,201212300was,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201212300was,dal,MurrDe00,pass_long,0,,,,,
player,201212300was,dal,MurrDe00,pass_rating,,,,,,
player,201212300was,dal,MurrDe00,rush_att,17,,,,,
player,201212300was,dal,MurrDe00,rush_yds,76,,,,,
player,201212300was,dal,MurrDe00,rush_td,0,,,,,
player,201212300was,dal,MurrDe00,rush_long,21,,,,,
player,201212300was,dal,MurrDe00,targets,4,,,,,
player,201212300was,dal,MurrDe00,rec,2,,,,,
player,201212300was,dal,MurrDe00,rec_yds,10,,,,,
player,201212300was,dal,MurrDe00,rec_td,0,,,,,
player,201212300was,dal,MurrDe00,rec_long,6,,,,,
player,201212300was,dal,MurrDe00,fumbles,0,,,,,
player,201212300was,dal,MurrDe00,fumbles_lost,0,,,,,
player,201212300was,dal,JoneFe00,pass_cmp,0,,,,,
player,201212300was,dal,JoneFe00,pass_att,0,,,,,
player,201212300was,dal,JoneFe00,pass_yds,0,,,,,
player,201212300was,dal,JoneFe00,pass_td,0,,,,,
player,201212300was,dal,JoneFe00,pass_int,0,,,,,
player,201212300was,dal,JoneFe00,pass_sacked,0,,,,,
player,201212300was,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201212300was,dal,JoneFe00,pass_long,0,,,,,
player,201212300was,dal,JoneFe00,pass_rating,,,,,,
player,201212300was,dal,JoneFe00,rush_att,5,,,,,
player,201212300was,dal,JoneFe00,rush_yds,24,,,,,
player,201212300was,dal,JoneFe00,rush_td,0,,,,,
player,201212300was,dal,JoneFe00,rush_long,9,,,,,
player,201212300was,dal,JoneFe00,targets,0,,,,,
player,201212300was,dal,JoneFe00,rec,0,,,,,
player,201212300was,dal,JoneFe00,rec_yds,0,,,,,
player,201212300was,dal,JoneFe00,rec_td,0,,,,,
player,201212300was,dal,JoneFe00,rec_long,0,,,,,
player,201212300was,dal,JoneFe00,fumbles,0,,,,,
player,201212300was,dal,JoneFe00,fumbles_lost,0,,,,,
player,201212300was,dal,BryaDe01,pass_cmp,0,,,,,
player,201212300was,dal,BryaDe01,pass_att,0,,,,,
player,201212300was,dal,BryaDe01,pass_yds,0,,,,,
player,201212300was,dal,BryaDe01,pass_td,0,,,,,
player,201212300was,dal,BryaDe01,pass_int,0,,,,,
player,201212300was,dal,BryaDe01,pass_sacked,0,,,,,
player,201212300was,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201212300was,dal,BryaDe01,pass_long,0,,,,,
player,201212300was,dal,BryaDe01,pass_rating,,,,,,
player,201212300was,dal,BryaDe01,rush_att,0,,,,,
player,201212300was,dal,BryaDe01,rush_yds,0,,,,,
player,201212300was,dal,BryaDe01,rush_td,0,,,,,
player,201212300was,dal,BryaDe01,rush_long,0,,,,,
player,201212300was,dal,BryaDe01,targets,8,,,,,
player,201212300was,dal,BryaDe01,rec,4,,,,,
player,201212300was,dal,BryaDe01,rec_yds,71,,,,,
player,201212300was,dal,BryaDe01,rec_td,0,,,,,
player,201212300was,dal,BryaDe01,rec_long,23,,,,,
player,201212300was,dal,BryaDe01,fumbles,0,,,,,
player,201212300was,dal,BryaDe01,fumbles_lost,0,,,,,
player,201212300was,dal,WittJa00,pass_cmp,0,,,,,
player,201212300was,dal,WittJa00,pass_att,0,,,,,
player,201212300was,dal,WittJa00,pass_yds,0,,,,,
player,201212300was,dal,WittJa00,pass_td,0,,,,,
player,201212300was,dal,WittJa00,pass_int,0,,,,,
player,201212300was,dal,WittJa00,pass_sacked,0,,,,,
player,201212300was,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201212300was,dal,WittJa00,pass_long,0,,,,,
player,201212300was,dal,WittJa00,pass_rating,,,,,,
player,201212300was,dal,WittJa00,rush_att,0,,,,,
player,201212300was,dal,WittJa00,rush_yds,0,,,,,
player,201212300was,dal,WittJa00,rush_td,0,,,,,
player,201212300was,dal,WittJa00,rush_long,0,,,,,
player,201212300was,dal,WittJa00,targets,8,,,,,
player,201212300was,dal,WittJa00,rec,7,,,,,
player,201212300was,dal,WittJa00,rec_yds,56,,,,,
player,201212300was,dal,WittJa00,rec_td,1,,,,,
player,201212300was,dal,WittJa00,rec_long,14,,,,,
player,201212300was,dal,WittJa00,fumbles,0,,,,,
player,201212300was,dal,WittJa00,fumbles_lost,0,,,,,
player,201212300was,dal,OgleKe00,pass_cmp,0,,,,,
player,201212300was,dal,OgleKe00,pass_att,0,,,,,
player,201212300was,dal,OgleKe00,pass_yds,0,,,,,
player,201212300was,dal,OgleKe00,pass_td,0,,,,,
player,201212300was,dal,OgleKe00,pass_int,0,,,,,
player,201212300was,dal,OgleKe00,pass_sacked,0,,,,,
player,201212300was,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201212300was,dal,OgleKe00,pass_long,0,,,,,
player,201212300was,dal,OgleKe00,pass_rating,,,,,,
player,201212300was,dal,OgleKe00,rush_att,0,,,,,
player,201212300was,dal,OgleKe00,rush_yds,0,,,,,
player,201212300was,dal,OgleKe00,rush_td,0,,,,,
player,201212300was,dal,OgleKe00,rush_long,0,,,,,
player,201212300was,dal,OgleKe00,targets,4,,,,,
player,201212300was,dal,OgleKe00,rec,2,,,,,
player,201212300was,dal,OgleKe00,rec_yds,25,,,,,
player,201212300was,dal,OgleKe00,rec_td,1,,,,,
player,201212300was,dal,OgleKe00,rec_long,15,,,,,
player,201212300was,dal,OgleKe00,fumbles,0,,,,,
player,201212300was,dal,OgleKe00,fumbles_lost,0,,,,,
player,201212300was,dal,HarrDw00,pass_cmp,0,,,,,
player,201212300was,dal,HarrDw00,pass_att,0,,,,,
player,201212300was,dal,HarrDw00,pass_yds,0,,,,,
player,201212300was,dal,HarrDw00,pass_td,0,,,,,
player,201212300was,dal,HarrDw00,pass_int,0,,,,,
player,201212300was,dal,HarrDw00,pass_sacked,0,,,,,
player,201212300was,dal,HarrDw00,pass_sacked_yds,0,,,,,
player,201212300was,dal,HarrDw00,pass_long,0,,,,,
player,201212300was,dal,HarrDw00,pass_rating,,,,,,
player,201212300was,dal,HarrDw00,rush_att,0,,,,,
player,201212300was,dal,HarrDw00,rush_yds,0,,,,,
player,201212300was,dal,HarrDw00,rush_td,0,,,,,
player,201212300was,dal,HarrDw00,rush_long,0,,,,,
player,201212300was,dal,HarrDw00,targets,4,,,,,
player,201212300was,dal,HarrDw00,rec,1,,,,,
player,201212300was,dal,HarrDw00,rec_yds,25,,,,,
player,201212300was,dal,HarrDw00,rec_td,0,,,,,
player,201212300was,dal,HarrDw00,rec_long,25,,,,,
player,201212300was,dal,HarrDw00,fumbles,0,,,,,
player,201212300was,dal,HarrDw00,fumbles_lost,0,,,,,
player,201212300was,dal,HannJa00,pass_cmp,0,,,,,
player,201212300was,dal,HannJa00,pass_att,0,,,,,
player,201212300was,dal,HannJa00,pass_yds,0,,,,,
player,201212300was,dal,HannJa00,pass_td,0,,,,,
player,201212300was,dal,HannJa00,pass_int,0,,,,,
player,201212300was,dal,HannJa00,pass_sacked,0,,,,,
player,201212300was,dal,HannJa00,pass_sacked_yds,0,,,,,
player,201212300was,dal,HannJa00,pass_long,0,,,,,
player,201212300was,dal,HannJa00,pass_rating,,,,,,
player,201212300was,dal,HannJa00,rush_att,0,,,,,
player,201212300was,dal,HannJa00,rush_yds,0,,,,,
player,201212300was,dal,HannJa00,rush_td,0,,,,,
player,201212300was,dal,HannJa00,rush_long,0,,,,,
player,201212300was,dal,HannJa00,targets,4,,,,,
player,201212300was,dal,HannJa00,rec,3,,,,,
player,201212300was,dal,HannJa00,rec_yds,20,,,,,
player,201212300was,dal,HannJa00,rec_td,0,,,,,
player,201212300was,dal,HannJa00,rec_long,8,,,,,
player,201212300was,dal,HannJa00,fumbles,0,,,,,
player,201212300was,dal,HannJa00,fumbles_lost,0,,,,,
player,201212300was,dal,VickLa00,pass_cmp,0,,,,,
player,201212300was,dal,VickLa00,pass_att,0,,,,,
player,201212300was,dal,VickLa00,pass_yds,0,,,,,
player,201212300was,dal,VickLa00,pass_td,0,,,,,
player,201212300was,dal,VickLa00,pass_int,0,,,,,
player,201212300was,dal,VickLa00,pass_sacked,0,,,,,
player,201212300was,dal,VickLa00,pass_sacked_yds,0,,,,,
player,201212300was,dal,VickLa00,pass_long,0,,,,,
player,201212300was,dal,VickLa00,pass_rating,,,,,,
player,201212300was,dal,VickLa00,rush_att,0,,,,,
player,201212300was,dal,VickLa00,rush_yds,0,,,,,
player,201212300was,dal,VickLa00,rush_td,0,,,,,
player,201212300was,dal,VickLa00,rush_long,0,,,,,
player,201212300was,dal,VickLa00,targets,1,,,,,
player,201212300was,dal,VickLa00,rec,1,,,,,
player,201212300was,dal,VickLa00,rec_yds,11,,,,,
player,201212300was,dal,VickLa00,rec_td,0,,,,,
player,201212300was,dal,VickLa00,rec_long,11,,,,,
player,201212300was,dal,VickLa00,fumbles,0,,,,,
player,201212300was,dal,VickLa00,fumbles_lost,0,,,,,
player,201212300was,dal,AustMi00,pass_cmp,0,,,,,
player,201212300was,dal,AustMi00,pass_att,0,,,,,
player,201212300was,dal,AustMi00,pass_yds,0,,,,,
player,201212300was,dal,AustMi00,pass_td,0,,,,,
player,201212300was,dal,AustMi00,pass_int,0,,,,,
player,201212300was,dal,AustMi00,pass_sacked,0,,,,,
player,201212300was,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201212300was,dal,AustMi00,pass_long,0,,,,,
player,201212300was,dal,AustMi00,pass_rating,,,,,,
player,201212300was,dal,AustMi00,rush_att,0,,,,,
player,201212300was,dal,AustMi00,rush_yds,0,,,,,
player,201212300was,dal,AustMi00,rush_td,0,,,,,
player,201212300was,dal,AustMi00,rush_long,0,,,,,
player,201212300was,dal,AustMi00,targets,3,,,,,
player,201212300was,dal,AustMi00,rec,0,,,,,
player,201212300was,dal,AustMi00,rec_yds,0,,,,,
player,201212300was,dal,AustMi00,rec_td,0,,,,,
player,201212300was,dal,AustMi00,rec_long,0,,,,,
player,201212300was,dal,AustMi00,fumbles,0,,,,,
player,201212300was,dal,AustMi00,fumbles_lost,0,,,,,
player,201212300was,dal,BeasCo00,pass_cmp,0,,,,,
player,201212300was,dal,BeasCo00,pass_att,0,,,,,
player,201212300was,dal,BeasCo00,pass_yds,0,,,,,
player,201212300was,dal,BeasCo00,pass_td,0,,,,,
player,201212300was,dal,BeasCo00,pass_int,0,,,,,
player,201212300was,dal,BeasCo00,pass_sacked,0,,,,,
player,201212300was,dal,BeasCo00,pass_sacked_yds,0,,,,,
