game,2013,1,20130908,201309080ram,crd,"Arizona Cardinals",24,ram,"St. Louis Rams",27
team,201309080ram,crd,First Downs,25,,,,,,
team,201309080ram,ram,First Downs,20,,,,,,
team,201309080ram,crd,Rush-Yds-TDs,26-86-0,,,,,,
team,201309080ram,ram,Rush-Yds-TDs,24-67-0,,,,,,
team,201309080ram,crd,Cmp-Att-Yd-TD-INT,26-40-327-2-1,,,,,,
team,201309080ram,ram,Cmp-Att-Yd-TD-INT,27-38-299-2-1,,,,,,
team,201309080ram,crd,Sacked-Yards,4-23,,,,,,
team,201309080ram,ram,Sacked-Yards,0-0,,,,,,
team,201309080ram,crd,Net Pass Yards,304,,,,,,
team,201309080ram,ram,Net Pass Yards,299,,,,,,
team,201309080ram,crd,Total Yards,390,,,,,,
team,201309080ram,ram,Total Yards,366,,,,,,
team,201309080ram,crd,Fumbles-Lost,4-1,,,,,,
team,201309080ram,ram,Fumbles-Lost,2-1,,,,,,
team,201309080ram,crd,Turnovers,2,,,,,,
team,201309080ram,ram,Turnovers,2,,,,,,
team,201309080ram,crd,Penalties-Yards,6-68,,,,,,
team,201309080ram,ram,Penalties-Yards,7-59,,,,,,
team,201309080ram,crd,Third Down Conv.,7-14,,,,,,
team,201309080ram,ram,Third Down Conv.,4-11,,,,,,
team,201309080ram,crd,Fourth Down Conv.,0-0,,,,,,
team,201309080ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201309080ram,crd,Time of Possession,31:25,,,,,,
team,201309080ram,ram,Time of Possession,28:35,,,,,,
player,201309080ram,crd,PalmCa00,pass_cmp,26,,,,,
player,201309080ram,crd,PalmCa00,pass_att,40,,,,,
player,201309080ram,crd,PalmCa00,pass_yds,327,,,,,
player,201309080ram,crd,PalmCa00,pass_td,2,,,,,
player,201309080ram,crd,PalmCa00,pass_int,1,,,,,
player,201309080ram,crd,PalmCa00,pass_sacked,4,,,,,
player,201309080ram,crd,PalmCa00,pass_sacked_yds,23,,,,,
player,201309080ram,crd,PalmCa00,pass_long,44,,,,,
player,201309080ram,crd,PalmCa00,pass_rating,96.6,,,,,
player,201309080ram,crd,PalmCa00,rush_att,0,,,,,
player,201309080ram,crd,PalmCa00,rush_yds,0,,,,,
player,201309080ram,crd,PalmCa00,rush_td,0,,,,,
player,201309080ram,crd,PalmCa00,rush_long,0,,,,,
player,201309080ram,crd,PalmCa00,targets,0,,,,,
player,201309080ram,crd,PalmCa00,rec,0,,,,,
player,201309080ram,crd,PalmCa00,rec_yds,0,,,,,
player,201309080ram,crd,PalmCa00,rec_td,0,,,,,
player,201309080ram,crd,PalmCa00,rec_long,0,,,,,
player,201309080ram,crd,PalmCa00,fumbles,2,,,,,
player,201309080ram,crd,PalmCa00,fumbles_lost,1,,,,,
player,201309080ram,crd,MendRa00,pass_cmp,0,,,,,
player,201309080ram,crd,MendRa00,pass_att,0,,,,,
player,201309080ram,crd,MendRa00,pass_yds,0,,,,,
player,201309080ram,crd,MendRa00,pass_td,0,,,,,
player,201309080ram,crd,MendRa00,pass_int,0,,,,,
player,201309080ram,crd,MendRa00,pass_sacked,0,,,,,
player,201309080ram,crd,MendRa00,pass_sacked_yds,0,,,,,
player,201309080ram,crd,MendRa00,pass_long,0,,,,,
player,201309080ram,crd,MendRa00,pass_rating,,,,,,
player,201309080ram,crd,MendRa00,rush_att,16,,,,,
player,201309080ram,crd,MendRa00,rush_yds,60,,,,,
player,201309080ram,crd,MendRa00,rush_td,0,,,,,
player,201309080ram,crd,MendRa00,rush_long,11,,,,,
player,201309080ram,crd,MendRa00,targets,1,,,,,
player,201309080ram,crd,MendRa00,rec,1,,,,,
player,201309080ram,crd,MendRa00,rec_yds,4,,,,,
player,201309080ram,crd,MendRa00,rec_td,0,,,,,
player,201309080ram,crd,MendRa00,rec_long,4,,,,,
player,201309080ram,crd,MendRa00,fumbles,0,,,,,
player,201309080ram,crd,MendRa00,fumbles_lost,0,,,,,
player,201309080ram,crd,SmitAl22,pass_cmp,0,,,,,
player,201309080ram,crd,SmitAl22,pass_att,0,,,,,
player,201309080ram,crd,SmitAl22,pass_yds,0,,,,,
