game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
team,201309090was,phi,First Downs,26,,,,,,
team,201309090was,was,First Downs,25,,,,,,
team,201309090was,phi,Rush-Yds-TDs,49-263-2,,,,,,
team,201309090was,was,Rush-Yds-TDs,18-74-1,,,,,,
team,201309090was,phi,Cmp-Att-Yd-TD-INT,15-25-203-2-0,,,,,,
team,201309090was,was,Cmp-Att-Yd-TD-INT,30-49-329-2-2,,,,,,
team,201309090was,phi,Sacked-Yards,3-23,,,,,,
team,201309090was,was,Sacked-Yards,3-21,,,,,,
team,201309090was,phi,Net Pass Yards,180,,,,,,
team,201309090was,was,Net Pass Yards,308,,,,,,
team,201309090was,phi,Total Yards,443,,,,,,
team,201309090was,was,Total Yards,382,,,,,,
team,201309090was,phi,Fumbles-Lost,2-2,,,,,,
team,201309090was,was,Fumbles-Lost,2-1,,,,,,
team,201309090was,phi,Turnovers,2,,,,,,
team,201309090was,was,Turnovers,3,,,,,,
team,201309090was,phi,Penalties-Yards,8-65,,,,,,
team,201309090was,was,Penalties-Yards,10-75,,,,,,
team,201309090was,phi,Third Down Conv.,7-15,,,,,,
team,201309090was,was,Third Down Conv.,2-10,,,,,,
team,201309090was,phi,Fourth Down Conv.,1-1,,,,,,
team,201309090was,was,Fourth Down Conv.,1-2,,,,,,
team,201309090was,phi,Time of Possession,32:39,,,,,,
team,201309090was,was,Time of Possession,27:21,,,,,,
player,201309090was,phi,VickMi00,pass_cmp,15,,,,,
player,201309090was,phi,VickMi00,pass_att,25,,,,,
player,201309090was,phi,VickMi00,pass_yds,203,,,,,
player,201309090was,phi,VickMi00,pass_td,2,,,,,
player,201309090was,phi,VickMi00,pass_int,0,,,,,
player,201309090was,phi,VickMi00,pass_sacked,3,,,,,
player,201309090was,phi,VickMi00,pass_sacked_yds,23,,,,,
player,201309090was,phi,VickMi00,pass_long,28,,,,,
player,201309090was,phi,VickMi00,pass_rating,112.6,,,,,
player,201309090was,phi,VickMi00,rush_att,9,,,,,
player,201309090was,phi,VickMi00,rush_yds,54,,,,,
player,201309090was,phi,VickMi00,rush_td,1,,,,,
player,201309090was,phi,VickMi00,rush_long,36,,,,,
player,201309090was,phi,VickMi00,targets,0,,,,,
player,201309090was,phi,VickMi00,rec,0,,,,,
player,201309090was,phi,VickMi00,rec_yds,0,,,,,
player,201309090was,phi,VickMi00,rec_td,0,,,,,
player,201309090was,phi,VickMi00,rec_long,0,,,,,
player,201309090was,phi,VickMi00,fumbles,1,,,,,
player,201309090was,phi,VickMi00,fumbles_lost,1,,,,,
player,201309090was,phi,McCoLe01,pass_cmp,0,,,,,
player,201309090was,phi,McCoLe01,pass_att,0,,,,,
player,201309090was,phi,McCoLe01,pass_yds,0,,,,,
player,201309090was,phi,McCoLe01,pass_td,0,,,,,
player,201309090was,phi,McCoLe01,pass_int,0,,,,,
player,201309090was,phi,McCoLe01,pass_sacked,0,,,,,
player,201309090was,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201309090was,phi,McCoLe01,pass_long,0,,,,,
player,201309090was,phi,McCoLe01,pass_rating,,,,,,
player,201309090was,phi,McCoLe01,rush_att,31,,,,,
player,201309090was,phi,McCoLe01,rush_yds,184,,,,,
player,201309090was,phi,McCoLe01,rush_td,1,,,,,
player,201309090was,phi,McCoLe01,rush_long,34,,,,,
player,201309090was,phi,McCoLe01,targets,1,,,,,
player,201309090was,phi,McCoLe01,rec,1,,,,,
player,201309090was,phi,McCoLe01,rec_yds,5,,,,,
player,201309090was,phi,McCoLe01,rec_td,0,,,,,
player,201309090was,phi,McCoLe01,rec_long,5,,,,,
player,201309090was,phi,McCoLe01,fumbles,0,,,,,
player,201309090was,phi,McCoLe01,fumbles_lost,0,,,,,
player,201309090was,phi,BrowBr02,pass_cmp,0,,,,,
player,201309090was,phi,BrowBr02,pass_att,0,,,,,
player,201309090was,phi,BrowBr02,pass_yds,0,,,,,
player,201309090was,phi,BrowBr02,pass_td,0,,,,,
player,201309090was,phi,BrowBr02,pass_int,0,,,,,
player,201309090was,phi,BrowBr02,pass_sacked,0,,,,,
player,201309090was,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201309090was,phi,BrowBr02,pass_long,0,,,,,
player,201309090was,phi,BrowBr02,pass_rating,,,,,,
player,201309090was,phi,BrowBr02,rush_att,9,,,,,
player,201309090was,phi,BrowBr02,rush_yds,25,,,,,
player,201309090was,phi,BrowBr02,rush_td,0,,,,,
player,201309090was,phi,BrowBr02,rush_long,7,,,,,
player,201309090was,phi,BrowBr02,targets,0,,,,,
player,201309090was,phi,BrowBr02,rec,0,,,,,
player,201309090was,phi,BrowBr02,rec_yds,0,,,,,
player,201309090was,phi,BrowBr02,rec_td,0,,,,,
player,201309090was,phi,BrowBr02,rec_long,0,,,,,
player,201309090was,phi,BrowBr02,fumbles,0,,,,,
player,201309090was,phi,BrowBr02,fumbles_lost,0,,,,,
player,201309090was,phi,JackDe00,pass_cmp,0,,,,,
player,201309090was,phi,JackDe00,pass_att,0,,,,,
player,201309090was,phi,JackDe00,pass_yds,0,,,,,
player,201309090was,phi,JackDe00,pass_td,0,,,,,
player,201309090was,phi,JackDe00,pass_int,0,,,,,
player,201309090was,phi,JackDe00,pass_sacked,0,,,,,
player,201309090was,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201309090was,phi,JackDe00,pass_long,0,,,,,
player,201309090was,phi,JackDe00,pass_rating,,,,,,
player,201309090was,phi,JackDe00,rush_att,0,,,,,
player,201309090was,phi,JackDe00,rush_yds,0,,,,,
player,201309090was,phi,JackDe00,rush_td,0,,,,,
player,201309090was,phi,JackDe00,rush_long,0,,,,,
player,201309090was,phi,JackDe00,targets,9,,,,,
player,201309090was,phi,JackDe00,rec,7,,,,,
player,201309090was,phi,JackDe00,rec_yds,104,,,,,
player,201309090was,phi,JackDe00,rec_td,1,,,,,
player,201309090was,phi,JackDe00,rec_long,26,,,,,
player,201309090was,phi,JackDe00,fumbles,0,,,,,
player,201309090was,phi,JackDe00,fumbles_lost,0,,,,,
player,201309090was,phi,CeleBr00,pass_cmp,0,,,,,
player,201309090was,phi,CeleBr00,pass_att,0,,,,,
player,201309090was,phi,CeleBr00,pass_yds,0,,,,,
player,201309090was,phi,CeleBr00,pass_td,0,,,,,
player,201309090was,phi,CeleBr00,pass_int,0,,,,,
player,201309090was,phi,CeleBr00,pass_sacked,0,,,,,
player,201309090was,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201309090was,phi,CeleBr00,pass_long,0,,,,,
player,201309090was,phi,CeleBr00,pass_rating,,,,,,
player,201309090was,phi,CeleBr00,rush_att,0,,,,,
player,201309090was,phi,CeleBr00,rush_yds,0,,,,,
player,201309090was,phi,CeleBr00,rush_td,0,,,,,
player,201309090was,phi,CeleBr00,rush_long,0,,,,,
player,201309090was,phi,CeleBr00,targets,3,,,,,
player,201309090was,phi,CeleBr00,rec,2,,,,,
player,201309090was,phi,CeleBr00,rec_yds,56,,,,,
player,201309090was,phi,CeleBr00,rec_td,1,,,,,
player,201309090was,phi,CeleBr00,rec_long,28,,,,,
player,201309090was,phi,CeleBr00,fumbles,0,,,,,
player,201309090was,phi,CeleBr00,fumbles_lost,0,,,,,
player,201309090was,phi,CoopRi00,pass_cmp,0,,,,,
player,201309090was,phi,CoopRi00,pass_att,0,,,,,
player,201309090was,phi,CoopRi00,pass_yds,0,,,,,
player,201309090was,phi,CoopRi00,pass_td,0,,,,,
player,201309090was,phi,CoopRi00,pass_int,0,,,,,
player,201309090was,phi,CoopRi00,pass_sacked,0,,,,,
player,201309090was,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201309090was,phi,CoopRi00,pass_long,0,,,,,
player,201309090was,phi,CoopRi00,pass_rating,,,,,,
player,201309090was,phi,CoopRi00,rush_att,0,,,,,
player,201309090was,phi,CoopRi00,rush_yds,0,,,,,
