game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
team,201309150tam,nor,First Downs,21,,,,,,
team,201309150tam,tam,First Downs,14,,,,,,
team,201309150tam,nor,Rush-Yds-TDs,20-75-0,,,,,,
team,201309150tam,tam,Rush-Yds-TDs,33-160-0,,,,,,
team,201309150tam,nor,Cmp-Att-Yd-TD-INT,26-46-322-1-2,,,,,,
team,201309150tam,tam,Cmp-Att-Yd-TD-INT,9-22-125-1-1,,,,,,
team,201309150tam,nor,Sacked-Yards,4-26,,,,,,
team,201309150tam,tam,Sacked-Yards,1-12,,,,,,
team,201309150tam,nor,Net Pass Yards,296,,,,,,
team,201309150tam,tam,Net Pass Yards,113,,,,,,
team,201309150tam,nor,Total Yards,371,,,,,,
team,201309150tam,tam,Total Yards,273,,,,,,
team,201309150tam,nor,Fumbles-Lost,1-0,,,,,,
team,201309150tam,tam,Fumbles-Lost,1-1,,,,,,
team,201309150tam,nor,Turnovers,2,,,,,,
team,201309150tam,tam,Turnovers,2,,,,,,
team,201309150tam,nor,Penalties-Yards,5-35,,,,,,
team,201309150tam,tam,Penalties-Yards,10-118,,,,,,
team,201309150tam,nor,Third Down Conv.,5-14,,,,,,
team,201309150tam,tam,Third Down Conv.,5-13,,,,,,
team,201309150tam,nor,Fourth Down Conv.,0-1,,,,,,
team,201309150tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201309150tam,nor,Time of Possession,32:36,,,,,,
team,201309150tam,tam,Time of Possession,27:24,,,,,,
player,201309150tam,nor,BreeDr00,pass_cmp,26,,,,,
player,201309150tam,nor,BreeDr00,pass_att,46,,,,,
player,201309150tam,nor,BreeDr00,pass_yds,322,,,,,
player,201309150tam,nor,BreeDr00,pass_td,1,,,,,
player,201309150tam,nor,BreeDr00,pass_int,2,,,,,
player,201309150tam,nor,BreeDr00,pass_sacked,4,,,,,
player,201309150tam,nor,BreeDr00,pass_sacked_yds,26,,,,,
player,201309150tam,nor,BreeDr00,pass_long,56,,,,,
player,201309150tam,nor,BreeDr00,pass_rating,67.5,,,,,
player,201309150tam,nor,BreeDr00,rush_att,0,,,,,
player,201309150tam,nor,BreeDr00,rush_yds,0,,,,,
player,201309150tam,nor,BreeDr00,rush_td,0,,,,,
player,201309150tam,nor,BreeDr00,rush_long,0,,,,,
player,201309150tam,nor,BreeDr00,targets,0,,,,,
