game,2013,4,20130929,201309290tam,crd,"Arizona Cardinals",13,tam,"Tampa Bay Buccaneers",10
team,201309290tam,crd,First Downs,17,,,,,,
team,201309290tam,tam,First Downs,20,,,,,,
team,201309290tam,crd,Rush-Yds-TDs,20-56-0,,,,,,
team,201309290tam,tam,Rush-Yds-TDs,31-80-0,,,,,,
team,201309290tam,crd,Cmp-Att-Yd-TD-INT,21-38-248-1-2,,,,,,
team,201309290tam,tam,Cmp-Att-Yd-TD-INT,24-43-193-1-2,,,,,,
team,201309290tam,crd,Sacked-Yards,1-8,,,,,,
team,201309290tam,tam,Sacked-Yards,2-20,,,,,,
team,201309290tam,crd,Net Pass Yards,240,,,,,,
team,201309290tam,tam,Net Pass Yards,173,,,,,,
team,201309290tam,crd,Total Yards,296,,,,,,
team,201309290tam,tam,Total Yards,253,,,,,,
team,201309290tam,crd,Fumbles-Lost,2-1,,,,,,
team,201309290tam,tam,Fumbles-Lost,1-1,,,,,,
team,201309290tam,crd,Turnovers,3,,,,,,
team,201309290tam,tam,Turnovers,3,,,,,,
team,201309290tam,crd,Penalties-Yards,10-90,,,,,,
team,201309290tam,tam,Penalties-Yards,8-73,,,,,,
team,201309290tam,crd,Third Down Conv.,1-10,,,,,,
team,201309290tam,tam,Third Down Conv.,7-18,,,,,,
team,201309290tam,crd,Fourth Down Conv.,0-0,,,,,,
team,201309290tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201309290tam,crd,Time of Possession,25:55,,,,,,
team,201309290tam,tam,Time of Possession,34:05,,,,,,
player,201309290tam,crd,PalmCa00,pass_cmp,21,,,,,
player,201309290tam,crd,PalmCa00,pass_att,38,,,,,
player,201309290tam,crd,PalmCa00,pass_yds,248,,,,,
player,201309290tam,crd,PalmCa00,pass_td,1,,,,,
player,201309290tam,crd,PalmCa00,pass_int,2,,,,,
player,201309290tam,crd,PalmCa00,pass_sacked,1,,,,,
player,201309290tam,crd,PalmCa00,pass_sacked_yds,8,,,,,
player,201309290tam,crd,PalmCa00,pass_long,27,,,,,
player,201309290tam,crd,PalmCa00,pass_rating,62.2,,,,,
player,201309290tam,crd,PalmCa00,rush_att,4,,,,,
player,201309290tam,crd,PalmCa00,rush_yds,6,,,,,
player,201309290tam,crd,PalmCa00,rush_td,0,,,,,
player,201309290tam,crd,PalmCa00,rush_long,10,,,,,
player,201309290tam,crd,PalmCa00,targets,0,,,,,
player,201309290tam,crd,PalmCa00,rec,0,,,,,
player,201309290tam,crd,PalmCa00,rec_yds,0,,,,,
player,201309290tam,crd,PalmCa00,rec_td,0,,,,,
player,201309290tam,crd,PalmCa00,rec_long,0,,,,,
player,201309290tam,crd,PalmCa00,fumbles,0,,,,,
player,201309290tam,crd,PalmCa00,fumbles_lost,0,,,,,
player,201309290tam,crd,ElliAn00,pass_cmp,0,,,,,
player,201309290tam,crd,ElliAn00,pass_att,0,,,,,
player,201309290tam,crd,ElliAn00,pass_yds,0,,,,,
player,201309290tam,crd,ElliAn00,pass_td,0,,,,,
player,201309290tam,crd,ElliAn00,pass_int,0,,,,,
player,201309290tam,crd,ElliAn00,pass_sacked,0,,,,,
player,201309290tam,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201309290tam,crd,ElliAn00,pass_long,0,,,,,
player,201309290tam,crd,ElliAn00,pass_rating,,,,,,
player,201309290tam,crd,ElliAn00,rush_att,4,,,,,
player,201309290tam,crd,ElliAn00,rush_yds,29,,,,,
player,201309290tam,crd,ElliAn00,rush_td,0,,,,,
player,201309290tam,crd,ElliAn00,rush_long,25,,,,,
player,201309290tam,crd,ElliAn00,targets,6,,,,,
player,201309290tam,crd,ElliAn00,rec,3,,,,,
player,201309290tam,crd,ElliAn00,rec_yds,22,,,,,
player,201309290tam,crd,ElliAn00,rec_td,0,,,,,
player,201309290tam,crd,ElliAn00,rec_long,11,,,,,
player,201309290tam,crd,ElliAn00,fumbles,0,,,,,
player,201309290tam,crd,ElliAn00,fumbles_lost,0,,,,,
player,201309290tam,crd,MendRa00,pass_cmp,0,,,,,
player,201309290tam,crd,MendRa00,pass_att,0,,,,,
player,201309290tam,crd,MendRa00,pass_yds,0,,,,,
player,201309290tam,crd,MendRa00,pass_td,0,,,,,
player,201309290tam,crd,MendRa00,pass_int,0,,,,,
player,201309290tam,crd,MendRa00,pass_sacked,0,,,,,
player,201309290tam,crd,MendRa00,pass_sacked_yds,0,,,,,
player,201309290tam,crd,MendRa00,pass_long,0,,,,,
player,201309290tam,crd,MendRa00,pass_rating,,,,,,
player,201309290tam,crd,MendRa00,rush_att,12,,,,,
player,201309290tam,crd,MendRa00,rush_yds,21,,,,,
player,201309290tam,crd,MendRa00,rush_td,0,,,,,
player,201309290tam,crd,MendRa00,rush_long,6,,,,,
player,201309290tam,crd,MendRa00,targets,4,,,,,
player,201309290tam,crd,MendRa00,rec,3,,,,,
player,201309290tam,crd,MendRa00,rec_yds,13,,,,,
player,201309290tam,crd,MendRa00,rec_td,0,,,,,
player,201309290tam,crd,MendRa00,rec_long,9,,,,,
player,201309290tam,crd,MendRa00,fumbles,2,,,,,
player,201309290tam,crd,MendRa00,fumbles_lost,1,,,,,
player,201309290tam,crd,FloyMi00,pass_cmp,0,,,,,
player,201309290tam,crd,FloyMi00,pass_att,0,,,,,
player,201309290tam,crd,FloyMi00,pass_yds,0,,,,,
player,201309290tam,crd,FloyMi00,pass_td,0,,,,,
player,201309290tam,crd,FloyMi00,pass_int,0,,,,,
player,201309290tam,crd,FloyMi00,pass_sacked,0,,,,,
