game,2013,6,20131013,201310130min,car,"Carolina Panthers",35,min,"Minnesota Vikings",10
team,201310130min,car,First Downs,22,,,,,,
team,201310130min,min,First Downs,17,,,,,,
team,201310130min,car,Rush-Yds-TDs,39-131-2,,,,,,
team,201310130min,min,Rush-Yds-TDs,13-75-0,,,,,,
team,201310130min,car,Cmp-Att-Yd-TD-INT,20-26-242-3-0,,,,,,
team,201310130min,min,Cmp-Att-Yd-TD-INT,32-44-241-1-2,,,,,,
team,201310130min,car,Sacked-Yards,1-6,,,,,,
team,201310130min,min,Sacked-Yards,3-26,,,,,,
team,201310130min,car,Net Pass Yards,236,,,,,,
team,201310130min,min,Net Pass Yards,215,,,,,,
team,201310130min,car,Total Yards,367,,,,,,
team,201310130min,min,Total Yards,290,,,,,,
team,201310130min,car,Fumbles-Lost,0-0,,,,,,
team,201310130min,min,Fumbles-Lost,1-0,,,,,,
team,201310130min,car,Turnovers,0,,,,,,
team,201310130min,min,Turnovers,2,,,,,,
team,201310130min,car,Penalties-Yards,6-40,,,,,,
team,201310130min,min,Penalties-Yards,5-55,,,,,,
team,201310130min,car,Third Down Conv.,7-12,,,,,,
team,201310130min,min,Third Down Conv.,6-14,,,,,,
team,201310130min,car,Fourth Down Conv.,2-2,,,,,,
team,201310130min,min,Fourth Down Conv.,1-2,,,,,,
team,201310130min,car,Time of Possession,36:27,,,,,,
team,201310130min,min,Time of Possession,23:33,,,,,,
player,201310130min,car,NewtCa00,pass_cmp,20,,,,,
player,201310130min,car,NewtCa00,pass_att,26,,,,,
player,201310130min,car,NewtCa00,pass_yds,242,,,,,
player,201310130min,car,NewtCa00,pass_td,3,,,,,
player,201310130min,car,NewtCa00,pass_int,0,,,,,
player,201310130min,car,NewtCa00,pass_sacked,1,,,,,
player,201310130min,car,NewtCa00,pass_sacked_yds,6,,,,,
player,201310130min,car,NewtCa00,pass_long,79,,,,,
player,201310130min,car,NewtCa00,pass_rating,143.4,,,,,
player,201310130min,car,NewtCa00,rush_att,9,,,,,
player,201310130min,car,NewtCa00,rush_yds,30,,,,,
player,201310130min,car,NewtCa00,rush_td,1,,,,,
player,201310130min,car,NewtCa00,rush_long,9,,,,,
player,201310130min,car,NewtCa00,targets,0,,,,,
player,201310130min,car,NewtCa00,rec,0,,,,,
player,201310130min,car,NewtCa00,rec_yds,0,,,,,
player,201310130min,car,NewtCa00,rec_td,0,,,,,
player,201310130min,car,NewtCa00,rec_long,0,,,,,
player,201310130min,car,NewtCa00,fumbles,0,,,,,
player,201310130min,car,NewtCa00,fumbles_lost,0,,,,,
player,201310130min,car,WillDe02,pass_cmp,0,,,,,
player,201310130min,car,WillDe02,pass_att,0,,,,,
player,201310130min,car,WillDe02,pass_yds,0,,,,,
player,201310130min,car,WillDe02,pass_td,0,,,,,
player,201310130min,car,WillDe02,pass_int,0,,,,,
player,201310130min,car,WillDe02,pass_sacked,0,,,,,
player,201310130min,car,WillDe02,pass_sacked_yds,0,,,,,
player,201310130min,car,WillDe02,pass_long,0,,,,,
player,201310130min,car,WillDe02,pass_rating,,,,,,
player,201310130min,car,WillDe02,rush_att,17,,,,,
player,201310130min,car,WillDe02,rush_yds,64,,,,,
player,201310130min,car,WillDe02,rush_td,0,,,,,
player,201310130min,car,WillDe02,rush_long,22,,,,,
player,201310130min,car,WillDe02,targets,5,,,,,
player,201310130min,car,WillDe02,rec,5,,,,,
player,201310130min,car,WillDe02,rec_yds,53,,,,,
player,201310130min,car,WillDe02,rec_td,0,,,,,
player,201310130min,car,WillDe02,rec_long,18,,,,,
player,201310130min,car,WillDe02,fumbles,0,,,,,
player,201310130min,car,WillDe02,fumbles_lost,0,,,,,
player,201310130min,car,TolbMi00,pass_cmp,0,,,,,
player,201310130min,car,TolbMi00,pass_att,0,,,,,
player,201310130min,car,TolbMi00,pass_yds,0,,,,,
player,201310130min,car,TolbMi00,pass_td,0,,,,,
player,201310130min,car,TolbMi00,pass_int,0,,,,,
player,201310130min,car,TolbMi00,pass_sacked,0,,,,,
player,201310130min,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201310130min,car,TolbMi00,pass_long,0,,,,,
player,201310130min,car,TolbMi00,pass_rating,,,,,,
player,201310130min,car,TolbMi00,rush_att,8,,,,,
player,201310130min,car,TolbMi00,rush_yds,27,,,,,
player,201310130min,car,TolbMi00,rush_td,1,,,,,
player,201310130min,car,TolbMi00,rush_long,9,,,,,
player,201310130min,car,TolbMi00,targets,3,,,,,
player,201310130min,car,TolbMi00,rec,2,,,,,
player,201310130min,car,TolbMi00,rec_yds,20,,,,,
player,201310130min,car,TolbMi00,rec_td,1,,,,,
player,201310130min,car,TolbMi00,rec_long,10,,,,,
player,201310130min,car,TolbMi00,fumbles,0,,,,,
player,201310130min,car,TolbMi00,fumbles_lost,0,,,,,
player,201310130min,car,LaFeBr00,pass_cmp,0,,,,,
player,201310130min,car,LaFeBr00,pass_att,0,,,,,
player,201310130min,car,LaFeBr00,pass_yds,0,,,,,
player,201310130min,car,LaFeBr00,pass_td,0,,,,,
player,201310130min,car,LaFeBr00,pass_int,0,,,,,
player,201310130min,car,LaFeBr00,pass_sacked,0,,,,,
player,201310130min,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201310130min,car,LaFeBr00,pass_long,0,,,,,
player,201310130min,car,LaFeBr00,pass_rating,,,,,,
player,201310130min,car,LaFeBr00,rush_att,1,,,,,
player,201310130min,car,LaFeBr00,rush_yds,9,,,,,
player,201310130min,car,LaFeBr00,rush_td,0,,,,,
player,201310130min,car,LaFeBr00,rush_long,9,,,,,
player,201310130min,car,LaFeBr00,targets,4,,,,,
player,201310130min,car,LaFeBr00,rec,4,,,,,
player,201310130min,car,LaFeBr00,rec_yds,107,,,,,
player,201310130min,car,LaFeBr00,rec_td,1,,,,,
player,201310130min,car,LaFeBr00,rec_long,79,,,,,
player,201310130min,car,LaFeBr00,fumbles,0,,,,,
player,201310130min,car,LaFeBr00,fumbles_lost,0,,,,,
player,201310130min,car,SmitAr00,pass_cmp,0,,,,,
player,201310130min,car,SmitAr00,pass_att,0,,,,,
player,201310130min,car,SmitAr00,pass_yds,0,,,,,
player,201310130min,car,SmitAr00,pass_td,0,,,,,
player,201310130min,car,SmitAr00,pass_int,0,,,,,
player,201310130min,car,SmitAr00,pass_sacked,0,,,,,
player,201310130min,car,SmitAr00,pass_sacked_yds,0,,,,,
player,201310130min,car,SmitAr00,pass_long,0,,,,,
player,201310130min,car,SmitAr00,pass_rating,,,,,,
player,201310130min,car,SmitAr00,rush_att,1,,,,,
player,201310130min,car,SmitAr00,rush_yds,5,,,,,
player,201310130min,car,SmitAr00,rush_td,0,,,,,
player,201310130min,car,SmitAr00,rush_long,5,,,,,
player,201310130min,car,SmitAr00,targets,0,,,,,
player,201310130min,car,SmitAr00,rec,0,,,,,
player,201310130min,car,SmitAr00,rec_yds,0,,,,,
player,201310130min,car,SmitAr00,rec_td,0,,,,,
player,201310130min,car,SmitAr00,rec_long,0,,,,,
player,201310130min,car,SmitAr00,fumbles,0,,,,,
player,201310130min,car,SmitAr00,fumbles_lost,0,,,,,
player,201310130min,car,SmitSt01,pass_cmp,0,,,,,
player,201310130min,car,SmitSt01,pass_att,0,,,,,
player,201310130min,car,SmitSt01,pass_yds,0,,,,,
player,201310130min,car,SmitSt01,pass_td,0,,,,,
player,201310130min,car,SmitSt01,pass_int,0,,,,,
player,201310130min,car,SmitSt01,pass_sacked,0,,,,,
player,201310130min,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201310130min,car,SmitSt01,pass_long,0,,,,,
player,201310130min,car,SmitSt01,pass_rating,,,,,,
player,201310130min,car,SmitSt01,rush_att,0,,,,,
player,201310130min,car,SmitSt01,rush_yds,0,,,,,
player,201310130min,car,SmitSt01,rush_td,0,,,,,
player,201310130min,car,SmitSt01,rush_long,0,,,,,
player,201310130min,car,SmitSt01,targets,7,,,,,
player,201310130min,car,SmitSt01,rec,5,,,,,
player,201310130min,car,SmitSt01,rec_yds,21,,,,,
player,201310130min,car,SmitSt01,rec_td,1,,,,,
player,201310130min,car,SmitSt01,rec_long,10,,,,,
player,201310130min,car,SmitSt01,fumbles,0,,,,,
player,201310130min,car,SmitSt01,fumbles_lost,0,,,,,
player,201310130min,car,OlseGr00,pass_cmp,0,,,,,
player,201310130min,car,OlseGr00,pass_att,0,,,,,
player,201310130min,car,OlseGr00,pass_yds,0,,,,,
player,201310130min,car,OlseGr00,pass_td,0,,,,,
player,201310130min,car,OlseGr00,pass_int,0,,,,,
player,201310130min,car,OlseGr00,pass_sacked,0,,,,,
player,201310130min,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201310130min,car,OlseGr00,pass_long,0,,,,,
player,201310130min,car,OlseGr00,pass_rating,,,,,,
player,201310130min,car,OlseGr00,rush_att,0,,,,,
player,201310130min,car,OlseGr00,rush_yds,0,,,,,
player,201310130min,car,OlseGr00,rush_td,0,,,,,
player,201310130min,car,OlseGr00,rush_long,0,,,,,
player,201310130min,car,OlseGr00,targets,4,,,,,
player,201310130min,car,OlseGr00,rec,2,,,,,
player,201310130min,car,OlseGr00,rec_yds,19,,,,,
player,201310130min,car,OlseGr00,rec_td,0,,,,,
player,201310130min,car,OlseGr00,rec_long,11,,,,,
player,201310130min,car,OlseGr00,fumbles,0,,,,,
player,201310130min,car,OlseGr00,fumbles_lost,0,,,,,
player,201310130min,car,AndeDe00,pass_cmp,0,,,,,
player,201310130min,car,AndeDe00,pass_att,0,,,,,
player,201310130min,car,AndeDe00,pass_yds,0,,,,,
player,201310130min,car,AndeDe00,pass_td,0,,,,,
player,201310130min,car,AndeDe00,pass_int,0,,,,,
player,201310130min,car,AndeDe00,pass_sacked,0,,,,,
player,201310130min,car,AndeDe00,pass_sacked_yds,0,,,,,
player,201310130min,car,AndeDe00,pass_long,0,,,,,
player,201310130min,car,AndeDe00,pass_rating,,,,,,
player,201310130min,car,AndeDe00,rush_att,2,,,,,
player,201310130min,car,AndeDe00,rush_yds,-1,,,,,
player,201310130min,car,AndeDe00,rush_td,0,,,,,
player,201310130min,car,AndeDe00,rush_long,0,,,,,
player,201310130min,car,AndeDe00,targets,0,,,,,
player,201310130min,car,AndeDe00,rec,0,,,,,
player,201310130min,car,AndeDe00,rec_yds,0,,,,,
player,201310130min,car,AndeDe00,rec_td,0,,,,,
player,201310130min,car,AndeDe00,rec_long,0,,,,,
player,201310130min,car,AndeDe00,fumbles,0,,,,,
player,201310130min,car,AndeDe00,fumbles_lost,0,,,,,
player,201310130min,car,GinnTe00,pass_cmp,0,,,,,
player,201310130min,car,GinnTe00,pass_att,0,,,,,
player,201310130min,car,GinnTe00,pass_yds,0,,,,,
player,201310130min,car,GinnTe00,pass_td,0,,,,,
player,201310130min,car,GinnTe00,pass_int,0,,,,,
player,201310130min,car,GinnTe00,pass_sacked,0,,,,,
player,201310130min,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201310130min,car,GinnTe00,pass_long,0,,,,,
player,201310130min,car,GinnTe00,pass_rating,,,,,,
player,201310130min,car,GinnTe00,rush_att,1,,,,,
player,201310130min,car,GinnTe00,rush_yds,-3,,,,,
player,201310130min,car,GinnTe00,rush_td,0,,,,,
player,201310130min,car,GinnTe00,rush_long,-3,,,,,
player,201310130min,car,GinnTe00,targets,3,,,,,
player,201310130min,car,GinnTe00,rec,2,,,,,
player,201310130min,car,GinnTe00,rec_yds,22,,,,,
player,201310130min,car,GinnTe00,rec_td,0,,,,,
player,201310130min,car,GinnTe00,rec_long,17,,,,,
player,201310130min,car,GinnTe00,fumbles,0,,,,,
player,201310130min,car,GinnTe00,fumbles_lost,0,,,,,
player,201310130min,min,CassMa00,pass_cmp,32,,,,,
player,201310130min,min,CassMa00,pass_att,44,,,,,
player,201310130min,min,CassMa00,pass_yds,241,,,,,
player,201310130min,min,CassMa00,pass_td,1,,,,,
player,201310130min,min,CassMa00,pass_int,2,,,,,
player,201310130min,min,CassMa00,pass_sacked,3,,,,,
player,201310130min,min,CassMa00,pass_sacked_yds,26,,,,,
player,201310130min,min,CassMa00,pass_long,23,,,,,
player,201310130min,min,CassMa00,pass_rating,74.1,,,,,
player,201310130min,min,CassMa00,rush_att,2,,,,,
player,201310130min,min,CassMa00,rush_yds,7,,,,,
player,201310130min,min,CassMa00,rush_td,0,,,,,
player,201310130min,min,CassMa00,rush_long,6,,,,,
player,201310130min,min,CassMa00,targets,0,,,,,
player,201310130min,min,CassMa00,rec,0,,,,,
player,201310130min,min,CassMa00,rec_yds,0,,,,,
player,201310130min,min,CassMa00,rec_td,0,,,,,
player,201310130min,min,CassMa00,rec_long,0,,,,,
player,201310130min,min,CassMa00,fumbles,0,,,,,
player,201310130min,min,CassMa00,fumbles_lost,0,,,,,
player,201310130min,min,PeteAd01,pass_cmp,0,,,,,
player,201310130min,min,PeteAd01,pass_att,0,,,,,
player,201310130min,min,PeteAd01,pass_yds,0,,,,,
player,201310130min,min,PeteAd01,pass_td,0,,,,,
player,201310130min,min,PeteAd01,pass_int,0,,,,,
player,201310130min,min,PeteAd01,pass_sacked,0,,,,,
player,201310130min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201310130min,min,PeteAd01,pass_long,0,,,,,
player,201310130min,min,PeteAd01,pass_rating,,,,,,
player,201310130min,min,PeteAd01,rush_att,10,,,,,
player,201310130min,min,PeteAd01,rush_yds,62,,,,,
player,201310130min,min,PeteAd01,rush_td,0,,,,,
player,201310130min,min,PeteAd01,rush_long,31,,,,,
player,201310130min,min,PeteAd01,targets,4,,,,,
player,201310130min,min,PeteAd01,rec,3,,,,,
player,201310130min,min,PeteAd01,rec_yds,21,,,,,
player,201310130min,min,PeteAd01,rec_td,0,,,,,
player,201310130min,min,PeteAd01,rec_long,11,,,,,
player,201310130min,min,PeteAd01,fumbles,1,,,,,
player,201310130min,min,PeteAd01,fumbles_lost,0,,,,,
player,201310130min,min,GerhTo00,pass_cmp,0,,,,,
player,201310130min,min,GerhTo00,pass_att,0,,,,,
player,201310130min,min,GerhTo00,pass_yds,0,,,,,
player,201310130min,min,GerhTo00,pass_td,0,,,,,
player,201310130min,min,GerhTo00,pass_int,0,,,,,
player,201310130min,min,GerhTo00,pass_sacked,0,,,,,
player,201310130min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201310130min,min,GerhTo00,pass_long,0,,,,,
player,201310130min,min,GerhTo00,pass_rating,,,,,,
player,201310130min,min,GerhTo00,rush_att,1,,,,,
player,201310130min,min,GerhTo00,rush_yds,6,,,,,
player,201310130min,min,GerhTo00,rush_td,0,,,,,
player,201310130min,min,GerhTo00,rush_long,6,,,,,
player,201310130min,min,GerhTo00,targets,2,,,,,
player,201310130min,min,GerhTo00,rec,1,,,,,
player,201310130min,min,GerhTo00,rec_yds,10,,,,,
player,201310130min,min,GerhTo00,rec_td,0,,,,,
player,201310130min,min,GerhTo00,rec_long,10,,,,,
player,201310130min,min,GerhTo00,fumbles,0,,,,,
player,201310130min,min,GerhTo00,fumbles_lost,0,,,,,
player,201310130min,min,RudoKy00,pass_cmp,0,,,,,
player,201310130min,min,RudoKy00,pass_att,0,,,,,
player,201310130min,min,RudoKy00,pass_yds,0,,,,,
player,201310130min,min,RudoKy00,pass_td,0,,,,,
player,201310130min,min,RudoKy00,pass_int,0,,,,,
player,201310130min,min,RudoKy00,pass_sacked,0,,,,,
player,201310130min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201310130min,min,RudoKy00,pass_long,0,,,,,
player,201310130min,min,RudoKy00,pass_rating,,,,,,
player,201310130min,min,RudoKy00,rush_att,0,,,,,
player,201310130min,min,RudoKy00,rush_yds,0,,,,,
player,201310130min,min,RudoKy00,rush_td,0,,,,,
player,201310130min,min,RudoKy00,rush_long,0,,,,,
player,201310130min,min,RudoKy00,targets,11,,,,,
player,201310130min,min,RudoKy00,rec,9,,,,,
player,201310130min,min,RudoKy00,rec_yds,97,,,,,
player,201310130min,min,RudoKy00,rec_td,1,,,,,
player,201310130min,min,RudoKy00,rec_long,23,,,,,
player,201310130min,min,RudoKy00,fumbles,0,,,,,
player,201310130min,min,RudoKy00,fumbles_lost,0,,,,,
player,201310130min,min,JennGr00,pass_cmp,0,,,,,
player,201310130min,min,JennGr00,pass_att,0,,,,,
