game,2013,6,20131013,201310130nwe,nor,"New Orleans Saints",27,nwe,"New England Patriots",30
team,201310130nwe,nor,First Downs,20,,,,,,
team,201310130nwe,nwe,First Downs,26,,,,,,
team,201310130nwe,nor,Rush-Yds-TDs,26-131-1,,,,,,
team,201310130nwe,nwe,Rush-Yds-TDs,35-141-2,,,,,,
team,201310130nwe,nor,Cmp-Att-Yd-TD-INT,17-36-236-2-1,,,,,,
team,201310130nwe,nwe,Cmp-Att-Yd-TD-INT,25-43-269-1-1,,,,,,
team,201310130nwe,nor,Sacked-Yards,1-6,,,,,,
team,201310130nwe,nwe,Sacked-Yards,5-34,,,,,,
team,201310130nwe,nor,Net Pass Yards,230,,,,,,
team,201310130nwe,nwe,Net Pass Yards,235,,,,,,
team,201310130nwe,nor,Total Yards,361,,,,,,
team,201310130nwe,nwe,Total Yards,376,,,,,,
team,201310130nwe,nor,Fumbles-Lost,1-1,,,,,,
team,201310130nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201310130nwe,nor,Turnovers,2,,,,,,
team,201310130nwe,nwe,Turnovers,1,,,,,,
team,201310130nwe,nor,Penalties-Yards,7-56,,,,,,
team,201310130nwe,nwe,Penalties-Yards,4-33,,,,,,
team,201310130nwe,nor,Third Down Conv.,5-14,,,,,,
team,201310130nwe,nwe,Third Down Conv.,5-15,,,,,,
team,201310130nwe,nor,Fourth Down Conv.,0-0,,,,,,
team,201310130nwe,nwe,Fourth Down Conv.,1-3,,,,,,
team,201310130nwe,nor,Time of Possession,28:09,,,,,,
team,201310130nwe,nwe,Time of Possession,31:51,,,,,,
player,201310130nwe,nor,BreeDr00,pass_cmp,17,,,,,
player,201310130nwe,nor,BreeDr00,pass_att,36,,,,,
player,201310130nwe,nor,BreeDr00,pass_yds,236,,,,,
player,201310130nwe,nor,BreeDr00,pass_td,2,,,,,
player,201310130nwe,nor,BreeDr00,pass_int,1,,,,,
player,201310130nwe,nor,BreeDr00,pass_sacked,1,,,,,
player,201310130nwe,nor,BreeDr00,pass_sacked_yds,6,,,,,
player,201310130nwe,nor,BreeDr00,pass_long,34,,,,,
player,201310130nwe,nor,BreeDr00,pass_rating,75.7,,,,,
player,201310130nwe,nor,BreeDr00,rush_att,2,,,,,
player,201310130nwe,nor,BreeDr00,rush_yds,11,,,,,
player,201310130nwe,nor,BreeDr00,rush_td,0,,,,,
player,201310130nwe,nor,BreeDr00,rush_long,16,,,,,
player,201310130nwe,nor,BreeDr00,targets,0,,,,,
player,201310130nwe,nor,BreeDr00,rec,0,,,,,
player,201310130nwe,nor,BreeDr00,rec_yds,0,,,,,
player,201310130nwe,nor,BreeDr00,rec_td,0,,,,,
player,201310130nwe,nor,BreeDr00,rec_long,0,,,,,
player,201310130nwe,nor,BreeDr00,fumbles,0,,,,,
player,201310130nwe,nor,BreeDr00,fumbles_lost,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_cmp,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_att,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_yds,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_td,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_int,0,,,,,
player,201310130nwe,nor,RobiKh00,pass_sacked,0,,,,,
