game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
team,201310130sfo,crd,First Downs,16,,,,,,
team,201310130sfo,sfo,First Downs,20,,,,,,
team,201310130sfo,crd,Rush-Yds-TDs,21-109-1,,,,,,
team,201310130sfo,sfo,Rush-Yds-TDs,38-149-1,,,,,,
team,201310130sfo,crd,Cmp-Att-Yd-TD-INT,25-41-298-2-2,,,,,,
team,201310130sfo,sfo,Cmp-Att-Yd-TD-INT,16-29-252-2-1,,,,,,
team,201310130sfo,crd,Sacked-Yards,1-4,,,,,,
team,201310130sfo,sfo,Sacked-Yards,2-14,,,,,,
team,201310130sfo,crd,Net Pass Yards,294,,,,,,
team,201310130sfo,sfo,Net Pass Yards,238,,,,,,
team,201310130sfo,crd,Total Yards,403,,,,,,
team,201310130sfo,sfo,Total Yards,387,,,,,,
team,201310130sfo,crd,Fumbles-Lost,3-2,,,,,,
team,201310130sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201310130sfo,crd,Turnovers,4,,,,,,
team,201310130sfo,sfo,Turnovers,2,,,,,,
team,201310130sfo,crd,Penalties-Yards,6-38,,,,,,
team,201310130sfo,sfo,Penalties-Yards,4-35,,,,,,
team,201310130sfo,crd,Third Down Conv.,5-13,,,,,,
team,201310130sfo,sfo,Third Down Conv.,4-14,,,,,,
team,201310130sfo,crd,Fourth Down Conv.,0-1,,,,,,
team,201310130sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201310130sfo,crd,Time of Possession,25:41,,,,,,
team,201310130sfo,sfo,Time of Possession,34:19,,,,,,
player,201310130sfo,crd,PalmCa00,pass_cmp,25,,,,,
player,201310130sfo,crd,PalmCa00,pass_att,41,,,,,
player,201310130sfo,crd,PalmCa00,pass_yds,298,,,,,
player,201310130sfo,crd,PalmCa00,pass_td,2,,,,,
player,201310130sfo,crd,PalmCa00,pass_int,2,,,,,
player,201310130sfo,crd,PalmCa00,pass_sacked,1,,,,,
player,201310130sfo,crd,PalmCa00,pass_sacked_yds,4,,,,,
player,201310130sfo,crd,PalmCa00,pass_long,75,,,,,
player,201310130sfo,crd,PalmCa00,pass_rating,79.1,,,,,
player,201310130sfo,crd,PalmCa00,rush_att,0,,,,,
player,201310130sfo,crd,PalmCa00,rush_yds,0,,,,,
player,201310130sfo,crd,PalmCa00,rush_td,0,,,,,
player,201310130sfo,crd,PalmCa00,rush_long,0,,,,,
player,201310130sfo,crd,PalmCa00,targets,0,,,,,
player,201310130sfo,crd,PalmCa00,rec,0,,,,,
player,201310130sfo,crd,PalmCa00,rec_yds,0,,,,,
player,201310130sfo,crd,PalmCa00,rec_td,0,,,,,
player,201310130sfo,crd,PalmCa00,rec_long,0,,,,,
player,201310130sfo,crd,PalmCa00,fumbles,0,,,,,
player,201310130sfo,crd,PalmCa00,fumbles_lost,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_cmp,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_att,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_yds,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_td,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_int,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_sacked,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_long,0,,,,,
player,201310130sfo,crd,ElliAn00,pass_rating,,,,,,
player,201310130sfo,crd,ElliAn00,rush_att,7,,,,,
player,201310130sfo,crd,ElliAn00,rush_yds,56,,,,,
player,201310130sfo,crd,ElliAn00,rush_td,1,,,,,
player,201310130sfo,crd,ElliAn00,rush_long,15,,,,,
player,201310130sfo,crd,ElliAn00,targets,5,,,,,
player,201310130sfo,crd,ElliAn00,rec,5,,,,,
player,201310130sfo,crd,ElliAn00,rec_yds,36,,,,,
player,201310130sfo,crd,ElliAn00,rec_td,0,,,,,
player,201310130sfo,crd,ElliAn00,rec_long,12,,,,,
player,201310130sfo,crd,ElliAn00,fumbles,0,,,,,
player,201310130sfo,crd,ElliAn00,fumbles_lost,0,,,,,
player,201310130sfo,crd,MendRa00,pass_cmp,0,,,,,
player,201310130sfo,crd,MendRa00,pass_att,0,,,,,
player,201310130sfo,crd,MendRa00,pass_yds,0,,,,,
player,201310130sfo,crd,MendRa00,pass_td,0,,,,,
