game,2013,7,20131020,201310200car,ram,"St. Louis Rams",15,car,"Carolina Panthers",30
team,201310200car,ram,First Downs,15,,,,,,
team,201310200car,car,First Downs,21,,,,,,
team,201310200car,ram,Rush-Yds-TDs,21-63-0,,,,,,
team,201310200car,car,Rush-Yds-TDs,38-102-1,,,,,,
team,201310200car,ram,Cmp-Att-Yd-TD-INT,23-34-274-1-1,,,,,,
team,201310200car,car,Cmp-Att-Yd-TD-INT,15-17-204-1-0,,,,,,
team,201310200car,ram,Sacked-Yards,4-20,,,,,,
team,201310200car,car,Sacked-Yards,2-24,,,,,,
team,201310200car,ram,Net Pass Yards,254,,,,,,
team,201310200car,car,Net Pass Yards,180,,,,,,
team,201310200car,ram,Total Yards,317,,,,,,
team,201310200car,car,Total Yards,282,,,,,,
team,201310200car,ram,Fumbles-Lost,4-2,,,,,,
team,201310200car,car,Fumbles-Lost,1-0,,,,,,
team,201310200car,ram,Turnovers,3,,,,,,
team,201310200car,car,Turnovers,0,,,,,,
team,201310200car,ram,Penalties-Yards,8-68,,,,,,
team,201310200car,car,Penalties-Yards,7-59,,,,,,
team,201310200car,ram,Third Down Conv.,4-13,,,,,,
team,201310200car,car,Third Down Conv.,2-9,,,,,,
team,201310200car,ram,Fourth Down Conv.,0-2,,,,,,
team,201310200car,car,Fourth Down Conv.,0-0,,,,,,
team,201310200car,ram,Time of Possession,26:40,,,,,,
team,201310200car,car,Time of Possession,33:20,,,,,,
player,201310200car,ram,BradSa00,pass_cmp,21,,,,,
player,201310200car,ram,BradSa00,pass_att,30,,,,,
player,201310200car,ram,BradSa00,pass_yds,255,,,,,
player,201310200car,ram,BradSa00,pass_td,1,,,,,
player,201310200car,ram,BradSa00,pass_int,1,,,,,
player,201310200car,ram,BradSa00,pass_sacked,2,,,,,
player,201310200car,ram,BradSa00,pass_sacked_yds,8,,,,,
player,201310200car,ram,BradSa00,pass_long,73,,,,,
player,201310200car,ram,BradSa00,pass_rating,93.1,,,,,
player,201310200car,ram,BradSa00,rush_att,1,,,,,
player,201310200car,ram,BradSa00,rush_yds,1,,,,,
player,201310200car,ram,BradSa00,rush_td,0,,,,,
player,201310200car,ram,BradSa00,rush_long,1,,,,,
player,201310200car,ram,BradSa00,targets,0,,,,,
player,201310200car,ram,BradSa00,rec,0,,,,,
player,201310200car,ram,BradSa00,rec_yds,0,,,,,
player,201310200car,ram,BradSa00,rec_td,0,,,,,
player,201310200car,ram,BradSa00,rec_long,0,,,,,
player,201310200car,ram,BradSa00,fumbles,0,,,,,
player,201310200car,ram,BradSa00,fumbles_lost,0,,,,,
player,201310200car,ram,ClemKe00,pass_cmp,2,,,,,
player,201310200car,ram,ClemKe00,pass_att,4,,,,,
player,201310200car,ram,ClemKe00,pass_yds,19,,,,,
player,201310200car,ram,ClemKe00,pass_td,0,,,,,
player,201310200car,ram,ClemKe00,pass_int,0,,,,,
player,201310200car,ram,ClemKe00,pass_sacked,2,,,,,
player,201310200car,ram,ClemKe00,pass_sacked_yds,12,,,,,
player,201310200car,ram,ClemKe00,pass_long,10,,,,,
player,201310200car,ram,ClemKe00,pass_rating,63.5,,,,,
player,201310200car,ram,ClemKe00,rush_att,0,,,,,
player,201310200car,ram,ClemKe00,rush_yds,0,,,,,
player,201310200car,ram,ClemKe00,rush_td,0,,,,,
player,201310200car,ram,ClemKe00,rush_long,0,,,,,
player,201310200car,ram,ClemKe00,targets,0,,,,,
player,201310200car,ram,ClemKe00,rec,0,,,,,
player,201310200car,ram,ClemKe00,rec_yds,0,,,,,
player,201310200car,ram,ClemKe00,rec_td,0,,,,,
player,201310200car,ram,ClemKe00,rec_long,0,,,,,
player,201310200car,ram,ClemKe00,fumbles,2,,,,,
player,201310200car,ram,ClemKe00,fumbles_lost,1,,,,,
player,201310200car,ram,StacZa00,pass_cmp,0,,,,,
player,201310200car,ram,StacZa00,pass_att,0,,,,,
player,201310200car,ram,StacZa00,pass_yds,0,,,,,
player,201310200car,ram,StacZa00,pass_td,0,,,,,
player,201310200car,ram,StacZa00,pass_int,0,,,,,
player,201310200car,ram,StacZa00,pass_sacked,0,,,,,
player,201310200car,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201310200car,ram,StacZa00,pass_long,0,,,,,
player,201310200car,ram,StacZa00,pass_rating,,,,,,
player,201310200car,ram,StacZa00,rush_att,17,,,,,
player,201310200car,ram,StacZa00,rush_yds,53,,,,,
player,201310200car,ram,StacZa00,rush_td,0,,,,,
player,201310200car,ram,StacZa00,rush_long,21,,,,,
player,201310200car,ram,StacZa00,targets,4,,,,,
player,201310200car,ram,StacZa00,rec,4,,,,,
player,201310200car,ram,StacZa00,rec_yds,34,,,,,
player,201310200car,ram,StacZa00,rec_td,1,,,,,
player,201310200car,ram,StacZa00,rec_long,25,,,,,
player,201310200car,ram,StacZa00,fumbles,0,,,,,
player,201310200car,ram,StacZa00,fumbles_lost,0,,,,,
player,201310200car,ram,RichDa00,pass_cmp,0,,,,,
player,201310200car,ram,RichDa00,pass_att,0,,,,,
player,201310200car,ram,RichDa00,pass_yds,0,,,,,
player,201310200car,ram,RichDa00,pass_td,0,,,,,
player,201310200car,ram,RichDa00,pass_int,0,,,,,
player,201310200car,ram,RichDa00,pass_sacked,0,,,,,
player,201310200car,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201310200car,ram,RichDa00,pass_long,0,,,,,
player,201310200car,ram,RichDa00,pass_rating,,,,,,
player,201310200car,ram,RichDa00,rush_att,3,,,,,
player,201310200car,ram,RichDa00,rush_yds,9,,,,,
player,201310200car,ram,RichDa00,rush_td,0,,,,,
player,201310200car,ram,RichDa00,rush_long,10,,,,,
player,201310200car,ram,RichDa00,targets,1,,,,,
player,201310200car,ram,RichDa00,rec,1,,,,,
player,201310200car,ram,RichDa00,rec_yds,9,,,,,
player,201310200car,ram,RichDa00,rec_td,0,,,,,
player,201310200car,ram,RichDa00,rec_long,9,,,,,
player,201310200car,ram,RichDa00,fumbles,0,,,,,
player,201310200car,ram,RichDa00,fumbles_lost,0,,,,,
player,201310200car,ram,QuicBr00,pass_cmp,0,,,,,
player,201310200car,ram,QuicBr00,pass_att,0,,,,,
player,201310200car,ram,QuicBr00,pass_yds,0,,,,,
player,201310200car,ram,QuicBr00,pass_td,0,,,,,
player,201310200car,ram,QuicBr00,pass_int,0,,,,,
player,201310200car,ram,QuicBr00,pass_sacked,0,,,,,
player,201310200car,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201310200car,ram,QuicBr00,pass_long,0,,,,,
player,201310200car,ram,QuicBr00,pass_rating,,,,,,
player,201310200car,ram,QuicBr00,rush_att,0,,,,,
player,201310200car,ram,QuicBr00,rush_yds,0,,,,,
player,201310200car,ram,QuicBr00,rush_td,0,,,,,
player,201310200car,ram,QuicBr00,rush_long,0,,,,,
player,201310200car,ram,QuicBr00,targets,6,,,,,
player,201310200car,ram,QuicBr00,rec,2,,,,,
player,201310200car,ram,QuicBr00,rec_yds,97,,,,,
player,201310200car,ram,QuicBr00,rec_td,0,,,,,
player,201310200car,ram,QuicBr00,rec_long,73,,,,,
player,201310200car,ram,QuicBr00,fumbles,0,,,,,
player,201310200car,ram,QuicBr00,fumbles_lost,0,,,,,
player,201310200car,ram,AustTa00,pass_cmp,0,,,,,
