game,2013,7,20131020,201310200oti,sfo,"San Francisco 49ers",31,oti,"Tennessee Titans",17
team,201310200oti,sfo,First Downs,19,,,,,,
team,201310200oti,oti,First Downs,15,,,,,,
team,201310200oti,sfo,Rush-Yds-TDs,41-153-3,,,,,,
team,201310200oti,oti,Rush-Yds-TDs,13-70-0,,,,,,
team,201310200oti,sfo,Cmp-Att-Yd-TD-INT,13-21-199-0-0,,,,,,
team,201310200oti,oti,Cmp-Att-Yd-TD-INT,25-41-326-2-1,,,,,,
team,201310200oti,sfo,Sacked-Yards,2-3,,,,,,
team,201310200oti,oti,Sacked-Yards,3-28,,,,,,
team,201310200oti,sfo,Net Pass Yards,196,,,,,,
team,201310200oti,oti,Net Pass Yards,298,,,,,,
team,201310200oti,sfo,Total Yards,349,,,,,,
team,201310200oti,oti,Total Yards,368,,,,,,
team,201310200oti,sfo,Fumbles-Lost,0-0,,,,,,
team,201310200oti,oti,Fumbles-Lost,1-1,,,,,,
team,201310200oti,sfo,Turnovers,0,,,,,,
team,201310200oti,oti,Turnovers,2,,,,,,
team,201310200oti,sfo,Penalties-Yards,5-42,,,,,,
team,201310200oti,oti,Penalties-Yards,10-100,,,,,,
team,201310200oti,sfo,Third Down Conv.,8-16,,,,,,
team,201310200oti,oti,Third Down Conv.,5-14,,,,,,
team,201310200oti,sfo,Fourth Down Conv.,0-0,,,,,,
team,201310200oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201310200oti,sfo,Time of Possession,35:46,,,,,,
team,201310200oti,oti,Time of Possession,24:14,,,,,,
player,201310200oti,sfo,KaepCo00,pass_cmp,13,,,,,
player,201310200oti,sfo,KaepCo00,pass_att,21,,,,,
player,201310200oti,sfo,KaepCo00,pass_yds,199,,,,,
player,201310200oti,sfo,KaepCo00,pass_td,0,,,,,
player,201310200oti,sfo,KaepCo00,pass_int,0,,,,,
player,201310200oti,sfo,KaepCo00,pass_sacked,2,,,,,
player,201310200oti,sfo,KaepCo00,pass_sacked_yds,3,,,,,
player,201310200oti,sfo,KaepCo00,pass_long,29,,,,,
