game,2013,8,20131027,201310270rai,pit,"Pittsburgh Steelers",18,rai,"Oakland Raiders",21
team,201310270rai,pit,First Downs,20,,,,,,
team,201310270rai,rai,First Downs,13,,,,,,
team,201310270rai,pit,Rush-Yds-TDs,19-35-1,,,,,,
team,201310270rai,rai,Rush-Yds-TDs,38-197-3,,,,,,
team,201310270rai,pit,Cmp-Att-Yd-TD-INT,29-45-275-1-2,,,,,,
team,201310270rai,rai,Cmp-Att-Yd-TD-INT,10-19-88-0-2,,,,,,
team,201310270rai,pit,Sacked-Yards,5-34,,,,,,
team,201310270rai,rai,Sacked-Yards,2-6,,,,,,
team,201310270rai,pit,Net Pass Yards,241,,,,,,
team,201310270rai,rai,Net Pass Yards,82,,,,,,
team,201310270rai,pit,Total Yards,276,,,,,,
team,201310270rai,rai,Total Yards,279,,,,,,
team,201310270rai,pit,Fumbles-Lost,0-0,,,,,,
team,201310270rai,rai,Fumbles-Lost,2-1,,,,,,
team,201310270rai,pit,Turnovers,2,,,,,,
team,201310270rai,rai,Turnovers,3,,,,,,
team,201310270rai,pit,Penalties-Yards,3-12,,,,,,
team,201310270rai,rai,Penalties-Yards,6-39,,,,,,
team,201310270rai,pit,Third Down Conv.,4-15,,,,,,
team,201310270rai,rai,Third Down Conv.,5-14,,,,,,
team,201310270rai,pit,Fourth Down Conv.,0-0,,,,,,
team,201310270rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201310270rai,pit,Time of Possession,29:59,,,,,,
team,201310270rai,rai,Time of Possession,30:01,,,,,,
player,201310270rai,pit,RoetBe00,pass_cmp,29,,,,,
player,201310270rai,pit,RoetBe00,pass_att,45,,,,,
player,201310270rai,pit,RoetBe00,pass_yds,275,,,,,
player,201310270rai,pit,RoetBe00,pass_td,1,,,,,
player,201310270rai,pit,RoetBe00,pass_int,2,,,,,
player,201310270rai,pit,RoetBe00,pass_sacked,5,,,,,
player,201310270rai,pit,RoetBe00,pass_sacked_yds,34,,,,,
player,201310270rai,pit,RoetBe00,pass_long,33,,,,,
player,201310270rai,pit,RoetBe00,pass_rating,70.1,,,,,
player,201310270rai,pit,RoetBe00,rush_att,1,,,,,
player,201310270rai,pit,RoetBe00,rush_yds,1,,,,,
player,201310270rai,pit,RoetBe00,rush_td,0,,,,,
player,201310270rai,pit,RoetBe00,rush_long,1,,,,,
player,201310270rai,pit,RoetBe00,targets,0,,,,,
player,201310270rai,pit,RoetBe00,rec,0,,,,,
player,201310270rai,pit,RoetBe00,rec_yds,0,,,,,
player,201310270rai,pit,RoetBe00,rec_td,0,,,,,
player,201310270rai,pit,RoetBe00,rec_long,0,,,,,
player,201310270rai,pit,RoetBe00,fumbles,0,,,,,
player,201310270rai,pit,RoetBe00,fumbles_lost,0,,,,,
player,201310270rai,pit,BellLe00,pass_cmp,0,,,,,
player,201310270rai,pit,BellLe00,pass_att,0,,,,,
player,201310270rai,pit,BellLe00,pass_yds,0,,,,,
player,201310270rai,pit,BellLe00,pass_td,0,,,,,
player,201310270rai,pit,BellLe00,pass_int,0,,,,,
player,201310270rai,pit,BellLe00,pass_sacked,0,,,,,
player,201310270rai,pit,BellLe00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,BellLe00,pass_long,0,,,,,
player,201310270rai,pit,BellLe00,pass_rating,,,,,,
player,201310270rai,pit,BellLe00,rush_att,13,,,,,
player,201310270rai,pit,BellLe00,rush_yds,24,,,,,
player,201310270rai,pit,BellLe00,rush_td,1,,,,,
player,201310270rai,pit,BellLe00,rush_long,8,,,,,
player,201310270rai,pit,BellLe00,targets,7,,,,,
player,201310270rai,pit,BellLe00,rec,5,,,,,
player,201310270rai,pit,BellLe00,rec_yds,27,,,,,
player,201310270rai,pit,BellLe00,rec_td,0,,,,,
player,201310270rai,pit,BellLe00,rec_long,11,,,,,
player,201310270rai,pit,BellLe00,fumbles,0,,,,,
player,201310270rai,pit,BellLe00,fumbles_lost,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_cmp,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_att,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_yds,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_td,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_int,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_sacked,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_long,0,,,,,
player,201310270rai,pit,DwyeJo00,pass_rating,,,,,,
player,201310270rai,pit,DwyeJo00,rush_att,3,,,,,
player,201310270rai,pit,DwyeJo00,rush_yds,9,,,,,
player,201310270rai,pit,DwyeJo00,rush_td,0,,,,,
player,201310270rai,pit,DwyeJo00,rush_long,8,,,,,
player,201310270rai,pit,DwyeJo00,targets,0,,,,,
player,201310270rai,pit,DwyeJo00,rec,0,,,,,
player,201310270rai,pit,DwyeJo00,rec_yds,0,,,,,
player,201310270rai,pit,DwyeJo00,rec_td,0,,,,,
player,201310270rai,pit,DwyeJo00,rec_long,0,,,,,
player,201310270rai,pit,DwyeJo00,fumbles,0,,,,,
