game,2013,9,20131103,201311030cle,rav,"Baltimore Ravens",18,cle,"Cleveland Browns",24
team,201311030cle,rav,First Downs,18,,,,,,
team,201311030cle,cle,First Downs,19,,,,,,
team,201311030cle,rav,Rush-Yds-TDs,21-55-0,,,,,,
team,201311030cle,cle,Rush-Yds-TDs,29-73-0,,,,,,
team,201311030cle,rav,Cmp-Att-Yd-TD-INT,24-41-250-2-1,,,,,,
team,201311030cle,cle,Cmp-Att-Yd-TD-INT,24-37-260-3-0,,,,,,
team,201311030cle,rav,Sacked-Yards,5-27,,,,,,
team,201311030cle,cle,Sacked-Yards,2-18,,,,,,
team,201311030cle,rav,Net Pass Yards,223,,,,,,
team,201311030cle,cle,Net Pass Yards,242,,,,,,
team,201311030cle,rav,Total Yards,278,,,,,,
team,201311030cle,cle,Total Yards,315,,,,,,
team,201311030cle,rav,Fumbles-Lost,1-1,,,,,,
team,201311030cle,cle,Fumbles-Lost,1-1,,,,,,
team,201311030cle,rav,Turnovers,2,,,,,,
team,201311030cle,cle,Turnovers,1,,,,,,
team,201311030cle,rav,Penalties-Yards,9-80,,,,,,
team,201311030cle,cle,Penalties-Yards,6-55,,,,,,
team,201311030cle,rav,Third Down Conv.,7-16,,,,,,
team,201311030cle,cle,Third Down Conv.,4-15,,,,,,
team,201311030cle,rav,Fourth Down Conv.,1-1,,,,,,
team,201311030cle,cle,Fourth Down Conv.,2-2,,,,,,
team,201311030cle,rav,Time of Possession,29:10,,,,,,
team,201311030cle,cle,Time of Possession,30:50,,,,,,
player,201311030cle,rav,FlacJo00,pass_cmp,24,,,,,
player,201311030cle,rav,FlacJo00,pass_att,41,,,,,
player,201311030cle,rav,FlacJo00,pass_yds,250,,,,,
player,201311030cle,rav,FlacJo00,pass_td,2,,,,,
player,201311030cle,rav,FlacJo00,pass_int,1,,,,,
player,201311030cle,rav,FlacJo00,pass_sacked,5,,,,,
player,201311030cle,rav,FlacJo00,pass_sacked_yds,27,,,,,
player,201311030cle,rav,FlacJo00,pass_long,46,,,,,
player,201311030cle,rav,FlacJo00,pass_rating,82.4,,,,,
player,201311030cle,rav,FlacJo00,rush_att,3,,,,,
player,201311030cle,rav,FlacJo00,rush_yds,25,,,,,
player,201311030cle,rav,FlacJo00,rush_td,0,,,,,
player,201311030cle,rav,FlacJo00,rush_long,15,,,,,
player,201311030cle,rav,FlacJo00,targets,0,,,,,
player,201311030cle,rav,FlacJo00,rec,0,,,,,
player,201311030cle,rav,FlacJo00,rec_yds,0,,,,,
player,201311030cle,rav,FlacJo00,rec_td,0,,,,,
player,201311030cle,rav,FlacJo00,rec_long,0,,,,,
player,201311030cle,rav,FlacJo00,fumbles,0,,,,,
player,201311030cle,rav,FlacJo00,fumbles_lost,0,,,,,
player,201311030cle,rav,RiceRa00,pass_cmp,0,,,,,
player,201311030cle,rav,RiceRa00,pass_att,0,,,,,
player,201311030cle,rav,RiceRa00,pass_yds,0,,,,,
player,201311030cle,rav,RiceRa00,pass_td,0,,,,,
player,201311030cle,rav,RiceRa00,pass_int,0,,,,,
player,201311030cle,rav,RiceRa00,pass_sacked,0,,,,,
player,201311030cle,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201311030cle,rav,RiceRa00,pass_long,0,,,,,
player,201311030cle,rav,RiceRa00,pass_rating,,,,,,
player,201311030cle,rav,RiceRa00,rush_att,11,,,,,
player,201311030cle,rav,RiceRa00,rush_yds,17,,,,,
player,201311030cle,rav,RiceRa00,rush_td,0,,,,,
player,201311030cle,rav,RiceRa00,rush_long,5,,,,,
player,201311030cle,rav,RiceRa00,targets,3,,,,,
player,201311030cle,rav,RiceRa00,rec,3,,,,,
player,201311030cle,rav,RiceRa00,rec_yds,21,,,,,
player,201311030cle,rav,RiceRa00,rec_td,0,,,,,
player,201311030cle,rav,RiceRa00,rec_long,18,,,,,
player,201311030cle,rav,RiceRa00,fumbles,0,,,,,
