game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
team,201311030htx,clt,First Downs,17,,,,,,
team,201311030htx,htx,First Downs,22,,,,,,
team,201311030htx,clt,Rush-Yds-TDs,14-69-0,,,,,,
team,201311030htx,htx,Rush-Yds-TDs,33-143-0,,,,,,
team,201311030htx,clt,Cmp-Att-Yd-TD-INT,18-40-271-3-0,,,,,,
team,201311030htx,htx,Cmp-Att-Yd-TD-INT,20-34-350-3-0,,,,,,
team,201311030htx,clt,Sacked-Yards,4-26,,,,,,
team,201311030htx,htx,Sacked-Yards,1-10,,,,,,
team,201311030htx,clt,Net Pass Yards,245,,,,,,
team,201311030htx,htx,Net Pass Yards,340,,,,,,
team,201311030htx,clt,Total Yards,314,,,,,,
team,201311030htx,htx,Total Yards,483,,,,,,
team,201311030htx,clt,Fumbles-Lost,0-0,,,,,,
team,201311030htx,htx,Fumbles-Lost,1-0,,,,,,
team,201311030htx,clt,Turnovers,0,,,,,,
team,201311030htx,htx,Turnovers,0,,,,,,
team,201311030htx,clt,Penalties-Yards,3-15,,,,,,
team,201311030htx,htx,Penalties-Yards,5-86,,,,,,
team,201311030htx,clt,Third Down Conv.,4-13,,,,,,
team,201311030htx,htx,Third Down Conv.,6-14,,,,,,
team,201311030htx,clt,Fourth Down Conv.,0-0,,,,,,
team,201311030htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201311030htx,clt,Time of Possession,23:48,,,,,,
team,201311030htx,htx,Time of Possession,36:12,,,,,,
player,201311030htx,clt,LuckAn00,pass_cmp,18,,,,,
player,201311030htx,clt,LuckAn00,pass_att,40,,,,,
player,201311030htx,clt,LuckAn00,pass_yds,271,,,,,
player,201311030htx,clt,LuckAn00,pass_td,3,,,,,
player,201311030htx,clt,LuckAn00,pass_int,0,,,,,
player,201311030htx,clt,LuckAn00,pass_sacked,4,,,,,
player,201311030htx,clt,LuckAn00,pass_sacked_yds,26,,,,,
player,201311030htx,clt,LuckAn00,pass_long,58,,,,,
player,201311030htx,clt,LuckAn00,pass_rating,92.8,,,,,
player,201311030htx,clt,LuckAn00,rush_att,0,,,,,
player,201311030htx,clt,LuckAn00,rush_yds,0,,,,,
player,201311030htx,clt,LuckAn00,rush_td,0,,,,,
player,201311030htx,clt,LuckAn00,rush_long,0,,,,,
player,201311030htx,clt,LuckAn00,targets,0,,,,,
player,201311030htx,clt,LuckAn00,rec,0,,,,,
