game,2013,10,20131110,201311100sfo,car,"Carolina Panthers",10,sfo,"San Francisco 49ers",9
team,201311100sfo,car,First Downs,15,,,,,,
team,201311100sfo,sfo,First Downs,10,,,,,,
team,201311100sfo,car,Rush-Yds-TDs,31-109-1,,,,,,
team,201311100sfo,sfo,Rush-Yds-TDs,24-105-0,,,,,,
team,201311100sfo,car,Cmp-Att-Yd-TD-INT,16-32-169-0-1,,,,,,
team,201311100sfo,sfo,Cmp-Att-Yd-TD-INT,11-22-91-0-1,,,,,,
team,201311100sfo,car,Sacked-Yards,3-28,,,,,,
team,201311100sfo,sfo,Sacked-Yards,6-45,,,,,,
team,201311100sfo,car,Net Pass Yards,141,,,,,,
team,201311100sfo,sfo,Net Pass Yards,46,,,,,,
team,201311100sfo,car,Total Yards,250,,,,,,
team,201311100sfo,sfo,Total Yards,151,,,,,,
team,201311100sfo,car,Fumbles-Lost,3-1,,,,,,
team,201311100sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201311100sfo,car,Turnovers,2,,,,,,
team,201311100sfo,sfo,Turnovers,2,,,,,,
team,201311100sfo,car,Penalties-Yards,3-25,,,,,,
team,201311100sfo,sfo,Penalties-Yards,4-25,,,,,,
team,201311100sfo,car,Third Down Conv.,7-17,,,,,,
team,201311100sfo,sfo,Third Down Conv.,2-13,,,,,,
team,201311100sfo,car,Fourth Down Conv.,0-0,,,,,,
team,201311100sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201311100sfo,car,Time of Possession,32:03,,,,,,
team,201311100sfo,sfo,Time of Possession,27:57,,,,,,
player,201311100sfo,car,NewtCa00,pass_cmp,16,,,,,
player,201311100sfo,car,NewtCa00,pass_att,32,,,,,
player,201311100sfo,car,NewtCa00,pass_yds,169,,,,,
player,201311100sfo,car,NewtCa00,pass_td,0,,,,,
player,201311100sfo,car,NewtCa00,pass_int,1,,,,,
player,201311100sfo,car,NewtCa00,pass_sacked,3,,,,,
player,201311100sfo,car,NewtCa00,pass_sacked_yds,28,,,,,
player,201311100sfo,car,NewtCa00,pass_long,19,,,,,
player,201311100sfo,car,NewtCa00,pass_rating,52.7,,,,,
player,201311100sfo,car,NewtCa00,rush_att,8,,,,,
player,201311100sfo,car,NewtCa00,rush_yds,15,,,,,
player,201311100sfo,car,NewtCa00,rush_td,0,,,,,
player,201311100sfo,car,NewtCa00,rush_long,6,,,,,
player,201311100sfo,car,NewtCa00,targets,0,,,,,
player,201311100sfo,car,NewtCa00,rec,0,,,,,
player,201311100sfo,car,NewtCa00,rec_yds,0,,,,,
player,201311100sfo,car,NewtCa00,rec_td,0,,,,,
player,201311100sfo,car,NewtCa00,rec_long,0,,,,,
player,201311100sfo,car,NewtCa00,fumbles,1,,,,,
player,201311100sfo,car,NewtCa00,fumbles_lost,0,,,,,
player,201311100sfo,car,WillDe02,pass_cmp,0,,,,,
player,201311100sfo,car,WillDe02,pass_att,0,,,,,
player,201311100sfo,car,WillDe02,pass_yds,0,,,,,
player,201311100sfo,car,WillDe02,pass_td,0,,,,,
player,201311100sfo,car,WillDe02,pass_int,0,,,,,
player,201311100sfo,car,WillDe02,pass_sacked,0,,,,,
player,201311100sfo,car,WillDe02,pass_sacked_yds,0,,,,,
player,201311100sfo,car,WillDe02,pass_long,0,,,,,
player,201311100sfo,car,WillDe02,pass_rating,,,,,,
player,201311100sfo,car,WillDe02,rush_att,8,,,,,
player,201311100sfo,car,WillDe02,rush_yds,46,,,,,
player,201311100sfo,car,WillDe02,rush_td,1,,,,,
player,201311100sfo,car,WillDe02,rush_long,27,,,,,
player,201311100sfo,car,WillDe02,targets,2,,,,,
player,201311100sfo,car,WillDe02,rec,0,,,,,
player,201311100sfo,car,WillDe02,rec_yds,0,,,,,
player,201311100sfo,car,WillDe02,rec_td,0,,,,,
player,201311100sfo,car,WillDe02,rec_long,0,,,,,
player,201311100sfo,car,WillDe02,fumbles,0,,,,,
player,201311100sfo,car,WillDe02,fumbles_lost,0,,,,,
player,201311100sfo,car,StewJo00,pass_cmp,0,,,,,
player,201311100sfo,car,StewJo00,pass_att,0,,,,,
player,201311100sfo,car,StewJo00,pass_yds,0,,,,,
player,201311100sfo,car,StewJo00,pass_td,0,,,,,
player,201311100sfo,car,StewJo00,pass_int,0,,,,,
player,201311100sfo,car,StewJo00,pass_sacked,0,,,,,
player,201311100sfo,car,StewJo00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,StewJo00,pass_long,0,,,,,
player,201311100sfo,car,StewJo00,pass_rating,,,,,,
player,201311100sfo,car,StewJo00,rush_att,13,,,,,
player,201311100sfo,car,StewJo00,rush_yds,41,,,,,
player,201311100sfo,car,StewJo00,rush_td,0,,,,,
player,201311100sfo,car,StewJo00,rush_long,7,,,,,
player,201311100sfo,car,StewJo00,targets,0,,,,,
player,201311100sfo,car,StewJo00,rec,0,,,,,
player,201311100sfo,car,StewJo00,rec_yds,0,,,,,
player,201311100sfo,car,StewJo00,rec_td,0,,,,,
player,201311100sfo,car,StewJo00,rec_long,0,,,,,
player,201311100sfo,car,StewJo00,fumbles,1,,,,,
player,201311100sfo,car,StewJo00,fumbles_lost,0,,,,,
player,201311100sfo,car,TolbMi00,pass_cmp,0,,,,,
player,201311100sfo,car,TolbMi00,pass_att,0,,,,,
player,201311100sfo,car,TolbMi00,pass_yds,0,,,,,
player,201311100sfo,car,TolbMi00,pass_td,0,,,,,
player,201311100sfo,car,TolbMi00,pass_int,0,,,,,
player,201311100sfo,car,TolbMi00,pass_sacked,0,,,,,
player,201311100sfo,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201311100sfo,car,TolbMi00,pass_long,0,,,,,
player,201311100sfo,car,TolbMi00,pass_rating,,,,,,
player,201311100sfo,car,TolbMi00,rush_att,2,,,,,
player,201311100sfo,car,TolbMi00,rush_yds,7,,,,,
player,201311100sfo,car,TolbMi00,rush_td,0,,,,,
player,201311100sfo,car,TolbMi00,rush_long,4,,,,,
player,201311100sfo,car,TolbMi00,targets,3,,,,,
player,201311100sfo,car,TolbMi00,rec,2,,,,,
player,201311100sfo,car,TolbMi00,rec_yds,16,,,,,
player,201311100sfo,car,TolbMi00,rec_td,0,,,,,
player,201311100sfo,car,TolbMi00,rec_long,17,,,,,
player,201311100sfo,car,TolbMi00,fumbles,0,,,,,
player,201311100sfo,car,TolbMi00,fumbles_lost,0,,,,,
player,201311100sfo,car,SmitSt01,pass_cmp,0,,,,,
player,201311100sfo,car,SmitSt01,pass_att,0,,,,,
player,201311100sfo,car,SmitSt01,pass_yds,0,,,,,
player,201311100sfo,car,SmitSt01,pass_td,0,,,,,
player,201311100sfo,car,SmitSt01,pass_int,0,,,,,
player,201311100sfo,car,SmitSt01,pass_sacked,0,,,,,
player,201311100sfo,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201311100sfo,car,SmitSt01,pass_long,0,,,,,
player,201311100sfo,car,SmitSt01,pass_rating,,,,,,
player,201311100sfo,car,SmitSt01,rush_att,0,,,,,
player,201311100sfo,car,SmitSt01,rush_yds,0,,,,,
player,201311100sfo,car,SmitSt01,rush_td,0,,,,,
player,201311100sfo,car,SmitSt01,rush_long,0,,,,,
