game,2013,11,20131117,201311170nor,sfo,"San Francisco 49ers",20,nor,"New Orleans Saints",23
team,201311170nor,sfo,First Downs,12,,,,,,
team,201311170nor,nor,First Downs,23,,,,,,
team,201311170nor,sfo,Rush-Yds-TDs,22-81-0,,,,,,
team,201311170nor,nor,Rush-Yds-TDs,23-92-1,,,,,,
team,201311170nor,sfo,Cmp-Att-Yd-TD-INT,17-31-127-2-1,,,,,,
team,201311170nor,nor,Cmp-Att-Yd-TD-INT,30-43-305-1-1,,,,,,
team,201311170nor,sfo,Sacked-Yards,3-12,,,,,,
team,201311170nor,nor,Sacked-Yards,1-10,,,,,,
team,201311170nor,sfo,Net Pass Yards,115,,,,,,
team,201311170nor,nor,Net Pass Yards,295,,,,,,
team,201311170nor,sfo,Total Yards,196,,,,,,
team,201311170nor,nor,Total Yards,387,,,,,,
team,201311170nor,sfo,Fumbles-Lost,1-0,,,,,,
team,201311170nor,nor,Fumbles-Lost,3-2,,,,,,
team,201311170nor,sfo,Turnovers,1,,,,,,
team,201311170nor,nor,Turnovers,3,,,,,,
team,201311170nor,sfo,Penalties-Yards,5-45,,,,,,
team,201311170nor,nor,Penalties-Yards,4-48,,,,,,
team,201311170nor,sfo,Third Down Conv.,6-15,,,,,,
team,201311170nor,nor,Third Down Conv.,6-14,,,,,,
team,201311170nor,sfo,Fourth Down Conv.,0-0,,,,,,
team,201311170nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201311170nor,sfo,Time of Possession,25:21,,,,,,
team,201311170nor,nor,Time of Possession,34:39,,,,,,
player,201311170nor,sfo,KaepCo00,pass_cmp,17,,,,,
player,201311170nor,sfo,KaepCo00,pass_att,31,,,,,
player,201311170nor,sfo,KaepCo00,pass_yds,127,,,,,
player,201311170nor,sfo,KaepCo00,pass_td,2,,,,,
player,201311170nor,sfo,KaepCo00,pass_int,1,,,,,
player,201311170nor,sfo,KaepCo00,pass_sacked,3,,,,,
player,201311170nor,sfo,KaepCo00,pass_sacked_yds,12,,,,,
player,201311170nor,sfo,KaepCo00,pass_long,17,,,,,
player,201311170nor,sfo,KaepCo00,pass_rating,72.9,,,,,
player,201311170nor,sfo,KaepCo00,rush_att,3,,,,,
player,201311170nor,sfo,KaepCo00,rush_yds,25,,,,,
player,201311170nor,sfo,KaepCo00,rush_td,0,,,,,
player,201311170nor,sfo,KaepCo00,rush_long,16,,,,,
player,201311170nor,sfo,KaepCo00,targets,0,,,,,
player,201311170nor,sfo,KaepCo00,rec,0,,,,,
player,201311170nor,sfo,KaepCo00,rec_yds,0,,,,,
player,201311170nor,sfo,KaepCo00,rec_td,0,,,,,
player,201311170nor,sfo,KaepCo00,rec_long,0,,,,,
player,201311170nor,sfo,KaepCo00,fumbles,0,,,,,
player,201311170nor,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_cmp,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_att,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_yds,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_td,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_int,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_sacked,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_long,0,,,,,
player,201311170nor,sfo,GoreFr00,pass_rating,,,,,,
player,201311170nor,sfo,GoreFr00,rush_att,13,,,,,
player,201311170nor,sfo,GoreFr00,rush_yds,48,,,,,
player,201311170nor,sfo,GoreFr00,rush_td,0,,,,,
player,201311170nor,sfo,GoreFr00,rush_long,24,,,,,
player,201311170nor,sfo,GoreFr00,targets,3,,,,,
player,201311170nor,sfo,GoreFr00,rec,2,,,,,
player,201311170nor,sfo,GoreFr00,rec_yds,8,,,,,
player,201311170nor,sfo,GoreFr00,rec_td,0,,,,,
player,201311170nor,sfo,GoreFr00,rec_long,6,,,,,
player,201311170nor,sfo,GoreFr00,fumbles,0,,,,,
