game,2013,12,20131124,201311240kan,sdg,"San Diego Chargers",41,kan,"Kansas City Chiefs",38
team,201311240kan,sdg,First Downs,24,,,,,,
team,201311240kan,kan,First Downs,26,,,,,,
team,201311240kan,sdg,Rush-Yds-TDs,27-104-2,,,,,,
team,201311240kan,kan,Rush-Yds-TDs,18-114-2,,,,,,
team,201311240kan,sdg,Cmp-Att-Yd-TD-INT,27-39-392-3-0,,,,,,
team,201311240kan,kan,Cmp-Att-Yd-TD-INT,26-38-294-3-1,,,,,,
team,201311240kan,sdg,Sacked-Yards,1-5,,,,,,
team,201311240kan,kan,Sacked-Yards,3-13,,,,,,
team,201311240kan,sdg,Net Pass Yards,387,,,,,,
team,201311240kan,kan,Net Pass Yards,281,,,,,,
team,201311240kan,sdg,Total Yards,491,,,,,,
team,201311240kan,kan,Total Yards,395,,,,,,
team,201311240kan,sdg,Fumbles-Lost,1-0,,,,,,
team,201311240kan,kan,Fumbles-Lost,1-1,,,,,,
team,201311240kan,sdg,Turnovers,0,,,,,,
team,201311240kan,kan,Turnovers,2,,,,,,
team,201311240kan,sdg,Penalties-Yards,9-97,,,,,,
team,201311240kan,kan,Penalties-Yards,7-62,,,,,,
team,201311240kan,sdg,Third Down Conv.,7-15,,,,,,
team,201311240kan,kan,Third Down Conv.,3-9,,,,,,
team,201311240kan,sdg,Fourth Down Conv.,1-1,,,,,,
team,201311240kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201311240kan,sdg,Time of Possession,30:57,,,,,,
team,201311240kan,kan,Time of Possession,29:03,,,,,,
player,201311240kan,sdg,RivePh00,pass_cmp,27,,,,,
player,201311240kan,sdg,RivePh00,pass_att,39,,,,,
player,201311240kan,sdg,RivePh00,pass_yds,392,,,,,
player,201311240kan,sdg,RivePh00,pass_td,3,,,,,
player,201311240kan,sdg,RivePh00,pass_int,0,,,,,
player,201311240kan,sdg,RivePh00,pass_sacked,1,,,,,
player,201311240kan,sdg,RivePh00,pass_sacked_yds,5,,,,,
player,201311240kan,sdg,RivePh00,pass_long,60,,,,,
player,201311240kan,sdg,RivePh00,pass_rating,127.3,,,,,
player,201311240kan,sdg,RivePh00,rush_att,1,,,,,
