game,2013,12,20131124,201311240mia,car,"Carolina Panthers",20,mia,"Miami Dolphins",16
team,201311240mia,car,First Downs,20,,,,,,
team,201311240mia,mia,First Downs,13,,,,,,
team,201311240mia,car,Rush-Yds-TDs,28-136-1,,,,,,
team,201311240mia,mia,Rush-Yds-TDs,17-52-0,,,,,,
team,201311240mia,car,Cmp-Att-Yd-TD-INT,19-38-174-1-1,,,,,,
team,201311240mia,mia,Cmp-Att-Yd-TD-INT,28-42-310-1-1,,,,,,
team,201311240mia,car,Sacked-Yards,3-15,,,,,,
team,201311240mia,mia,Sacked-Yards,3-30,,,,,,
team,201311240mia,car,Net Pass Yards,159,,,,,,
team,201311240mia,mia,Net Pass Yards,280,,,,,,
team,201311240mia,car,Total Yards,295,,,,,,
team,201311240mia,mia,Total Yards,332,,,,,,
team,201311240mia,car,Fumbles-Lost,0-0,,,,,,
team,201311240mia,mia,Fumbles-Lost,0-0,,,,,,
team,201311240mia,car,Turnovers,1,,,,,,
team,201311240mia,mia,Turnovers,1,,,,,,
team,201311240mia,car,Penalties-Yards,8-56,,,,,,
team,201311240mia,mia,Penalties-Yards,6-55,,,,,,
team,201311240mia,car,Third Down Conv.,6-17,,,,,,
team,201311240mia,mia,Third Down Conv.,4-16,,,,,,
team,201311240mia,car,Fourth Down Conv.,2-2,,,,,,
team,201311240mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201311240mia,car,Time of Possession,30:12,,,,,,
team,201311240mia,mia,Time of Possession,29:48,,,,,,
player,201311240mia,car,NewtCa00,pass_cmp,19,,,,,
player,201311240mia,car,NewtCa00,pass_att,38,,,,,
player,201311240mia,car,NewtCa00,pass_yds,174,,,,,
player,201311240mia,car,NewtCa00,pass_td,1,,,,,
player,201311240mia,car,NewtCa00,pass_int,1,,,,,
player,201311240mia,car,NewtCa00,pass_sacked,3,,,,,
player,201311240mia,car,NewtCa00,pass_sacked_yds,15,,,,,
player,201311240mia,car,NewtCa00,pass_long,29,,,,,
player,201311240mia,car,NewtCa00,pass_rating,60.6,,,,,
player,201311240mia,car,NewtCa00,rush_att,7,,,,,
player,201311240mia,car,NewtCa00,rush_yds,51,,,,,
player,201311240mia,car,NewtCa00,rush_td,1,,,,,
player,201311240mia,car,NewtCa00,rush_long,14,,,,,
player,201311240mia,car,NewtCa00,targets,0,,,,,
player,201311240mia,car,NewtCa00,rec,0,,,,,
player,201311240mia,car,NewtCa00,rec_yds,0,,,,,
player,201311240mia,car,NewtCa00,rec_td,0,,,,,
player,201311240mia,car,NewtCa00,rec_long,0,,,,,
player,201311240mia,car,NewtCa00,fumbles,0,,,,,
player,201311240mia,car,NewtCa00,fumbles_lost,0,,,,,
player,201311240mia,car,WillDe02,pass_cmp,0,,,,,
player,201311240mia,car,WillDe02,pass_att,0,,,,,
player,201311240mia,car,WillDe02,pass_yds,0,,,,,
player,201311240mia,car,WillDe02,pass_td,0,,,,,
player,201311240mia,car,WillDe02,pass_int,0,,,,,
player,201311240mia,car,WillDe02,pass_sacked,0,,,,,
player,201311240mia,car,WillDe02,pass_sacked_yds,0,,,,,
player,201311240mia,car,WillDe02,pass_long,0,,,,,
player,201311240mia,car,WillDe02,pass_rating,,,,,,
player,201311240mia,car,WillDe02,rush_att,10,,,,,
player,201311240mia,car,WillDe02,rush_yds,31,,,,,
player,201311240mia,car,WillDe02,rush_td,0,,,,,
player,201311240mia,car,WillDe02,rush_long,9,,,,,
player,201311240mia,car,WillDe02,targets,3,,,,,
player,201311240mia,car,WillDe02,rec,2,,,,,
player,201311240mia,car,WillDe02,rec_yds,16,,,,,
player,201311240mia,car,WillDe02,rec_td,0,,,,,
player,201311240mia,car,WillDe02,rec_long,13,,,,,
player,201311240mia,car,WillDe02,fumbles,0,,,,,
player,201311240mia,car,WillDe02,fumbles_lost,0,,,,,
player,201311240mia,car,StewJo00,pass_cmp,0,,,,,
player,201311240mia,car,StewJo00,pass_att,0,,,,,
player,201311240mia,car,StewJo00,pass_yds,0,,,,,
player,201311240mia,car,StewJo00,pass_td,0,,,,,
player,201311240mia,car,StewJo00,pass_int,0,,,,,
player,201311240mia,car,StewJo00,pass_sacked,0,,,,,
player,201311240mia,car,StewJo00,pass_sacked_yds,0,,,,,
player,201311240mia,car,StewJo00,pass_long,0,,,,,
player,201311240mia,car,StewJo00,pass_rating,,,,,,
player,201311240mia,car,StewJo00,rush_att,7,,,,,
player,201311240mia,car,StewJo00,rush_yds,31,,,,,
player,201311240mia,car,StewJo00,rush_td,0,,,,,
player,201311240mia,car,StewJo00,rush_long,12,,,,,
player,201311240mia,car,StewJo00,targets,1,,,,,
player,201311240mia,car,StewJo00,rec,1,,,,,
player,201311240mia,car,StewJo00,rec_yds,3,,,,,
player,201311240mia,car,StewJo00,rec_td,0,,,,,
player,201311240mia,car,StewJo00,rec_long,3,,,,,
player,201311240mia,car,StewJo00,fumbles,0,,,,,
player,201311240mia,car,StewJo00,fumbles_lost,0,,,,,
player,201311240mia,car,TolbMi00,pass_cmp,0,,,,,
player,201311240mia,car,TolbMi00,pass_att,0,,,,,
player,201311240mia,car,TolbMi00,pass_yds,0,,,,,
player,201311240mia,car,TolbMi00,pass_td,0,,,,,
player,201311240mia,car,TolbMi00,pass_int,0,,,,,
player,201311240mia,car,TolbMi00,pass_sacked,0,,,,,
player,201311240mia,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201311240mia,car,TolbMi00,pass_long,0,,,,,
player,201311240mia,car,TolbMi00,pass_rating,,,,,,
player,201311240mia,car,TolbMi00,rush_att,4,,,,,
player,201311240mia,car,TolbMi00,rush_yds,23,,,,,
player,201311240mia,car,TolbMi00,rush_td,0,,,,,
player,201311240mia,car,TolbMi00,rush_long,15,,,,,
