game,2013,14,20131208,201312080den,oti,"Tennessee Titans",28,den,"Denver Broncos",51
team,201312080den,oti,First Downs,15,,,,,,
team,201312080den,den,First Downs,39,,,,,,
team,201312080den,oti,Rush-Yds-TDs,22-96-3,,,,,,
team,201312080den,den,Rush-Yds-TDs,32-154-2,,,,,,
team,201312080den,oti,Cmp-Att-Yd-TD-INT,13-24-172-1-1,,,,,,
team,201312080den,den,Cmp-Att-Yd-TD-INT,39-59-397-4-0,,,,,,
team,201312080den,oti,Sacked-Yards,2-14,,,,,,
team,201312080den,den,Sacked-Yards,0-0,,,,,,
team,201312080den,oti,Net Pass Yards,158,,,,,,
team,201312080den,den,Net Pass Yards,397,,,,,,
team,201312080den,oti,Total Yards,254,,,,,,
team,201312080den,den,Total Yards,551,,,,,,
team,201312080den,oti,Fumbles-Lost,1-1,,,,,,
team,201312080den,den,Fumbles-Lost,0-0,,,,,,
team,201312080den,oti,Turnovers,2,,,,,,
team,201312080den,den,Turnovers,0,,,,,,
team,201312080den,oti,Penalties-Yards,8-66,,,,,,
team,201312080den,den,Penalties-Yards,7-60,,,,,,
team,201312080den,oti,Third Down Conv.,2-9,,,,,,
team,201312080den,den,Third Down Conv.,5-13,,,,,,
team,201312080den,oti,Fourth Down Conv.,2-3,,,,,,
team,201312080den,den,Fourth Down Conv.,3-3,,,,,,
team,201312080den,oti,Time of Possession,20:40,,,,,,
team,201312080den,den,Time of Possession,39:20,,,,,,
player,201312080den,oti,FitzRy00,pass_cmp,13,,,,,
player,201312080den,oti,FitzRy00,pass_att,24,,,,,
player,201312080den,oti,FitzRy00,pass_yds,172,,,,,
player,201312080den,oti,FitzRy00,pass_td,1,,,,,
player,201312080den,oti,FitzRy00,pass_int,1,,,,,
player,201312080den,oti,FitzRy00,pass_sacked,2,,,,,
player,201312080den,oti,FitzRy00,pass_sacked_yds,14,,,,,
player,201312080den,oti,FitzRy00,pass_long,57,,,,,
player,201312080den,oti,FitzRy00,pass_rating,73.6,,,,,
player,201312080den,oti,FitzRy00,rush_att,1,,,,,
player,201312080den,oti,FitzRy00,rush_yds,4,,,,,
player,201312080den,oti,FitzRy00,rush_td,0,,,,,
player,201312080den,oti,FitzRy00,rush_long,4,,,,,
player,201312080den,oti,FitzRy00,targets,0,,,,,
player,201312080den,oti,FitzRy00,rec,0,,,,,
player,201312080den,oti,FitzRy00,rec_yds,0,,,,,
player,201312080den,oti,FitzRy00,rec_td,0,,,,,
player,201312080den,oti,FitzRy00,rec_long,0,,,,,
player,201312080den,oti,FitzRy00,fumbles,0,,,,,
player,201312080den,oti,FitzRy00,fumbles_lost,0,,,,,
player,201312080den,oti,JohnCh04,pass_cmp,0,,,,,
player,201312080den,oti,JohnCh04,pass_att,0,,,,,
player,201312080den,oti,JohnCh04,pass_yds,0,,,,,
player,201312080den,oti,JohnCh04,pass_td,0,,,,,
player,201312080den,oti,JohnCh04,pass_int,0,,,,,
player,201312080den,oti,JohnCh04,pass_sacked,0,,,,,
player,201312080den,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201312080den,oti,JohnCh04,pass_long,0,,,,,
