game,2013,15,20131215,201312150nyg,sea,"Seattle Seahawks",23,nyg,"New York Giants",0
team,201312150nyg,sea,First Downs,21,,,,,,
team,201312150nyg,nyg,First Downs,12,,,,,,
team,201312150nyg,sea,Rush-Yds-TDs,34-134-1,,,,,,
team,201312150nyg,nyg,Rush-Yds-TDs,14-25-0,,,,,,
team,201312150nyg,sea,Cmp-Att-Yd-TD-INT,20-29-222-1-1,,,,,,
team,201312150nyg,nyg,Cmp-Att-Yd-TD-INT,22-35-186-0-5,,,,,,
team,201312150nyg,sea,Sacked-Yards,4-29,,,,,,
team,201312150nyg,nyg,Sacked-Yards,4-30,,,,,,
team,201312150nyg,sea,Net Pass Yards,193,,,,,,
team,201312150nyg,nyg,Net Pass Yards,156,,,,,,
team,201312150nyg,sea,Total Yards,327,,,,,,
team,201312150nyg,nyg,Total Yards,181,,,,,,
team,201312150nyg,sea,Fumbles-Lost,2-0,,,,,,
team,201312150nyg,nyg,Fumbles-Lost,2-0,,,,,,
team,201312150nyg,sea,Turnovers,1,,,,,,
team,201312150nyg,nyg,Turnovers,5,,,,,,
team,201312150nyg,sea,Penalties-Yards,8-50,,,,,,
team,201312150nyg,nyg,Penalties-Yards,5-38,,,,,,
team,201312150nyg,sea,Third Down Conv.,3-13,,,,,,
team,201312150nyg,nyg,Third Down Conv.,1-10,,,,,,
team,201312150nyg,sea,Fourth Down Conv.,0-0,,,,,,
team,201312150nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201312150nyg,sea,Time of Possession,33:58,,,,,,
team,201312150nyg,nyg,Time of Possession,26:02,,,,,,
player,201312150nyg,sea,WilsRu00,pass_cmp,18,,,,,
player,201312150nyg,sea,WilsRu00,pass_att,27,,,,,
player,201312150nyg,sea,WilsRu00,pass_yds,206,,,,,
player,201312150nyg,sea,WilsRu00,pass_td,1,,,,,
player,201312150nyg,sea,WilsRu00,pass_int,1,,,,,
player,201312150nyg,sea,WilsRu00,pass_sacked,4,,,,,
player,201312150nyg,sea,WilsRu00,pass_sacked_yds,29,,,,,
player,201312150nyg,sea,WilsRu00,pass_long,30,,,,,
player,201312150nyg,sea,WilsRu00,pass_rating,86.3,,,,,
player,201312150nyg,sea,WilsRu00,rush_att,8,,,,,
player,201312150nyg,sea,WilsRu00,rush_yds,50,,,,,
player,201312150nyg,sea,WilsRu00,rush_td,0,,,,,
player,201312150nyg,sea,WilsRu00,rush_long,16,,,,,
player,201312150nyg,sea,WilsRu00,targets,0,,,,,
player,201312150nyg,sea,WilsRu00,rec,0,,,,,
player,201312150nyg,sea,WilsRu00,rec_yds,0,,,,,
player,201312150nyg,sea,WilsRu00,rec_td,0,,,,,
player,201312150nyg,sea,WilsRu00,rec_long,0,,,,,
player,201312150nyg,sea,WilsRu00,fumbles,1,,,,,
player,201312150nyg,sea,WilsRu00,fumbles_lost,0,,,,,
player,201312150nyg,sea,JackTa00,pass_cmp,2,,,,,
player,201312150nyg,sea,JackTa00,pass_att,2,,,,,
player,201312150nyg,sea,JackTa00,pass_yds,16,,,,,
player,201312150nyg,sea,JackTa00,pass_td,0,,,,,
player,201312150nyg,sea,JackTa00,pass_int,0,,,,,
player,201312150nyg,sea,JackTa00,pass_sacked,0,,,,,
player,201312150nyg,sea,JackTa00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,JackTa00,pass_long,15,,,,,
player,201312150nyg,sea,JackTa00,pass_rating,100.0,,,,,
player,201312150nyg,sea,JackTa00,rush_att,0,,,,,
player,201312150nyg,sea,JackTa00,rush_yds,0,,,,,
player,201312150nyg,sea,JackTa00,rush_td,0,,,,,
player,201312150nyg,sea,JackTa00,rush_long,0,,,,,
player,201312150nyg,sea,JackTa00,targets,0,,,,,
player,201312150nyg,sea,JackTa00,rec,0,,,,,
player,201312150nyg,sea,JackTa00,rec_yds,0,,,,,
player,201312150nyg,sea,JackTa00,rec_td,0,,,,,
player,201312150nyg,sea,JackTa00,rec_long,0,,,,,
player,201312150nyg,sea,JackTa00,fumbles,0,,,,,
player,201312150nyg,sea,JackTa00,fumbles_lost,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_cmp,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_att,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_yds,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_td,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_int,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_sacked,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_long,0,,,,,
player,201312150nyg,sea,LyncMa00,pass_rating,,,,,,
player,201312150nyg,sea,LyncMa00,rush_att,16,,,,,
player,201312150nyg,sea,LyncMa00,rush_yds,47,,,,,
player,201312150nyg,sea,LyncMa00,rush_td,1,,,,,
player,201312150nyg,sea,LyncMa00,rush_long,10,,,,,
player,201312150nyg,sea,LyncMa00,targets,6,,,,,
player,201312150nyg,sea,LyncMa00,rec,6,,,,,
player,201312150nyg,sea,LyncMa00,rec_yds,73,,,,,
player,201312150nyg,sea,LyncMa00,rec_td,0,,,,,
player,201312150nyg,sea,LyncMa00,rec_long,30,,,,,
player,201312150nyg,sea,LyncMa00,fumbles,0,,,,,
player,201312150nyg,sea,LyncMa00,fumbles_lost,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_cmp,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_att,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_yds,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_td,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_int,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_sacked,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_long,0,,,,,
player,201312150nyg,sea,TurbRo00,pass_rating,,,,,,
player,201312150nyg,sea,TurbRo00,rush_att,9,,,,,
player,201312150nyg,sea,TurbRo00,rush_yds,34,,,,,
player,201312150nyg,sea,TurbRo00,rush_td,0,,,,,
player,201312150nyg,sea,TurbRo00,rush_long,11,,,,,
player,201312150nyg,sea,TurbRo00,targets,1,,,,,
player,201312150nyg,sea,TurbRo00,rec,1,,,,,
player,201312150nyg,sea,TurbRo00,rec_yds,1,,,,,
player,201312150nyg,sea,TurbRo00,rec_td,0,,,,,
player,201312150nyg,sea,TurbRo00,rec_long,1,,,,,
player,201312150nyg,sea,TurbRo00,fumbles,0,,,,,
player,201312150nyg,sea,TurbRo00,fumbles_lost,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_cmp,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_att,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_yds,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_td,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_int,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_sacked,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_long,0,,,,,
player,201312150nyg,sea,BaldDo00,pass_rating,,,,,,
player,201312150nyg,sea,BaldDo00,rush_att,1,,,,,
player,201312150nyg,sea,BaldDo00,rush_yds,3,,,,,
player,201312150nyg,sea,BaldDo00,rush_td,0,,,,,
player,201312150nyg,sea,BaldDo00,rush_long,3,,,,,
player,201312150nyg,sea,BaldDo00,targets,7,,,,,
player,201312150nyg,sea,BaldDo00,rec,6,,,,,
player,201312150nyg,sea,BaldDo00,rec_yds,71,,,,,
player,201312150nyg,sea,BaldDo00,rec_td,1,,,,,
player,201312150nyg,sea,BaldDo00,rec_long,25,,,,,
player,201312150nyg,sea,BaldDo00,fumbles,0,,,,,
player,201312150nyg,sea,BaldDo00,fumbles_lost,0,,,,,
player,201312150nyg,sea,TateGo00,pass_cmp,0,,,,,
player,201312150nyg,sea,TateGo00,pass_att,0,,,,,
