game,2013,16,20131222,201312220htx,den,"Denver Broncos",37,htx,"Houston Texans",13
team,201312220htx,den,First Downs,25,,,,,,
team,201312220htx,htx,First Downs,14,,,,,,
team,201312220htx,den,Rush-Yds-TDs,18-114-0,,,,,,
team,201312220htx,htx,Rush-Yds-TDs,26-87-0,,,,,,
team,201312220htx,den,Cmp-Att-Yd-TD-INT,32-51-400-4-0,,,,,,
team,201312220htx,htx,Cmp-Att-Yd-TD-INT,18-37-176-1-2,,,,,,
team,201312220htx,den,Sacked-Yards,1-3,,,,,,
team,201312220htx,htx,Sacked-Yards,3-23,,,,,,
team,201312220htx,den,Net Pass Yards,397,,,,,,
team,201312220htx,htx,Net Pass Yards,153,,,,,,
team,201312220htx,den,Total Yards,511,,,,,,
team,201312220htx,htx,Total Yards,240,,,,,,
team,201312220htx,den,Fumbles-Lost,1-0,,,,,,
team,201312220htx,htx,Fumbles-Lost,1-0,,,,,,
team,201312220htx,den,Turnovers,0,,,,,,
team,201312220htx,htx,Turnovers,2,,,,,,
team,201312220htx,den,Penalties-Yards,8-67,,,,,,
team,201312220htx,htx,Penalties-Yards,4-57,,,,,,
team,201312220htx,den,Third Down Conv.,2-11,,,,,,
team,201312220htx,htx,Third Down Conv.,6-16,,,,,,
team,201312220htx,den,Fourth Down Conv.,0-1,,,,,,
team,201312220htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201312220htx,den,Time of Possession,28:53,,,,,,
team,201312220htx,htx,Time of Possession,31:07,,,,,,
player,201312220htx,den,MannPe00,pass_cmp,32,,,,,
player,201312220htx,den,MannPe00,pass_att,51,,,,,
player,201312220htx,den,MannPe00,pass_yds,400,,,,,
player,201312220htx,den,MannPe00,pass_td,4,,,,,
player,201312220htx,den,MannPe00,pass_int,0,,,,,
player,201312220htx,den,MannPe00,pass_sacked,1,,,,,
player,201312220htx,den,MannPe00,pass_sacked_yds,3,,,,,
player,201312220htx,den,MannPe00,pass_long,36,,,,,
player,201312220htx,den,MannPe00,pass_rating,113.2,,,,,
player,201312220htx,den,MannPe00,rush_att,0,,,,,
player,201312220htx,den,MannPe00,rush_yds,0,,,,,
player,201312220htx,den,MannPe00,rush_td,0,,,,,
player,201312220htx,den,MannPe00,rush_long,0,,,,,
player,201312220htx,den,MannPe00,targets,0,,,,,
player,201312220htx,den,MannPe00,rec,0,,,,,
player,201312220htx,den,MannPe00,rec_yds,0,,,,,
player,201312220htx,den,MannPe00,rec_td,0,,,,,
player,201312220htx,den,MannPe00,rec_long,0,,,,,
player,201312220htx,den,MannPe00,fumbles,0,,,,,
player,201312220htx,den,MannPe00,fumbles_lost,0,,,,,
player,201312220htx,den,MoreKn00,pass_cmp,0,,,,,
player,201312220htx,den,MoreKn00,pass_att,0,,,,,
