game,2013,17,20131229,201312290sdg,kan,"Kansas City Chiefs",24,sdg,"San Diego Chargers",27
team,201312290sdg,kan,First Downs,22,,,,,,
team,201312290sdg,sdg,First Downs,19,,,,,,
team,201312290sdg,kan,Rush-Yds-TDs,37-143-2,,,,,,
team,201312290sdg,sdg,Rush-Yds-TDs,36-186-0,,,,,,
team,201312290sdg,kan,Cmp-Att-Yd-TD-INT,21-30-200-1-0,,,,,,
team,201312290sdg,sdg,Cmp-Att-Yd-TD-INT,22-33-229-3-1,,,,,,
team,201312290sdg,kan,Sacked-Yards,2-11,,,,,,
team,201312290sdg,sdg,Sacked-Yards,3-10,,,,,,
team,201312290sdg,kan,Net Pass Yards,189,,,,,,
team,201312290sdg,sdg,Net Pass Yards,219,,,,,,
team,201312290sdg,kan,Total Yards,332,,,,,,
team,201312290sdg,sdg,Total Yards,405,,,,,,
team,201312290sdg,kan,Fumbles-Lost,1-0,,,,,,
team,201312290sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201312290sdg,kan,Turnovers,0,,,,,,
team,201312290sdg,sdg,Turnovers,1,,,,,,
team,201312290sdg,kan,Penalties-Yards,1-5,,,,,,
team,201312290sdg,sdg,Penalties-Yards,4-22,,,,,,
team,201312290sdg,kan,Third Down Conv.,6-14,,,,,,
team,201312290sdg,sdg,Third Down Conv.,9-17,,,,,,
team,201312290sdg,kan,Fourth Down Conv.,0-1,,,,,,
team,201312290sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201312290sdg,kan,Time of Possession,34:36,,,,,,
team,201312290sdg,sdg,Time of Possession,37:08,,,,,,
player,201312290sdg,kan,DaniCh00,pass_cmp,21,,,,,
player,201312290sdg,kan,DaniCh00,pass_att,30,,,,,
player,201312290sdg,kan,DaniCh00,pass_yds,200,,,,,
player,201312290sdg,kan,DaniCh00,pass_td,1,,,,,
player,201312290sdg,kan,DaniCh00,pass_int,0,,,,,
player,201312290sdg,kan,DaniCh00,pass_sacked,2,,,,,
player,201312290sdg,kan,DaniCh00,pass_sacked_yds,11,,,,,
player,201312290sdg,kan,DaniCh00,pass_long,48,,,,,
player,201312290sdg,kan,DaniCh00,pass_rating,99.3,,,,,
player,201312290sdg,kan,DaniCh00,rush_att,7,,,,,
player,201312290sdg,kan,DaniCh00,rush_yds,59,,,,,
player,201312290sdg,kan,DaniCh00,rush_td,0,,,,,
player,201312290sdg,kan,DaniCh00,rush_long,29,,,,,
player,201312290sdg,kan,DaniCh00,targets,0,,,,,
player,201312290sdg,kan,DaniCh00,rec,0,,,,,
player,201312290sdg,kan,DaniCh00,rec_yds,0,,,,,
player,201312290sdg,kan,DaniCh00,rec_td,0,,,,,
player,201312290sdg,kan,DaniCh00,rec_long,0,,,,,
player,201312290sdg,kan,DaniCh00,fumbles,0,,,,,
player,201312290sdg,kan,DaniCh00,fumbles_lost,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_cmp,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_att,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_yds,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_td,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_int,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_sacked,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_long,0,,,,,
player,201312290sdg,kan,DaviKn00,pass_rating,,,,,,
player,201312290sdg,kan,DaviKn00,rush_att,27,,,,,
player,201312290sdg,kan,DaviKn00,rush_yds,81,,,,,
player,201312290sdg,kan,DaviKn00,rush_td,2,,,,,
player,201312290sdg,kan,DaviKn00,rush_long,18,,,,,
player,201312290sdg,kan,DaviKn00,targets,4,,,,,
player,201312290sdg,kan,DaviKn00,rec,2,,,,,
player,201312290sdg,kan,DaviKn00,rec_yds,5,,,,,
player,201312290sdg,kan,DaviKn00,rec_td,0,,,,,
player,201312290sdg,kan,DaviKn00,rec_long,6,,,,,
player,201312290sdg,kan,DaviKn00,fumbles,0,,,,,
player,201312290sdg,kan,DaviKn00,fumbles_lost,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_cmp,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_att,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_yds,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_td,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_int,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_sacked,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_sacked_yds,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_long,0,,,,,
player,201312290sdg,kan,GrayCy00,pass_rating,,,,,,
player,201312290sdg,kan,GrayCy00,rush_att,2,,,,,
player,201312290sdg,kan,GrayCy00,rush_yds,2,,,,,
player,201312290sdg,kan,GrayCy00,rush_td,0,,,,,
player,201312290sdg,kan,GrayCy00,rush_long,3,,,,,
player,201312290sdg,kan,GrayCy00,targets,4,,,,,
player,201312290sdg,kan,GrayCy00,rec,3,,,,,
