game,2014,1,20140907,201409070den,clt,"Indianapolis Colts",24,den,"Denver Broncos",31
team,201409070den,clt,First Downs,24,,,,,,
team,201409070den,den,First Downs,24,,,,,,
team,201409070den,clt,Rush-Yds-TDs,14-54-1,,,,,,
team,201409070den,den,Rush-Yds-TDs,32-102-1,,,,,,
team,201409070den,clt,Cmp-Att-Yd-TD-INT,35-53-370-2-2,,,,,,
team,201409070den,den,Cmp-Att-Yd-TD-INT,22-36-269-3-0,,,,,,
team,201409070den,clt,Sacked-Yards,3-16,,,,,,
team,201409070den,den,Sacked-Yards,1-10,,,,,,
team,201409070den,clt,Net Pass Yards,354,,,,,,
team,201409070den,den,Net Pass Yards,259,,,,,,
team,201409070den,clt,Total Yards,408,,,,,,
team,201409070den,den,Total Yards,361,,,,,,
team,201409070den,clt,Fumbles-Lost,1-0,,,,,,
team,201409070den,den,Fumbles-Lost,2-0,,,,,,
team,201409070den,clt,Turnovers,2,,,,,,
team,201409070den,den,Turnovers,0,,,,,,
team,201409070den,clt,Penalties-Yards,9-45,,,,,,
team,201409070den,den,Penalties-Yards,7-70,,,,,,
team,201409070den,clt,Third Down Conv.,4-13,,,,,,
team,201409070den,den,Third Down Conv.,7-14,,,,,,
team,201409070den,clt,Fourth Down Conv.,2-4,,,,,,
team,201409070den,den,Fourth Down Conv.,0-0,,,,,,
team,201409070den,clt,Time of Possession,27:36,,,,,,
team,201409070den,den,Time of Possession,32:24,,,,,,
player,201409070den,clt,LuckAn00,pass_cmp,35,,,,,
player,201409070den,clt,LuckAn00,pass_att,53,,,,,
player,201409070den,clt,LuckAn00,pass_yds,370,,,,,
player,201409070den,clt,LuckAn00,pass_td,2,,,,,
player,201409070den,clt,LuckAn00,pass_int,2,,,,,
player,201409070den,clt,LuckAn00,pass_sacked,3,,,,,
player,201409070den,clt,LuckAn00,pass_sacked_yds,16,,,,,
player,201409070den,clt,LuckAn00,pass_long,41,,,,,
player,201409070den,clt,LuckAn00,pass_rating,83.1,,,,,
player,201409070den,clt,LuckAn00,rush_att,5,,,,,
player,201409070den,clt,LuckAn00,rush_yds,19,,,,,
player,201409070den,clt,LuckAn00,rush_td,1,,,,,
player,201409070den,clt,LuckAn00,rush_long,9,,,,,
player,201409070den,clt,LuckAn00,targets,0,,,,,
player,201409070den,clt,LuckAn00,rec,0,,,,,
player,201409070den,clt,LuckAn00,rec_yds,0,,,,,
player,201409070den,clt,LuckAn00,rec_td,0,,,,,
player,201409070den,clt,LuckAn00,rec_long,0,,,,,
player,201409070den,clt,LuckAn00,fumbles,0,,,,,
player,201409070den,clt,LuckAn00,fumbles_lost,0,,,,,
player,201409070den,clt,RichTr00,pass_cmp,0,,,,,
player,201409070den,clt,RichTr00,pass_att,0,,,,,
