game,2014,1,20140908,201409080det,nyg,"New York Giants",14,det,"Detroit Lions",35
team,201409080det,nyg,First Downs,16,,,,,,
team,201409080det,det,First Downs,20,,,,,,
team,201409080det,nyg,Rush-Yds-TDs,22-53-1,,,,,,
team,201409080det,det,Rush-Yds-TDs,30-76-2,,,,,,
team,201409080det,nyg,Cmp-Att-Yd-TD-INT,18-33-163-1-2,,,,,,
team,201409080det,det,Cmp-Att-Yd-TD-INT,22-32-346-2-0,,,,,,
team,201409080det,nyg,Sacked-Yards,2-19,,,,,,
team,201409080det,det,Sacked-Yards,1-5,,,,,,
team,201409080det,nyg,Net Pass Yards,144,,,,,,
team,201409080det,det,Net Pass Yards,341,,,,,,
team,201409080det,nyg,Total Yards,197,,,,,,
team,201409080det,det,Total Yards,417,,,,,,
team,201409080det,nyg,Fumbles-Lost,0-0,,,,,,
team,201409080det,det,Fumbles-Lost,1-0,,,,,,
team,201409080det,nyg,Turnovers,2,,,,,,
team,201409080det,det,Turnovers,0,,,,,,
team,201409080det,nyg,Penalties-Yards,4-25,,,,,,
team,201409080det,det,Penalties-Yards,8-85,,,,,,
team,201409080det,nyg,Third Down Conv.,3-13,,,,,,
team,201409080det,det,Third Down Conv.,10-15,,,,,,
team,201409080det,nyg,Fourth Down Conv.,2-3,,,,,,
team,201409080det,det,Fourth Down Conv.,0-0,,,,,,
team,201409080det,nyg,Time of Possession,23:56,,,,,,
team,201409080det,det,Time of Possession,36:04,,,,,,
player,201409080det,nyg,MannEl00,pass_cmp,18,,,,,
player,201409080det,nyg,MannEl00,pass_att,33,,,,,
player,201409080det,nyg,MannEl00,pass_yds,163,,,,,
player,201409080det,nyg,MannEl00,pass_td,1,,,,,
player,201409080det,nyg,MannEl00,pass_int,2,,,,,
player,201409080det,nyg,MannEl00,pass_sacked,2,,,,,
player,201409080det,nyg,MannEl00,pass_sacked_yds,19,,,,,
player,201409080det,nyg,MannEl00,pass_long,21,,,,,
player,201409080det,nyg,MannEl00,pass_rating,53.0,,,,,
player,201409080det,nyg,MannEl00,rush_att,0,,,,,
player,201409080det,nyg,MannEl00,rush_yds,0,,,,,
player,201409080det,nyg,MannEl00,rush_td,0,,,,,
player,201409080det,nyg,MannEl00,rush_long,0,,,,,
player,201409080det,nyg,MannEl00,targets,0,,,,,
