game,2014,2,20140914,201409140den,kan,"Kansas City Chiefs",17,den,"Denver Broncos",24
team,201409140den,kan,First Downs,28,,,,,,
team,201409140den,den,First Downs,19,,,,,,
team,201409140den,kan,Rush-Yds-TDs,31-133-2,,,,,,
team,201409140den,den,Rush-Yds-TDs,19-88-0,,,,,,
team,201409140den,kan,Cmp-Att-Yd-TD-INT,26-42-255-0-0,,,,,,
team,201409140den,den,Cmp-Att-Yd-TD-INT,21-26-242-3-0,,,,,,
team,201409140den,kan,Sacked-Yards,2-8,,,,,,
team,201409140den,den,Sacked-Yards,1-5,,,,,,
team,201409140den,kan,Net Pass Yards,247,,,,,,
team,201409140den,den,Net Pass Yards,237,,,,,,
team,201409140den,kan,Total Yards,380,,,,,,
team,201409140den,den,Total Yards,325,,,,,,
team,201409140den,kan,Fumbles-Lost,1-0,,,,,,
team,201409140den,den,Fumbles-Lost,0-0,,,,,,
team,201409140den,kan,Turnovers,0,,,,,,
team,201409140den,den,Turnovers,0,,,,,,
team,201409140den,kan,Penalties-Yards,7-62,,,,,,
team,201409140den,den,Penalties-Yards,11-71,,,,,,
team,201409140den,kan,Third Down Conv.,11-16,,,,,,
team,201409140den,den,Third Down Conv.,3-8,,,,,,
team,201409140den,kan,Fourth Down Conv.,0-1,,,,,,
team,201409140den,den,Fourth Down Conv.,1-1,,,,,,
team,201409140den,kan,Time of Possession,36:14,,,,,,
team,201409140den,den,Time of Possession,23:46,,,,,,
player,201409140den,kan,SmitAl03,pass_cmp,26,,,,,
player,201409140den,kan,SmitAl03,pass_att,42,,,,,
player,201409140den,kan,SmitAl03,pass_yds,255,,,,,
player,201409140den,kan,SmitAl03,pass_td,0,,,,,
player,201409140den,kan,SmitAl03,pass_int,0,,,,,
player,201409140den,kan,SmitAl03,pass_sacked,2,,,,,
player,201409140den,kan,SmitAl03,pass_sacked_yds,8,,,,,
player,201409140den,kan,SmitAl03,pass_long,24,,,,,
player,201409140den,kan,SmitAl03,pass_rating,79.0,,,,,
player,201409140den,kan,SmitAl03,rush_att,5,,,,,
player,201409140den,kan,SmitAl03,rush_yds,42,,,,,
player,201409140den,kan,SmitAl03,rush_td,0,,,,,
player,201409140den,kan,SmitAl03,rush_long,25,,,,,
player,201409140den,kan,SmitAl03,targets,0,,,,,
player,201409140den,kan,SmitAl03,rec,0,,,,,
player,201409140den,kan,SmitAl03,rec_yds,0,,,,,
player,201409140den,kan,SmitAl03,rec_td,0,,,,,
player,201409140den,kan,SmitAl03,rec_long,0,,,,,
player,201409140den,kan,SmitAl03,fumbles,0,,,,,
player,201409140den,kan,SmitAl03,fumbles_lost,0,,,,,
player,201409140den,kan,DaviKn00,pass_cmp,0,,,,,
player,201409140den,kan,DaviKn00,pass_att,0,,,,,
player,201409140den,kan,DaviKn00,pass_yds,0,,,,,
player,201409140den,kan,DaviKn00,pass_td,0,,,,,
player,201409140den,kan,DaviKn00,pass_int,0,,,,,
player,201409140den,kan,DaviKn00,pass_sacked,0,,,,,
player,201409140den,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201409140den,kan,DaviKn00,pass_long,0,,,,,
player,201409140den,kan,DaviKn00,pass_rating,,,,,,
player,201409140den,kan,DaviKn00,rush_att,22,,,,,
player,201409140den,kan,DaviKn00,rush_yds,79,,,,,
player,201409140den,kan,DaviKn00,rush_td,2,,,,,
player,201409140den,kan,DaviKn00,rush_long,25,,,,,
player,201409140den,kan,DaviKn00,targets,9,,,,,
player,201409140den,kan,DaviKn00,rec,6,,,,,
player,201409140den,kan,DaviKn00,rec_yds,26,,,,,
player,201409140den,kan,DaviKn00,rec_td,0,,,,,
player,201409140den,kan,DaviKn00,rec_long,11,,,,,
player,201409140den,kan,DaviKn00,fumbles,1,,,,,
player,201409140den,kan,DaviKn00,fumbles_lost,0,,,,,
