game,2014,2,20140914,201409140nyg,crd,"Arizona Cardinals",25,nyg,"New York Giants",14
team,201409140nyg,crd,First Downs,21,,,,,,
team,201409140nyg,nyg,First Downs,24,,,,,,
team,201409140nyg,crd,Rush-Yds-TDs,28-124-1,,,,,,
team,201409140nyg,nyg,Rush-Yds-TDs,27-81-0,,,,,,
team,201409140nyg,crd,Cmp-Att-Yd-TD-INT,14-29-167-0-0,,,,,,
team,201409140nyg,nyg,Cmp-Att-Yd-TD-INT,26-39-277-2-2,,,,,,
team,201409140nyg,crd,Sacked-Yards,4-25,,,,,,
team,201409140nyg,nyg,Sacked-Yards,2-17,,,,,,
team,201409140nyg,crd,Net Pass Yards,142,,,,,,
team,201409140nyg,nyg,Net Pass Yards,260,,,,,,
team,201409140nyg,crd,Total Yards,266,,,,,,
team,201409140nyg,nyg,Total Yards,341,,,,,,
team,201409140nyg,crd,Fumbles-Lost,0-0,,,,,,
team,201409140nyg,nyg,Fumbles-Lost,2-2,,,,,,
team,201409140nyg,crd,Turnovers,0,,,,,,
team,201409140nyg,nyg,Turnovers,4,,,,,,
team,201409140nyg,crd,Penalties-Yards,7-71,,,,,,
team,201409140nyg,nyg,Penalties-Yards,9-70,,,,,,
team,201409140nyg,crd,Third Down Conv.,5-13,,,,,,
team,201409140nyg,nyg,Third Down Conv.,6-12,,,,,,
team,201409140nyg,crd,Fourth Down Conv.,0-0,,,,,,
team,201409140nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201409140nyg,crd,Time of Possession,27:31,,,,,,
team,201409140nyg,nyg,Time of Possession,32:29,,,,,,
player,201409140nyg,crd,StanDr00,pass_cmp,14,,,,,
player,201409140nyg,crd,StanDr00,pass_att,29,,,,,
player,201409140nyg,crd,StanDr00,pass_yds,167,,,,,
player,201409140nyg,crd,StanDr00,pass_td,0,,,,,
player,201409140nyg,crd,StanDr00,pass_int,0,,,,,
player,201409140nyg,crd,StanDr00,pass_sacked,4,,,,,
player,201409140nyg,crd,StanDr00,pass_sacked_yds,25,,,,,
player,201409140nyg,crd,StanDr00,pass_long,32,,,,,
player,201409140nyg,crd,StanDr00,pass_rating,66.3,,,,,
player,201409140nyg,crd,StanDr00,rush_att,2,,,,,
player,201409140nyg,crd,StanDr00,rush_yds,-2,,,,,
player,201409140nyg,crd,StanDr00,rush_td,0,,,,,
player,201409140nyg,crd,StanDr00,rush_long,-1,,,,,
player,201409140nyg,crd,StanDr00,targets,0,,,,,
player,201409140nyg,crd,StanDr00,rec,0,,,,,
player,201409140nyg,crd,StanDr00,rec_yds,0,,,,,
player,201409140nyg,crd,StanDr00,rec_td,0,,,,,
player,201409140nyg,crd,StanDr00,rec_long,0,,,,,
player,201409140nyg,crd,StanDr00,fumbles,0,,,,,
player,201409140nyg,crd,StanDr00,fumbles_lost,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_cmp,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_att,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_yds,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_td,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_int,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_sacked,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_long,0,,,,,
player,201409140nyg,crd,ElliAn00,pass_rating,,,,,,
player,201409140nyg,crd,ElliAn00,rush_att,15,,,,,
player,201409140nyg,crd,ElliAn00,rush_yds,91,,,,,
player,201409140nyg,crd,ElliAn00,rush_td,0,,,,,
player,201409140nyg,crd,ElliAn00,rush_long,22,,,,,
player,201409140nyg,crd,ElliAn00,targets,3,,,,,
player,201409140nyg,crd,ElliAn00,rec,1,,,,,
player,201409140nyg,crd,ElliAn00,rec_yds,10,,,,,
player,201409140nyg,crd,ElliAn00,rec_td,0,,,,,
player,201409140nyg,crd,ElliAn00,rec_long,10,,,,,
player,201409140nyg,crd,ElliAn00,fumbles,0,,,,,
player,201409140nyg,crd,ElliAn00,fumbles_lost,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_cmp,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_att,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_yds,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_td,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_int,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_sacked,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_long,0,,,,,
player,201409140nyg,crd,DwyeJo00,pass_rating,,,,,,
player,201409140nyg,crd,DwyeJo00,rush_att,9,,,,,
player,201409140nyg,crd,DwyeJo00,rush_yds,31,,,,,
player,201409140nyg,crd,DwyeJo00,rush_td,1,,,,,
player,201409140nyg,crd,DwyeJo00,rush_long,20,,,,,
player,201409140nyg,crd,DwyeJo00,targets,0,,,,,
player,201409140nyg,crd,DwyeJo00,rec,0,,,,,
player,201409140nyg,crd,DwyeJo00,rec_yds,0,,,,,
player,201409140nyg,crd,DwyeJo00,rec_td,0,,,,,
player,201409140nyg,crd,DwyeJo00,rec_long,0,,,,,
player,201409140nyg,crd,DwyeJo00,fumbles,0,,,,,
player,201409140nyg,crd,DwyeJo00,fumbles_lost,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_cmp,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_att,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_yds,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_td,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_int,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_sacked,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_long,0,,,,,
player,201409140nyg,crd,BrowJo02,pass_rating,,,,,,
player,201409140nyg,crd,BrowJo02,rush_att,1,,,,,
player,201409140nyg,crd,BrowJo02,rush_yds,2,,,,,
player,201409140nyg,crd,BrowJo02,rush_td,0,,,,,
player,201409140nyg,crd,BrowJo02,rush_long,2,,,,,
player,201409140nyg,crd,BrowJo02,targets,4,,,,,
player,201409140nyg,crd,BrowJo02,rec,3,,,,,
player,201409140nyg,crd,BrowJo02,rec_yds,28,,,,,
player,201409140nyg,crd,BrowJo02,rec_td,0,,,,,
player,201409140nyg,crd,BrowJo02,rec_long,20,,,,,
player,201409140nyg,crd,BrowJo02,fumbles,0,,,,,
player,201409140nyg,crd,BrowJo02,fumbles_lost,0,,,,,
player,201409140nyg,crd,HughRo00,pass_cmp,0,,,,,
player,201409140nyg,crd,HughRo00,pass_att,0,,,,,
player,201409140nyg,crd,HughRo00,pass_yds,0,,,,,
player,201409140nyg,crd,HughRo00,pass_td,0,,,,,
player,201409140nyg,crd,HughRo00,pass_int,0,,,,,
player,201409140nyg,crd,HughRo00,pass_sacked,0,,,,,
player,201409140nyg,crd,HughRo00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,HughRo00,pass_long,0,,,,,
player,201409140nyg,crd,HughRo00,pass_rating,,,,,,
player,201409140nyg,crd,HughRo00,rush_att,1,,,,,
player,201409140nyg,crd,HughRo00,rush_yds,2,,,,,
player,201409140nyg,crd,HughRo00,rush_td,0,,,,,
player,201409140nyg,crd,HughRo00,rush_long,2,,,,,
player,201409140nyg,crd,HughRo00,targets,1,,,,,
player,201409140nyg,crd,HughRo00,rec,0,,,,,
player,201409140nyg,crd,HughRo00,rec_yds,0,,,,,
player,201409140nyg,crd,HughRo00,rec_td,0,,,,,
player,201409140nyg,crd,HughRo00,rec_long,0,,,,,
player,201409140nyg,crd,HughRo00,fumbles,0,,,,,
player,201409140nyg,crd,HughRo00,fumbles_lost,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_cmp,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_att,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_yds,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_td,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_int,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_sacked,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_long,0,,,,,
player,201409140nyg,crd,FitzLa00,pass_rating,,,,,,
player,201409140nyg,crd,FitzLa00,rush_att,0,,,,,
player,201409140nyg,crd,FitzLa00,rush_yds,0,,,,,
player,201409140nyg,crd,FitzLa00,rush_td,0,,,,,
player,201409140nyg,crd,FitzLa00,rush_long,0,,,,,
player,201409140nyg,crd,FitzLa00,targets,10,,,,,
player,201409140nyg,crd,FitzLa00,rec,6,,,,,
player,201409140nyg,crd,FitzLa00,rec_yds,51,,,,,
player,201409140nyg,crd,FitzLa00,rec_td,0,,,,,
player,201409140nyg,crd,FitzLa00,rec_long,17,,,,,
player,201409140nyg,crd,FitzLa00,fumbles,0,,,,,
player,201409140nyg,crd,FitzLa00,fumbles_lost,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_cmp,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_att,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_yds,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_td,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_int,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_sacked,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_long,0,,,,,
player,201409140nyg,crd,CarlJo00,pass_rating,,,,,,
player,201409140nyg,crd,CarlJo00,rush_att,0,,,,,
player,201409140nyg,crd,CarlJo00,rush_yds,0,,,,,
player,201409140nyg,crd,CarlJo00,rush_td,0,,,,,
player,201409140nyg,crd,CarlJo00,rush_long,0,,,,,
player,201409140nyg,crd,CarlJo00,targets,3,,,,,
player,201409140nyg,crd,CarlJo00,rec,2,,,,,
player,201409140nyg,crd,CarlJo00,rec_yds,43,,,,,
player,201409140nyg,crd,CarlJo00,rec_td,0,,,,,
player,201409140nyg,crd,CarlJo00,rec_long,32,,,,,
player,201409140nyg,crd,CarlJo00,fumbles,0,,,,,
player,201409140nyg,crd,CarlJo00,fumbles_lost,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_cmp,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_att,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_yds,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_td,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_int,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_sacked,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_long,0,,,,,
player,201409140nyg,crd,FloyMi00,pass_rating,,,,,,
player,201409140nyg,crd,FloyMi00,rush_att,0,,,,,
player,201409140nyg,crd,FloyMi00,rush_yds,0,,,,,
player,201409140nyg,crd,FloyMi00,rush_td,0,,,,,
player,201409140nyg,crd,FloyMi00,rush_long,0,,,,,
player,201409140nyg,crd,FloyMi00,targets,6,,,,,
player,201409140nyg,crd,FloyMi00,rec,1,,,,,
player,201409140nyg,crd,FloyMi00,rec_yds,19,,,,,
player,201409140nyg,crd,FloyMi00,rec_td,0,,,,,
player,201409140nyg,crd,FloyMi00,rec_long,19,,,,,
player,201409140nyg,crd,FloyMi00,fumbles,0,,,,,
player,201409140nyg,crd,FloyMi00,fumbles_lost,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_cmp,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_att,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_yds,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_td,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_int,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_sacked,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_long,0,,,,,
player,201409140nyg,crd,NiklTr00,pass_rating,,,,,,
player,201409140nyg,crd,NiklTr00,rush_att,0,,,,,
player,201409140nyg,crd,NiklTr00,rush_yds,0,,,,,
player,201409140nyg,crd,NiklTr00,rush_td,0,,,,,
player,201409140nyg,crd,NiklTr00,rush_long,0,,,,,
player,201409140nyg,crd,NiklTr00,targets,1,,,,,
player,201409140nyg,crd,NiklTr00,rec,1,,,,,
player,201409140nyg,crd,NiklTr00,rec_yds,16,,,,,
player,201409140nyg,crd,NiklTr00,rec_td,0,,,,,
player,201409140nyg,crd,NiklTr00,rec_long,16,,,,,
player,201409140nyg,crd,NiklTr00,fumbles,0,,,,,
player,201409140nyg,crd,NiklTr00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,MannEl00,pass_cmp,26,,,,,
player,201409140nyg,nyg,MannEl00,pass_att,39,,,,,
player,201409140nyg,nyg,MannEl00,pass_yds,277,,,,,
player,201409140nyg,nyg,MannEl00,pass_td,2,,,,,
player,201409140nyg,nyg,MannEl00,pass_int,2,,,,,
player,201409140nyg,nyg,MannEl00,pass_sacked,2,,,,,
player,201409140nyg,nyg,MannEl00,pass_sacked_yds,17,,,,,
player,201409140nyg,nyg,MannEl00,pass_long,29,,,,,
player,201409140nyg,nyg,MannEl00,pass_rating,83.0,,,,,
player,201409140nyg,nyg,MannEl00,rush_att,1,,,,,
player,201409140nyg,nyg,MannEl00,rush_yds,5,,,,,
player,201409140nyg,nyg,MannEl00,rush_td,0,,,,,
player,201409140nyg,nyg,MannEl00,rush_long,5,,,,,
player,201409140nyg,nyg,MannEl00,targets,0,,,,,
player,201409140nyg,nyg,MannEl00,rec,0,,,,,
player,201409140nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201409140nyg,nyg,MannEl00,rec_td,0,,,,,
player,201409140nyg,nyg,MannEl00,rec_long,0,,,,,
player,201409140nyg,nyg,MannEl00,fumbles,0,,,,,
player,201409140nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_cmp,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_att,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_yds,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_td,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_int,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_sacked,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_long,0,,,,,
player,201409140nyg,nyg,JennRa00,pass_rating,,,,,,
player,201409140nyg,nyg,JennRa00,rush_att,18,,,,,
player,201409140nyg,nyg,JennRa00,rush_yds,64,,,,,
player,201409140nyg,nyg,JennRa00,rush_td,0,,,,,
player,201409140nyg,nyg,JennRa00,rush_long,13,,,,,
player,201409140nyg,nyg,JennRa00,targets,4,,,,,
player,201409140nyg,nyg,JennRa00,rec,4,,,,,
player,201409140nyg,nyg,JennRa00,rec_yds,45,,,,,
player,201409140nyg,nyg,JennRa00,rec_td,0,,,,,
player,201409140nyg,nyg,JennRa00,rec_long,19,,,,,
player,201409140nyg,nyg,JennRa00,fumbles,1,,,,,
player,201409140nyg,nyg,JennRa00,fumbles_lost,1,,,,,
player,201409140nyg,nyg,WillAn00,pass_cmp,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_att,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_yds,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_td,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_int,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_sacked,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_long,0,,,,,
player,201409140nyg,nyg,WillAn00,pass_rating,,,,,,
player,201409140nyg,nyg,WillAn00,rush_att,8,,,,,
player,201409140nyg,nyg,WillAn00,rush_yds,12,,,,,
player,201409140nyg,nyg,WillAn00,rush_td,0,,,,,
player,201409140nyg,nyg,WillAn00,rush_long,5,,,,,
player,201409140nyg,nyg,WillAn00,targets,4,,,,,
player,201409140nyg,nyg,WillAn00,rec,2,,,,,
player,201409140nyg,nyg,WillAn00,rec_yds,7,,,,,
player,201409140nyg,nyg,WillAn00,rec_td,0,,,,,
player,201409140nyg,nyg,WillAn00,rec_long,4,,,,,
player,201409140nyg,nyg,WillAn00,fumbles,0,,,,,
player,201409140nyg,nyg,WillAn00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201409140nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201409140nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201409140nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201409140nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201409140nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201409140nyg,nyg,DonnLa00,targets,9,,,,,
player,201409140nyg,nyg,DonnLa00,rec,7,,,,,
player,201409140nyg,nyg,DonnLa00,rec_yds,81,,,,,
player,201409140nyg,nyg,DonnLa00,rec_td,0,,,,,
player,201409140nyg,nyg,DonnLa00,rec_long,23,,,,,
player,201409140nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201409140nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201409140nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201409140nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201409140nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201409140nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201409140nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201409140nyg,nyg,CruzVi00,targets,10,,,,,
player,201409140nyg,nyg,CruzVi00,rec,5,,,,,
player,201409140nyg,nyg,CruzVi00,rec_yds,60,,,,,
player,201409140nyg,nyg,CruzVi00,rec_td,0,,,,,
player,201409140nyg,nyg,CruzVi00,rec_long,27,,,,,
player,201409140nyg,nyg,CruzVi00,fumbles,0,,,,,
player,201409140nyg,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_cmp,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_att,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_yds,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_td,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_int,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_sacked,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_long,0,,,,,
player,201409140nyg,nyg,RandRu00,pass_rating,,,,,,
player,201409140nyg,nyg,RandRu00,rush_att,0,,,,,
player,201409140nyg,nyg,RandRu00,rush_yds,0,,,,,
player,201409140nyg,nyg,RandRu00,rush_td,0,,,,,
player,201409140nyg,nyg,RandRu00,rush_long,0,,,,,
player,201409140nyg,nyg,RandRu00,targets,7,,,,,
player,201409140nyg,nyg,RandRu00,rec,4,,,,,
player,201409140nyg,nyg,RandRu00,rec_yds,39,,,,,
player,201409140nyg,nyg,RandRu00,rec_td,1,,,,,
player,201409140nyg,nyg,RandRu00,rec_long,13,,,,,
player,201409140nyg,nyg,RandRu00,fumbles,0,,,,,
player,201409140nyg,nyg,RandRu00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_cmp,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_att,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_yds,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_td,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_int,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_sacked,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_long,0,,,,,
player,201409140nyg,nyg,ParkPr00,pass_rating,,,,,,
player,201409140nyg,nyg,ParkPr00,rush_att,0,,,,,
player,201409140nyg,nyg,ParkPr00,rush_yds,0,,,,,
player,201409140nyg,nyg,ParkPr00,rush_td,0,,,,,
player,201409140nyg,nyg,ParkPr00,rush_long,0,,,,,
player,201409140nyg,nyg,ParkPr00,targets,2,,,,,
player,201409140nyg,nyg,ParkPr00,rec,1,,,,,
player,201409140nyg,nyg,ParkPr00,rec_yds,29,,,,,
player,201409140nyg,nyg,ParkPr00,rec_td,0,,,,,
player,201409140nyg,nyg,ParkPr00,rec_long,29,,,,,
player,201409140nyg,nyg,ParkPr00,fumbles,0,,,,,
player,201409140nyg,nyg,ParkPr00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_cmp,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_att,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_yds,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_td,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_int,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_sacked,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_long,0,,,,,
player,201409140nyg,nyg,JernJe00,pass_rating,,,,,,
player,201409140nyg,nyg,JernJe00,rush_att,0,,,,,
player,201409140nyg,nyg,JernJe00,rush_yds,0,,,,,
player,201409140nyg,nyg,JernJe00,rush_td,0,,,,,
player,201409140nyg,nyg,JernJe00,rush_long,0,,,,,
player,201409140nyg,nyg,JernJe00,targets,2,,,,,
player,201409140nyg,nyg,JernJe00,rec,2,,,,,
player,201409140nyg,nyg,JernJe00,rec_yds,15,,,,,
player,201409140nyg,nyg,JernJe00,rec_td,0,,,,,
player,201409140nyg,nyg,JernJe00,rec_long,11,,,,,
player,201409140nyg,nyg,JernJe00,fumbles,0,,,,,
player,201409140nyg,nyg,JernJe00,fumbles_lost,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_cmp,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_att,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_yds,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_td,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_int,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_sacked,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_sacked_yds,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_long,0,,,,,
player,201409140nyg,nyg,FellDa00,pass_rating,,,,,,
player,201409140nyg,nyg,FellDa00,rush_att,0,,,,,
player,201409140nyg,nyg,FellDa00,rush_yds,0,,,,,
player,201409140nyg,nyg,FellDa00,rush_td,0,,,,,
player,201409140nyg,nyg,FellDa00,rush_long,0,,,,,
player,201409140nyg,nyg,FellDa00,targets,1,,,,,
player,201409140nyg,nyg,FellDa00,rec,1,,,,,
player,201409140nyg,nyg,FellDa00,rec_yds,1,,,,,
player,201409140nyg,nyg,FellDa00,rec_td,1,,,,,
player,201409140nyg,nyg,FellDa00,rec_long,1,,,,,
player,201409140nyg,nyg,FellDa00,fumbles,0,,,,,
player,201409140nyg,nyg,FellDa00,fumbles_lost,0,,,,,
player,201409140nyg,crd,FootLa20,def_int,1,,,,,
player,201409140nyg,crd,FootLa20,def_int_yds,0,,,,,
player,201409140nyg,crd,FootLa20,def_int_td,0,,,,,
player,201409140nyg,crd,FootLa20,def_int_long,0,,,,,
player,201409140nyg,crd,FootLa20,pass_defended,1,,,,,
player,201409140nyg,crd,FootLa20,sacks,0.0,,,,,
player,201409140nyg,crd,FootLa20,tackles_combined,8,,,,,
player,201409140nyg,crd,FootLa20,tackles_solo,4,,,,,
player,201409140nyg,crd,FootLa20,tackles_assists,4,,,,,
player,201409140nyg,crd,FootLa20,tackles_loss,0,,,,,
player,201409140nyg,crd,FootLa20,qb_hits,0,,,,,
player,201409140nyg,crd,FootLa20,fumbles_rec,0,,,,,
player,201409140nyg,crd,FootLa20,fumbles_rec_yds,0,,,,,
player,201409140nyg,crd,FootLa20,fumbles_rec_td,0,,,,,
player,201409140nyg,crd,FootLa20,fumbles_forced,0,,,,,
player,201409140nyg,crd,AchoSa00,def_int,1,,,,,
player,201409140nyg,crd,AchoSa00,def_int_yds,3,,,,,
player,201409140nyg,crd,AchoSa00,def_int_td,0,,,,,
player,201409140nyg,crd,AchoSa00,def_int_long,3,,,,,
player,201409140nyg,crd,AchoSa00,pass_defended,1,,,,,
player,201409140nyg,crd,AchoSa00,sacks,0.0,,,,,
player,201409140nyg,crd,AchoSa00,tackles_combined,1,,,,,
player,201409140nyg,crd,AchoSa00,tackles_solo,1,,,,,
player,201409140nyg,crd,AchoSa00,tackles_assists,0,,,,,
player,201409140nyg,crd,AchoSa00,tackles_loss,0,,,,,
player,201409140nyg,crd,AchoSa00,qb_hits,0,,,,,
player,201409140nyg,crd,AchoSa00,fumbles_rec,0,,,,,
player,201409140nyg,crd,AchoSa00,fumbles_rec_yds,0,,,,,
player,201409140nyg,crd,AchoSa00,fumbles_rec_td,0,,,,,
player,201409140nyg,crd,AchoSa00,fumbles_forced,0,,,,,
player,201409140nyg,crd,CampCa99,def_int,0,,,,,
player,201409140nyg,crd,CampCa99,def_int_yds,0,,,,,
player,201409140nyg,crd,CampCa99,def_int_td,0,,,,,
player,201409140nyg,crd,CampCa99,def_int_long,0,,,,,
player,201409140nyg,crd,CampCa99,pass_defended,0,,,,,
player,201409140nyg,crd,CampCa99,sacks,1.0,,,,,
player,201409140nyg,crd,CampCa99,tackles_combined,10,,,,,
player,201409140nyg,crd,CampCa99,tackles_solo,10,,,,,
player,201409140nyg,crd,CampCa99,tackles_assists,0,,,,,
player,201409140nyg,crd,CampCa99,tackles_loss,3,,,,,
player,201409140nyg,crd,CampCa99,qb_hits,1,,,,,
player,201409140nyg,crd,CampCa99,fumbles_rec,0,,,,,
player,201409140nyg,crd,CampCa99,fumbles_rec_yds,0,,,,,
