game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
team,201409150clt,phi,First Downs,24,,,,,,
team,201409150clt,clt,First Downs,25,,,,,,
team,201409150clt,phi,Rush-Yds-TDs,27-127-2,,,,,,
team,201409150clt,clt,Rush-Yds-TDs,38-169-0,,,,,,
team,201409150clt,phi,Cmp-Att-Yd-TD-INT,21-37-331-1-1,,,,,,
team,201409150clt,clt,Cmp-Att-Yd-TD-INT,20-34-172-3-1,,,,,,
team,201409150clt,phi,Sacked-Yards,0-0,,,,,,
team,201409150clt,clt,Sacked-Yards,0-0,,,,,,
team,201409150clt,phi,Net Pass Yards,331,,,,,,
team,201409150clt,clt,Net Pass Yards,172,,,,,,
team,201409150clt,phi,Total Yards,458,,,,,,
team,201409150clt,clt,Total Yards,341,,,,,,
team,201409150clt,phi,Fumbles-Lost,0-0,,,,,,
team,201409150clt,clt,Fumbles-Lost,2-1,,,,,,
team,201409150clt,phi,Turnovers,1,,,,,,
team,201409150clt,clt,Turnovers,2,,,,,,
team,201409150clt,phi,Penalties-Yards,11-90,,,,,,
team,201409150clt,clt,Penalties-Yards,4-70,,,,,,
team,201409150clt,phi,Third Down Conv.,5-12,,,,,,
team,201409150clt,clt,Third Down Conv.,4-12,,,,,,
team,201409150clt,phi,Fourth Down Conv.,0-0,,,,,,
team,201409150clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201409150clt,phi,Time of Possession,23:45,,,,,,
team,201409150clt,clt,Time of Possession,36:15,,,,,,
player,201409150clt,phi,FoleNi00,pass_cmp,21,,,,,
player,201409150clt,phi,FoleNi00,pass_att,37,,,,,
player,201409150clt,phi,FoleNi00,pass_yds,331,,,,,
player,201409150clt,phi,FoleNi00,pass_td,1,,,,,
player,201409150clt,phi,FoleNi00,pass_int,1,,,,,
player,201409150clt,phi,FoleNi00,pass_sacked,0,,,,,
player,201409150clt,phi,FoleNi00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,FoleNi00,pass_long,57,,,,,
player,201409150clt,phi,FoleNi00,pass_rating,84.4,,,,,
player,201409150clt,phi,FoleNi00,rush_att,4,,,,,
player,201409150clt,phi,FoleNi00,rush_yds,22,,,,,
player,201409150clt,phi,FoleNi00,rush_td,0,,,,,
player,201409150clt,phi,FoleNi00,rush_long,7,,,,,
player,201409150clt,phi,FoleNi00,targets,0,,,,,
player,201409150clt,phi,FoleNi00,rec,0,,,,,
player,201409150clt,phi,FoleNi00,rec_yds,0,,,,,
player,201409150clt,phi,FoleNi00,rec_td,0,,,,,
player,201409150clt,phi,FoleNi00,rec_long,0,,,,,
player,201409150clt,phi,FoleNi00,fumbles,0,,,,,
player,201409150clt,phi,FoleNi00,fumbles_lost,0,,,,,
player,201409150clt,phi,McCoLe01,pass_cmp,0,,,,,
player,201409150clt,phi,McCoLe01,pass_att,0,,,,,
player,201409150clt,phi,McCoLe01,pass_yds,0,,,,,
player,201409150clt,phi,McCoLe01,pass_td,0,,,,,
player,201409150clt,phi,McCoLe01,pass_int,0,,,,,
player,201409150clt,phi,McCoLe01,pass_sacked,0,,,,,
player,201409150clt,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201409150clt,phi,McCoLe01,pass_long,0,,,,,
player,201409150clt,phi,McCoLe01,pass_rating,,,,,,
player,201409150clt,phi,McCoLe01,rush_att,19,,,,,
player,201409150clt,phi,McCoLe01,rush_yds,79,,,,,
player,201409150clt,phi,McCoLe01,rush_td,1,,,,,
player,201409150clt,phi,McCoLe01,rush_long,21,,,,,
player,201409150clt,phi,McCoLe01,targets,5,,,,,
player,201409150clt,phi,McCoLe01,rec,4,,,,,
player,201409150clt,phi,McCoLe01,rec_yds,23,,,,,
player,201409150clt,phi,McCoLe01,rec_td,0,,,,,
player,201409150clt,phi,McCoLe01,rec_long,12,,,,,
player,201409150clt,phi,McCoLe01,fumbles,0,,,,,
player,201409150clt,phi,McCoLe01,fumbles_lost,0,,,,,
player,201409150clt,phi,SproDa00,pass_cmp,0,,,,,
player,201409150clt,phi,SproDa00,pass_att,0,,,,,
player,201409150clt,phi,SproDa00,pass_yds,0,,,,,
player,201409150clt,phi,SproDa00,pass_td,0,,,,,
player,201409150clt,phi,SproDa00,pass_int,0,,,,,
player,201409150clt,phi,SproDa00,pass_sacked,0,,,,,
player,201409150clt,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,SproDa00,pass_long,0,,,,,
player,201409150clt,phi,SproDa00,pass_rating,,,,,,
player,201409150clt,phi,SproDa00,rush_att,4,,,,,
player,201409150clt,phi,SproDa00,rush_yds,26,,,,,
player,201409150clt,phi,SproDa00,rush_td,1,,,,,
player,201409150clt,phi,SproDa00,rush_long,19,,,,,
player,201409150clt,phi,SproDa00,targets,7,,,,,
player,201409150clt,phi,SproDa00,rec,7,,,,,
player,201409150clt,phi,SproDa00,rec_yds,152,,,,,
player,201409150clt,phi,SproDa00,rec_td,0,,,,,
player,201409150clt,phi,SproDa00,rec_long,57,,,,,
player,201409150clt,phi,SproDa00,fumbles,0,,,,,
player,201409150clt,phi,SproDa00,fumbles_lost,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_cmp,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_att,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_yds,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_td,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_int,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_sacked,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_long,0,,,,,
player,201409150clt,phi,ErtzZa00,pass_rating,,,,,,
player,201409150clt,phi,ErtzZa00,rush_att,0,,,,,
player,201409150clt,phi,ErtzZa00,rush_yds,0,,,,,
player,201409150clt,phi,ErtzZa00,rush_td,0,,,,,
player,201409150clt,phi,ErtzZa00,rush_long,0,,,,,
player,201409150clt,phi,ErtzZa00,targets,6,,,,,
player,201409150clt,phi,ErtzZa00,rec,4,,,,,
player,201409150clt,phi,ErtzZa00,rec_yds,86,,,,,
player,201409150clt,phi,ErtzZa00,rec_td,0,,,,,
player,201409150clt,phi,ErtzZa00,rec_long,27,,,,,
player,201409150clt,phi,ErtzZa00,fumbles,0,,,,,
player,201409150clt,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201409150clt,phi,MaclJe00,pass_cmp,0,,,,,
player,201409150clt,phi,MaclJe00,pass_att,0,,,,,
player,201409150clt,phi,MaclJe00,pass_yds,0,,,,,
player,201409150clt,phi,MaclJe00,pass_td,0,,,,,
player,201409150clt,phi,MaclJe00,pass_int,0,,,,,
player,201409150clt,phi,MaclJe00,pass_sacked,0,,,,,
player,201409150clt,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,MaclJe00,pass_long,0,,,,,
player,201409150clt,phi,MaclJe00,pass_rating,,,,,,
player,201409150clt,phi,MaclJe00,rush_att,0,,,,,
player,201409150clt,phi,MaclJe00,rush_yds,0,,,,,
player,201409150clt,phi,MaclJe00,rush_td,0,,,,,
player,201409150clt,phi,MaclJe00,rush_long,0,,,,,
player,201409150clt,phi,MaclJe00,targets,11,,,,,
player,201409150clt,phi,MaclJe00,rec,4,,,,,
player,201409150clt,phi,MaclJe00,rec_yds,45,,,,,
player,201409150clt,phi,MaclJe00,rec_td,1,,,,,
