game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
team,201409180atl,tam,First Downs,10,,,,,,
team,201409180atl,atl,First Downs,26,,,,,,
team,201409180atl,tam,Rush-Yds-TDs,18-64-0,,,,,,
team,201409180atl,atl,Rush-Yds-TDs,36-144-3,,,,,,
team,201409180atl,tam,Cmp-Att-Yd-TD-INT,22-36-179-1-1,,,,,,
team,201409180atl,atl,Cmp-Att-Yd-TD-INT,24-28-350-3-1,,,,,,
team,201409180atl,tam,Sacked-Yards,3-26,,,,,,
team,201409180atl,atl,Sacked-Yards,1-6,,,,,,
team,201409180atl,tam,Net Pass Yards,153,,,,,,
team,201409180atl,atl,Net Pass Yards,344,,,,,,
team,201409180atl,tam,Total Yards,217,,,,,,
team,201409180atl,atl,Total Yards,488,,,,,,
team,201409180atl,tam,Fumbles-Lost,5-4,,,,,,
team,201409180atl,atl,Fumbles-Lost,4-3,,,,,,
team,201409180atl,tam,Turnovers,5,,,,,,
team,201409180atl,atl,Turnovers,4,,,,,,
team,201409180atl,tam,Penalties-Yards,11-110,,,,,,
team,201409180atl,atl,Penalties-Yards,5-50,,,,,,
team,201409180atl,tam,Third Down Conv.,3-13,,,,,,
team,201409180atl,atl,Third Down Conv.,8-11,,,,,,
team,201409180atl,tam,Fourth Down Conv.,1-1,,,,,,
team,201409180atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201409180atl,tam,Time of Possession,27:21,,,,,,
team,201409180atl,atl,Time of Possession,32:39,,,,,,
player,201409180atl,tam,GlenMi00,pass_cmp,17,,,,,
player,201409180atl,tam,GlenMi00,pass_att,24,,,,,
player,201409180atl,tam,GlenMi00,pass_yds,121,,,,,
player,201409180atl,tam,GlenMi00,pass_td,1,,,,,
player,201409180atl,tam,GlenMi00,pass_int,0,,,,,
player,201409180atl,tam,GlenMi00,pass_sacked,2,,,,,
player,201409180atl,tam,GlenMi00,pass_sacked_yds,18,,,,,
player,201409180atl,tam,GlenMi00,pass_long,14,,,,,
player,201409180atl,tam,GlenMi00,pass_rating,96.0,,,,,
