game,2014,4,20140928,201409280sfo,phi,"Philadelphia Eagles",21,sfo,"San Francisco 49ers",26
team,201409280sfo,phi,First Downs,11,,,,,,
team,201409280sfo,sfo,First Downs,20,,,,,,
team,201409280sfo,phi,Rush-Yds-TDs,12-22-0,,,,,,
team,201409280sfo,sfo,Rush-Yds-TDs,42-218-0,,,,,,
team,201409280sfo,phi,Cmp-Att-Yd-TD-INT,21-43-195-0-2,,,,,,
team,201409280sfo,sfo,Cmp-Att-Yd-TD-INT,17-30-218-2-1,,,,,,
team,201409280sfo,phi,Sacked-Yards,1-4,,,,,,
team,201409280sfo,sfo,Sacked-Yards,4-29,,,,,,
team,201409280sfo,phi,Net Pass Yards,191,,,,,,
team,201409280sfo,sfo,Net Pass Yards,189,,,,,,
team,201409280sfo,phi,Total Yards,213,,,,,,
team,201409280sfo,sfo,Total Yards,407,,,,,,
team,201409280sfo,phi,Fumbles-Lost,2-2,,,,,,
team,201409280sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201409280sfo,phi,Turnovers,4,,,,,,
team,201409280sfo,sfo,Turnovers,1,,,,,,
team,201409280sfo,phi,Penalties-Yards,10-70,,,,,,
team,201409280sfo,sfo,Penalties-Yards,10-80,,,,,,
team,201409280sfo,phi,Third Down Conv.,5-13,,,,,,
team,201409280sfo,sfo,Third Down Conv.,8-19,,,,,,
team,201409280sfo,phi,Fourth Down Conv.,0-2,,,,,,
team,201409280sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201409280sfo,phi,Time of Possession,17:43,,,,,,
team,201409280sfo,sfo,Time of Possession,42:17,,,,,,
player,201409280sfo,phi,FoleNi00,pass_cmp,21,,,,,
player,201409280sfo,phi,FoleNi00,pass_att,43,,,,,
player,201409280sfo,phi,FoleNi00,pass_yds,195,,,,,
player,201409280sfo,phi,FoleNi00,pass_td,0,,,,,
player,201409280sfo,phi,FoleNi00,pass_int,2,,,,,
player,201409280sfo,phi,FoleNi00,pass_sacked,1,,,,,
player,201409280sfo,phi,FoleNi00,pass_sacked_yds,4,,,,,
player,201409280sfo,phi,FoleNi00,pass_long,22,,,,,
player,201409280sfo,phi,FoleNi00,pass_rating,42.3,,,,,
player,201409280sfo,phi,FoleNi00,rush_att,1,,,,,
player,201409280sfo,phi,FoleNi00,rush_yds,1,,,,,
player,201409280sfo,phi,FoleNi00,rush_td,0,,,,,
player,201409280sfo,phi,FoleNi00,rush_long,1,,,,,
player,201409280sfo,phi,FoleNi00,targets,0,,,,,
player,201409280sfo,phi,FoleNi00,rec,0,,,,,
player,201409280sfo,phi,FoleNi00,rec_yds,0,,,,,
player,201409280sfo,phi,FoleNi00,rec_td,0,,,,,
player,201409280sfo,phi,FoleNi00,rec_long,0,,,,,
player,201409280sfo,phi,FoleNi00,fumbles,0,,,,,
player,201409280sfo,phi,FoleNi00,fumbles_lost,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_cmp,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_att,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_yds,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_td,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_int,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_sacked,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_long,0,,,,,
player,201409280sfo,phi,McCoLe01,pass_rating,,,,,,
player,201409280sfo,phi,McCoLe01,rush_att,10,,,,,
player,201409280sfo,phi,McCoLe01,rush_yds,17,,,,,
player,201409280sfo,phi,McCoLe01,rush_td,0,,,,,
player,201409280sfo,phi,McCoLe01,rush_long,5,,,,,
player,201409280sfo,phi,McCoLe01,targets,0,,,,,
player,201409280sfo,phi,McCoLe01,rec,0,,,,,
player,201409280sfo,phi,McCoLe01,rec_yds,0,,,,,
player,201409280sfo,phi,McCoLe01,rec_td,0,,,,,
player,201409280sfo,phi,McCoLe01,rec_long,0,,,,,
player,201409280sfo,phi,McCoLe01,fumbles,0,,,,,
player,201409280sfo,phi,McCoLe01,fumbles_lost,0,,,,,
player,201409280sfo,phi,SproDa00,pass_cmp,0,,,,,
player,201409280sfo,phi,SproDa00,pass_att,0,,,,,
player,201409280sfo,phi,SproDa00,pass_yds,0,,,,,
player,201409280sfo,phi,SproDa00,pass_td,0,,,,,
player,201409280sfo,phi,SproDa00,pass_int,0,,,,,
player,201409280sfo,phi,SproDa00,pass_sacked,0,,,,,
player,201409280sfo,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,SproDa00,pass_long,0,,,,,
player,201409280sfo,phi,SproDa00,pass_rating,,,,,,
player,201409280sfo,phi,SproDa00,rush_att,1,,,,,
player,201409280sfo,phi,SproDa00,rush_yds,4,,,,,
player,201409280sfo,phi,SproDa00,rush_td,0,,,,,
player,201409280sfo,phi,SproDa00,rush_long,4,,,,,
player,201409280sfo,phi,SproDa00,targets,4,,,,,
player,201409280sfo,phi,SproDa00,rec,2,,,,,
