game,2014,4,20140929,201409290kan,nwe,"New England Patriots",14,kan,"Kansas City Chiefs",41
team,201409290kan,nwe,First Downs,13,,,,,,
team,201409290kan,kan,First Downs,26,,,,,,
team,201409290kan,nwe,Rush-Yds-TDs,16-75-0,,,,,,
team,201409290kan,kan,Rush-Yds-TDs,38-207-1,,,,,,
team,201409290kan,nwe,Cmp-Att-Yd-TD-INT,20-30-229-2-2,,,,,,
team,201409290kan,kan,Cmp-Att-Yd-TD-INT,20-26-248-3-0,,,,,,
team,201409290kan,nwe,Sacked-Yards,3-14,,,,,,
team,201409290kan,kan,Sacked-Yards,2-12,,,,,,
team,201409290kan,nwe,Net Pass Yards,215,,,,,,
team,201409290kan,kan,Net Pass Yards,236,,,,,,
team,201409290kan,nwe,Total Yards,290,,,,,,
team,201409290kan,kan,Total Yards,443,,,,,,
team,201409290kan,nwe,Fumbles-Lost,2-1,,,,,,
team,201409290kan,kan,Fumbles-Lost,0-0,,,,,,
team,201409290kan,nwe,Turnovers,3,,,,,,
team,201409290kan,kan,Turnovers,0,,,,,,
team,201409290kan,nwe,Penalties-Yards,3-30,,,,,,
team,201409290kan,kan,Penalties-Yards,4-35,,,,,,
team,201409290kan,nwe,Third Down Conv.,2-9,,,,,,
team,201409290kan,kan,Third Down Conv.,7-12,,,,,,
team,201409290kan,nwe,Fourth Down Conv.,0-0,,,,,,
team,201409290kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201409290kan,nwe,Time of Possession,23:33,,,,,,
team,201409290kan,kan,Time of Possession,36:27,,,,,,
player,201409290kan,nwe,BradTo00,pass_cmp,14,,,,,
player,201409290kan,nwe,BradTo00,pass_att,23,,,,,
player,201409290kan,nwe,BradTo00,pass_yds,159,,,,,
player,201409290kan,nwe,BradTo00,pass_td,1,,,,,
player,201409290kan,nwe,BradTo00,pass_int,2,,,,,
player,201409290kan,nwe,BradTo00,pass_sacked,2,,,,,
player,201409290kan,nwe,BradTo00,pass_sacked_yds,8,,,,,
player,201409290kan,nwe,BradTo00,pass_long,44,,,,,
player,201409290kan,nwe,BradTo00,pass_rating,59.9,,,,,
player,201409290kan,nwe,BradTo00,rush_att,0,,,,,
player,201409290kan,nwe,BradTo00,rush_yds,0,,,,,
player,201409290kan,nwe,BradTo00,rush_td,0,,,,,
player,201409290kan,nwe,BradTo00,rush_long,0,,,,,
player,201409290kan,nwe,BradTo00,targets,0,,,,,
player,201409290kan,nwe,BradTo00,rec,0,,,,,
player,201409290kan,nwe,BradTo00,rec_yds,0,,,,,
player,201409290kan,nwe,BradTo00,rec_td,0,,,,,
player,201409290kan,nwe,BradTo00,rec_long,0,,,,,
player,201409290kan,nwe,BradTo00,fumbles,2,,,,,
player,201409290kan,nwe,BradTo00,fumbles_lost,1,,,,,
player,201409290kan,nwe,GaroJi00,pass_cmp,6,,,,,
player,201409290kan,nwe,GaroJi00,pass_att,7,,,,,
player,201409290kan,nwe,GaroJi00,pass_yds,70,,,,,
player,201409290kan,nwe,GaroJi00,pass_td,1,,,,,
player,201409290kan,nwe,GaroJi00,pass_int,0,,,,,
player,201409290kan,nwe,GaroJi00,pass_sacked,1,,,,,
player,201409290kan,nwe,GaroJi00,pass_sacked_yds,6,,,,,
player,201409290kan,nwe,GaroJi00,pass_long,37,,,,,
player,201409290kan,nwe,GaroJi00,pass_rating,147.9,,,,,
player,201409290kan,nwe,GaroJi00,rush_att,0,,,,,
player,201409290kan,nwe,GaroJi00,rush_yds,0,,,,,
player,201409290kan,nwe,GaroJi00,rush_td,0,,,,,
player,201409290kan,nwe,GaroJi00,rush_long,0,,,,,
player,201409290kan,nwe,GaroJi00,targets,0,,,,,
player,201409290kan,nwe,GaroJi00,rec,0,,,,,
player,201409290kan,nwe,GaroJi00,rec_yds,0,,,,,
player,201409290kan,nwe,GaroJi00,rec_td,0,,,,,
player,201409290kan,nwe,GaroJi00,rec_long,0,,,,,
player,201409290kan,nwe,GaroJi00,fumbles,0,,,,,
player,201409290kan,nwe,GaroJi00,fumbles_lost,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_cmp,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_att,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_yds,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_td,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_int,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_sacked,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_long,0,,,,,
player,201409290kan,nwe,RidlSt00,pass_rating,,,,,,
player,201409290kan,nwe,RidlSt00,rush_att,5,,,,,
player,201409290kan,nwe,RidlSt00,rush_yds,28,,,,,
player,201409290kan,nwe,RidlSt00,rush_td,0,,,,,
player,201409290kan,nwe,RidlSt00,rush_long,8,,,,,
player,201409290kan,nwe,RidlSt00,targets,1,,,,,
player,201409290kan,nwe,RidlSt00,rec,0,,,,,
player,201409290kan,nwe,RidlSt00,rec_yds,0,,,,,
player,201409290kan,nwe,RidlSt00,rec_td,0,,,,,
player,201409290kan,nwe,RidlSt00,rec_long,0,,,,,
player,201409290kan,nwe,RidlSt00,fumbles,0,,,,,
player,201409290kan,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201409290kan,nwe,VereSh00,pass_cmp,0,,,,,
player,201409290kan,nwe,VereSh00,pass_att,0,,,,,
player,201409290kan,nwe,VereSh00,pass_yds,0,,,,,
player,201409290kan,nwe,VereSh00,pass_td,0,,,,,
player,201409290kan,nwe,VereSh00,pass_int,0,,,,,
player,201409290kan,nwe,VereSh00,pass_sacked,0,,,,,
player,201409290kan,nwe,VereSh00,pass_sacked_yds,0,,,,,
