game,2014,5,20141005,201410050clt,rav,"Baltimore Ravens",13,clt,"Indianapolis Colts",20
team,201410050clt,rav,First Downs,15,,,,,,
team,201410050clt,clt,First Downs,26,,,,,,
team,201410050clt,rav,Rush-Yds-TDs,15-90-1,,,,,,
team,201410050clt,clt,Rush-Yds-TDs,30-127-1,,,,,,
team,201410050clt,rav,Cmp-Att-Yd-TD-INT,22-38-235-0-1,,,,,,
team,201410050clt,clt,Cmp-Att-Yd-TD-INT,32-49-312-1-2,,,,,,
team,201410050clt,rav,Sacked-Yards,4-38,,,,,,
team,201410050clt,clt,Sacked-Yards,1-7,,,,,,
team,201410050clt,rav,Net Pass Yards,197,,,,,,
team,201410050clt,clt,Net Pass Yards,305,,,,,,
team,201410050clt,rav,Total Yards,287,,,,,,
team,201410050clt,clt,Total Yards,432,,,,,,
team,201410050clt,rav,Fumbles-Lost,2-2,,,,,,
team,201410050clt,clt,Fumbles-Lost,4-2,,,,,,
team,201410050clt,rav,Turnovers,3,,,,,,
team,201410050clt,clt,Turnovers,4,,,,,,
team,201410050clt,rav,Penalties-Yards,5-36,,,,,,
team,201410050clt,clt,Penalties-Yards,6-83,,,,,,
team,201410050clt,rav,Third Down Conv.,1-11,,,,,,
team,201410050clt,clt,Third Down Conv.,7-15,,,,,,
team,201410050clt,rav,Fourth Down Conv.,1-3,,,,,,
team,201410050clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201410050clt,rav,Time of Possession,21:17,,,,,,
team,201410050clt,clt,Time of Possession,38:43,,,,,,
player,201410050clt,rav,FlacJo00,pass_cmp,22,,,,,
player,201410050clt,rav,FlacJo00,pass_att,38,,,,,
player,201410050clt,rav,FlacJo00,pass_yds,235,,,,,
player,201410050clt,rav,FlacJo00,pass_td,0,,,,,
player,201410050clt,rav,FlacJo00,pass_int,1,,,,,
player,201410050clt,rav,FlacJo00,pass_sacked,4,,,,,
player,201410050clt,rav,FlacJo00,pass_sacked_yds,38,,,,,
player,201410050clt,rav,FlacJo00,pass_long,30,,,,,
player,201410050clt,rav,FlacJo00,pass_rating,65.1,,,,,
player,201410050clt,rav,FlacJo00,rush_att,0,,,,,
player,201410050clt,rav,FlacJo00,rush_yds,0,,,,,
player,201410050clt,rav,FlacJo00,rush_td,0,,,,,
player,201410050clt,rav,FlacJo00,rush_long,0,,,,,
player,201410050clt,rav,FlacJo00,targets,0,,,,,
player,201410050clt,rav,FlacJo00,rec,0,,,,,
player,201410050clt,rav,FlacJo00,rec_yds,0,,,,,
player,201410050clt,rav,FlacJo00,rec_td,0,,,,,
player,201410050clt,rav,FlacJo00,rec_long,0,,,,,
player,201410050clt,rav,FlacJo00,fumbles,0,,,,,
player,201410050clt,rav,FlacJo00,fumbles_lost,0,,,,,
player,201410050clt,rav,ForsJu00,pass_cmp,0,,,,,
player,201410050clt,rav,ForsJu00,pass_att,0,,,,,
player,201410050clt,rav,ForsJu00,pass_yds,0,,,,,
player,201410050clt,rav,ForsJu00,pass_td,0,,,,,
player,201410050clt,rav,ForsJu00,pass_int,0,,,,,
player,201410050clt,rav,ForsJu00,pass_sacked,0,,,,,
player,201410050clt,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201410050clt,rav,ForsJu00,pass_long,0,,,,,
player,201410050clt,rav,ForsJu00,pass_rating,,,,,,
player,201410050clt,rav,ForsJu00,rush_att,6,,,,,
player,201410050clt,rav,ForsJu00,rush_yds,42,,,,,
player,201410050clt,rav,ForsJu00,rush_td,1,,,,,
player,201410050clt,rav,ForsJu00,rush_long,29,,,,,
player,201410050clt,rav,ForsJu00,targets,8,,,,,
player,201410050clt,rav,ForsJu00,rec,7,,,,,
player,201410050clt,rav,ForsJu00,rec_yds,55,,,,,
player,201410050clt,rav,ForsJu00,rec_td,0,,,,,
player,201410050clt,rav,ForsJu00,rec_long,26,,,,,
player,201410050clt,rav,ForsJu00,fumbles,0,,,,,
player,201410050clt,rav,ForsJu00,fumbles_lost,0,,,,,
player,201410050clt,rav,PierBe00,pass_cmp,0,,,,,
player,201410050clt,rav,PierBe00,pass_att,0,,,,,
player,201410050clt,rav,PierBe00,pass_yds,0,,,,,
player,201410050clt,rav,PierBe00,pass_td,0,,,,,
player,201410050clt,rav,PierBe00,pass_int,0,,,,,
player,201410050clt,rav,PierBe00,pass_sacked,0,,,,,
player,201410050clt,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201410050clt,rav,PierBe00,pass_long,0,,,,,
player,201410050clt,rav,PierBe00,pass_rating,,,,,,
player,201410050clt,rav,PierBe00,rush_att,4,,,,,
player,201410050clt,rav,PierBe00,rush_yds,30,,,,,
player,201410050clt,rav,PierBe00,rush_td,0,,,,,
player,201410050clt,rav,PierBe00,rush_long,13,,,,,
player,201410050clt,rav,PierBe00,targets,0,,,,,
player,201410050clt,rav,PierBe00,rec,0,,,,,
player,201410050clt,rav,PierBe00,rec_yds,0,,,,,
