game,2014,6,20141012,201410120rai,sdg,"San Diego Chargers",31,rai,"Oakland Raiders",28
team,201410120rai,sdg,First Downs,24,,,,,,
team,201410120rai,rai,First Downs,17,,,,,,
team,201410120rai,sdg,Rush-Yds-TDs,33-116-1,,,,,,
team,201410120rai,rai,Rush-Yds-TDs,20-114-0,,,,,,
team,201410120rai,sdg,Cmp-Att-Yd-TD-INT,22-35-313-3-0,,,,,,
team,201410120rai,rai,Cmp-Att-Yd-TD-INT,18-34-282-4-1,,,,,,
team,201410120rai,sdg,Sacked-Yards,1-6,,,,,,
team,201410120rai,rai,Sacked-Yards,0-0,,,,,,
team,201410120rai,sdg,Net Pass Yards,307,,,,,,
team,201410120rai,rai,Net Pass Yards,282,,,,,,
team,201410120rai,sdg,Total Yards,423,,,,,,
team,201410120rai,rai,Total Yards,396,,,,,,
team,201410120rai,sdg,Fumbles-Lost,1-0,,,,,,
team,201410120rai,rai,Fumbles-Lost,1-0,,,,,,
team,201410120rai,sdg,Turnovers,0,,,,,,
team,201410120rai,rai,Turnovers,1,,,,,,
team,201410120rai,sdg,Penalties-Yards,7-60,,,,,,
team,201410120rai,rai,Penalties-Yards,11-78,,,,,,
team,201410120rai,sdg,Third Down Conv.,8-14,,,,,,
team,201410120rai,rai,Third Down Conv.,8-13,,,,,,
team,201410120rai,sdg,Fourth Down Conv.,0-1,,,,,,
team,201410120rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201410120rai,sdg,Time of Possession,37:02,,,,,,
team,201410120rai,rai,Time of Possession,22:58,,,,,,
player,201410120rai,sdg,RivePh00,pass_cmp,22,,,,,
player,201410120rai,sdg,RivePh00,pass_att,34,,,,,
player,201410120rai,sdg,RivePh00,pass_yds,313,,,,,
player,201410120rai,sdg,RivePh00,pass_td,3,,,,,
player,201410120rai,sdg,RivePh00,pass_int,0,,,,,
player,201410120rai,sdg,RivePh00,pass_sacked,1,,,,,
player,201410120rai,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201410120rai,sdg,RivePh00,pass_long,44,,,,,
player,201410120rai,sdg,RivePh00,pass_rating,123.8,,,,,
player,201410120rai,sdg,RivePh00,rush_att,5,,,,,
player,201410120rai,sdg,RivePh00,rush_yds,13,,,,,
player,201410120rai,sdg,RivePh00,rush_td,0,,,,,
player,201410120rai,sdg,RivePh00,rush_long,9,,,,,
player,201410120rai,sdg,RivePh00,targets,0,,,,,
player,201410120rai,sdg,RivePh00,rec,0,,,,,
player,201410120rai,sdg,RivePh00,rec_yds,0,,,,,
player,201410120rai,sdg,RivePh00,rec_td,0,,,,,
player,201410120rai,sdg,RivePh00,rec_long,0,,,,,
player,201410120rai,sdg,RivePh00,fumbles,0,,,,,
player,201410120rai,sdg,RivePh00,fumbles_lost,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_cmp,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_att,1,,,,,
player,201410120rai,sdg,WeddEr99,pass_yds,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_td,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_int,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_sacked,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_long,0,,,,,
player,201410120rai,sdg,WeddEr99,pass_rating,39.6,,,,,
player,201410120rai,sdg,WeddEr99,rush_att,0,,,,,
player,201410120rai,sdg,WeddEr99,rush_yds,0,,,,,
player,201410120rai,sdg,WeddEr99,rush_td,0,,,,,
player,201410120rai,sdg,WeddEr99,rush_long,0,,,,,
player,201410120rai,sdg,WeddEr99,targets,0,,,,,
player,201410120rai,sdg,WeddEr99,rec,0,,,,,
player,201410120rai,sdg,WeddEr99,rec_yds,0,,,,,
player,201410120rai,sdg,WeddEr99,rec_td,0,,,,,
player,201410120rai,sdg,WeddEr99,rec_long,0,,,,,
player,201410120rai,sdg,WeddEr99,fumbles,0,,,,,
player,201410120rai,sdg,WeddEr99,fumbles_lost,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_cmp,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_att,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_yds,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_td,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_int,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_sacked,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_long,0,,,,,
player,201410120rai,sdg,OlivBr01,pass_rating,,,,,,
player,201410120rai,sdg,OlivBr01,rush_att,26,,,,,
player,201410120rai,sdg,OlivBr01,rush_yds,101,,,,,
player,201410120rai,sdg,OlivBr01,rush_td,1,,,,,
player,201410120rai,sdg,OlivBr01,rush_long,12,,,,,
player,201410120rai,sdg,OlivBr01,targets,5,,,,,
player,201410120rai,sdg,OlivBr01,rec,4,,,,,
player,201410120rai,sdg,OlivBr01,rec_yds,23,,,,,
player,201410120rai,sdg,OlivBr01,rec_td,0,,,,,
player,201410120rai,sdg,OlivBr01,rec_long,20,,,,,
player,201410120rai,sdg,OlivBr01,fumbles,0,,,,,
player,201410120rai,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_cmp,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_att,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_yds,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_td,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_int,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_sacked,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_long,0,,,,,
player,201410120rai,sdg,BrowRo05,pass_rating,,,,,,
player,201410120rai,sdg,BrowRo05,rush_att,2,,,,,
player,201410120rai,sdg,BrowRo05,rush_yds,2,,,,,
player,201410120rai,sdg,BrowRo05,rush_td,0,,,,,
player,201410120rai,sdg,BrowRo05,rush_long,1,,,,,
player,201410120rai,sdg,BrowRo05,targets,1,,,,,
player,201410120rai,sdg,BrowRo05,rec,1,,,,,
player,201410120rai,sdg,BrowRo05,rec_yds,24,,,,,
player,201410120rai,sdg,BrowRo05,rec_td,0,,,,,
player,201410120rai,sdg,BrowRo05,rec_long,24,,,,,
player,201410120rai,sdg,BrowRo05,fumbles,0,,,,,
player,201410120rai,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_cmp,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_att,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_yds,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_td,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_int,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_sacked,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_long,0,,,,,
player,201410120rai,sdg,FloyMa00,pass_rating,,,,,,
player,201410120rai,sdg,FloyMa00,rush_att,0,,,,,
player,201410120rai,sdg,FloyMa00,rush_yds,0,,,,,
player,201410120rai,sdg,FloyMa00,rush_td,0,,,,,
player,201410120rai,sdg,FloyMa00,rush_long,0,,,,,
player,201410120rai,sdg,FloyMa00,targets,7,,,,,
player,201410120rai,sdg,FloyMa00,rec,5,,,,,
player,201410120rai,sdg,FloyMa00,rec_yds,103,,,,,
player,201410120rai,sdg,FloyMa00,rec_td,1,,,,,
player,201410120rai,sdg,FloyMa00,rec_long,44,,,,,
player,201410120rai,sdg,FloyMa00,fumbles,0,,,,,
player,201410120rai,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_cmp,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_att,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_yds,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_td,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_int,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_sacked,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_long,0,,,,,
player,201410120rai,sdg,GreeLa00,pass_rating,,,,,,
player,201410120rai,sdg,GreeLa00,rush_att,0,,,,,
player,201410120rai,sdg,GreeLa00,rush_yds,0,,,,,
player,201410120rai,sdg,GreeLa00,rush_td,0,,,,,
player,201410120rai,sdg,GreeLa00,rush_long,0,,,,,
player,201410120rai,sdg,GreeLa00,targets,5,,,,,
player,201410120rai,sdg,GreeLa00,rec,4,,,,,
player,201410120rai,sdg,GreeLa00,rec_yds,60,,,,,
player,201410120rai,sdg,GreeLa00,rec_td,0,,,,,
player,201410120rai,sdg,GreeLa00,rec_long,27,,,,,
player,201410120rai,sdg,GreeLa00,fumbles,0,,,,,
player,201410120rai,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_att,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_yds,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_td,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_int,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_long,0,,,,,
player,201410120rai,sdg,RoyaEd00,pass_rating,,,,,,
player,201410120rai,sdg,RoyaEd00,rush_att,0,,,,,
player,201410120rai,sdg,RoyaEd00,rush_yds,0,,,,,
player,201410120rai,sdg,RoyaEd00,rush_td,0,,,,,
player,201410120rai,sdg,RoyaEd00,rush_long,0,,,,,
player,201410120rai,sdg,RoyaEd00,targets,2,,,,,
player,201410120rai,sdg,RoyaEd00,rec,2,,,,,
player,201410120rai,sdg,RoyaEd00,rec_yds,49,,,,,
player,201410120rai,sdg,RoyaEd00,rec_td,1,,,,,
player,201410120rai,sdg,RoyaEd00,rec_long,29,,,,,
player,201410120rai,sdg,RoyaEd00,fumbles,0,,,,,
player,201410120rai,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_cmp,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_att,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_yds,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_td,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_int,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_sacked,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_long,0,,,,,
player,201410120rai,sdg,AlleKe00,pass_rating,,,,,,
player,201410120rai,sdg,AlleKe00,rush_att,0,,,,,
player,201410120rai,sdg,AlleKe00,rush_yds,0,,,,,
player,201410120rai,sdg,AlleKe00,rush_td,0,,,,,
player,201410120rai,sdg,AlleKe00,rush_long,0,,,,,
player,201410120rai,sdg,AlleKe00,targets,6,,,,,
player,201410120rai,sdg,AlleKe00,rec,3,,,,,
player,201410120rai,sdg,AlleKe00,rec_yds,27,,,,,
player,201410120rai,sdg,AlleKe00,rec_td,0,,,,,
player,201410120rai,sdg,AlleKe00,rec_long,19,,,,,
player,201410120rai,sdg,AlleKe00,fumbles,0,,,,,
player,201410120rai,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201410120rai,sdg,GateAn00,pass_cmp,0,,,,,
player,201410120rai,sdg,GateAn00,pass_att,0,,,,,
player,201410120rai,sdg,GateAn00,pass_yds,0,,,,,
player,201410120rai,sdg,GateAn00,pass_td,0,,,,,
player,201410120rai,sdg,GateAn00,pass_int,0,,,,,
player,201410120rai,sdg,GateAn00,pass_sacked,0,,,,,
player,201410120rai,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,GateAn00,pass_long,0,,,,,
player,201410120rai,sdg,GateAn00,pass_rating,,,,,,
player,201410120rai,sdg,GateAn00,rush_att,0,,,,,
player,201410120rai,sdg,GateAn00,rush_yds,0,,,,,
player,201410120rai,sdg,GateAn00,rush_td,0,,,,,
player,201410120rai,sdg,GateAn00,rush_long,0,,,,,
player,201410120rai,sdg,GateAn00,targets,8,,,,,
player,201410120rai,sdg,GateAn00,rec,3,,,,,
player,201410120rai,sdg,GateAn00,rec_yds,27,,,,,
player,201410120rai,sdg,GateAn00,rec_td,1,,,,,
player,201410120rai,sdg,GateAn00,rec_long,16,,,,,
player,201410120rai,sdg,GateAn00,fumbles,0,,,,,
player,201410120rai,sdg,GateAn00,fumbles_lost,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_cmp,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_att,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_yds,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_td,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_int,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_sacked,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_sacked_yds,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_long,0,,,,,
player,201410120rai,sdg,AjirSe00,pass_rating,,,,,,
player,201410120rai,sdg,AjirSe00,rush_att,0,,,,,
player,201410120rai,sdg,AjirSe00,rush_yds,0,,,,,
player,201410120rai,sdg,AjirSe00,rush_td,0,,,,,
player,201410120rai,sdg,AjirSe00,rush_long,0,,,,,
player,201410120rai,sdg,AjirSe00,targets,1,,,,,
player,201410120rai,sdg,AjirSe00,rec,0,,,,,
player,201410120rai,sdg,AjirSe00,rec_yds,0,,,,,
player,201410120rai,sdg,AjirSe00,rec_td,0,,,,,
player,201410120rai,sdg,AjirSe00,rec_long,0,,,,,
player,201410120rai,sdg,AjirSe00,fumbles,0,,,,,
player,201410120rai,sdg,AjirSe00,fumbles_lost,0,,,,,
player,201410120rai,rai,CarrDe02,pass_cmp,18,,,,,
player,201410120rai,rai,CarrDe02,pass_att,34,,,,,
player,201410120rai,rai,CarrDe02,pass_yds,282,,,,,
player,201410120rai,rai,CarrDe02,pass_td,4,,,,,
player,201410120rai,rai,CarrDe02,pass_int,1,,,,,
player,201410120rai,rai,CarrDe02,pass_sacked,0,,,,,
player,201410120rai,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201410120rai,rai,CarrDe02,pass_long,77,,,,,
player,201410120rai,rai,CarrDe02,pass_rating,107.7,,,,,
player,201410120rai,rai,CarrDe02,rush_att,1,,,,,
player,201410120rai,rai,CarrDe02,rush_yds,2,,,,,
player,201410120rai,rai,CarrDe02,rush_td,0,,,,,
player,201410120rai,rai,CarrDe02,rush_long,2,,,,,
player,201410120rai,rai,CarrDe02,targets,0,,,,,
player,201410120rai,rai,CarrDe02,rec,0,,,,,
player,201410120rai,rai,CarrDe02,rec_yds,0,,,,,
player,201410120rai,rai,CarrDe02,rec_td,0,,,,,
player,201410120rai,rai,CarrDe02,rec_long,0,,,,,
player,201410120rai,rai,CarrDe02,fumbles,0,,,,,
player,201410120rai,rai,CarrDe02,fumbles_lost,0,,,,,
player,201410120rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201410120rai,rai,McFaDa00,pass_att,0,,,,,
player,201410120rai,rai,McFaDa00,pass_yds,0,,,,,
player,201410120rai,rai,McFaDa00,pass_td,0,,,,,
player,201410120rai,rai,McFaDa00,pass_int,0,,,,,
player,201410120rai,rai,McFaDa00,pass_sacked,,,,,,
player,201410120rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201410120rai,rai,McFaDa00,pass_long,0,,,,,
player,201410120rai,rai,McFaDa00,pass_rating,,,,,,
player,201410120rai,rai,McFaDa00,rush_att,14,,,,,
player,201410120rai,rai,McFaDa00,rush_yds,80,,,,,
player,201410120rai,rai,McFaDa00,rush_td,0,,,,,
player,201410120rai,rai,McFaDa00,rush_long,17,,,,,
player,201410120rai,rai,McFaDa00,targets,4,,,,,
player,201410120rai,rai,McFaDa00,rec,2,,,,,
player,201410120rai,rai,McFaDa00,rec_yds,6,,,,,
player,201410120rai,rai,McFaDa00,rec_td,0,,,,,
player,201410120rai,rai,McFaDa00,rec_long,5,,,,,
player,201410120rai,rai,McFaDa00,fumbles,0,,,,,
player,201410120rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201410120rai,rai,DrewMa00,pass_cmp,0,,,,,
player,201410120rai,rai,DrewMa00,pass_att,0,,,,,
player,201410120rai,rai,DrewMa00,pass_yds,0,,,,,
player,201410120rai,rai,DrewMa00,pass_td,0,,,,,
player,201410120rai,rai,DrewMa00,pass_int,0,,,,,
player,201410120rai,rai,DrewMa00,pass_sacked,,,,,,
player,201410120rai,rai,DrewMa00,pass_sacked_yds,0,,,,,
player,201410120rai,rai,DrewMa00,pass_long,0,,,,,
player,201410120rai,rai,DrewMa00,pass_rating,,,,,,
player,201410120rai,rai,DrewMa00,rush_att,4,,,,,
player,201410120rai,rai,DrewMa00,rush_yds,30,,,,,
player,201410120rai,rai,DrewMa00,rush_td,0,,,,,
player,201410120rai,rai,DrewMa00,rush_long,10,,,,,
player,201410120rai,rai,DrewMa00,targets,1,,,,,
player,201410120rai,rai,DrewMa00,rec,1,,,,,
player,201410120rai,rai,DrewMa00,rec_yds,10,,,,,
player,201410120rai,rai,DrewMa00,rec_td,0,,,,,
player,201410120rai,rai,DrewMa00,rec_long,10,,,,,
player,201410120rai,rai,DrewMa00,fumbles,0,,,,,
player,201410120rai,rai,DrewMa00,fumbles_lost,0,,,,,
player,201410120rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201410120rai,rai,ReecMa00,pass_att,0,,,,,
player,201410120rai,rai,ReecMa00,pass_yds,0,,,,,
player,201410120rai,rai,ReecMa00,pass_td,0,,,,,
player,201410120rai,rai,ReecMa00,pass_int,0,,,,,
player,201410120rai,rai,ReecMa00,pass_sacked,,,,,,
player,201410120rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201410120rai,rai,ReecMa00,pass_long,0,,,,,
player,201410120rai,rai,ReecMa00,pass_rating,,,,,,
player,201410120rai,rai,ReecMa00,rush_att,1,,,,,
player,201410120rai,rai,ReecMa00,rush_yds,2,,,,,
player,201410120rai,rai,ReecMa00,rush_td,0,,,,,
player,201410120rai,rai,ReecMa00,rush_long,2,,,,,
player,201410120rai,rai,ReecMa00,targets,3,,,,,
player,201410120rai,rai,ReecMa00,rec,1,,,,,
player,201410120rai,rai,ReecMa00,rec_yds,11,,,,,
player,201410120rai,rai,ReecMa00,rec_td,0,,,,,
player,201410120rai,rai,ReecMa00,rec_long,11,,,,,
player,201410120rai,rai,ReecMa00,fumbles,0,,,,,
player,201410120rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201410120rai,rai,HolmAn00,pass_cmp,0,,,,,
player,201410120rai,rai,HolmAn00,pass_att,0,,,,,
