game,2014,6,20141012,201410120sea,dal,"Dallas Cowboys",30,sea,"Seattle Seahawks",23
team,201410120sea,dal,First Downs,23,,,,,,
team,201410120sea,sea,First Downs,9,,,,,,
team,201410120sea,dal,Rush-Yds-TDs,36-162-1,,,,,,
team,201410120sea,sea,Rush-Yds-TDs,18-80-1,,,,,,
team,201410120sea,dal,Cmp-Att-Yd-TD-INT,21-32-250-2-0,,,,,,
team,201410120sea,sea,Cmp-Att-Yd-TD-INT,14-28-126-0-1,,,,,,
team,201410120sea,dal,Sacked-Yards,1-11,,,,,,
team,201410120sea,sea,Sacked-Yards,2-0,,,,,,
team,201410120sea,dal,Net Pass Yards,239,,,,,,
team,201410120sea,sea,Net Pass Yards,126,,,,,,
team,201410120sea,dal,Total Yards,401,,,,,,
team,201410120sea,sea,Total Yards,206,,,,,,
team,201410120sea,dal,Fumbles-Lost,2-2,,,,,,
team,201410120sea,sea,Fumbles-Lost,1-0,,,,,,
team,201410120sea,dal,Turnovers,2,,,,,,
team,201410120sea,sea,Turnovers,1,,,,,,
team,201410120sea,dal,Penalties-Yards,6-46,,,,,,
team,201410120sea,sea,Penalties-Yards,9-58,,,,,,
team,201410120sea,dal,Third Down Conv.,10-17,,,,,,
team,201410120sea,sea,Third Down Conv.,5-13,,,,,,
team,201410120sea,dal,Fourth Down Conv.,0-0,,,,,,
team,201410120sea,sea,Fourth Down Conv.,0-1,,,,,,
team,201410120sea,dal,Time of Possession,37:39,,,,,,
team,201410120sea,sea,Time of Possession,22:21,,,,,,
player,201410120sea,dal,RomoTo00,pass_cmp,21,,,,,
player,201410120sea,dal,RomoTo00,pass_att,32,,,,,
player,201410120sea,dal,RomoTo00,pass_yds,250,,,,,
player,201410120sea,dal,RomoTo00,pass_td,2,,,,,
player,201410120sea,dal,RomoTo00,pass_int,0,,,,,
player,201410120sea,dal,RomoTo00,pass_sacked,1,,,,,
player,201410120sea,dal,RomoTo00,pass_sacked_yds,11,,,,,
player,201410120sea,dal,RomoTo00,pass_long,47,,,,,
player,201410120sea,dal,RomoTo00,pass_rating,110.2,,,,,
player,201410120sea,dal,RomoTo00,rush_att,2,,,,,
player,201410120sea,dal,RomoTo00,rush_yds,-1,,,,,
player,201410120sea,dal,RomoTo00,rush_td,0,,,,,
player,201410120sea,dal,RomoTo00,rush_long,0,,,,,
player,201410120sea,dal,RomoTo00,targets,0,,,,,
player,201410120sea,dal,RomoTo00,rec,0,,,,,
player,201410120sea,dal,RomoTo00,rec_yds,0,,,,,
player,201410120sea,dal,RomoTo00,rec_td,0,,,,,
player,201410120sea,dal,RomoTo00,rec_long,0,,,,,
player,201410120sea,dal,RomoTo00,fumbles,1,,,,,
player,201410120sea,dal,RomoTo00,fumbles_lost,1,,,,,
player,201410120sea,dal,MurrDe00,pass_cmp,0,,,,,
player,201410120sea,dal,MurrDe00,pass_att,0,,,,,
player,201410120sea,dal,MurrDe00,pass_yds,0,,,,,
player,201410120sea,dal,MurrDe00,pass_td,0,,,,,
player,201410120sea,dal,MurrDe00,pass_int,0,,,,,
player,201410120sea,dal,MurrDe00,pass_sacked,0,,,,,
player,201410120sea,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201410120sea,dal,MurrDe00,pass_long,0,,,,,
player,201410120sea,dal,MurrDe00,pass_rating,,,,,,
player,201410120sea,dal,MurrDe00,rush_att,28,,,,,
player,201410120sea,dal,MurrDe00,rush_yds,115,,,,,
player,201410120sea,dal,MurrDe00,rush_td,1,,,,,
player,201410120sea,dal,MurrDe00,rush_long,25,,,,,
player,201410120sea,dal,MurrDe00,targets,6,,,,,
player,201410120sea,dal,MurrDe00,rec,6,,,,,
player,201410120sea,dal,MurrDe00,rec_yds,31,,,,,
player,201410120sea,dal,MurrDe00,rec_td,0,,,,,
player,201410120sea,dal,MurrDe00,rec_long,14,,,,,
player,201410120sea,dal,MurrDe00,fumbles,0,,,,,
player,201410120sea,dal,MurrDe00,fumbles_lost,0,,,,,
player,201410120sea,dal,RandJo01,pass_cmp,0,,,,,
player,201410120sea,dal,RandJo01,pass_att,0,,,,,
player,201410120sea,dal,RandJo01,pass_yds,0,,,,,
player,201410120sea,dal,RandJo01,pass_td,0,,,,,
player,201410120sea,dal,RandJo01,pass_int,0,,,,,
player,201410120sea,dal,RandJo01,pass_sacked,0,,,,,
player,201410120sea,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201410120sea,dal,RandJo01,pass_long,0,,,,,
player,201410120sea,dal,RandJo01,pass_rating,,,,,,
player,201410120sea,dal,RandJo01,rush_att,5,,,,,
player,201410120sea,dal,RandJo01,rush_yds,52,,,,,
player,201410120sea,dal,RandJo01,rush_td,0,,,,,
player,201410120sea,dal,RandJo01,rush_long,38,,,,,
player,201410120sea,dal,RandJo01,targets,0,,,,,
player,201410120sea,dal,RandJo01,rec,0,,,,,
player,201410120sea,dal,RandJo01,rec_yds,0,,,,,
player,201410120sea,dal,RandJo01,rec_td,0,,,,,
player,201410120sea,dal,RandJo01,rec_long,0,,,,,
player,201410120sea,dal,RandJo01,fumbles,0,,,,,
player,201410120sea,dal,RandJo01,fumbles_lost,0,,,,,
player,201410120sea,dal,WillTe01,pass_cmp,0,,,,,
player,201410120sea,dal,WillTe01,pass_att,0,,,,,
player,201410120sea,dal,WillTe01,pass_yds,0,,,,,
player,201410120sea,dal,WillTe01,pass_td,0,,,,,
player,201410120sea,dal,WillTe01,pass_int,0,,,,,
player,201410120sea,dal,WillTe01,pass_sacked,0,,,,,
player,201410120sea,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201410120sea,dal,WillTe01,pass_long,0,,,,,
player,201410120sea,dal,WillTe01,pass_rating,,,,,,
player,201410120sea,dal,WillTe01,rush_att,0,,,,,
player,201410120sea,dal,WillTe01,rush_yds,0,,,,,
player,201410120sea,dal,WillTe01,rush_td,0,,,,,
player,201410120sea,dal,WillTe01,rush_long,0,,,,,
player,201410120sea,dal,WillTe01,targets,2,,,,,
player,201410120sea,dal,WillTe01,rec,2,,,,,
player,201410120sea,dal,WillTe01,rec_yds,70,,,,,
player,201410120sea,dal,WillTe01,rec_td,0,,,,,
player,201410120sea,dal,WillTe01,rec_long,47,,,,,
player,201410120sea,dal,WillTe01,fumbles,0,,,,,
player,201410120sea,dal,WillTe01,fumbles_lost,0,,,,,
player,201410120sea,dal,BryaDe01,pass_cmp,0,,,,,
player,201410120sea,dal,BryaDe01,pass_att,0,,,,,
player,201410120sea,dal,BryaDe01,pass_yds,0,,,,,
player,201410120sea,dal,BryaDe01,pass_td,0,,,,,
player,201410120sea,dal,BryaDe01,pass_int,0,,,,,
player,201410120sea,dal,BryaDe01,pass_sacked,0,,,,,
player,201410120sea,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201410120sea,dal,BryaDe01,pass_long,0,,,,,
player,201410120sea,dal,BryaDe01,pass_rating,,,,,,
player,201410120sea,dal,BryaDe01,rush_att,0,,,,,
player,201410120sea,dal,BryaDe01,rush_yds,0,,,,,
player,201410120sea,dal,BryaDe01,rush_td,0,,,,,
player,201410120sea,dal,BryaDe01,rush_long,0,,,,,
player,201410120sea,dal,BryaDe01,targets,10,,,,,
player,201410120sea,dal,BryaDe01,rec,4,,,,,
player,201410120sea,dal,BryaDe01,rec_yds,63,,,,,
player,201410120sea,dal,BryaDe01,rec_td,0,,,,,
player,201410120sea,dal,BryaDe01,rec_long,23,,,,,
player,201410120sea,dal,BryaDe01,fumbles,0,,,,,
player,201410120sea,dal,BryaDe01,fumbles_lost,0,,,,,
player,201410120sea,dal,WittJa00,pass_cmp,0,,,,,
player,201410120sea,dal,WittJa00,pass_att,0,,,,,
player,201410120sea,dal,WittJa00,pass_yds,0,,,,,
player,201410120sea,dal,WittJa00,pass_td,0,,,,,
player,201410120sea,dal,WittJa00,pass_int,0,,,,,
player,201410120sea,dal,WittJa00,pass_sacked,0,,,,,
player,201410120sea,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201410120sea,dal,WittJa00,pass_long,0,,,,,
player,201410120sea,dal,WittJa00,pass_rating,,,,,,
player,201410120sea,dal,WittJa00,rush_att,0,,,,,
player,201410120sea,dal,WittJa00,rush_yds,0,,,,,
player,201410120sea,dal,WittJa00,rush_td,0,,,,,
player,201410120sea,dal,WittJa00,rush_long,0,,,,,
player,201410120sea,dal,WittJa00,targets,5,,,,,
player,201410120sea,dal,WittJa00,rec,2,,,,,
player,201410120sea,dal,WittJa00,rec_yds,24,,,,,
player,201410120sea,dal,WittJa00,rec_td,1,,,,,
player,201410120sea,dal,WittJa00,rec_long,21,,,,,
player,201410120sea,dal,WittJa00,fumbles,0,,,,,
