game,2014,6,20141012,201410120tam,rav,"Baltimore Ravens",48,tam,"Tampa Bay Buccaneers",17
team,201410120tam,rav,First Downs,23,,,,,,
team,201410120tam,tam,First Downs,22,,,,,,
team,201410120tam,rav,Rush-Yds-TDs,35-169-1,,,,,,
team,201410120tam,tam,Rush-Yds-TDs,18-87-0,,,,,,
team,201410120tam,rav,Cmp-Att-Yd-TD-INT,21-28-306-5-0,,,,,,
team,201410120tam,tam,Cmp-Att-Yd-TD-INT,24-44-314-2-1,,,,,,
team,201410120tam,rav,Sacked-Yards,0-0,,,,,,
team,201410120tam,tam,Sacked-Yards,5-37,,,,,,
team,201410120tam,rav,Net Pass Yards,306,,,,,,
team,201410120tam,tam,Net Pass Yards,277,,,,,,
team,201410120tam,rav,Total Yards,475,,,,,,
team,201410120tam,tam,Total Yards,364,,,,,,
team,201410120tam,rav,Fumbles-Lost,1-1,,,,,,
team,201410120tam,tam,Fumbles-Lost,1-0,,,,,,
team,201410120tam,rav,Turnovers,1,,,,,,
team,201410120tam,tam,Turnovers,1,,,,,,
team,201410120tam,rav,Penalties-Yards,8-70,,,,,,
team,201410120tam,tam,Penalties-Yards,5-43,,,,,,
team,201410120tam,rav,Third Down Conv.,7-13,,,,,,
team,201410120tam,tam,Third Down Conv.,2-12,,,,,,
team,201410120tam,rav,Fourth Down Conv.,0-0,,,,,,
team,201410120tam,tam,Fourth Down Conv.,0-2,,,,,,
team,201410120tam,rav,Time of Possession,32:14,,,,,,
team,201410120tam,tam,Time of Possession,27:46,,,,,,
player,201410120tam,rav,FlacJo00,pass_cmp,21,,,,,
player,201410120tam,rav,FlacJo00,pass_att,28,,,,,
player,201410120tam,rav,FlacJo00,pass_yds,306,,,,,
player,201410120tam,rav,FlacJo00,pass_td,5,,,,,
player,201410120tam,rav,FlacJo00,pass_int,0,,,,,
player,201410120tam,rav,FlacJo00,pass_sacked,0,,,,,
player,201410120tam,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201410120tam,rav,FlacJo00,pass_long,56,,,,,
player,201410120tam,rav,FlacJo00,pass_rating,149.7,,,,,
player,201410120tam,rav,FlacJo00,rush_att,0,,,,,
player,201410120tam,rav,FlacJo00,rush_yds,0,,,,,
player,201410120tam,rav,FlacJo00,rush_td,0,,,,,
player,201410120tam,rav,FlacJo00,rush_long,0,,,,,
player,201410120tam,rav,FlacJo00,targets,0,,,,,
player,201410120tam,rav,FlacJo00,rec,0,,,,,
player,201410120tam,rav,FlacJo00,rec_yds,0,,,,,
player,201410120tam,rav,FlacJo00,rec_td,0,,,,,
player,201410120tam,rav,FlacJo00,rec_long,0,,,,,
player,201410120tam,rav,FlacJo00,fumbles,0,,,,,
player,201410120tam,rav,FlacJo00,fumbles_lost,0,,,,,
player,201410120tam,rav,ForsJu00,pass_cmp,0,,,,,
player,201410120tam,rav,ForsJu00,pass_att,0,,,,,
player,201410120tam,rav,ForsJu00,pass_yds,0,,,,,
player,201410120tam,rav,ForsJu00,pass_td,0,,,,,
player,201410120tam,rav,ForsJu00,pass_int,0,,,,,
player,201410120tam,rav,ForsJu00,pass_sacked,0,,,,,
player,201410120tam,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201410120tam,rav,ForsJu00,pass_long,0,,,,,
player,201410120tam,rav,ForsJu00,pass_rating,,,,,,
player,201410120tam,rav,ForsJu00,rush_att,14,,,,,
player,201410120tam,rav,ForsJu00,rush_yds,111,,,,,
player,201410120tam,rav,ForsJu00,rush_td,0,,,,,
player,201410120tam,rav,ForsJu00,rush_long,52,,,,,
player,201410120tam,rav,ForsJu00,targets,0,,,,,
