game,2014,8,20141026,201410260atl,det,"Detroit Lions",22,atl,"Atlanta Falcons",21
team,201410260atl,det,First Downs,22,,,,,,
team,201410260atl,atl,First Downs,22,,,,,,
team,201410260atl,det,Rush-Yds-TDs,23-60-0,,,,,,
team,201410260atl,atl,Rush-Yds-TDs,26-78-1,,,,,,
team,201410260atl,det,Cmp-Att-Yd-TD-INT,24-47-325-2-1,,,,,,
team,201410260atl,atl,Cmp-Att-Yd-TD-INT,20-27-228-2-1,,,,,,
team,201410260atl,det,Sacked-Yards,0-0,,,,,,
team,201410260atl,atl,Sacked-Yards,2-15,,,,,,
team,201410260atl,det,Net Pass Yards,325,,,,,,
team,201410260atl,atl,Net Pass Yards,213,,,,,,
team,201410260atl,det,Total Yards,385,,,,,,
team,201410260atl,atl,Total Yards,291,,,,,,
team,201410260atl,det,Fumbles-Lost,2-0,,,,,,
team,201410260atl,atl,Fumbles-Lost,3-0,,,,,,
team,201410260atl,det,Turnovers,1,,,,,,
team,201410260atl,atl,Turnovers,1,,,,,,
team,201410260atl,det,Penalties-Yards,8-85,,,,,,
team,201410260atl,atl,Penalties-Yards,5-39,,,,,,
team,201410260atl,det,Third Down Conv.,8-15,,,,,,
team,201410260atl,atl,Third Down Conv.,4-8,,,,,,
team,201410260atl,det,Fourth Down Conv.,0-0,,,,,,
team,201410260atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201410260atl,det,Time of Possession,30:55,,,,,,
team,201410260atl,atl,Time of Possession,29:05,,,,,,
player,201410260atl,det,StafMa00,pass_cmp,24,,,,,
player,201410260atl,det,StafMa00,pass_att,47,,,,,
player,201410260atl,det,StafMa00,pass_yds,325,,,,,
player,201410260atl,det,StafMa00,pass_td,2,,,,,
player,201410260atl,det,StafMa00,pass_int,1,,,,,
player,201410260atl,det,StafMa00,pass_sacked,0,,,,,
player,201410260atl,det,StafMa00,pass_sacked_yds,0,,,,,
player,201410260atl,det,StafMa00,pass_long,59,,,,,
player,201410260atl,det,StafMa00,pass_rating,78.8,,,,,
player,201410260atl,det,StafMa00,rush_att,3,,,,,
player,201410260atl,det,StafMa00,rush_yds,9,,,,,
player,201410260atl,det,StafMa00,rush_td,0,,,,,
player,201410260atl,det,StafMa00,rush_long,10,,,,,
player,201410260atl,det,StafMa00,targets,0,,,,,
player,201410260atl,det,StafMa00,rec,0,,,,,
player,201410260atl,det,StafMa00,rec_yds,0,,,,,
player,201410260atl,det,StafMa00,rec_td,0,,,,,
player,201410260atl,det,StafMa00,rec_long,0,,,,,
player,201410260atl,det,StafMa00,fumbles,1,,,,,
player,201410260atl,det,StafMa00,fumbles_lost,0,,,,,
player,201410260atl,det,BellJo01,pass_cmp,0,,,,,
player,201410260atl,det,BellJo01,pass_att,0,,,,,
player,201410260atl,det,BellJo01,pass_yds,0,,,,,
player,201410260atl,det,BellJo01,pass_td,0,,,,,
player,201410260atl,det,BellJo01,pass_int,0,,,,,
player,201410260atl,det,BellJo01,pass_sacked,0,,,,,
player,201410260atl,det,BellJo01,pass_sacked_yds,0,,,,,
player,201410260atl,det,BellJo01,pass_long,0,,,,,
player,201410260atl,det,BellJo01,pass_rating,,,,,,
player,201410260atl,det,BellJo01,rush_att,14,,,,,
player,201410260atl,det,BellJo01,rush_yds,39,,,,,
player,201410260atl,det,BellJo01,rush_td,0,,,,,
player,201410260atl,det,BellJo01,rush_long,9,,,,,
player,201410260atl,det,BellJo01,targets,3,,,,,
player,201410260atl,det,BellJo01,rec,2,,,,,
player,201410260atl,det,BellJo01,rec_yds,22,,,,,
player,201410260atl,det,BellJo01,rec_td,0,,,,,
player,201410260atl,det,BellJo01,rec_long,11,,,,,
player,201410260atl,det,BellJo01,fumbles,0,,,,,
player,201410260atl,det,BellJo01,fumbles_lost,0,,,,,
player,201410260atl,det,RiddTh00,pass_cmp,0,,,,,
player,201410260atl,det,RiddTh00,pass_att,0,,,,,
player,201410260atl,det,RiddTh00,pass_yds,0,,,,,
player,201410260atl,det,RiddTh00,pass_td,0,,,,,
player,201410260atl,det,RiddTh00,pass_int,0,,,,,
player,201410260atl,det,RiddTh00,pass_sacked,0,,,,,
player,201410260atl,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201410260atl,det,RiddTh00,pass_long,0,,,,,
player,201410260atl,det,RiddTh00,pass_rating,,,,,,
player,201410260atl,det,RiddTh00,rush_att,3,,,,,
player,201410260atl,det,RiddTh00,rush_yds,5,,,,,
player,201410260atl,det,RiddTh00,rush_td,0,,,,,
player,201410260atl,det,RiddTh00,rush_long,5,,,,,
player,201410260atl,det,RiddTh00,targets,12,,,,,
player,201410260atl,det,RiddTh00,rec,8,,,,,
player,201410260atl,det,RiddTh00,rec_yds,74,,,,,
player,201410260atl,det,RiddTh00,rec_td,1,,,,,
player,201410260atl,det,RiddTh00,rec_long,20,,,,,
player,201410260atl,det,RiddTh00,fumbles,0,,,,,
player,201410260atl,det,RiddTh00,fumbles_lost,0,,,,,
player,201410260atl,det,CollJe01,pass_cmp,0,,,,,
player,201410260atl,det,CollJe01,pass_att,0,,,,,
player,201410260atl,det,CollJe01,pass_yds,0,,,,,
player,201410260atl,det,CollJe01,pass_td,0,,,,,
player,201410260atl,det,CollJe01,pass_int,0,,,,,
player,201410260atl,det,CollJe01,pass_sacked,0,,,,,
player,201410260atl,det,CollJe01,pass_sacked_yds,0,,,,,
player,201410260atl,det,CollJe01,pass_long,0,,,,,
player,201410260atl,det,CollJe01,pass_rating,,,,,,
player,201410260atl,det,CollJe01,rush_att,2,,,,,
player,201410260atl,det,CollJe01,rush_yds,5,,,,,
player,201410260atl,det,CollJe01,rush_td,0,,,,,
player,201410260atl,det,CollJe01,rush_long,3,,,,,
player,201410260atl,det,CollJe01,targets,0,,,,,
player,201410260atl,det,CollJe01,rec,0,,,,,
player,201410260atl,det,CollJe01,rec_yds,0,,,,,
player,201410260atl,det,CollJe01,rec_td,0,,,,,
player,201410260atl,det,CollJe01,rec_long,0,,,,,
player,201410260atl,det,CollJe01,fumbles,0,,,,,
player,201410260atl,det,CollJe01,fumbles_lost,0,,,,,
player,201410260atl,det,WinnGe00,pass_cmp,0,,,,,
player,201410260atl,det,WinnGe00,pass_att,0,,,,,
