game,2014,9,20141102,201411020dal,crd,"Arizona Cardinals",28,dal,"Dallas Cowboys",17
team,201411020dal,crd,First Downs,22,,,,,,
team,201411020dal,dal,First Downs,18,,,,,,
team,201411020dal,crd,Rush-Yds-TDs,29-102-1,,,,,,
team,201411020dal,dal,Rush-Yds-TDs,25-92-0,,,,,,
team,201411020dal,crd,Cmp-Att-Yd-TD-INT,22-34-249-3-1,,,,,,
team,201411020dal,dal,Cmp-Att-Yd-TD-INT,18-33-183-1-2,,,,,,
team,201411020dal,crd,Sacked-Yards,2-12,,,,,,
team,201411020dal,dal,Sacked-Yards,1-9,,,,,,
team,201411020dal,crd,Net Pass Yards,237,,,,,,
team,201411020dal,dal,Net Pass Yards,174,,,,,,
team,201411020dal,crd,Total Yards,339,,,,,,
team,201411020dal,dal,Total Yards,266,,,,,,
team,201411020dal,crd,Fumbles-Lost,1-0,,,,,,
team,201411020dal,dal,Fumbles-Lost,0-0,,,,,,
team,201411020dal,crd,Turnovers,1,,,,,,
team,201411020dal,dal,Turnovers,2,,,,,,
team,201411020dal,crd,Penalties-Yards,6-62,,,,,,
team,201411020dal,dal,Penalties-Yards,5-33,,,,,,
team,201411020dal,crd,Third Down Conv.,9-15,,,,,,
team,201411020dal,dal,Third Down Conv.,3-11,,,,,,
team,201411020dal,crd,Fourth Down Conv.,0-0,,,,,,
team,201411020dal,dal,Fourth Down Conv.,0-1,,,,,,
team,201411020dal,crd,Time of Possession,31:28,,,,,,
team,201411020dal,dal,Time of Possession,28:32,,,,,,
player,201411020dal,crd,PalmCa00,pass_cmp,22,,,,,
player,201411020dal,crd,PalmCa00,pass_att,34,,,,,
player,201411020dal,crd,PalmCa00,pass_yds,249,,,,,
player,201411020dal,crd,PalmCa00,pass_td,3,,,,,
player,201411020dal,crd,PalmCa00,pass_int,1,,,,,
player,201411020dal,crd,PalmCa00,pass_sacked,2,,,,,
player,201411020dal,crd,PalmCa00,pass_sacked_yds,12,,,,,
player,201411020dal,crd,PalmCa00,pass_long,31,,,,,
player,201411020dal,crd,PalmCa00,pass_rating,103.7,,,,,
player,201411020dal,crd,PalmCa00,rush_att,2,,,,,
player,201411020dal,crd,PalmCa00,rush_yds,-2,,,,,
player,201411020dal,crd,PalmCa00,rush_td,0,,,,,
player,201411020dal,crd,PalmCa00,rush_long,-1,,,,,
player,201411020dal,crd,PalmCa00,targets,0,,,,,
player,201411020dal,crd,PalmCa00,rec,0,,,,,
player,201411020dal,crd,PalmCa00,rec_yds,0,,,,,
player,201411020dal,crd,PalmCa00,rec_td,0,,,,,
player,201411020dal,crd,PalmCa00,rec_long,0,,,,,
player,201411020dal,crd,PalmCa00,fumbles,0,,,,,
player,201411020dal,crd,PalmCa00,fumbles_lost,0,,,,,
player,201411020dal,crd,ElliAn00,pass_cmp,0,,,,,
player,201411020dal,crd,ElliAn00,pass_att,0,,,,,
player,201411020dal,crd,ElliAn00,pass_yds,0,,,,,
player,201411020dal,crd,ElliAn00,pass_td,0,,,,,
player,201411020dal,crd,ElliAn00,pass_int,0,,,,,
player,201411020dal,crd,ElliAn00,pass_sacked,0,,,,,
player,201411020dal,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201411020dal,crd,ElliAn00,pass_long,0,,,,,
player,201411020dal,crd,ElliAn00,pass_rating,,,,,,
player,201411020dal,crd,ElliAn00,rush_att,21,,,,,
player,201411020dal,crd,ElliAn00,rush_yds,95,,,,,
player,201411020dal,crd,ElliAn00,rush_td,0,,,,,
player,201411020dal,crd,ElliAn00,rush_long,20,,,,,
player,201411020dal,crd,ElliAn00,targets,4,,,,,
player,201411020dal,crd,ElliAn00,rec,4,,,,,
player,201411020dal,crd,ElliAn00,rec_yds,39,,,,,
player,201411020dal,crd,ElliAn00,rec_td,1,,,,,
player,201411020dal,crd,ElliAn00,rec_long,20,,,,,
player,201411020dal,crd,ElliAn00,fumbles,0,,,,,
player,201411020dal,crd,ElliAn00,fumbles_lost,0,,,,,
player,201411020dal,crd,GricMa00,pass_cmp,0,,,,,
player,201411020dal,crd,GricMa00,pass_att,0,,,,,
player,201411020dal,crd,GricMa00,pass_yds,0,,,,,
player,201411020dal,crd,GricMa00,pass_td,0,,,,,
player,201411020dal,crd,GricMa00,pass_int,0,,,,,
player,201411020dal,crd,GricMa00,pass_sacked,0,,,,,
player,201411020dal,crd,GricMa00,pass_sacked_yds,0,,,,,
player,201411020dal,crd,GricMa00,pass_long,0,,,,,
player,201411020dal,crd,GricMa00,pass_rating,,,,,,
player,201411020dal,crd,GricMa00,rush_att,5,,,,,
player,201411020dal,crd,GricMa00,rush_yds,12,,,,,
player,201411020dal,crd,GricMa00,rush_td,1,,,,,
player,201411020dal,crd,GricMa00,rush_long,5,,,,,
player,201411020dal,crd,GricMa00,targets,0,,,,,
player,201411020dal,crd,GricMa00,rec,0,,,,,
player,201411020dal,crd,GricMa00,rec_yds,0,,,,,
player,201411020dal,crd,GricMa00,rec_td,0,,,,,
player,201411020dal,crd,GricMa00,rec_long,0,,,,,
player,201411020dal,crd,GricMa00,fumbles,0,,,,,
player,201411020dal,crd,GricMa00,fumbles_lost,0,,,,,
player,201411020dal,crd,FitzLa00,pass_cmp,0,,,,,
player,201411020dal,crd,FitzLa00,pass_att,0,,,,,
player,201411020dal,crd,FitzLa00,pass_yds,0,,,,,
player,201411020dal,crd,FitzLa00,pass_td,0,,,,,
player,201411020dal,crd,FitzLa00,pass_int,0,,,,,
player,201411020dal,crd,FitzLa00,pass_sacked,0,,,,,
player,201411020dal,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201411020dal,crd,FitzLa00,pass_long,0,,,,,
player,201411020dal,crd,FitzLa00,pass_rating,,,,,,
player,201411020dal,crd,FitzLa00,rush_att,0,,,,,
player,201411020dal,crd,FitzLa00,rush_yds,0,,,,,
player,201411020dal,crd,FitzLa00,rush_td,0,,,,,
player,201411020dal,crd,FitzLa00,rush_long,0,,,,,
player,201411020dal,crd,FitzLa00,targets,6,,,,,
player,201411020dal,crd,FitzLa00,rec,5,,,,,
player,201411020dal,crd,FitzLa00,rec_yds,70,,,,,
player,201411020dal,crd,FitzLa00,rec_td,0,,,,,
player,201411020dal,crd,FitzLa00,rec_long,31,,,,,
player,201411020dal,crd,FitzLa00,fumbles,0,,,,,
player,201411020dal,crd,FitzLa00,fumbles_lost,0,,,,,
player,201411020dal,crd,GinnTe00,pass_cmp,0,,,,,
player,201411020dal,crd,GinnTe00,pass_att,0,,,,,
player,201411020dal,crd,GinnTe00,pass_yds,0,,,,,
player,201411020dal,crd,GinnTe00,pass_td,0,,,,,
player,201411020dal,crd,GinnTe00,pass_int,0,,,,,
