game,2014,9,20141102,201411020htx,phi,"Philadelphia Eagles",31,htx,"Houston Texans",21
team,201411020htx,phi,First Downs,30,,,,,,
team,201411020htx,htx,First Downs,15,,,,,,
team,201411020htx,phi,Rush-Yds-TDs,41-190-1,,,,,,
team,201411020htx,htx,Rush-Yds-TDs,28-118-0,,,,,,
team,201411020htx,phi,Cmp-Att-Yd-TD-INT,24-34-326-3-3,,,,,,
team,201411020htx,htx,Cmp-Att-Yd-TD-INT,13-27-203-2-1,,,,,,
team,201411020htx,phi,Sacked-Yards,4-33,,,,,,
team,201411020htx,htx,Sacked-Yards,4-21,,,,,,
team,201411020htx,phi,Net Pass Yards,293,,,,,,
team,201411020htx,htx,Net Pass Yards,182,,,,,,
team,201411020htx,phi,Total Yards,483,,,,,,
team,201411020htx,htx,Total Yards,300,,,,,,
team,201411020htx,phi,Fumbles-Lost,1-1,,,,,,
team,201411020htx,htx,Fumbles-Lost,1-0,,,,,,
team,201411020htx,phi,Turnovers,4,,,,,,
team,201411020htx,htx,Turnovers,1,,,,,,
team,201411020htx,phi,Penalties-Yards,7-55,,,,,,
team,201411020htx,htx,Penalties-Yards,9-54,,,,,,
team,201411020htx,phi,Third Down Conv.,9-16,,,,,,
team,201411020htx,htx,Third Down Conv.,5-13,,,,,,
team,201411020htx,phi,Fourth Down Conv.,2-2,,,,,,
team,201411020htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201411020htx,phi,Time of Possession,32:13,,,,,,
team,201411020htx,htx,Time of Possession,27:47,,,,,,
player,201411020htx,phi,SancMa00,pass_cmp,15,,,,,
player,201411020htx,phi,SancMa00,pass_att,22,,,,,
player,201411020htx,phi,SancMa00,pass_yds,202,,,,,
player,201411020htx,phi,SancMa00,pass_td,2,,,,,
player,201411020htx,phi,SancMa00,pass_int,2,,,,,
player,201411020htx,phi,SancMa00,pass_sacked,2,,,,,
player,201411020htx,phi,SancMa00,pass_sacked_yds,13,,,,,
player,201411020htx,phi,SancMa00,pass_long,52,,,,,
player,201411020htx,phi,SancMa00,pass_rating,89.6,,,,,
player,201411020htx,phi,SancMa00,rush_att,5,,,,,
player,201411020htx,phi,SancMa00,rush_yds,5,,,,,
player,201411020htx,phi,SancMa00,rush_td,0,,,,,
player,201411020htx,phi,SancMa00,rush_long,3,,,,,
player,201411020htx,phi,SancMa00,targets,0,,,,,
player,201411020htx,phi,SancMa00,rec,0,,,,,
player,201411020htx,phi,SancMa00,rec_yds,0,,,,,
player,201411020htx,phi,SancMa00,rec_td,0,,,,,
player,201411020htx,phi,SancMa00,rec_long,0,,,,,
player,201411020htx,phi,SancMa00,fumbles,0,,,,,
player,201411020htx,phi,SancMa00,fumbles_lost,0,,,,,
player,201411020htx,phi,FoleNi00,pass_cmp,9,,,,,
player,201411020htx,phi,FoleNi00,pass_att,12,,,,,
player,201411020htx,phi,FoleNi00,pass_yds,124,,,,,
player,201411020htx,phi,FoleNi00,pass_td,1,,,,,
player,201411020htx,phi,FoleNi00,pass_int,1,,,,,
player,201411020htx,phi,FoleNi00,pass_sacked,2,,,,,
player,201411020htx,phi,FoleNi00,pass_sacked_yds,20,,,,,
player,201411020htx,phi,FoleNi00,pass_long,59,,,,,
player,201411020htx,phi,FoleNi00,pass_rating,100.7,,,,,
player,201411020htx,phi,FoleNi00,rush_att,1,,,,,
player,201411020htx,phi,FoleNi00,rush_yds,1,,,,,
player,201411020htx,phi,FoleNi00,rush_td,0,,,,,
player,201411020htx,phi,FoleNi00,rush_long,1,,,,,
player,201411020htx,phi,FoleNi00,targets,0,,,,,
