game,2014,9,20141103,201411030nyg,clt,"Indianapolis Colts",40,nyg,"New York Giants",24
team,201411030nyg,clt,First Downs,22,,,,,,
team,201411030nyg,nyg,First Downs,22,,,,,,
team,201411030nyg,clt,Rush-Yds-TDs,24-98-0,,,,,,
team,201411030nyg,nyg,Rush-Yds-TDs,20-89-1,,,,,,
team,201411030nyg,clt,Cmp-Att-Yd-TD-INT,25-46-354-4-0,,,,,,
team,201411030nyg,nyg,Cmp-Att-Yd-TD-INT,27-52-359-2-0,,,,,,
team,201411030nyg,clt,Sacked-Yards,1-9,,,,,,
team,201411030nyg,nyg,Sacked-Yards,3-10,,,,,,
team,201411030nyg,clt,Net Pass Yards,345,,,,,,
team,201411030nyg,nyg,Net Pass Yards,349,,,,,,
team,201411030nyg,clt,Total Yards,443,,,,,,
team,201411030nyg,nyg,Total Yards,438,,,,,,
team,201411030nyg,clt,Fumbles-Lost,3-0,,,,,,
team,201411030nyg,nyg,Fumbles-Lost,3-1,,,,,,
team,201411030nyg,clt,Turnovers,0,,,,,,
team,201411030nyg,nyg,Turnovers,1,,,,,,
team,201411030nyg,clt,Penalties-Yards,4-30,,,,,,
team,201411030nyg,nyg,Penalties-Yards,4-30,,,,,,
team,201411030nyg,clt,Third Down Conv.,5-15,,,,,,
team,201411030nyg,nyg,Third Down Conv.,4-16,,,,,,
team,201411030nyg,clt,Fourth Down Conv.,0-0,,,,,,
team,201411030nyg,nyg,Fourth Down Conv.,1-2,,,,,,
team,201411030nyg,clt,Time of Possession,33:03,,,,,,
team,201411030nyg,nyg,Time of Possession,26:57,,,,,,
player,201411030nyg,clt,LuckAn00,pass_cmp,25,,,,,
player,201411030nyg,clt,LuckAn00,pass_att,46,,,,,
player,201411030nyg,clt,LuckAn00,pass_yds,354,,,,,
player,201411030nyg,clt,LuckAn00,pass_td,4,,,,,
player,201411030nyg,clt,LuckAn00,pass_int,0,,,,,
player,201411030nyg,clt,LuckAn00,pass_sacked,1,,,,,
player,201411030nyg,clt,LuckAn00,pass_sacked_yds,9,,,,,
player,201411030nyg,clt,LuckAn00,pass_long,40,,,,,
player,201411030nyg,clt,LuckAn00,pass_rating,108.4,,,,,
player,201411030nyg,clt,LuckAn00,rush_att,2,,,,,
player,201411030nyg,clt,LuckAn00,rush_yds,5,,,,,
player,201411030nyg,clt,LuckAn00,rush_td,0,,,,,
player,201411030nyg,clt,LuckAn00,rush_long,5,,,,,
player,201411030nyg,clt,LuckAn00,targets,0,,,,,
player,201411030nyg,clt,LuckAn00,rec,0,,,,,
player,201411030nyg,clt,LuckAn00,rec_yds,0,,,,,
player,201411030nyg,clt,LuckAn00,rec_td,0,,,,,
player,201411030nyg,clt,LuckAn00,rec_long,0,,,,,
player,201411030nyg,clt,LuckAn00,fumbles,2,,,,,
player,201411030nyg,clt,LuckAn00,fumbles_lost,0,,,,,
player,201411030nyg,clt,BradAh00,pass_cmp,0,,,,,
player,201411030nyg,clt,BradAh00,pass_att,0,,,,,
player,201411030nyg,clt,BradAh00,pass_yds,0,,,,,
player,201411030nyg,clt,BradAh00,pass_td,0,,,,,
player,201411030nyg,clt,BradAh00,pass_int,0,,,,,
player,201411030nyg,clt,BradAh00,pass_sacked,0,,,,,
player,201411030nyg,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,BradAh00,pass_long,0,,,,,
player,201411030nyg,clt,BradAh00,pass_rating,,,,,,
player,201411030nyg,clt,BradAh00,rush_att,7,,,,,
player,201411030nyg,clt,BradAh00,rush_yds,50,,,,,
player,201411030nyg,clt,BradAh00,rush_td,0,,,,,
player,201411030nyg,clt,BradAh00,rush_long,17,,,,,
player,201411030nyg,clt,BradAh00,targets,5,,,,,
player,201411030nyg,clt,BradAh00,rec,3,,,,,
player,201411030nyg,clt,BradAh00,rec_yds,29,,,,,
player,201411030nyg,clt,BradAh00,rec_td,0,,,,,
player,201411030nyg,clt,BradAh00,rec_long,22,,,,,
player,201411030nyg,clt,BradAh00,fumbles,0,,,,,
player,201411030nyg,clt,BradAh00,fumbles_lost,0,,,,,
player,201411030nyg,clt,RichTr00,pass_cmp,0,,,,,
player,201411030nyg,clt,RichTr00,pass_att,0,,,,,
player,201411030nyg,clt,RichTr00,pass_yds,0,,,,,
player,201411030nyg,clt,RichTr00,pass_td,0,,,,,
player,201411030nyg,clt,RichTr00,pass_int,0,,,,,
player,201411030nyg,clt,RichTr00,pass_sacked,0,,,,,
player,201411030nyg,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,RichTr00,pass_long,0,,,,,
player,201411030nyg,clt,RichTr00,pass_rating,,,,,,
player,201411030nyg,clt,RichTr00,rush_att,7,,,,,
player,201411030nyg,clt,RichTr00,rush_yds,33,,,,,
player,201411030nyg,clt,RichTr00,rush_td,0,,,,,
player,201411030nyg,clt,RichTr00,rush_long,9,,,,,
player,201411030nyg,clt,RichTr00,targets,2,,,,,
player,201411030nyg,clt,RichTr00,rec,2,,,,,
player,201411030nyg,clt,RichTr00,rec_yds,9,,,,,
player,201411030nyg,clt,RichTr00,rec_td,0,,,,,
player,201411030nyg,clt,RichTr00,rec_long,6,,,,,
player,201411030nyg,clt,RichTr00,fumbles,0,,,,,
player,201411030nyg,clt,RichTr00,fumbles_lost,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_cmp,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_att,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_yds,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_td,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_int,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_sacked,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_long,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_rating,,,,,,
player,201411030nyg,clt,HerrDa00,rush_att,8,,,,,
player,201411030nyg,clt,HerrDa00,rush_yds,10,,,,,
player,201411030nyg,clt,HerrDa00,rush_td,0,,,,,
player,201411030nyg,clt,HerrDa00,rush_long,5,,,,,
player,201411030nyg,clt,HerrDa00,targets,1,,,,,
player,201411030nyg,clt,HerrDa00,rec,1,,,,,
player,201411030nyg,clt,HerrDa00,rec_yds,4,,,,,
player,201411030nyg,clt,HerrDa00,rec_td,0,,,,,
player,201411030nyg,clt,HerrDa00,rec_long,4,,,,,
player,201411030nyg,clt,HerrDa00,fumbles,0,,,,,
player,201411030nyg,clt,HerrDa00,fumbles_lost,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_cmp,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_att,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_td,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_int,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_sacked,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_long,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_rating,,,,,,
player,201411030nyg,clt,FleeCo00,rush_att,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_td,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_long,0,,,,,
