game,2014,10,20141110,201411100phi,car,"Carolina Panthers",21,phi,"Philadelphia Eagles",45
team,201411100phi,car,First Downs,21,,,,,,
team,201411100phi,phi,First Downs,17,,,,,,
team,201411100phi,car,Rush-Yds-TDs,32-102-1,,,,,,
team,201411100phi,phi,Rush-Yds-TDs,23-37-2,,,,,,
team,201411100phi,car,Cmp-Att-Yd-TD-INT,25-40-306-2-3,,,,,,
team,201411100phi,phi,Cmp-Att-Yd-TD-INT,20-38-332-2-0,,,,,,
team,201411100phi,car,Sacked-Yards,9-91,,,,,,
team,201411100phi,phi,Sacked-Yards,1-4,,,,,,
team,201411100phi,car,Net Pass Yards,215,,,,,,
team,201411100phi,phi,Net Pass Yards,328,,,,,,
team,201411100phi,car,Total Yards,317,,,,,,
team,201411100phi,phi,Total Yards,365,,,,,,
team,201411100phi,car,Fumbles-Lost,3-2,,,,,,
team,201411100phi,phi,Fumbles-Lost,2-0,,,,,,
team,201411100phi,car,Turnovers,5,,,,,,
team,201411100phi,phi,Turnovers,0,,,,,,
team,201411100phi,car,Penalties-Yards,4-30,,,,,,
team,201411100phi,phi,Penalties-Yards,5-50,,,,,,
team,201411100phi,car,Third Down Conv.,10-20,,,,,,
team,201411100phi,phi,Third Down Conv.,5-15,,,,,,
team,201411100phi,car,Fourth Down Conv.,0-1,,,,,,
team,201411100phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201411100phi,car,Time of Possession,38:05,,,,,,
team,201411100phi,phi,Time of Possession,21:55,,,,,,
player,201411100phi,car,NewtCa00,pass_cmp,25,,,,,
player,201411100phi,car,NewtCa00,pass_att,40,,,,,
player,201411100phi,car,NewtCa00,pass_yds,306,,,,,
player,201411100phi,car,NewtCa00,pass_td,2,,,,,
player,201411100phi,car,NewtCa00,pass_int,3,,,,,
player,201411100phi,car,NewtCa00,pass_sacked,9,,,,,
player,201411100phi,car,NewtCa00,pass_sacked_yds,91,,,,,
player,201411100phi,car,NewtCa00,pass_long,40,,,,,
player,201411100phi,car,NewtCa00,pass_rating,71.5,,,,,
player,201411100phi,car,NewtCa00,rush_att,2,,,,,
player,201411100phi,car,NewtCa00,rush_yds,6,,,,,
player,201411100phi,car,NewtCa00,rush_td,0,,,,,
player,201411100phi,car,NewtCa00,rush_long,4,,,,,
player,201411100phi,car,NewtCa00,targets,0,,,,,
player,201411100phi,car,NewtCa00,rec,0,,,,,
player,201411100phi,car,NewtCa00,rec_yds,0,,,,,
player,201411100phi,car,NewtCa00,rec_td,0,,,,,
player,201411100phi,car,NewtCa00,rec_long,0,,,,,
player,201411100phi,car,NewtCa00,fumbles,2,,,,,
player,201411100phi,car,NewtCa00,fumbles_lost,1,,,,,
player,201411100phi,car,StewJo00,pass_cmp,0,,,,,
player,201411100phi,car,StewJo00,pass_att,0,,,,,
player,201411100phi,car,StewJo00,pass_yds,0,,,,,
player,201411100phi,car,StewJo00,pass_td,0,,,,,
player,201411100phi,car,StewJo00,pass_int,0,,,,,
player,201411100phi,car,StewJo00,pass_sacked,0,,,,,
player,201411100phi,car,StewJo00,pass_sacked_yds,0,,,,,
player,201411100phi,car,StewJo00,pass_long,0,,,,,
player,201411100phi,car,StewJo00,pass_rating,,,,,,
player,201411100phi,car,StewJo00,rush_att,11,,,,,
player,201411100phi,car,StewJo00,rush_yds,36,,,,,
player,201411100phi,car,StewJo00,rush_td,1,,,,,
