game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
team,201411230atl,cle,First Downs,29,,,,,,
team,201411230atl,atl,First Downs,21,,,,,,
team,201411230atl,cle,Rush-Yds-TDs,29-162-2,,,,,,
team,201411230atl,atl,Rush-Yds-TDs,23-63-1,,,,,,
team,201411230atl,cle,Cmp-Att-Yd-TD-INT,23-41-322-0-3,,,,,,
team,201411230atl,atl,Cmp-Att-Yd-TD-INT,27-43-273-2-1,,,,,,
team,201411230atl,cle,Sacked-Yards,1-9,,,,,,
team,201411230atl,atl,Sacked-Yards,3-21,,,,,,
team,201411230atl,cle,Net Pass Yards,313,,,,,,
team,201411230atl,atl,Net Pass Yards,252,,,,,,
team,201411230atl,cle,Total Yards,475,,,,,,
team,201411230atl,atl,Total Yards,315,,,,,,
team,201411230atl,cle,Fumbles-Lost,2-0,,,,,,
team,201411230atl,atl,Fumbles-Lost,1-1,,,,,,
team,201411230atl,cle,Turnovers,3,,,,,,
team,201411230atl,atl,Turnovers,2,,,,,,
team,201411230atl,cle,Penalties-Yards,5-30,,,,,,
team,201411230atl,atl,Penalties-Yards,7-40,,,,,,
team,201411230atl,cle,Third Down Conv.,4-10,,,,,,
team,201411230atl,atl,Third Down Conv.,9-16,,,,,,
team,201411230atl,cle,Fourth Down Conv.,0-0,,,,,,
team,201411230atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201411230atl,cle,Time of Possession,30:37,,,,,,
team,201411230atl,atl,Time of Possession,29:23,,,,,,
player,201411230atl,cle,HoyeBr00,pass_cmp,23,,,,,
player,201411230atl,cle,HoyeBr00,pass_att,40,,,,,
player,201411230atl,cle,HoyeBr00,pass_yds,322,,,,,
player,201411230atl,cle,HoyeBr00,pass_td,0,,,,,
player,201411230atl,cle,HoyeBr00,pass_int,3,,,,,
player,201411230atl,cle,HoyeBr00,pass_sacked,1,,,,,
player,201411230atl,cle,HoyeBr00,pass_sacked_yds,9,,,,,
player,201411230atl,cle,HoyeBr00,pass_long,40,,,,,
player,201411230atl,cle,HoyeBr00,pass_rating,52.3,,,,,
player,201411230atl,cle,HoyeBr00,rush_att,3,,,,,
player,201411230atl,cle,HoyeBr00,rush_yds,12,,,,,
player,201411230atl,cle,HoyeBr00,rush_td,0,,,,,
player,201411230atl,cle,HoyeBr00,rush_long,9,,,,,
player,201411230atl,cle,HoyeBr00,targets,0,,,,,
player,201411230atl,cle,HoyeBr00,rec,0,,,,,
player,201411230atl,cle,HoyeBr00,rec_yds,0,,,,,
player,201411230atl,cle,HoyeBr00,rec_td,0,,,,,
player,201411230atl,cle,HoyeBr00,rec_long,0,,,,,
player,201411230atl,cle,HoyeBr00,fumbles,1,,,,,
player,201411230atl,cle,HoyeBr00,fumbles_lost,0,,,,,
