game,2014,12,20141123,201411230chi,tam,"Tampa Bay Buccaneers",13,chi,"Chicago Bears",21
team,201411230chi,tam,First Downs,17,,,,,,
team,201411230chi,chi,First Downs,12,,,,,,
team,201411230chi,tam,Rush-Yds-TDs,22-66-0,,,,,,
team,201411230chi,chi,Rush-Yds-TDs,26-92-2,,,,,,
team,201411230chi,tam,Cmp-Att-Yd-TD-INT,25-48-341-1-2,,,,,,
team,201411230chi,chi,Cmp-Att-Yd-TD-INT,17-27-130-1-0,,,,,,
team,201411230chi,tam,Sacked-Yards,5-40,,,,,,
team,201411230chi,chi,Sacked-Yards,3-18,,,,,,
team,201411230chi,tam,Net Pass Yards,301,,,,,,
team,201411230chi,chi,Net Pass Yards,112,,,,,,
team,201411230chi,tam,Total Yards,367,,,,,,
team,201411230chi,chi,Total Yards,204,,,,,,
team,201411230chi,tam,Fumbles-Lost,4-2,,,,,,
team,201411230chi,chi,Fumbles-Lost,1-1,,,,,,
team,201411230chi,tam,Turnovers,4,,,,,,
team,201411230chi,chi,Turnovers,1,,,,,,
team,201411230chi,tam,Penalties-Yards,9-87,,,,,,
team,201411230chi,chi,Penalties-Yards,6-45,,,,,,
team,201411230chi,tam,Third Down Conv.,7-17,,,,,,
team,201411230chi,chi,Third Down Conv.,4-16,,,,,,
team,201411230chi,tam,Fourth Down Conv.,0-1,,,,,,
team,201411230chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201411230chi,tam,Time of Possession,30:10,,,,,,
team,201411230chi,chi,Time of Possession,29:50,,,,,,
player,201411230chi,tam,McCoJo01,pass_cmp,25,,,,,
player,201411230chi,tam,McCoJo01,pass_att,48,,,,,
player,201411230chi,tam,McCoJo01,pass_yds,341,,,,,
player,201411230chi,tam,McCoJo01,pass_td,1,,,,,
player,201411230chi,tam,McCoJo01,pass_int,2,,,,,
player,201411230chi,tam,McCoJo01,pass_sacked,5,,,,,
player,201411230chi,tam,McCoJo01,pass_sacked_yds,40,,,,,
player,201411230chi,tam,McCoJo01,pass_long,54,,,,,
