game,2014,13,20141127,201411270det,chi,"Chicago Bears",17,det,"Detroit Lions",34
team,201411270det,chi,First Downs,18,,,,,,
team,201411270det,det,First Downs,28,,,,,,
team,201411270det,chi,Rush-Yds-TDs,8-13-0,,,,,,
team,201411270det,det,Rush-Yds-TDs,23-91-2,,,,,,
team,201411270det,chi,Cmp-Att-Yd-TD-INT,31-48-280-2-2,,,,,,
team,201411270det,det,Cmp-Att-Yd-TD-INT,34-45-390-2-0,,,,,,
team,201411270det,chi,Sacked-Yards,3-24,,,,,,
team,201411270det,det,Sacked-Yards,2-7,,,,,,
team,201411270det,chi,Net Pass Yards,256,,,,,,
team,201411270det,det,Net Pass Yards,383,,,,,,
team,201411270det,chi,Total Yards,269,,,,,,
team,201411270det,det,Total Yards,474,,,,,,
team,201411270det,chi,Fumbles-Lost,0-0,,,,,,
team,201411270det,det,Fumbles-Lost,2-1,,,,,,
team,201411270det,chi,Turnovers,2,,,,,,
team,201411270det,det,Turnovers,1,,,,,,
team,201411270det,chi,Penalties-Yards,5-41,,,,,,
team,201411270det,det,Penalties-Yards,5-38,,,,,,
team,201411270det,chi,Third Down Conv.,5-12,,,,,,
team,201411270det,det,Third Down Conv.,5-12,,,,,,
team,201411270det,chi,Fourth Down Conv.,0-0,,,,,,
team,201411270det,det,Fourth Down Conv.,1-2,,,,,,
team,201411270det,chi,Time of Possession,26:35,,,,,,
team,201411270det,det,Time of Possession,33:25,,,,,,
player,201411270det,chi,CutlJa00,pass_cmp,31,,,,,
player,201411270det,chi,CutlJa00,pass_att,48,,,,,
player,201411270det,chi,CutlJa00,pass_yds,280,,,,,
player,201411270det,chi,CutlJa00,pass_td,2,,,,,
player,201411270det,chi,CutlJa00,pass_int,2,,,,,
player,201411270det,chi,CutlJa00,pass_sacked,3,,,,,
player,201411270det,chi,CutlJa00,pass_sacked_yds,24,,,,,
player,201411270det,chi,CutlJa00,pass_long,26,,,,,
player,201411270det,chi,CutlJa00,pass_rating,76.7,,,,,
player,201411270det,chi,CutlJa00,rush_att,1,,,,,
player,201411270det,chi,CutlJa00,rush_yds,-1,,,,,
player,201411270det,chi,CutlJa00,rush_td,0,,,,,
player,201411270det,chi,CutlJa00,rush_long,-1,,,,,
player,201411270det,chi,CutlJa00,targets,0,,,,,
player,201411270det,chi,CutlJa00,rec,0,,,,,
player,201411270det,chi,CutlJa00,rec_yds,0,,,,,
player,201411270det,chi,CutlJa00,rec_td,0,,,,,
player,201411270det,chi,CutlJa00,rec_long,0,,,,,
player,201411270det,chi,CutlJa00,fumbles,0,,,,,
player,201411270det,chi,CutlJa00,fumbles_lost,0,,,,,
player,201411270det,chi,CareKa00,pass_cmp,0,,,,,
player,201411270det,chi,CareKa00,pass_att,0,,,,,
player,201411270det,chi,CareKa00,pass_yds,0,,,,,
player,201411270det,chi,CareKa00,pass_td,0,,,,,
player,201411270det,chi,CareKa00,pass_int,0,,,,,
player,201411270det,chi,CareKa00,pass_sacked,0,,,,,
player,201411270det,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201411270det,chi,CareKa00,pass_long,0,,,,,
player,201411270det,chi,CareKa00,pass_rating,,,,,,
player,201411270det,chi,CareKa00,rush_att,2,,,,,
player,201411270det,chi,CareKa00,rush_yds,8,,,,,
player,201411270det,chi,CareKa00,rush_td,0,,,,,
player,201411270det,chi,CareKa00,rush_long,5,,,,,
player,201411270det,chi,CareKa00,targets,1,,,,,
player,201411270det,chi,CareKa00,rec,1,,,,,
player,201411270det,chi,CareKa00,rec_yds,7,,,,,
player,201411270det,chi,CareKa00,rec_td,0,,,,,
player,201411270det,chi,CareKa00,rec_long,7,,,,,
player,201411270det,chi,CareKa00,fumbles,0,,,,,
player,201411270det,chi,CareKa00,fumbles_lost,0,,,,,
player,201411270det,chi,FortMa00,pass_cmp,0,,,,,
player,201411270det,chi,FortMa00,pass_att,0,,,,,
player,201411270det,chi,FortMa00,pass_yds,0,,,,,
player,201411270det,chi,FortMa00,pass_td,0,,,,,
player,201411270det,chi,FortMa00,pass_int,0,,,,,
player,201411270det,chi,FortMa00,pass_sacked,0,,,,,
player,201411270det,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201411270det,chi,FortMa00,pass_long,0,,,,,
player,201411270det,chi,FortMa00,pass_rating,,,,,,
player,201411270det,chi,FortMa00,rush_att,5,,,,,
player,201411270det,chi,FortMa00,rush_yds,6,,,,,
player,201411270det,chi,FortMa00,rush_td,0,,,,,
player,201411270det,chi,FortMa00,rush_long,3,,,,,
player,201411270det,chi,FortMa00,targets,9,,,,,
player,201411270det,chi,FortMa00,rec,6,,,,,
player,201411270det,chi,FortMa00,rec_yds,52,,,,,
player,201411270det,chi,FortMa00,rec_td,0,,,,,
player,201411270det,chi,FortMa00,rec_long,22,,,,,
player,201411270det,chi,FortMa00,fumbles,0,,,,,
player,201411270det,chi,FortMa00,fumbles_lost,0,,,,,
player,201411270det,chi,BennMa00,pass_cmp,0,,,,,
player,201411270det,chi,BennMa00,pass_att,0,,,,,
player,201411270det,chi,BennMa00,pass_yds,0,,,,,
player,201411270det,chi,BennMa00,pass_td,0,,,,,
player,201411270det,chi,BennMa00,pass_int,0,,,,,
player,201411270det,chi,BennMa00,pass_sacked,0,,,,,
player,201411270det,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201411270det,chi,BennMa00,pass_long,0,,,,,
player,201411270det,chi,BennMa00,pass_rating,,,,,,
player,201411270det,chi,BennMa00,rush_att,0,,,,,
player,201411270det,chi,BennMa00,rush_yds,0,,,,,
player,201411270det,chi,BennMa00,rush_td,0,,,,,
player,201411270det,chi,BennMa00,rush_long,0,,,,,
player,201411270det,chi,BennMa00,targets,11,,,,,
player,201411270det,chi,BennMa00,rec,8,,,,,
player,201411270det,chi,BennMa00,rec_yds,109,,,,,
player,201411270det,chi,BennMa00,rec_td,0,,,,,
player,201411270det,chi,BennMa00,rec_long,23,,,,,
player,201411270det,chi,BennMa00,fumbles,0,,,,,
player,201411270det,chi,BennMa00,fumbles_lost,0,,,,,
player,201411270det,chi,JeffAl00,pass_cmp,0,,,,,
player,201411270det,chi,JeffAl00,pass_att,0,,,,,
player,201411270det,chi,JeffAl00,pass_yds,0,,,,,
player,201411270det,chi,JeffAl00,pass_td,0,,,,,
player,201411270det,chi,JeffAl00,pass_int,0,,,,,
player,201411270det,chi,JeffAl00,pass_sacked,0,,,,,
player,201411270det,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201411270det,chi,JeffAl00,pass_long,0,,,,,
player,201411270det,chi,JeffAl00,pass_rating,,,,,,
player,201411270det,chi,JeffAl00,rush_att,0,,,,,
player,201411270det,chi,JeffAl00,rush_yds,0,,,,,
player,201411270det,chi,JeffAl00,rush_td,0,,,,,
player,201411270det,chi,JeffAl00,rush_long,0,,,,,
player,201411270det,chi,JeffAl00,targets,13,,,,,
player,201411270det,chi,JeffAl00,rec,9,,,,,
player,201411270det,chi,JeffAl00,rec_yds,71,,,,,
player,201411270det,chi,JeffAl00,rec_td,2,,,,,
player,201411270det,chi,JeffAl00,rec_long,26,,,,,
player,201411270det,chi,JeffAl00,fumbles,0,,,,,
player,201411270det,chi,JeffAl00,fumbles_lost,0,,,,,
player,201411270det,chi,MarsBr00,pass_cmp,0,,,,,
player,201411270det,chi,MarsBr00,pass_att,0,,,,,
player,201411270det,chi,MarsBr00,pass_yds,0,,,,,
player,201411270det,chi,MarsBr00,pass_td,0,,,,,
player,201411270det,chi,MarsBr00,pass_int,0,,,,,
player,201411270det,chi,MarsBr00,pass_sacked,0,,,,,
player,201411270det,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201411270det,chi,MarsBr00,pass_long,0,,,,,
player,201411270det,chi,MarsBr00,pass_rating,,,,,,
player,201411270det,chi,MarsBr00,rush_att,0,,,,,
player,201411270det,chi,MarsBr00,rush_yds,0,,,,,
player,201411270det,chi,MarsBr00,rush_td,0,,,,,
player,201411270det,chi,MarsBr00,rush_long,0,,,,,
player,201411270det,chi,MarsBr00,targets,11,,,,,
player,201411270det,chi,MarsBr00,rec,6,,,,,
player,201411270det,chi,MarsBr00,rec_yds,42,,,,,
player,201411270det,chi,MarsBr00,rec_td,0,,,,,
player,201411270det,chi,MarsBr00,rec_long,12,,,,,
player,201411270det,chi,MarsBr00,fumbles,0,,,,,
player,201411270det,chi,MarsBr00,fumbles_lost,0,,,,,
player,201411270det,chi,WilsMa02,pass_cmp,0,,,,,
player,201411270det,chi,WilsMa02,pass_att,0,,,,,
player,201411270det,chi,WilsMa02,pass_yds,0,,,,,
player,201411270det,chi,WilsMa02,pass_td,0,,,,,
player,201411270det,chi,WilsMa02,pass_int,0,,,,,
player,201411270det,chi,WilsMa02,pass_sacked,0,,,,,
player,201411270det,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201411270det,chi,WilsMa02,pass_long,0,,,,,
player,201411270det,chi,WilsMa02,pass_rating,,,,,,
player,201411270det,chi,WilsMa02,rush_att,0,,,,,
player,201411270det,chi,WilsMa02,rush_yds,0,,,,,
player,201411270det,chi,WilsMa02,rush_td,0,,,,,
player,201411270det,chi,WilsMa02,rush_long,0,,,,,
player,201411270det,chi,WilsMa02,targets,2,,,,,
player,201411270det,chi,WilsMa02,rec,0,,,,,
player,201411270det,chi,WilsMa02,rec_yds,0,,,,,
player,201411270det,chi,WilsMa02,rec_td,0,,,,,
player,201411270det,chi,WilsMa02,rec_long,0,,,,,
player,201411270det,chi,WilsMa02,fumbles,0,,,,,
player,201411270det,chi,WilsMa02,fumbles_lost,0,,,,,
player,201411270det,chi,PerrSe00,pass_cmp,0,,,,,
player,201411270det,chi,PerrSe00,pass_att,0,,,,,
player,201411270det,chi,PerrSe00,pass_yds,0,,,,,
player,201411270det,chi,PerrSe00,pass_td,0,,,,,
player,201411270det,chi,PerrSe00,pass_int,0,,,,,
player,201411270det,chi,PerrSe00,pass_sacked,0,,,,,
player,201411270det,chi,PerrSe00,pass_sacked_yds,0,,,,,
player,201411270det,chi,PerrSe00,pass_long,0,,,,,
player,201411270det,chi,PerrSe00,pass_rating,,,,,,
player,201411270det,chi,PerrSe00,rush_att,0,,,,,
player,201411270det,chi,PerrSe00,rush_yds,0,,,,,
player,201411270det,chi,PerrSe00,rush_td,0,,,,,
player,201411270det,chi,PerrSe00,rush_long,0,,,,,
player,201411270det,chi,PerrSe00,targets,1,,,,,
player,201411270det,chi,PerrSe00,rec,1,,,,,
player,201411270det,chi,PerrSe00,rec_yds,-1,,,,,
player,201411270det,chi,PerrSe00,rec_td,0,,,,,
player,201411270det,chi,PerrSe00,rec_long,-1,,,,,
player,201411270det,chi,PerrSe00,fumbles,0,,,,,
player,201411270det,chi,PerrSe00,fumbles_lost,0,,,,,
player,201411270det,det,StafMa00,pass_cmp,34,,,,,
player,201411270det,det,StafMa00,pass_att,45,,,,,
player,201411270det,det,StafMa00,pass_yds,390,,,,,
player,201411270det,det,StafMa00,pass_td,2,,,,,
player,201411270det,det,StafMa00,pass_int,0,,,,,
player,201411270det,det,StafMa00,pass_sacked,2,,,,,
player,201411270det,det,StafMa00,pass_sacked_yds,7,,,,,
player,201411270det,det,StafMa00,pass_long,31,,,,,
player,201411270det,det,StafMa00,pass_rating,116.0,,,,,
player,201411270det,det,StafMa00,rush_att,0,,,,,
player,201411270det,det,StafMa00,rush_yds,0,,,,,
player,201411270det,det,StafMa00,rush_td,0,,,,,
player,201411270det,det,StafMa00,rush_long,0,,,,,
player,201411270det,det,StafMa00,targets,0,,,,,
player,201411270det,det,StafMa00,rec,0,,,,,
player,201411270det,det,StafMa00,rec_yds,0,,,,,
player,201411270det,det,StafMa00,rec_td,0,,,,,
player,201411270det,det,StafMa00,rec_long,0,,,,,
player,201411270det,det,StafMa00,fumbles,1,,,,,
player,201411270det,det,StafMa00,fumbles_lost,1,,,,,
player,201411270det,det,BellJo01,pass_cmp,0,,,,,
player,201411270det,det,BellJo01,pass_att,0,,,,,
player,201411270det,det,BellJo01,pass_yds,0,,,,,
player,201411270det,det,BellJo01,pass_td,0,,,,,
player,201411270det,det,BellJo01,pass_int,0,,,,,
player,201411270det,det,BellJo01,pass_sacked,0,,,,,
player,201411270det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201411270det,det,BellJo01,pass_long,0,,,,,
player,201411270det,det,BellJo01,pass_rating,,,,,,
player,201411270det,det,BellJo01,rush_att,23,,,,,
player,201411270det,det,BellJo01,rush_yds,91,,,,,
player,201411270det,det,BellJo01,rush_td,2,,,,,
player,201411270det,det,BellJo01,rush_long,22,,,,,
player,201411270det,det,BellJo01,targets,2,,,,,
player,201411270det,det,BellJo01,rec,2,,,,,
player,201411270det,det,BellJo01,rec_yds,16,,,,,
player,201411270det,det,BellJo01,rec_td,0,,,,,
player,201411270det,det,BellJo01,rec_long,10,,,,,
player,201411270det,det,BellJo01,fumbles,0,,,,,
player,201411270det,det,BellJo01,fumbles_lost,0,,,,,
player,201411270det,det,JohnCa00,pass_cmp,0,,,,,
player,201411270det,det,JohnCa00,pass_att,0,,,,,
player,201411270det,det,JohnCa00,pass_yds,0,,,,,
player,201411270det,det,JohnCa00,pass_td,0,,,,,
player,201411270det,det,JohnCa00,pass_int,0,,,,,
player,201411270det,det,JohnCa00,pass_sacked,0,,,,,
player,201411270det,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201411270det,det,JohnCa00,pass_long,0,,,,,
player,201411270det,det,JohnCa00,pass_rating,,,,,,
player,201411270det,det,JohnCa00,rush_att,0,,,,,
player,201411270det,det,JohnCa00,rush_yds,0,,,,,
player,201411270det,det,JohnCa00,rush_td,0,,,,,
player,201411270det,det,JohnCa00,rush_long,0,,,,,
player,201411270det,det,JohnCa00,targets,16,,,,,
player,201411270det,det,JohnCa00,rec,11,,,,,
player,201411270det,det,JohnCa00,rec_yds,146,,,,,
player,201411270det,det,JohnCa00,rec_td,2,,,,,
player,201411270det,det,JohnCa00,rec_long,25,,,,,
player,201411270det,det,JohnCa00,fumbles,0,,,,,
player,201411270det,det,JohnCa00,fumbles_lost,0,,,,,
player,201411270det,det,TateGo00,pass_cmp,0,,,,,
player,201411270det,det,TateGo00,pass_att,0,,,,,
player,201411270det,det,TateGo00,pass_yds,0,,,,,
player,201411270det,det,TateGo00,pass_td,0,,,,,
player,201411270det,det,TateGo00,pass_int,0,,,,,
player,201411270det,det,TateGo00,pass_sacked,0,,,,,
player,201411270det,det,TateGo00,pass_sacked_yds,0,,,,,
player,201411270det,det,TateGo00,pass_long,0,,,,,
player,201411270det,det,TateGo00,pass_rating,,,,,,
player,201411270det,det,TateGo00,rush_att,0,,,,,
player,201411270det,det,TateGo00,rush_yds,0,,,,,
player,201411270det,det,TateGo00,rush_td,0,,,,,
player,201411270det,det,TateGo00,rush_long,0,,,,,
player,201411270det,det,TateGo00,targets,10,,,,,
player,201411270det,det,TateGo00,rec,8,,,,,
player,201411270det,det,TateGo00,rec_yds,89,,,,,
player,201411270det,det,TateGo00,rec_td,0,,,,,
player,201411270det,det,TateGo00,rec_long,24,,,,,
player,201411270det,det,TateGo00,fumbles,0,,,,,
player,201411270det,det,TateGo00,fumbles_lost,0,,,,,
player,201411270det,det,RiddTh00,pass_cmp,0,,,,,
player,201411270det,det,RiddTh00,pass_att,0,,,,,
player,201411270det,det,RiddTh00,pass_yds,0,,,,,
player,201411270det,det,RiddTh00,pass_td,0,,,,,
player,201411270det,det,RiddTh00,pass_int,0,,,,,
player,201411270det,det,RiddTh00,pass_sacked,0,,,,,
player,201411270det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201411270det,det,RiddTh00,pass_long,0,,,,,
player,201411270det,det,RiddTh00,pass_rating,,,,,,
player,201411270det,det,RiddTh00,rush_att,0,,,,,
player,201411270det,det,RiddTh00,rush_yds,0,,,,,
player,201411270det,det,RiddTh00,rush_td,0,,,,,
player,201411270det,det,RiddTh00,rush_long,0,,,,,
player,201411270det,det,RiddTh00,targets,7,,,,,
player,201411270det,det,RiddTh00,rec,6,,,,,
player,201411270det,det,RiddTh00,rec_yds,54,,,,,
player,201411270det,det,RiddTh00,rec_td,0,,,,,
player,201411270det,det,RiddTh00,rec_long,19,,,,,
player,201411270det,det,RiddTh00,fumbles,0,,,,,
player,201411270det,det,RiddTh00,fumbles_lost,0,,,,,
player,201411270det,det,RossJe01,pass_cmp,0,,,,,
player,201411270det,det,RossJe01,pass_att,0,,,,,
player,201411270det,det,RossJe01,pass_yds,0,,,,,
player,201411270det,det,RossJe01,pass_td,0,,,,,
player,201411270det,det,RossJe01,pass_int,0,,,,,
player,201411270det,det,RossJe01,pass_sacked,0,,,,,
player,201411270det,det,RossJe01,pass_sacked_yds,0,,,,,
player,201411270det,det,RossJe01,pass_long,0,,,,,
player,201411270det,det,RossJe01,pass_rating,,,,,,
player,201411270det,det,RossJe01,rush_att,0,,,,,
player,201411270det,det,RossJe01,rush_yds,0,,,,,
player,201411270det,det,RossJe01,rush_td,0,,,,,
player,201411270det,det,RossJe01,rush_long,0,,,,,
player,201411270det,det,RossJe01,targets,1,,,,,
player,201411270det,det,RossJe01,rec,1,,,,,
player,201411270det,det,RossJe01,rec_yds,31,,,,,
player,201411270det,det,RossJe01,rec_td,0,,,,,
player,201411270det,det,RossJe01,rec_long,31,,,,,
player,201411270det,det,RossJe01,fumbles,1,,,,,
player,201411270det,det,RossJe01,fumbles_lost,0,,,,,
player,201411270det,det,EbroEr00,pass_cmp,0,,,,,
player,201411270det,det,EbroEr00,pass_att,0,,,,,
player,201411270det,det,EbroEr00,pass_yds,0,,,,,
player,201411270det,det,EbroEr00,pass_td,0,,,,,
player,201411270det,det,EbroEr00,pass_int,0,,,,,
player,201411270det,det,EbroEr00,pass_sacked,0,,,,,
player,201411270det,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201411270det,det,EbroEr00,pass_long,0,,,,,
player,201411270det,det,EbroEr00,pass_rating,,,,,,
player,201411270det,det,EbroEr00,rush_att,0,,,,,
player,201411270det,det,EbroEr00,rush_yds,0,,,,,
player,201411270det,det,EbroEr00,rush_td,0,,,,,
player,201411270det,det,EbroEr00,rush_long,0,,,,,
player,201411270det,det,EbroEr00,targets,4,,,,,
player,201411270det,det,EbroEr00,rec,3,,,,,
player,201411270det,det,EbroEr00,rec_yds,23,,,,,
player,201411270det,det,EbroEr00,rec_td,0,,,,,
player,201411270det,det,EbroEr00,rec_long,13,,,,,
player,201411270det,det,EbroEr00,fumbles,0,,,,,
player,201411270det,det,EbroEr00,fumbles_lost,0,,,,,
player,201411270det,det,FullCo00,pass_cmp,0,,,,,
player,201411270det,det,FullCo00,pass_att,0,,,,,
player,201411270det,det,FullCo00,pass_yds,0,,,,,
player,201411270det,det,FullCo00,pass_td,0,,,,,
player,201411270det,det,FullCo00,pass_int,0,,,,,
player,201411270det,det,FullCo00,pass_sacked,0,,,,,
player,201411270det,det,FullCo00,pass_sacked_yds,0,,,,,
player,201411270det,det,FullCo00,pass_long,0,,,,,
