game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
team,201411300kan,den,First Downs,21,,,,,,
team,201411300kan,kan,First Downs,11,,,,,,
team,201411300kan,den,Rush-Yds-TDs,45-214-0,,,,,,
team,201411300kan,kan,Rush-Yds-TDs,15-41-0,,,,,,
team,201411300kan,den,Cmp-Att-Yd-TD-INT,17-34-179-2-0,,,,,,
team,201411300kan,kan,Cmp-Att-Yd-TD-INT,15-23-153-2-1,,,,,,
team,201411300kan,den,Sacked-Yards,1-5,,,,,,
team,201411300kan,kan,Sacked-Yards,6-43,,,,,,
team,201411300kan,den,Net Pass Yards,174,,,,,,
team,201411300kan,kan,Net Pass Yards,110,,,,,,
team,201411300kan,den,Total Yards,388,,,,,,
team,201411300kan,kan,Total Yards,151,,,,,,
team,201411300kan,den,Fumbles-Lost,1-1,,,,,,
team,201411300kan,kan,Fumbles-Lost,2-2,,,,,,
team,201411300kan,den,Turnovers,1,,,,,,
team,201411300kan,kan,Turnovers,3,,,,,,
team,201411300kan,den,Penalties-Yards,5-32,,,,,,
team,201411300kan,kan,Penalties-Yards,5-35,,,,,,
team,201411300kan,den,Third Down Conv.,9-21,,,,,,
team,201411300kan,kan,Third Down Conv.,1-9,,,,,,
team,201411300kan,den,Fourth Down Conv.,2-2,,,,,,
team,201411300kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201411300kan,den,Time of Possession,38:47,,,,,,
team,201411300kan,kan,Time of Possession,21:13,,,,,,
player,201411300kan,den,MannPe00,pass_cmp,17,,,,,
player,201411300kan,den,MannPe00,pass_att,34,,,,,
player,201411300kan,den,MannPe00,pass_yds,179,,,,,
player,201411300kan,den,MannPe00,pass_td,2,,,,,
player,201411300kan,den,MannPe00,pass_int,0,,,,,
player,201411300kan,den,MannPe00,pass_sacked,1,,,,,
player,201411300kan,den,MannPe00,pass_sacked_yds,5,,,,,
player,201411300kan,den,MannPe00,pass_long,23,,,,,
player,201411300kan,den,MannPe00,pass_rating,85.3,,,,,
player,201411300kan,den,MannPe00,rush_att,2,,,,,
player,201411300kan,den,MannPe00,rush_yds,-6,,,,,
player,201411300kan,den,MannPe00,rush_td,0,,,,,
player,201411300kan,den,MannPe00,rush_long,-1,,,,,
player,201411300kan,den,MannPe00,targets,0,,,,,
player,201411300kan,den,MannPe00,rec,0,,,,,
player,201411300kan,den,MannPe00,rec_yds,0,,,,,
player,201411300kan,den,MannPe00,rec_td,0,,,,,
player,201411300kan,den,MannPe00,rec_long,0,,,,,
player,201411300kan,den,MannPe00,fumbles,1,,,,,
player,201411300kan,den,MannPe00,fumbles_lost,1,,,,,
player,201411300kan,den,AndeC.00,pass_cmp,0,,,,,
player,201411300kan,den,AndeC.00,pass_att,0,,,,,
player,201411300kan,den,AndeC.00,pass_yds,0,,,,,
player,201411300kan,den,AndeC.00,pass_td,0,,,,,
player,201411300kan,den,AndeC.00,pass_int,0,,,,,
player,201411300kan,den,AndeC.00,pass_sacked,0,,,,,
player,201411300kan,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201411300kan,den,AndeC.00,pass_long,0,,,,,
player,201411300kan,den,AndeC.00,pass_rating,,,,,,
player,201411300kan,den,AndeC.00,rush_att,32,,,,,
