game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
team,201412040chi,dal,First Downs,21,,,,,,
team,201412040chi,chi,First Downs,23,,,,,,
team,201412040chi,dal,Rush-Yds-TDs,35-194-2,,,,,,
team,201412040chi,chi,Rush-Yds-TDs,15-35-2,,,,,,
team,201412040chi,dal,Cmp-Att-Yd-TD-INT,21-26-205-3-0,,,,,,
team,201412040chi,chi,Cmp-Att-Yd-TD-INT,32-46-341-2-1,,,,,,
team,201412040chi,dal,Sacked-Yards,1-2,,,,,,
team,201412040chi,chi,Sacked-Yards,0-0,,,,,,
team,201412040chi,dal,Net Pass Yards,203,,,,,,
team,201412040chi,chi,Net Pass Yards,341,,,,,,
team,201412040chi,dal,Total Yards,397,,,,,,
team,201412040chi,chi,Total Yards,376,,,,,,
team,201412040chi,dal,Fumbles-Lost,0-0,,,,,,
team,201412040chi,chi,Fumbles-Lost,1-1,,,,,,
team,201412040chi,dal,Turnovers,0,,,,,,
team,201412040chi,chi,Turnovers,2,,,,,,
team,201412040chi,dal,Penalties-Yards,8-97,,,,,,
team,201412040chi,chi,Penalties-Yards,9-54,,,,,,
team,201412040chi,dal,Third Down Conv.,7-14,,,,,,
team,201412040chi,chi,Third Down Conv.,2-10,,,,,,
team,201412040chi,dal,Fourth Down Conv.,2-2,,,,,,
team,201412040chi,chi,Fourth Down Conv.,3-3,,,,,,
team,201412040chi,dal,Time of Possession,32:28,,,,,,
team,201412040chi,chi,Time of Possession,27:32,,,,,,
player,201412040chi,dal,RomoTo00,pass_cmp,21,,,,,
player,201412040chi,dal,RomoTo00,pass_att,26,,,,,
player,201412040chi,dal,RomoTo00,pass_yds,205,,,,,
player,201412040chi,dal,RomoTo00,pass_td,3,,,,,
player,201412040chi,dal,RomoTo00,pass_int,0,,,,,
player,201412040chi,dal,RomoTo00,pass_sacked,1,,,,,
player,201412040chi,dal,RomoTo00,pass_sacked_yds,2,,,,,
player,201412040chi,dal,RomoTo00,pass_long,43,,,,,
player,201412040chi,dal,RomoTo00,pass_rating,138.0,,,,,
player,201412040chi,dal,RomoTo00,rush_att,2,,,,,
player,201412040chi,dal,RomoTo00,rush_yds,-2,,,,,
player,201412040chi,dal,RomoTo00,rush_td,0,,,,,
player,201412040chi,dal,RomoTo00,rush_long,-1,,,,,
player,201412040chi,dal,RomoTo00,targets,0,,,,,
player,201412040chi,dal,RomoTo00,rec,0,,,,,
player,201412040chi,dal,RomoTo00,rec_yds,0,,,,,
player,201412040chi,dal,RomoTo00,rec_td,0,,,,,
player,201412040chi,dal,RomoTo00,rec_long,0,,,,,
player,201412040chi,dal,RomoTo00,fumbles,0,,,,,
player,201412040chi,dal,RomoTo00,fumbles_lost,0,,,,,
player,201412040chi,dal,MurrDe00,pass_cmp,0,,,,,
player,201412040chi,dal,MurrDe00,pass_att,0,,,,,
player,201412040chi,dal,MurrDe00,pass_yds,0,,,,,
player,201412040chi,dal,MurrDe00,pass_td,0,,,,,
player,201412040chi,dal,MurrDe00,pass_int,0,,,,,
player,201412040chi,dal,MurrDe00,pass_sacked,0,,,,,
player,201412040chi,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201412040chi,dal,MurrDe00,pass_long,0,,,,,
player,201412040chi,dal,MurrDe00,pass_rating,,,,,,
player,201412040chi,dal,MurrDe00,rush_att,32,,,,,
player,201412040chi,dal,MurrDe00,rush_yds,179,,,,,
player,201412040chi,dal,MurrDe00,rush_td,1,,,,,
player,201412040chi,dal,MurrDe00,rush_long,40,,,,,
player,201412040chi,dal,MurrDe00,targets,10,,,,,
player,201412040chi,dal,MurrDe00,rec,9,,,,,
player,201412040chi,dal,MurrDe00,rec_yds,49,,,,,
player,201412040chi,dal,MurrDe00,rec_td,0,,,,,
player,201412040chi,dal,MurrDe00,rec_long,11,,,,,
player,201412040chi,dal,MurrDe00,fumbles,0,,,,,
player,201412040chi,dal,MurrDe00,fumbles_lost,0,,,,,
player,201412040chi,dal,RandJo01,pass_cmp,0,,,,,
player,201412040chi,dal,RandJo01,pass_att,0,,,,,
player,201412040chi,dal,RandJo01,pass_yds,0,,,,,
player,201412040chi,dal,RandJo01,pass_td,0,,,,,
player,201412040chi,dal,RandJo01,pass_int,0,,,,,
player,201412040chi,dal,RandJo01,pass_sacked,0,,,,,
player,201412040chi,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201412040chi,dal,RandJo01,pass_long,0,,,,,
