game,2014,14,20141207,201412070cle,clt,"Indianapolis Colts",25,cle,"Cleveland Browns",24
team,201412070cle,clt,First Downs,23,,,,,,
team,201412070cle,cle,First Downs,14,,,,,,
team,201412070cle,clt,Rush-Yds-TDs,20-93-1,,,,,,
team,201412070cle,cle,Rush-Yds-TDs,32-115-1,,,,,,
team,201412070cle,clt,Cmp-Att-Yd-TD-INT,24-53-294-2-2,,,,,,
team,201412070cle,cle,Cmp-Att-Yd-TD-INT,13-30-136-0-2,,,,,,
team,201412070cle,clt,Sacked-Yards,3-25,,,,,,
team,201412070cle,cle,Sacked-Yards,1-3,,,,,,
team,201412070cle,clt,Net Pass Yards,269,,,,,,
team,201412070cle,cle,Net Pass Yards,133,,,,,,
team,201412070cle,clt,Total Yards,362,,,,,,
team,201412070cle,cle,Total Yards,248,,,,,,
team,201412070cle,clt,Fumbles-Lost,4-2,,,,,,
team,201412070cle,cle,Fumbles-Lost,0-0,,,,,,
team,201412070cle,clt,Turnovers,4,,,,,,
team,201412070cle,cle,Turnovers,2,,,,,,
team,201412070cle,clt,Penalties-Yards,6-40,,,,,,
team,201412070cle,cle,Penalties-Yards,7-85,,,,,,
team,201412070cle,clt,Third Down Conv.,5-16,,,,,,
team,201412070cle,cle,Third Down Conv.,4-15,,,,,,
team,201412070cle,clt,Fourth Down Conv.,1-1,,,,,,
team,201412070cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201412070cle,clt,Time of Possession,28:04,,,,,,
team,201412070cle,cle,Time of Possession,31:56,,,,,,
player,201412070cle,clt,LuckAn00,pass_cmp,24,,,,,
player,201412070cle,clt,LuckAn00,pass_att,53,,,,,
player,201412070cle,clt,LuckAn00,pass_yds,294,,,,,
player,201412070cle,clt,LuckAn00,pass_td,2,,,,,
player,201412070cle,clt,LuckAn00,pass_int,2,,,,,
player,201412070cle,clt,LuckAn00,pass_sacked,3,,,,,
player,201412070cle,clt,LuckAn00,pass_sacked_yds,25,,,,,
player,201412070cle,clt,LuckAn00,pass_long,42,,,,,
player,201412070cle,clt,LuckAn00,pass_rating,59.8,,,,,
player,201412070cle,clt,LuckAn00,rush_att,5,,,,,
player,201412070cle,clt,LuckAn00,rush_yds,37,,,,,
player,201412070cle,clt,LuckAn00,rush_td,1,,,,,
player,201412070cle,clt,LuckAn00,rush_long,13,,,,,
player,201412070cle,clt,LuckAn00,targets,0,,,,,
player,201412070cle,clt,LuckAn00,rec,0,,,,,
player,201412070cle,clt,LuckAn00,rec_yds,0,,,,,
player,201412070cle,clt,LuckAn00,rec_td,0,,,,,
player,201412070cle,clt,LuckAn00,rec_long,0,,,,,
player,201412070cle,clt,LuckAn00,fumbles,1,,,,,
player,201412070cle,clt,LuckAn00,fumbles_lost,1,,,,,
player,201412070cle,clt,RichTr00,pass_cmp,0,,,,,
player,201412070cle,clt,RichTr00,pass_att,0,,,,,
player,201412070cle,clt,RichTr00,pass_yds,0,,,,,
player,201412070cle,clt,RichTr00,pass_td,0,,,,,
player,201412070cle,clt,RichTr00,pass_int,0,,,,,
player,201412070cle,clt,RichTr00,pass_sacked,0,,,,,
player,201412070cle,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,RichTr00,pass_long,0,,,,,
player,201412070cle,clt,RichTr00,pass_rating,,,,,,
player,201412070cle,clt,RichTr00,rush_att,7,,,,,
player,201412070cle,clt,RichTr00,rush_yds,30,,,,,
player,201412070cle,clt,RichTr00,rush_td,0,,,,,
player,201412070cle,clt,RichTr00,rush_long,8,,,,,
player,201412070cle,clt,RichTr00,targets,0,,,,,
player,201412070cle,clt,RichTr00,rec,0,,,,,
player,201412070cle,clt,RichTr00,rec_yds,0,,,,,
player,201412070cle,clt,RichTr00,rec_td,0,,,,,
player,201412070cle,clt,RichTr00,rec_long,0,,,,,
player,201412070cle,clt,RichTr00,fumbles,0,,,,,
player,201412070cle,clt,RichTr00,fumbles_lost,0,,,,,
player,201412070cle,clt,HerrDa00,pass_cmp,0,,,,,
player,201412070cle,clt,HerrDa00,pass_att,0,,,,,
player,201412070cle,clt,HerrDa00,pass_yds,0,,,,,
player,201412070cle,clt,HerrDa00,pass_td,0,,,,,
player,201412070cle,clt,HerrDa00,pass_int,0,,,,,
player,201412070cle,clt,HerrDa00,pass_sacked,0,,,,,
player,201412070cle,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,HerrDa00,pass_long,0,,,,,
player,201412070cle,clt,HerrDa00,pass_rating,,,,,,
player,201412070cle,clt,HerrDa00,rush_att,8,,,,,
player,201412070cle,clt,HerrDa00,rush_yds,26,,,,,
player,201412070cle,clt,HerrDa00,rush_td,0,,,,,
player,201412070cle,clt,HerrDa00,rush_long,9,,,,,
player,201412070cle,clt,HerrDa00,targets,7,,,,,
player,201412070cle,clt,HerrDa00,rec,4,,,,,
player,201412070cle,clt,HerrDa00,rec_yds,45,,,,,
player,201412070cle,clt,HerrDa00,rec_td,0,,,,,
player,201412070cle,clt,HerrDa00,rec_long,26,,,,,
player,201412070cle,clt,HerrDa00,fumbles,0,,,,,
player,201412070cle,clt,HerrDa00,fumbles_lost,0,,,,,
player,201412070cle,clt,HiltT.00,pass_cmp,0,,,,,
player,201412070cle,clt,HiltT.00,pass_att,0,,,,,
player,201412070cle,clt,HiltT.00,pass_yds,0,,,,,
player,201412070cle,clt,HiltT.00,pass_td,0,,,,,
player,201412070cle,clt,HiltT.00,pass_int,0,,,,,
player,201412070cle,clt,HiltT.00,pass_sacked,0,,,,,
player,201412070cle,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,HiltT.00,pass_long,0,,,,,
player,201412070cle,clt,HiltT.00,pass_rating,,,,,,
player,201412070cle,clt,HiltT.00,rush_att,0,,,,,
player,201412070cle,clt,HiltT.00,rush_yds,0,,,,,
player,201412070cle,clt,HiltT.00,rush_td,0,,,,,
player,201412070cle,clt,HiltT.00,rush_long,0,,,,,
player,201412070cle,clt,HiltT.00,targets,19,,,,,
player,201412070cle,clt,HiltT.00,rec,10,,,,,
player,201412070cle,clt,HiltT.00,rec_yds,150,,,,,
player,201412070cle,clt,HiltT.00,rec_td,2,,,,,
player,201412070cle,clt,HiltT.00,rec_long,42,,,,,
player,201412070cle,clt,HiltT.00,fumbles,1,,,,,
player,201412070cle,clt,HiltT.00,fumbles_lost,1,,,,,
player,201412070cle,clt,FleeCo00,pass_cmp,0,,,,,
player,201412070cle,clt,FleeCo00,pass_att,0,,,,,
player,201412070cle,clt,FleeCo00,pass_yds,0,,,,,
player,201412070cle,clt,FleeCo00,pass_td,0,,,,,
player,201412070cle,clt,FleeCo00,pass_int,0,,,,,
player,201412070cle,clt,FleeCo00,pass_sacked,0,,,,,
player,201412070cle,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,FleeCo00,pass_long,0,,,,,
player,201412070cle,clt,FleeCo00,pass_rating,,,,,,
player,201412070cle,clt,FleeCo00,rush_att,0,,,,,
player,201412070cle,clt,FleeCo00,rush_yds,0,,,,,
player,201412070cle,clt,FleeCo00,rush_td,0,,,,,
player,201412070cle,clt,FleeCo00,rush_long,0,,,,,
player,201412070cle,clt,FleeCo00,targets,10,,,,,
player,201412070cle,clt,FleeCo00,rec,5,,,,,
player,201412070cle,clt,FleeCo00,rec_yds,56,,,,,
player,201412070cle,clt,FleeCo00,rec_td,0,,,,,
player,201412070cle,clt,FleeCo00,rec_long,18,,,,,
player,201412070cle,clt,FleeCo00,fumbles,0,,,,,
player,201412070cle,clt,FleeCo00,fumbles_lost,0,,,,,
player,201412070cle,clt,MoncDo00,pass_cmp,0,,,,,
player,201412070cle,clt,MoncDo00,pass_att,0,,,,,
player,201412070cle,clt,MoncDo00,pass_yds,0,,,,,
player,201412070cle,clt,MoncDo00,pass_td,0,,,,,
player,201412070cle,clt,MoncDo00,pass_int,0,,,,,
player,201412070cle,clt,MoncDo00,pass_sacked,0,,,,,
player,201412070cle,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,MoncDo00,pass_long,0,,,,,
player,201412070cle,clt,MoncDo00,pass_rating,,,,,,
player,201412070cle,clt,MoncDo00,rush_att,0,,,,,
player,201412070cle,clt,MoncDo00,rush_yds,0,,,,,
player,201412070cle,clt,MoncDo00,rush_td,0,,,,,
player,201412070cle,clt,MoncDo00,rush_long,0,,,,,
player,201412070cle,clt,MoncDo00,targets,4,,,,,
player,201412070cle,clt,MoncDo00,rec,3,,,,,
player,201412070cle,clt,MoncDo00,rec_yds,33,,,,,
player,201412070cle,clt,MoncDo00,rec_td,0,,,,,
player,201412070cle,clt,MoncDo00,rec_long,27,,,,,
player,201412070cle,clt,MoncDo00,fumbles,0,,,,,
player,201412070cle,clt,MoncDo00,fumbles_lost,0,,,,,
player,201412070cle,clt,WaynRe00,pass_cmp,0,,,,,
player,201412070cle,clt,WaynRe00,pass_att,0,,,,,
player,201412070cle,clt,WaynRe00,pass_yds,0,,,,,
player,201412070cle,clt,WaynRe00,pass_td,0,,,,,
player,201412070cle,clt,WaynRe00,pass_int,0,,,,,
player,201412070cle,clt,WaynRe00,pass_sacked,0,,,,,
player,201412070cle,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,WaynRe00,pass_long,0,,,,,
player,201412070cle,clt,WaynRe00,pass_rating,,,,,,
player,201412070cle,clt,WaynRe00,rush_att,0,,,,,
player,201412070cle,clt,WaynRe00,rush_yds,0,,,,,
player,201412070cle,clt,WaynRe00,rush_td,0,,,,,
player,201412070cle,clt,WaynRe00,rush_long,0,,,,,
player,201412070cle,clt,WaynRe00,targets,8,,,,,
player,201412070cle,clt,WaynRe00,rec,1,,,,,
player,201412070cle,clt,WaynRe00,rec_yds,5,,,,,
player,201412070cle,clt,WaynRe00,rec_td,0,,,,,
player,201412070cle,clt,WaynRe00,rec_long,5,,,,,
player,201412070cle,clt,WaynRe00,fumbles,0,,,,,
player,201412070cle,clt,WaynRe00,fumbles_lost,0,,,,,
player,201412070cle,clt,AlleDw00,pass_cmp,0,,,,,
player,201412070cle,clt,AlleDw00,pass_att,0,,,,,
player,201412070cle,clt,AlleDw00,pass_yds,0,,,,,
player,201412070cle,clt,AlleDw00,pass_td,0,,,,,
player,201412070cle,clt,AlleDw00,pass_int,0,,,,,
player,201412070cle,clt,AlleDw00,pass_sacked,0,,,,,
player,201412070cle,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201412070cle,clt,AlleDw00,pass_long,0,,,,,
player,201412070cle,clt,AlleDw00,pass_rating,,,,,,
player,201412070cle,clt,AlleDw00,rush_att,0,,,,,
player,201412070cle,clt,AlleDw00,rush_yds,0,,,,,
player,201412070cle,clt,AlleDw00,rush_td,0,,,,,
player,201412070cle,clt,AlleDw00,rush_long,0,,,,,
player,201412070cle,clt,AlleDw00,targets,3,,,,,
player,201412070cle,clt,AlleDw00,rec,1,,,,,
player,201412070cle,clt,AlleDw00,rec_yds,5,,,,,
player,201412070cle,clt,AlleDw00,rec_td,0,,,,,
player,201412070cle,clt,AlleDw00,rec_long,5,,,,,
player,201412070cle,clt,AlleDw00,fumbles,0,,,,,
player,201412070cle,clt,AlleDw00,fumbles_lost,0,,,,,
player,201412070cle,clt,NickHa01,pass_cmp,0,,,,,
player,201412070cle,clt,NickHa01,pass_att,0,,,,,
player,201412070cle,clt,NickHa01,pass_yds,0,,,,,
player,201412070cle,clt,NickHa01,pass_td,0,,,,,
player,201412070cle,clt,NickHa01,pass_int,0,,,,,
player,201412070cle,clt,NickHa01,pass_sacked,0,,,,,
player,201412070cle,clt,NickHa01,pass_sacked_yds,0,,,,,
player,201412070cle,clt,NickHa01,pass_long,0,,,,,
player,201412070cle,clt,NickHa01,pass_rating,,,,,,
player,201412070cle,clt,NickHa01,rush_att,0,,,,,
player,201412070cle,clt,NickHa01,rush_yds,0,,,,,
player,201412070cle,clt,NickHa01,rush_td,0,,,,,
player,201412070cle,clt,NickHa01,rush_long,0,,,,,
player,201412070cle,clt,NickHa01,targets,2,,,,,
player,201412070cle,clt,NickHa01,rec,0,,,,,
player,201412070cle,clt,NickHa01,rec_yds,0,,,,,
player,201412070cle,clt,NickHa01,rec_td,0,,,,,
player,201412070cle,clt,NickHa01,rec_long,0,,,,,
player,201412070cle,clt,NickHa01,fumbles,0,,,,,
player,201412070cle,clt,NickHa01,fumbles_lost,0,,,,,
player,201412070cle,cle,HoyeBr00,pass_cmp,13,,,,,
player,201412070cle,cle,HoyeBr00,pass_att,30,,,,,
player,201412070cle,cle,HoyeBr00,pass_yds,136,,,,,
player,201412070cle,cle,HoyeBr00,pass_td,0,,,,,
player,201412070cle,cle,HoyeBr00,pass_int,2,,,,,
player,201412070cle,cle,HoyeBr00,pass_sacked,1,,,,,
player,201412070cle,cle,HoyeBr00,pass_sacked_yds,3,,,,,
player,201412070cle,cle,HoyeBr00,pass_long,27,,,,,
player,201412070cle,cle,HoyeBr00,pass_rating,29.3,,,,,
player,201412070cle,cle,HoyeBr00,rush_att,2,,,,,
player,201412070cle,cle,HoyeBr00,rush_yds,3,,,,,
player,201412070cle,cle,HoyeBr00,rush_td,0,,,,,
player,201412070cle,cle,HoyeBr00,rush_long,4,,,,,
player,201412070cle,cle,HoyeBr00,targets,0,,,,,
player,201412070cle,cle,HoyeBr00,rec,0,,,,,
player,201412070cle,cle,HoyeBr00,rec_yds,0,,,,,
player,201412070cle,cle,HoyeBr00,rec_td,0,,,,,
player,201412070cle,cle,HoyeBr00,rec_long,0,,,,,
player,201412070cle,cle,HoyeBr00,fumbles,0,,,,,
player,201412070cle,cle,HoyeBr00,fumbles_lost,0,,,,,
player,201412070cle,cle,WestTe00,pass_cmp,0,,,,,
player,201412070cle,cle,WestTe00,pass_att,0,,,,,
player,201412070cle,cle,WestTe00,pass_yds,0,,,,,
player,201412070cle,cle,WestTe00,pass_td,0,,,,,
player,201412070cle,cle,WestTe00,pass_int,0,,,,,
player,201412070cle,cle,WestTe00,pass_sacked,0,,,,,
player,201412070cle,cle,WestTe00,pass_sacked_yds,0,,,,,
player,201412070cle,cle,WestTe00,pass_long,0,,,,,
player,201412070cle,cle,WestTe00,pass_rating,,,,,,
player,201412070cle,cle,WestTe00,rush_att,15,,,,,
player,201412070cle,cle,WestTe00,rush_yds,54,,,,,
player,201412070cle,cle,WestTe00,rush_td,0,,,,,
player,201412070cle,cle,WestTe00,rush_long,12,,,,,
player,201412070cle,cle,WestTe00,targets,0,,,,,
player,201412070cle,cle,WestTe00,rec,0,,,,,
player,201412070cle,cle,WestTe00,rec_yds,0,,,,,
player,201412070cle,cle,WestTe00,rec_td,0,,,,,
player,201412070cle,cle,WestTe00,rec_long,0,,,,,
player,201412070cle,cle,WestTe00,fumbles,0,,,,,
player,201412070cle,cle,WestTe00,fumbles_lost,0,,,,,
player,201412070cle,cle,CrowIs00,pass_cmp,0,,,,,
player,201412070cle,cle,CrowIs00,pass_att,0,,,,,
player,201412070cle,cle,CrowIs00,pass_yds,0,,,,,
player,201412070cle,cle,CrowIs00,pass_td,0,,,,,
player,201412070cle,cle,CrowIs00,pass_int,0,,,,,
