game,2014,14,20141207,201412070oti,nyg,"New York Giants",36,oti,"Tennessee Titans",7
team,201412070oti,nyg,First Downs,19,,,,,,
team,201412070oti,oti,First Downs,12,,,,,,
team,201412070oti,nyg,Rush-Yds-TDs,30-142-1,,,,,,
team,201412070oti,oti,Rush-Yds-TDs,14-61-0,,,,,,
team,201412070oti,nyg,Cmp-Att-Yd-TD-INT,26-43-260-1-1,,,,,,
team,201412070oti,oti,Cmp-Att-Yd-TD-INT,23-35-206-0-2,,,,,,
team,201412070oti,nyg,Sacked-Yards,0-0,,,,,,
team,201412070oti,oti,Sacked-Yards,8-60,,,,,,
team,201412070oti,nyg,Net Pass Yards,260,,,,,,
team,201412070oti,oti,Net Pass Yards,146,,,,,,
team,201412070oti,nyg,Total Yards,402,,,,,,
team,201412070oti,oti,Total Yards,207,,,,,,
team,201412070oti,nyg,Fumbles-Lost,0-0,,,,,,
team,201412070oti,oti,Fumbles-Lost,2-1,,,,,,
team,201412070oti,nyg,Turnovers,1,,,,,,
team,201412070oti,oti,Turnovers,3,,,,,,
team,201412070oti,nyg,Penalties-Yards,7-70,,,,,,
team,201412070oti,oti,Penalties-Yards,5-39,,,,,,
team,201412070oti,nyg,Third Down Conv.,8-18,,,,,,
team,201412070oti,oti,Third Down Conv.,2-13,,,,,,
team,201412070oti,nyg,Fourth Down Conv.,0-0,,,,,,
team,201412070oti,oti,Fourth Down Conv.,1-3,,,,,,
team,201412070oti,nyg,Time of Possession,34:43,,,,,,
team,201412070oti,oti,Time of Possession,25:17,,,,,,
player,201412070oti,nyg,MannEl00,pass_cmp,26,,,,,
player,201412070oti,nyg,MannEl00,pass_att,42,,,,,
player,201412070oti,nyg,MannEl00,pass_yds,260,,,,,
player,201412070oti,nyg,MannEl00,pass_td,1,,,,,
player,201412070oti,nyg,MannEl00,pass_int,1,,,,,
player,201412070oti,nyg,MannEl00,pass_sacked,0,,,,,
player,201412070oti,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201412070oti,nyg,MannEl00,pass_long,50,,,,,
player,201412070oti,nyg,MannEl00,pass_rating,77.5,,,,,
player,201412070oti,nyg,MannEl00,rush_att,0,,,,,
player,201412070oti,nyg,MannEl00,rush_yds,0,,,,,
player,201412070oti,nyg,MannEl00,rush_td,0,,,,,
player,201412070oti,nyg,MannEl00,rush_long,0,,,,,
player,201412070oti,nyg,MannEl00,targets,0,,,,,
player,201412070oti,nyg,MannEl00,rec,0,,,,,
player,201412070oti,nyg,MannEl00,rec_yds,0,,,,,
player,201412070oti,nyg,MannEl00,rec_td,0,,,,,
player,201412070oti,nyg,MannEl00,rec_long,0,,,,,
player,201412070oti,nyg,MannEl00,fumbles,0,,,,,
player,201412070oti,nyg,MannEl00,fumbles_lost,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_cmp,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_att,1,,,,,
player,201412070oti,nyg,BeckOd00,pass_yds,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_td,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_int,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_sacked,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_long,0,,,,,
player,201412070oti,nyg,BeckOd00,pass_rating,39.6,,,,,
player,201412070oti,nyg,BeckOd00,rush_att,1,,,,,
player,201412070oti,nyg,BeckOd00,rush_yds,9,,,,,
player,201412070oti,nyg,BeckOd00,rush_td,0,,,,,
player,201412070oti,nyg,BeckOd00,rush_long,9,,,,,
player,201412070oti,nyg,BeckOd00,targets,15,,,,,
player,201412070oti,nyg,BeckOd00,rec,11,,,,,
player,201412070oti,nyg,BeckOd00,rec_yds,130,,,,,
player,201412070oti,nyg,BeckOd00,rec_td,1,,,,,
player,201412070oti,nyg,BeckOd00,rec_long,50,,,,,
player,201412070oti,nyg,BeckOd00,fumbles,0,,,,,
player,201412070oti,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201412070oti,nyg,WillAn00,pass_cmp,0,,,,,
player,201412070oti,nyg,WillAn00,pass_att,0,,,,,
player,201412070oti,nyg,WillAn00,pass_yds,0,,,,,
player,201412070oti,nyg,WillAn00,pass_td,0,,,,,
player,201412070oti,nyg,WillAn00,pass_int,0,,,,,
player,201412070oti,nyg,WillAn00,pass_sacked,0,,,,,
player,201412070oti,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201412070oti,nyg,WillAn00,pass_long,0,,,,,
player,201412070oti,nyg,WillAn00,pass_rating,,,,,,
