game,2014,16,20141221,201412210car,cle,"Cleveland Browns",13,car,"Carolina Panthers",17
team,201412210car,cle,First Downs,8,,,,,,
team,201412210car,car,First Downs,27,,,,,,
team,201412210car,cle,Rush-Yds-TDs,22-84-0,,,,,,
team,201412210car,car,Rush-Yds-TDs,45-209-1,,,,,,
team,201412210car,cle,Cmp-Att-Yd-TD-INT,10-21-166-1-1,,,,,,
team,201412210car,car,Cmp-Att-Yd-TD-INT,18-31-201-1-1,,,,,,
team,201412210car,cle,Sacked-Yards,3-22,,,,,,
team,201412210car,car,Sacked-Yards,1-6,,,,,,
team,201412210car,cle,Net Pass Yards,144,,,,,,
team,201412210car,car,Net Pass Yards,195,,,,,,
team,201412210car,cle,Total Yards,228,,,,,,
team,201412210car,car,Total Yards,404,,,,,,
team,201412210car,cle,Fumbles-Lost,0-0,,,,,,
team,201412210car,car,Fumbles-Lost,2-1,,,,,,
team,201412210car,cle,Turnovers,1,,,,,,
team,201412210car,car,Turnovers,2,,,,,,
team,201412210car,cle,Penalties-Yards,6-49,,,,,,
team,201412210car,car,Penalties-Yards,5-49,,,,,,
team,201412210car,cle,Third Down Conv.,3-12,,,,,,
team,201412210car,car,Third Down Conv.,9-16,,,,,,
team,201412210car,cle,Fourth Down Conv.,0-0,,,,,,
team,201412210car,car,Fourth Down Conv.,0-0,,,,,,
team,201412210car,cle,Time of Possession,21:57,,,,,,
team,201412210car,car,Time of Possession,38:03,,,,,,
player,201412210car,cle,HoyeBr00,pass_cmp,7,,,,,
player,201412210car,cle,HoyeBr00,pass_att,13,,,,,
player,201412210car,cle,HoyeBr00,pass_yds,134,,,,,
player,201412210car,cle,HoyeBr00,pass_td,1,,,,,
player,201412210car,cle,HoyeBr00,pass_int,1,,,,,
player,201412210car,cle,HoyeBr00,pass_sacked,3,,,,,
player,201412210car,cle,HoyeBr00,pass_sacked_yds,22,,,,,
player,201412210car,cle,HoyeBr00,pass_long,81,,,,,
player,201412210car,cle,HoyeBr00,pass_rating,83.5,,,,,
player,201412210car,cle,HoyeBr00,rush_att,2,,,,,
player,201412210car,cle,HoyeBr00,rush_yds,19,,,,,
player,201412210car,cle,HoyeBr00,rush_td,0,,,,,
player,201412210car,cle,HoyeBr00,rush_long,11,,,,,
player,201412210car,cle,HoyeBr00,targets,0,,,,,
player,201412210car,cle,HoyeBr00,rec,0,,,,,
player,201412210car,cle,HoyeBr00,rec_yds,0,,,,,
player,201412210car,cle,HoyeBr00,rec_td,0,,,,,
player,201412210car,cle,HoyeBr00,rec_long,0,,,,,
player,201412210car,cle,HoyeBr00,fumbles,0,,,,,
player,201412210car,cle,HoyeBr00,fumbles_lost,0,,,,,
player,201412210car,cle,ManzJo00,pass_cmp,3,,,,,
player,201412210car,cle,ManzJo00,pass_att,8,,,,,
player,201412210car,cle,ManzJo00,pass_yds,32,,,,,
