game,2014,17,20141228,201412280nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",26
team,201412280nyg,phi,First Downs,23,,,,,,
team,201412280nyg,nyg,First Downs,22,,,,,,
team,201412280nyg,phi,Rush-Yds-TDs,32-164-1,,,,,,
team,201412280nyg,nyg,Rush-Yds-TDs,25-76-1,,,,,,
team,201412280nyg,phi,Cmp-Att-Yd-TD-INT,23-36-292-2-1,,,,,,
team,201412280nyg,nyg,Cmp-Att-Yd-TD-INT,28-53-429-1-1,,,,,,
team,201412280nyg,phi,Sacked-Yards,4-30,,,,,,
team,201412280nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201412280nyg,phi,Net Pass Yards,262,,,,,,
team,201412280nyg,nyg,Net Pass Yards,429,,,,,,
team,201412280nyg,phi,Total Yards,426,,,,,,
team,201412280nyg,nyg,Total Yards,505,,,,,,
team,201412280nyg,phi,Fumbles-Lost,0-0,,,,,,
team,201412280nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201412280nyg,phi,Turnovers,1,,,,,,
team,201412280nyg,nyg,Turnovers,1,,,,,,
team,201412280nyg,phi,Penalties-Yards,5-35,,,,,,
team,201412280nyg,nyg,Penalties-Yards,8-106,,,,,,
team,201412280nyg,phi,Third Down Conv.,7-16,,,,,,
team,201412280nyg,nyg,Third Down Conv.,7-18,,,,,,
team,201412280nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201412280nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201412280nyg,phi,Time of Possession,25:23,,,,,,
team,201412280nyg,nyg,Time of Possession,34:37,,,,,,
player,201412280nyg,phi,SancMa00,pass_cmp,23,,,,,
player,201412280nyg,phi,SancMa00,pass_att,36,,,,,
player,201412280nyg,phi,SancMa00,pass_yds,292,,,,,
player,201412280nyg,phi,SancMa00,pass_td,2,,,,,
player,201412280nyg,phi,SancMa00,pass_int,1,,,,,
player,201412280nyg,phi,SancMa00,pass_sacked,4,,,,,
