game,2014,17,20141228,201412280sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",20
team,201412280sea,ram,First Downs,15,,,,,,
team,201412280sea,sea,First Downs,17,,,,,,
team,201412280sea,ram,Rush-Yds-TDs,19-42-0,,,,,,
team,201412280sea,sea,Rush-Yds-TDs,34-132-1,,,,,,
team,201412280sea,ram,Cmp-Att-Yd-TD-INT,26-37-243-0-2,,,,,,
team,201412280sea,sea,Cmp-Att-Yd-TD-INT,17-25-239-0-1,,,,,,
team,201412280sea,ram,Sacked-Yards,4-40,,,,,,
team,201412280sea,sea,Sacked-Yards,3-17,,,,,,
team,201412280sea,ram,Net Pass Yards,203,,,,,,
team,201412280sea,sea,Net Pass Yards,222,,,,,,
team,201412280sea,ram,Total Yards,245,,,,,,
team,201412280sea,sea,Total Yards,354,,,,,,
team,201412280sea,ram,Fumbles-Lost,2-1,,,,,,
team,201412280sea,sea,Fumbles-Lost,3-1,,,,,,
team,201412280sea,ram,Turnovers,3,,,,,,
team,201412280sea,sea,Turnovers,2,,,,,,
team,201412280sea,ram,Penalties-Yards,6-45,,,,,,
team,201412280sea,sea,Penalties-Yards,2-20,,,,,,
team,201412280sea,ram,Third Down Conv.,3-12,,,,,,
team,201412280sea,sea,Third Down Conv.,7-15,,,,,,
team,201412280sea,ram,Fourth Down Conv.,0-1,,,,,,
team,201412280sea,sea,Fourth Down Conv.,0-1,,,,,,
team,201412280sea,ram,Time of Possession,28:49,,,,,,
team,201412280sea,sea,Time of Possession,31:11,,,,,,
player,201412280sea,ram,HillSh00,pass_cmp,26,,,,,
player,201412280sea,ram,HillSh00,pass_att,37,,,,,
player,201412280sea,ram,HillSh00,pass_yds,243,,,,,
player,201412280sea,ram,HillSh00,pass_td,0,,,,,
player,201412280sea,ram,HillSh00,pass_int,2,,,,,
player,201412280sea,ram,HillSh00,pass_sacked,4,,,,,
player,201412280sea,ram,HillSh00,pass_sacked_yds,40,,,,,
player,201412280sea,ram,HillSh00,pass_long,20,,,,,
player,201412280sea,ram,HillSh00,pass_rating,65.5,,,,,
player,201412280sea,ram,HillSh00,rush_att,0,,,,,
player,201412280sea,ram,HillSh00,rush_yds,0,,,,,
player,201412280sea,ram,HillSh00,rush_td,0,,,,,
player,201412280sea,ram,HillSh00,rush_long,0,,,,,
player,201412280sea,ram,HillSh00,targets,0,,,,,
player,201412280sea,ram,HillSh00,rec,0,,,,,
player,201412280sea,ram,HillSh00,rec_yds,0,,,,,
player,201412280sea,ram,HillSh00,rec_td,0,,,,,
player,201412280sea,ram,HillSh00,rec_long,0,,,,,
player,201412280sea,ram,HillSh00,fumbles,1,,,,,
player,201412280sea,ram,HillSh00,fumbles_lost,0,,,,,
player,201412280sea,ram,MasoTr00,pass_cmp,0,,,,,
player,201412280sea,ram,MasoTr00,pass_att,0,,,,,
player,201412280sea,ram,MasoTr00,pass_yds,0,,,,,
player,201412280sea,ram,MasoTr00,pass_td,0,,,,,
player,201412280sea,ram,MasoTr00,pass_int,0,,,,,
player,201412280sea,ram,MasoTr00,pass_sacked,0,,,,,
player,201412280sea,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,MasoTr00,pass_long,0,,,,,
player,201412280sea,ram,MasoTr00,pass_rating,,,,,,
