game,2015,1,20150913,201509130sdg,det,"Detroit Lions",28,sdg,"San Diego Chargers",33
team,201509130sdg,det,First Downs,16,,,,,,
team,201509130sdg,sdg,First Downs,28,,,,,,
team,201509130sdg,det,Rush-Yds-TDs,16-69-1,,,,,,
team,201509130sdg,sdg,Rush-Yds-TDs,31-96-2,,,,,,
team,201509130sdg,det,Cmp-Att-Yd-TD-INT,19-30-246-2-2,,,,,,
team,201509130sdg,sdg,Cmp-Att-Yd-TD-INT,34-41-403-2-2,,,,,,
team,201509130sdg,det,Sacked-Yards,1-13,,,,,,
team,201509130sdg,sdg,Sacked-Yards,2-16,,,,,,
team,201509130sdg,det,Net Pass Yards,233,,,,,,
team,201509130sdg,sdg,Net Pass Yards,387,,,,,,
team,201509130sdg,det,Total Yards,302,,,,,,
team,201509130sdg,sdg,Total Yards,483,,,,,,
team,201509130sdg,det,Fumbles-Lost,1-0,,,,,,
team,201509130sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201509130sdg,det,Turnovers,2,,,,,,
team,201509130sdg,sdg,Turnovers,3,,,,,,
team,201509130sdg,det,Penalties-Yards,4-29,,,,,,
team,201509130sdg,sdg,Penalties-Yards,5-40,,,,,,
team,201509130sdg,det,Third Down Conv.,3-10,,,,,,
team,201509130sdg,sdg,Third Down Conv.,6-11,,,,,,
team,201509130sdg,det,Fourth Down Conv.,0-0,,,,,,
team,201509130sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201509130sdg,det,Time of Possession,21:48,,,,,,
team,201509130sdg,sdg,Time of Possession,38:12,,,,,,
player,201509130sdg,det,StafMa00,pass_cmp,19,,,,,
player,201509130sdg,det,StafMa00,pass_att,30,,,,,
player,201509130sdg,det,StafMa00,pass_yds,246,,,,,
player,201509130sdg,det,StafMa00,pass_td,2,,,,,
player,201509130sdg,det,StafMa00,pass_int,2,,,,,
player,201509130sdg,det,StafMa00,pass_sacked,1,,,,,
player,201509130sdg,det,StafMa00,pass_sacked_yds,13,,,,,
player,201509130sdg,det,StafMa00,pass_long,36,,,,,
player,201509130sdg,det,StafMa00,pass_rating,83.5,,,,,
player,201509130sdg,det,StafMa00,rush_att,1,,,,,
player,201509130sdg,det,StafMa00,rush_yds,-1,,,,,
player,201509130sdg,det,StafMa00,rush_td,0,,,,,
player,201509130sdg,det,StafMa00,rush_long,-1,,,,,
player,201509130sdg,det,StafMa00,targets,0,,,,,
player,201509130sdg,det,StafMa00,rec,0,,,,,
player,201509130sdg,det,StafMa00,rec_yds,0,,,,,
player,201509130sdg,det,StafMa00,rec_td,0,,,,,
player,201509130sdg,det,StafMa00,rec_long,0,,,,,
player,201509130sdg,det,StafMa00,fumbles,0,,,,,
player,201509130sdg,det,StafMa00,fumbles_lost,0,,,,,
