game,2015,2,20150920,201509200was,ram,"St. Louis Rams",10,was,"Washington Redskins",24
team,201509200was,ram,First Downs,11,,,,,,
team,201509200was,was,First Downs,19,,,,,,
team,201509200was,ram,Rush-Yds-TDs,13-67-0,,,,,,
team,201509200was,was,Rush-Yds-TDs,37-182-2,,,,,,
team,201509200was,ram,Cmp-Att-Yd-TD-INT,17-32-150-1-0,,,,,,
team,201509200was,was,Cmp-Att-Yd-TD-INT,23-27-203-1-0,,,,,,
team,201509200was,ram,Sacked-Yards,1-4,,,,,,
team,201509200was,was,Sacked-Yards,2-12,,,,,,
team,201509200was,ram,Net Pass Yards,146,,,,,,
team,201509200was,was,Net Pass Yards,191,,,,,,
team,201509200was,ram,Total Yards,213,,,,,,
team,201509200was,was,Total Yards,373,,,,,,
team,201509200was,ram,Fumbles-Lost,2-0,,,,,,
team,201509200was,was,Fumbles-Lost,1-1,,,,,,
team,201509200was,ram,Turnovers,0,,,,,,
team,201509200was,was,Turnovers,1,,,,,,
team,201509200was,ram,Penalties-Yards,9-80,,,,,,
team,201509200was,was,Penalties-Yards,7-53,,,,,,
team,201509200was,ram,Third Down Conv.,2-12,,,,,,
team,201509200was,was,Third Down Conv.,8-16,,,,,,
team,201509200was,ram,Fourth Down Conv.,0-1,,,,,,
team,201509200was,was,Fourth Down Conv.,0-0,,,,,,
team,201509200was,ram,Time of Possession,22:16,,,,,,
team,201509200was,was,Time of Possession,37:44,,,,,,
player,201509200was,ram,FoleNi00,pass_cmp,17,,,,,
player,201509200was,ram,FoleNi00,pass_att,32,,,,,
player,201509200was,ram,FoleNi00,pass_yds,150,,,,,
player,201509200was,ram,FoleNi00,pass_td,1,,,,,
player,201509200was,ram,FoleNi00,pass_int,0,,,,,
player,201509200was,ram,FoleNi00,pass_sacked,1,,,,,
player,201509200was,ram,FoleNi00,pass_sacked_yds,4,,,,,
player,201509200was,ram,FoleNi00,pass_long,40,,,,,
player,201509200was,ram,FoleNi00,pass_rating,76.3,,,,,
player,201509200was,ram,FoleNi00,rush_att,1,,,,,
player,201509200was,ram,FoleNi00,rush_yds,1,,,,,
player,201509200was,ram,FoleNi00,rush_td,0,,,,,
player,201509200was,ram,FoleNi00,rush_long,1,,,,,
player,201509200was,ram,FoleNi00,targets,0,,,,,
player,201509200was,ram,FoleNi00,rec,0,,,,,
player,201509200was,ram,FoleNi00,rec_yds,0,,,,,
player,201509200was,ram,FoleNi00,rec_td,0,,,,,
player,201509200was,ram,FoleNi00,rec_long,0,,,,,
player,201509200was,ram,FoleNi00,fumbles,1,,,,,
player,201509200was,ram,FoleNi00,fumbles_lost,0,,,,,
player,201509200was,ram,AustTa00,pass_cmp,0,,,,,
player,201509200was,ram,AustTa00,pass_att,0,,,,,
player,201509200was,ram,AustTa00,pass_yds,0,,,,,
player,201509200was,ram,AustTa00,pass_td,0,,,,,
player,201509200was,ram,AustTa00,pass_int,0,,,,,
player,201509200was,ram,AustTa00,pass_sacked,0,,,,,
player,201509200was,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201509200was,ram,AustTa00,pass_long,0,,,,,
player,201509200was,ram,AustTa00,pass_rating,,,,,,
player,201509200was,ram,AustTa00,rush_att,4,,,,,
player,201509200was,ram,AustTa00,rush_yds,40,,,,,
player,201509200was,ram,AustTa00,rush_td,0,,,,,
player,201509200was,ram,AustTa00,rush_long,16,,,,,
player,201509200was,ram,AustTa00,targets,3,,,,,
player,201509200was,ram,AustTa00,rec,1,,,,,
player,201509200was,ram,AustTa00,rec_yds,6,,,,,
player,201509200was,ram,AustTa00,rec_td,0,,,,,
player,201509200was,ram,AustTa00,rec_long,6,,,,,
player,201509200was,ram,AustTa00,fumbles,0,,,,,
player,201509200was,ram,AustTa00,fumbles_lost,0,,,,,
player,201509200was,ram,MasoTr00,pass_cmp,0,,,,,
player,201509200was,ram,MasoTr00,pass_att,0,,,,,
player,201509200was,ram,MasoTr00,pass_yds,0,,,,,
player,201509200was,ram,MasoTr00,pass_td,0,,,,,
player,201509200was,ram,MasoTr00,pass_int,0,,,,,
player,201509200was,ram,MasoTr00,pass_sacked,0,,,,,
player,201509200was,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201509200was,ram,MasoTr00,pass_long,0,,,,,
player,201509200was,ram,MasoTr00,pass_rating,,,,,,
player,201509200was,ram,MasoTr00,rush_att,7,,,,,
player,201509200was,ram,MasoTr00,rush_yds,26,,,,,
player,201509200was,ram,MasoTr00,rush_td,0,,,,,
player,201509200was,ram,MasoTr00,rush_long,13,,,,,
player,201509200was,ram,MasoTr00,targets,5,,,,,
player,201509200was,ram,MasoTr00,rec,2,,,,,
