game,2015,3,20150927,201509270min,sdg,"San Diego Chargers",14,min,"Minnesota Vikings",31
team,201509270min,sdg,First Downs,21,,,,,,
team,201509270min,min,First Downs,18,,,,,,
team,201509270min,sdg,Rush-Yds-TDs,28-90-0,,,,,,
team,201509270min,min,Rush-Yds-TDs,31-163-3,,,,,,
team,201509270min,sdg,Cmp-Att-Yd-TD-INT,26-40-309-2-1,,,,,,
team,201509270min,min,Cmp-Att-Yd-TD-INT,13-24-121-0-1,,,,,,
team,201509270min,sdg,Sacked-Yards,4-30,,,,,,
team,201509270min,min,Sacked-Yards,0-0,,,,,,
team,201509270min,sdg,Net Pass Yards,279,,,,,,
team,201509270min,min,Net Pass Yards,121,,,,,,
team,201509270min,sdg,Total Yards,369,,,,,,
team,201509270min,min,Total Yards,284,,,,,,
team,201509270min,sdg,Fumbles-Lost,1-1,,,,,,
team,201509270min,min,Fumbles-Lost,0-0,,,,,,
team,201509270min,sdg,Turnovers,2,,,,,,
team,201509270min,min,Turnovers,1,,,,,,
team,201509270min,sdg,Penalties-Yards,7-74,,,,,,
team,201509270min,min,Penalties-Yards,3-39,,,,,,
team,201509270min,sdg,Third Down Conv.,8-17,,,,,,
team,201509270min,min,Third Down Conv.,3-9,,,,,,
team,201509270min,sdg,Fourth Down Conv.,0-1,,,,,,
team,201509270min,min,Fourth Down Conv.,0-0,,,,,,
team,201509270min,sdg,Time of Possession,33:29,,,,,,
team,201509270min,min,Time of Possession,26:31,,,,,,
player,201509270min,sdg,RivePh00,pass_cmp,21,,,,,
player,201509270min,sdg,RivePh00,pass_att,34,,,,,
player,201509270min,sdg,RivePh00,pass_yds,246,,,,,
player,201509270min,sdg,RivePh00,pass_td,1,,,,,
player,201509270min,sdg,RivePh00,pass_int,1,,,,,
player,201509270min,sdg,RivePh00,pass_sacked,4,,,,,
player,201509270min,sdg,RivePh00,pass_sacked_yds,30,,,,,
player,201509270min,sdg,RivePh00,pass_long,39,,,,,
player,201509270min,sdg,RivePh00,pass_rating,81.2,,,,,
player,201509270min,sdg,RivePh00,rush_att,0,,,,,
player,201509270min,sdg,RivePh00,rush_yds,0,,,,,
player,201509270min,sdg,RivePh00,rush_td,0,,,,,
player,201509270min,sdg,RivePh00,rush_long,0,,,,,
player,201509270min,sdg,RivePh00,targets,0,,,,,
player,201509270min,sdg,RivePh00,rec,0,,,,,
player,201509270min,sdg,RivePh00,rec_yds,0,,,,,
player,201509270min,sdg,RivePh00,rec_td,0,,,,,
player,201509270min,sdg,RivePh00,rec_long,0,,,,,
player,201509270min,sdg,RivePh00,fumbles,1,,,,,
player,201509270min,sdg,RivePh00,fumbles_lost,1,,,,,
player,201509270min,sdg,ClemKe00,pass_cmp,5,,,,,
player,201509270min,sdg,ClemKe00,pass_att,6,,,,,
player,201509270min,sdg,ClemKe00,pass_yds,63,,,,,
player,201509270min,sdg,ClemKe00,pass_td,1,,,,,
player,201509270min,sdg,ClemKe00,pass_int,0,,,,,
player,201509270min,sdg,ClemKe00,pass_sacked,0,,,,,
player,201509270min,sdg,ClemKe00,pass_sacked_yds,0,,,,,
player,201509270min,sdg,ClemKe00,pass_long,19,,,,,
player,201509270min,sdg,ClemKe00,pass_rating,150.0,,,,,
player,201509270min,sdg,ClemKe00,rush_att,0,,,,,
player,201509270min,sdg,ClemKe00,rush_yds,0,,,,,
player,201509270min,sdg,ClemKe00,rush_td,0,,,,,
player,201509270min,sdg,ClemKe00,rush_long,0,,,,,
player,201509270min,sdg,ClemKe00,targets,0,,,,,
player,201509270min,sdg,ClemKe00,rec,0,,,,,
player,201509270min,sdg,ClemKe00,rec_yds,0,,,,,
player,201509270min,sdg,ClemKe00,rec_td,0,,,,,
player,201509270min,sdg,ClemKe00,rec_long,0,,,,,
player,201509270min,sdg,ClemKe00,fumbles,0,,,,,
player,201509270min,sdg,ClemKe00,fumbles_lost,0,,,,,
player,201509270min,sdg,GordMe00,pass_cmp,0,,,,,
player,201509270min,sdg,GordMe00,pass_att,0,,,,,
player,201509270min,sdg,GordMe00,pass_yds,0,,,,,
player,201509270min,sdg,GordMe00,pass_td,0,,,,,
player,201509270min,sdg,GordMe00,pass_int,0,,,,,
player,201509270min,sdg,GordMe00,pass_sacked,0,,,,,
player,201509270min,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201509270min,sdg,GordMe00,pass_long,0,,,,,
player,201509270min,sdg,GordMe00,pass_rating,,,,,,
player,201509270min,sdg,GordMe00,rush_att,14,,,,,
player,201509270min,sdg,GordMe00,rush_yds,51,,,,,
player,201509270min,sdg,GordMe00,rush_td,0,,,,,
player,201509270min,sdg,GordMe00,rush_long,13,,,,,
player,201509270min,sdg,GordMe00,targets,1,,,,,
player,201509270min,sdg,GordMe00,rec,0,,,,,
player,201509270min,sdg,GordMe00,rec_yds,0,,,,,
player,201509270min,sdg,GordMe00,rec_td,0,,,,,
player,201509270min,sdg,GordMe00,rec_long,0,,,,,
player,201509270min,sdg,GordMe00,fumbles,0,,,,,
player,201509270min,sdg,GordMe00,fumbles_lost,0,,,,,
player,201509270min,sdg,OlivBr01,pass_cmp,0,,,,,
player,201509270min,sdg,OlivBr01,pass_att,0,,,,,
player,201509270min,sdg,OlivBr01,pass_yds,0,,,,,
player,201509270min,sdg,OlivBr01,pass_td,0,,,,,
player,201509270min,sdg,OlivBr01,pass_int,0,,,,,
player,201509270min,sdg,OlivBr01,pass_sacked,0,,,,,
player,201509270min,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201509270min,sdg,OlivBr01,pass_long,0,,,,,
player,201509270min,sdg,OlivBr01,pass_rating,,,,,,
player,201509270min,sdg,OlivBr01,rush_att,8,,,,,
player,201509270min,sdg,OlivBr01,rush_yds,26,,,,,
player,201509270min,sdg,OlivBr01,rush_td,0,,,,,
player,201509270min,sdg,OlivBr01,rush_long,6,,,,,
player,201509270min,sdg,OlivBr01,targets,1,,,,,
player,201509270min,sdg,OlivBr01,rec,0,,,,,
player,201509270min,sdg,OlivBr01,rec_yds,0,,,,,
player,201509270min,sdg,OlivBr01,rec_td,0,,,,,
player,201509270min,sdg,OlivBr01,rec_long,0,,,,,
player,201509270min,sdg,OlivBr01,fumbles,0,,,,,
player,201509270min,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201509270min,sdg,WoodDa02,pass_cmp,0,,,,,
player,201509270min,sdg,WoodDa02,pass_att,0,,,,,
player,201509270min,sdg,WoodDa02,pass_yds,0,,,,,
player,201509270min,sdg,WoodDa02,pass_td,0,,,,,
player,201509270min,sdg,WoodDa02,pass_int,0,,,,,
player,201509270min,sdg,WoodDa02,pass_sacked,0,,,,,
player,201509270min,sdg,WoodDa02,pass_sacked_yds,0,,,,,
