game,2015,4,20151004,201510040crd,ram,"St. Louis Rams",24,crd,"Arizona Cardinals",22
team,201510040crd,ram,First Downs,13,,,,,,
team,201510040crd,crd,First Downs,26,,,,,,
team,201510040crd,ram,Rush-Yds-TDs,26-164-0,,,,,,
team,201510040crd,crd,Rush-Yds-TDs,21-113-0,,,,,,
team,201510040crd,ram,Cmp-Att-Yd-TD-INT,16-24-171-3-0,,,,,,
team,201510040crd,crd,Cmp-Att-Yd-TD-INT,29-46-352-1-1,,,,,,
team,201510040crd,ram,Sacked-Yards,1-7,,,,,,
team,201510040crd,crd,Sacked-Yards,4-18,,,,,,
team,201510040crd,ram,Net Pass Yards,164,,,,,,
team,201510040crd,crd,Net Pass Yards,334,,,,,,
team,201510040crd,ram,Total Yards,328,,,,,,
team,201510040crd,crd,Total Yards,447,,,,,,
team,201510040crd,ram,Fumbles-Lost,1-0,,,,,,
team,201510040crd,crd,Fumbles-Lost,3-2,,,,,,
team,201510040crd,ram,Turnovers,0,,,,,,
team,201510040crd,crd,Turnovers,3,,,,,,
team,201510040crd,ram,Penalties-Yards,7-66,,,,,,
team,201510040crd,crd,Penalties-Yards,3-20,,,,,,
team,201510040crd,ram,Third Down Conv.,5-13,,,,,,
team,201510040crd,crd,Third Down Conv.,2-11,,,,,,
team,201510040crd,ram,Fourth Down Conv.,0-0,,,,,,
team,201510040crd,crd,Fourth Down Conv.,1-2,,,,,,
team,201510040crd,ram,Time of Possession,26:47,,,,,,
team,201510040crd,crd,Time of Possession,33:13,,,,,,
player,201510040crd,ram,FoleNi00,pass_cmp,16,,,,,
player,201510040crd,ram,FoleNi00,pass_att,24,,,,,
player,201510040crd,ram,FoleNi00,pass_yds,171,,,,,
player,201510040crd,ram,FoleNi00,pass_td,3,,,,,
player,201510040crd,ram,FoleNi00,pass_int,0,,,,,
player,201510040crd,ram,FoleNi00,pass_sacked,1,,,,,
player,201510040crd,ram,FoleNi00,pass_sacked_yds,7,,,,,
player,201510040crd,ram,FoleNi00,pass_long,47,,,,,
player,201510040crd,ram,FoleNi00,pass_rating,126.9,,,,,
player,201510040crd,ram,FoleNi00,rush_att,1,,,,,
player,201510040crd,ram,FoleNi00,rush_yds,-1,,,,,
