game,2015,4,20151004,201510040sdg,cle,"Cleveland Browns",27,sdg,"San Diego Chargers",30
team,201510040sdg,cle,First Downs,20,,,,,,
team,201510040sdg,sdg,First Downs,23,,,,,,
team,201510040sdg,cle,Rush-Yds-TDs,21-100-0,,,,,,
team,201510040sdg,sdg,Rush-Yds-TDs,21-91-0,,,,,,
team,201510040sdg,cle,Cmp-Att-Yd-TD-INT,32-41-356-2-0,,,,,,
team,201510040sdg,sdg,Cmp-Att-Yd-TD-INT,23-38-358-3-0,,,,,,
team,201510040sdg,cle,Sacked-Yards,4-24,,,,,,
team,201510040sdg,sdg,Sacked-Yards,2-11,,,,,,
team,201510040sdg,cle,Net Pass Yards,332,,,,,,
team,201510040sdg,sdg,Net Pass Yards,347,,,,,,
team,201510040sdg,cle,Total Yards,432,,,,,,
team,201510040sdg,sdg,Total Yards,438,,,,,,
team,201510040sdg,cle,Fumbles-Lost,1-1,,,,,,
team,201510040sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201510040sdg,cle,Turnovers,1,,,,,,
team,201510040sdg,sdg,Turnovers,0,,,,,,
team,201510040sdg,cle,Penalties-Yards,12-91,,,,,,
team,201510040sdg,sdg,Penalties-Yards,6-31,,,,,,
team,201510040sdg,cle,Third Down Conv.,4-13,,,,,,
team,201510040sdg,sdg,Third Down Conv.,3-11,,,,,,
team,201510040sdg,cle,Fourth Down Conv.,0-0,,,,,,
team,201510040sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201510040sdg,cle,Time of Possession,34:19,,,,,,
team,201510040sdg,sdg,Time of Possession,25:41,,,,,,
player,201510040sdg,cle,McCoJo01,pass_cmp,32,,,,,
player,201510040sdg,cle,McCoJo01,pass_att,41,,,,,
player,201510040sdg,cle,McCoJo01,pass_yds,356,,,,,
player,201510040sdg,cle,McCoJo01,pass_td,2,,,,,
player,201510040sdg,cle,McCoJo01,pass_int,0,,,,,
player,201510040sdg,cle,McCoJo01,pass_sacked,4,,,,,
player,201510040sdg,cle,McCoJo01,pass_sacked_yds,24,,,,,
player,201510040sdg,cle,McCoJo01,pass_long,53,,,,,
player,201510040sdg,cle,McCoJo01,pass_rating,119.1,,,,,
player,201510040sdg,cle,McCoJo01,rush_att,0,,,,,
player,201510040sdg,cle,McCoJo01,rush_yds,0,,,,,
player,201510040sdg,cle,McCoJo01,rush_td,0,,,,,
player,201510040sdg,cle,McCoJo01,rush_long,0,,,,,
player,201510040sdg,cle,McCoJo01,targets,0,,,,,
player,201510040sdg,cle,McCoJo01,rec,0,,,,,
player,201510040sdg,cle,McCoJo01,rec_yds,0,,,,,
player,201510040sdg,cle,McCoJo01,rec_td,0,,,,,
player,201510040sdg,cle,McCoJo01,rec_long,0,,,,,
player,201510040sdg,cle,McCoJo01,fumbles,1,,,,,
player,201510040sdg,cle,McCoJo01,fumbles_lost,1,,,,,
player,201510040sdg,cle,CrowIs00,pass_cmp,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_att,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_yds,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_td,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_int,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_sacked,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_long,0,,,,,
player,201510040sdg,cle,CrowIs00,pass_rating,,,,,,
player,201510040sdg,cle,CrowIs00,rush_att,12,,,,,
player,201510040sdg,cle,CrowIs00,rush_yds,63,,,,,
player,201510040sdg,cle,CrowIs00,rush_td,0,,,,,
player,201510040sdg,cle,CrowIs00,rush_long,32,,,,,
player,201510040sdg,cle,CrowIs00,targets,3,,,,,
player,201510040sdg,cle,CrowIs00,rec,3,,,,,
player,201510040sdg,cle,CrowIs00,rec_yds,62,,,,,
player,201510040sdg,cle,CrowIs00,rec_td,0,,,,,
player,201510040sdg,cle,CrowIs00,rec_long,53,,,,,
player,201510040sdg,cle,CrowIs00,fumbles,0,,,,,
player,201510040sdg,cle,CrowIs00,fumbles_lost,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_cmp,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_att,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_yds,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_td,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_int,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_sacked,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_long,0,,,,,
player,201510040sdg,cle,JohnDu00,pass_rating,,,,,,
player,201510040sdg,cle,JohnDu00,rush_att,8,,,,,
player,201510040sdg,cle,JohnDu00,rush_yds,31,,,,,
player,201510040sdg,cle,JohnDu00,rush_td,0,,,,,
player,201510040sdg,cle,JohnDu00,rush_long,9,,,,,
player,201510040sdg,cle,JohnDu00,targets,10,,,,,
player,201510040sdg,cle,JohnDu00,rec,9,,,,,
player,201510040sdg,cle,JohnDu00,rec_yds,85,,,,,
player,201510040sdg,cle,JohnDu00,rec_td,1,,,,,
player,201510040sdg,cle,JohnDu00,rec_long,34,,,,,
player,201510040sdg,cle,JohnDu00,fumbles,0,,,,,
player,201510040sdg,cle,JohnDu00,fumbles_lost,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_cmp,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_att,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_yds,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_td,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_int,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_sacked,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_sacked_yds,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_long,0,,,,,
player,201510040sdg,cle,DrauSh00,pass_rating,,,,,,
player,201510040sdg,cle,DrauSh00,rush_att,1,,,,,
player,201510040sdg,cle,DrauSh00,rush_yds,6,,,,,
player,201510040sdg,cle,DrauSh00,rush_td,0,,,,,
player,201510040sdg,cle,DrauSh00,rush_long,6,,,,,
player,201510040sdg,cle,DrauSh00,targets,1,,,,,
player,201510040sdg,cle,DrauSh00,rec,1,,,,,
player,201510040sdg,cle,DrauSh00,rec_yds,-1,,,,,
